B00173IY02,[0.5702],[5],"[[nice, light, clamping, pressure]]","[[nice light clamping pressure, 0.5702, 5]]"
B005QCRAK0,"[0.0, 0.0, 0.0]","[3, 5, 5]","[[bulkie, doesnt, hold, charge, compare, brand, use], [convienent, use, drive], [buyer, saidgreat, hearing, device, advertise]]","[[bulkie doesnt hold charge compare brand use, 0.0, 3], [convienent use drive, 0.0, 5], [buyer saidgreat hearing device advertise, 0.0, 5]]"
B0060BA5FI,[0.4927],[5],[[price]],"[[price, 0.4927, 5]]"
B006HT12PU,[0.7962],[5],"[[work, month, son, lose, phone, receive, phone, replacement, battery, shot, great, investment]]","[[work month son lose phone receive phone replacement battery shot great investment, 0.7962, 5]]"
B006MHTF1U,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B006Y63Z74,"[0.4927, 0.3612, 0.9274]","[5, 5, 5]","[[phn, pice, gift, daughter, love], [expect, thank], [seller, product]]","[[phn pice gift daughter love, 0.4927, 5], [expect thank, 0.3612, 5], [seller product, 0.9274, 5]]"
B0076LWSQ0,[0.7906],[5],"[[system, install]]","[[system install, 0.7906, 5]]"
B007SXKD0Y,[0.6249],[5],"[[work, great, hold, magellan, gps, iphone, dashboard]]","[[work great hold magellan gps iphone dashboard, 0.6249, 5]]"
B007ZFHZ3I,[0.6115],[5],"[[happy, product]]","[[happy product, 0.6115, 5]]"
B0081F015K,"[0.9201, 0.0, 0.8779]","[5, 2, 4]","[[product, nice, fit, car, good, buy], [fit, car, hold, phone, tight, perfect, view, drive], [kind, cheap, look]]","[[product nice fit car good buy, 0.9201, 5], [fit car hold phone tight perfect view drive, 0.0, 2], [kind cheap look, 0.8779, 4]]"
B0082BRBHE,[0.5994],[5],"[[love, case]]","[[love case, 0.5994, 5]]"
B0086X6BVK,"[-0.0276, 0.4404]","[3, 5]","[[put, phone]]","[[put phone, -0.0276, 3], [, 0.4404, 5]]"
B008BRKSLK,[0.0],[2],[[cheap]],"[[cheap, 0.0, 2]]"
B008UONQ7M,[0.0],[4],"[[item, come, describe, wish, include, screen, protector, phone]]","[[item come describe wish include screen protector phone, 0.0, 4]]"
B0092ZPM34,[0.9693],[5],"[[product, forever, worn, love, bit, money, hold, abuse, protect, phone, perfect, case, love, store, id, credit, card, dont, want, carry, purse, prepare, purchase, replace, look, product, price, look]]","[[product forever worn love bit money hold abuse protect phone perfect case love store id credit card dont want carry purse prepare purchase replace look product price look, 0.9693, 5]]"
B0093IHX7S,"[0.765, 0.7506]","[5, 4]","[[case, clean, withstands, fall, floorbr, flipopen, option, neat, need, use, accessory], [case, take, time, choose, love, speck, keep, buying, product, use, couple, month, drop, phone, issue]]","[[case clean withstands fall floorbr flipopen option neat need use accessory, 0.765, 5], [case take time choose love speck keep buying product use couple month drop phone issue, 0.7506, 4]]"
B0095ZRGGW,[0.3384],[5],[[work]],"[[work, 0.3384, 5]]"
B009AN3D2U,"[0.09, 0.9389, 0.6369, 0.1999]","[3, 4, 5, 2]","[[pocket, use, something, thick, stuff, front, cover, think, add, unneeded, thickness, window, driver, license, ensures, someone, want, see, come, piece, paper, stuff, driver, license, holder, show, direction, store, card, avoid, keep, case, occasion, come, hole], [case, arrive, phone, didnt, fit, part, case, phone, wallet, phone, slip, suuuper, decide, make, work, case, didnt, cost, weeks, case, broke, side, well, wallet, case], [appear, look, quality, meet, need], [satisfy, wish, pocket, design, strap, fail]]","[[pocket use something thick stuff front cover think add unneeded thickness window driver license ensures someone want see come piece paper stuff driver license holder show direction store card avoid keep case occasion come hole, 0.09, 3], [case arrive phone didnt fit part case phone wallet phone slip suuuper decide make work case didnt cost weeks case broke side well wallet case, 0.9389, 4], [appear look quality meet need, 0.6369, 5], [satisfy wish pocket design strap fail, 0.1999, 2]]"
B009NAQ2Z0,[-0.2023],[1],"[[charge, expect]]","[[charge expect, -0.2023, 1]]"
B009W9DBOM,[0.0],[2],[[make]],"[[make, 0.0, 2]]"
B009WINCME,[0.6428],[3],"[[fine, well]]","[[fine well, 0.6428, 3]]"
B00AIL3SE6,[0.8625],[5],"[[stepson, need, cover, protect, mp, player, find, work, price]]","[[stepson need cover protect mp player find work price, 0.8625, 5]]"
B00AZFF7K8,"[-0.6746, 0.3612]","[2, 5]","[[like, width, forearm, stuff, bead, make, make, red, welt, arm, make, scar, longer, use, waste, money, bumpy, thing, inside, arm, band, hadnt, done]]","[[like width forearm stuff bead make make red welt arm make scar longer use waste money bumpy thing inside arm band hadnt done, -0.6746, 2], [, 0.3612, 5]]"
B00B3LYBBE,[-0.4767],[1],"[[case, phone]]","[[case phone, -0.4767, 1]]"
B00B7T7132,[0.4404],[4],"[[need, price]]","[[need price, 0.4404, 4]]"
B00BS4Z23C,"[0.0, 0.296]","[2, 3]","[[ok, get, sweaty], [band, arm]]","[[ok get sweaty, 0.0, 2], [band arm, 0.296, 3]]"
B00BSOPQOM,"[-0.3107, 0.6597]","[1, 5]","[[work, use, month, problem], [rubberize, coat, peel, week, leave, case, interlock, piece, begin, unlock, falling, apart, week, dollar, spent]]","[[work use month problem, -0.3107, 1], [rubberize coat peel week leave case interlock piece begin unlock falling apart week dollar spent, 0.6597, 5]]"
B00BYVY5ZA,[0.7275],[4],"[[disappoint, control, play, pause, g, volume, hang, incoming, call, try, answer, itbr, br, good, sound, thats, save, grace, review]]","[[disappoint control play pause g volume hang incoming call try answer itbr br good sound thats save grace review, 0.7275, 4]]"
B00CP0I474,"[0.0, 0.1531, 0.0, 0.0, -0.1027, 0.0, 0.0, -0.1027, 0.5719]","[5, 5, 4, 3, 5, 5, 4, 5, 5]","[[work, great, problem, chip], [work], [work, rest, programming, activity, nightmare], [item, program, baofeng, twoway, radio, internet], [make, program, use, pc, lot, easier, forget, outdated, cd, come, version, online, google, programming, baofeng, use, chirp, way], [work, goodjust, directionswith, churp], [work, advertise], [work, fine, issue, plug, get, connection], [excelente]]","[[work great problem chip, 0.0, 5], [work, 0.1531, 5], [work rest programming activity nightmare, 0.0, 4], [item program baofeng twoway radio internet, 0.0, 3], [make program use pc lot easier forget outdated cd come version online google programming baofeng use chirp way, -0.1027, 5], [work goodjust directionswith churp, 0.0, 5], [work advertise, 0.0, 4], [work fine issue plug get connection, -0.1027, 5], [excelente, 0.5719, 5]]"
B00DCIZJ5S,[-0.4767],[3],"[[make, phone, bulky, add, decent, weight, come, color, ton, fake, imitation, product, however, bulk, turn, went, ultra, thin, case, spigen]]","[[make phone bulky add decent weight come color ton fake imitation product however bulk turn went ultra thin case spigen, -0.4767, 3]]"
B00DJJMNF4,[0.296],[2],[[ok]],"[[ok, 0.296, 2]]"
B00DNPL4PY,[0.7574],[5],[[seems]],"[[seems, 0.7574, 5]]"
B00EE2HCCY,[0.7579],[5],"[[work, expect, work, fine, nexus, use, complimentary, stylus, pen, nice, addition]]","[[work expect work fine nexus use complimentary stylus pen nice addition, 0.7579, 5]]"
B00EQ613MS,[0.9432],[5],"[[case, im, take, phone, admit, blackberry, develop, get, trick, hold, case, side, pull, phone, side, pressure, use, see, else, looking, black, case, go, white, worry, get, dirty, thing, leather, resistant, wash, want, twice, case, well]]","[[case im take phone admit blackberry develop get trick hold case side pull phone side pressure use see else looking black case go white worry get dirty thing leather resistant wash want twice case well, 0.9432, 5]]"
B00EQNWVJ0,[0.7906],[5],"[[case, nice, strudy]]","[[case nice strudy, 0.7906, 5]]"
B00F3F4NNM,[0.7906],[5],"[[work, great, price]]","[[work great price, 0.7906, 5]]"
B00FFIGLTQ,"[0.6249, 0.6249, 0.1002, 0.4404]","[5, 4, 5, 5]","[[deal, fast, shipping], [product], [ship, product, descriped], [thank, product, thing, didnt, put, screen]]","[[deal fast shipping, 0.6249, 5], [product, 0.6249, 4], [ship product descriped, 0.1002, 5], [thank product thing didnt put screen, 0.4404, 5]]"
B00FFVK612,[0.4404],[4],[[quality]],"[[quality, 0.4404, 4]]"
B00FL9UBI6,"[-0.296, 0.7906]","[2, 5]","[[apply, try, product, longer, stick], [product, well, screen, protector]]","[[apply try product longer stick, -0.296, 2], [product well screen protector, 0.7906, 5]]"
B00FP1BT5Y,[0.7184],[5],"[[own, galaxy, love, live, expectation]]","[[own galaxy love live expectation, 0.7184, 5]]"
B00FS2X5S4,[0.9055],[4],"[[case, get, put, love, design, imprint, case, cheap, sticker, seem, sign, lightweight, think, hesitation, put, felt, tiny, bit, loose, realize, say, fit, c, bit, different, body, design, hasnt, fallen, took, put, ease, case, wouldnt, fall, phone, drop]]","[[case get put love design imprint case cheap sticker seem sign lightweight think hesitation put felt tiny bit loose realize say fit c bit different body design hasnt fallen took put ease case wouldnt fall phone drop, 0.9055, 4]]"
B00FUPVHLG,[0.2484],[3],"[[prosbr, offer, protectionbr, lightweightbr, consbr, proximity, sensor, cause, issue, phone, take, charger, stiff]]","[[prosbr offer protectionbr lightweightbr consbr proximity sensor cause issue phone take charger stiff, 0.2484, 3]]"
B00FWTO5F0,[0.0],[1],"[[chevy, truck, need, single]]","[[chevy truck need single, 0.0, 1]]"
B00G3JT3N2,[0.2635],[5],"[[notice, screen, protector, tend, leave, lot, bubble, screen, sticky, side, didnt, problem]]","[[notice screen protector tend leave lot bubble screen sticky side didnt problem, 0.2635, 5]]"
B00GKPCS18,[0.0],[1],"[[start, flake, period, time]]","[[start flake period time, 0.0, 1]]"
B00GM87WKK,[0.8519],[5],[[work]],"[[work, 0.8519, 5]]"
B00GMTN96U,"[0.8519, 0.669]","[5, 5]","[[bluetooth, work], [ship, quickest, amazonbr, volume, sound, great, hook, easybr, month, take, house, cant, say]]","[[bluetooth work, 0.8519, 5], [ship quickest amazonbr volume sound great hook easybr month take house cant say, 0.669, 5]]"
B00GOGV37I,"[-0.6999, -0.5106, -0.8518, 0.9042]","[1, 1, 2, 5]","[[product, june, take, charge, month, vendor, will, exchange, disappointment], [day, help, keep, track, sleep, hour, wake, hour, use, say, get, sleep, get, know, slept, time, woke, night, help, improve, lack, sleep, exercise], [star, review, butbr, br, ive, month, day, stop, work, go, buy, find, im, jawbone, make, activity, tracker, dy, month, use, charge, people, get, lot, cool, feature, sleep, monitor, bunch, amount, feature, overcome, durability, dont, care, break, cant, use, shower, say, submerge, twist, need, put, wristbr, br, there, nothing, turn, product, lack, durability, use, jawbone, doesnt, something, make, theyve, lose, customer, life, come, overwhelming, review, durability, reliability, product, wont, happen, way, review, product, goingbr, br, suck, like, work], [button, fall, piece, push, button, month, stuck, fell, guess, useless, happy, track, mileage, phone, app, way, bulky, year, half]]","[[product june take charge month vendor will exchange disappointment, -0.6999, 1], [day help keep track sleep hour wake hour use say get sleep get know slept time woke night help improve lack sleep exercise, -0.5106, 1], [star review butbr br ive month day stop work go buy find im jawbone make activity tracker dy month use charge people get lot cool feature sleep monitor bunch amount feature overcome durability dont care break cant use shower say submerge twist need put wristbr br there nothing turn product lack durability use jawbone doesnt something make theyve lose customer life come overwhelming review durability reliability product wont happen way review product goingbr br suck like work, -0.8518, 2], [button fall piece push button month stuck fell guess useless happy track mileage phone app way bulky year half, 0.9042, 5]]"
B00GRVQ8FC,"[0.9761, -0.4215]","[5, 1]","[[arrive, house, crack, ill, order], [awesome, fit, scratch, fingerprint, quality, brand, receive, item, exchange, honest, unbiased, review]]","[[arrive house crack ill order, 0.9761, 5], [awesome fit scratch fingerprint quality brand receive item exchange honest unbiased review, -0.4215, 1]]"
B00GSD05IU,[-0.765],[2],"[[work, plug, attach, phone, unplug, second, plug, doesnt, work, tundra, follow, plugunplugplug, procedure, update, month, use, metal, piece, end, fall, went, missing, whole, thing, loss]]","[[work plug attach phone unplug second plug doesnt work tundra follow plugunplugplug procedure update month use metal piece end fall went missing whole thing loss, -0.765, 2]]"
B00GT1VSIM,[0.4404],[5],"[[work, stock, battery]]","[[work stock battery, 0.4404, 5]]"
B00HWENIUG,[0.7964],[4],"[[pro, great, speed, screen, nokia, apps, look, goodbr, br, con, slippery, hold, br, wait, see, window, year]]","[[pro great speed screen nokia apps look goodbr br con slippery hold br wait see window year, 0.7964, 4]]"
B00I0JPFX0,"[0.8476, 0.6369]","[4, 5]","[[comfy, headphone, sink, phone, sound, quality]]","[[comfy headphone sink phone sound quality, 0.8476, 4], [, 0.6369, 5]]"
B00I1542A0,[0.5719],[5],"[[perfect, quality, casenothing, say]]","[[perfect quality casenothing say, 0.5719, 5]]"
B00IIC6CPE,[0.7684],[2],"[[think, fit, toyota, tundra, sr, dc, front, speaker, dont, line, door, screw, spot, didnt, work, buy, person, dee, fit, return, didnt, fit]]","[[think fit toyota tundra sr dc front speaker dont line door screw spot didnt work buy person dee fit return didnt fit, 0.7684, 2]]"
B00IMBUAL8,"[0.4215, 0.803, 0.9475, 0.7003]","[4, 5, 5, 5]","[[fit, arrive, super, fast, please, thank], [nice, case], [excellent, case, fit, add, bulk, phone], [think, best, phone, case, purchase, doesnt, show, fingerprint, look, protects, action, nice, accent, line, match, line, htc, phone, problem, case, usb, open, isnt, work, cable]]","[[fit arrive super fast please thank, 0.4215, 4], [nice case, 0.803, 5], [excellent case fit add bulk phone, 0.9475, 5], [think best phone case purchase doesnt show fingerprint look protects action nice accent line match line htc phone problem case usb open isnt work cable, 0.7003, 5]]"
B00IWKJWRC,"[0.9402, 0.5719]","[4, 5]","[[product, appreciate, seller, make, wasnt, look, list, pu, mean, something, feaux, thought, mislead, show, credit, card, mislead, open, card, tight, cant, use, think, card, end, tear, leather, work, fine, love, color, find, purse, problem], [excellent, product, expect]]","[[product appreciate seller make wasnt look list pu mean something feaux thought mislead show credit card mislead open card tight cant use think card end tear leather work fine love color find purse problem, 0.9402, 4], [excellent product expect, 0.5719, 5]]"
B00J1YSIXW,[0.6812],[4],"[[find, good, mount, point, product, clip, slide, bit, settle, attach, outer, edge, passenger, side, door, pocket, grip, want, dobr, br, take, lot, storage, space]]","[[find good mount point product clip slide bit settle attach outer edge passenger side door pocket grip want dobr br take lot storage space, 0.6812, 4]]"
B00J2CG2HC,"[0.9712, 0.9001]","[5, 4]","[[case, awesome, add, size, give, protection, id, recommend, case], [make, fit, htc, mone, put, take, nice, grip, feel]]","[[case awesome add size give protection id recommend case, 0.9712, 5], [make fit htc mone put take nice grip feel, 0.9001, 4]]"
B00J53RDGM,"[0.9325, 0.4215, 0.9118, 0.7399, 0.6597, 0.7684]","[5, 5, 5, 5, 5, 5]","[[fit, sag, edge, corner, grippy, rubber, im, kind, droppy, mcdroperson, case, didnt, use, belt, clip, phone, find, place, clip, accessory, car, sonice], [nice], [perfect, item, perfect, price], [loving, order, case, holder], [case, nice, sturdy, compare, otter, box, great, thanks], [nice, case, make, clip, come, undone]]","[[fit sag edge corner grippy rubber im kind droppy mcdroperson case didnt use belt clip phone find place clip accessory car sonice, 0.9325, 5], [nice, 0.4215, 5], [perfect item perfect price, 0.9118, 5], [loving order case holder, 0.7399, 5], [case nice sturdy compare otter box great thanks, 0.6597, 5], [nice case make clip come undone, 0.7684, 5]]"
B00JGI8NJM,[0.2382],[4],"[[case, fell, apart, couple, month, diamond, come, rubber, part, case, start, rip]]","[[case fell apart couple month diamond come rubber part case start rip, 0.2382, 4]]"
B00JH7SVLM,[0.3612],[3],"[[reaceived, promise, purchase, june, quit, work]]","[[reaceived promise purchase june quit work, 0.3612, 3]]"
B00JLQ2OJE,[0.0],[5],[[work]],"[[work, 0.0, 5]]"
B00JOEC19Q,[0.5927],[3],"[[come, product]]","[[come product, 0.5927, 3]]"
B00JPNSDSE,[0.4005],[1],"[[excite, get, week, camo, come, im, leave, spot]]","[[excite get week camo come im leave spot, 0.4005, 1]]"
B00JQ8MCFI,[0.4404],[4],"[[use, watch, price]]","[[use watch price, 0.4404, 4]]"
B00JR3WYR8,[0.5859],[5],"[[work, expect, price, amazing]]","[[work expect price amazing, 0.5859, 5]]"
B00JS89D1C,[0.7845],[5],"[[get, boy, friend, love]]","[[get boy friend love, 0.7845, 5]]"
B00K1H667I,"[-0.1272, -0.7262]","[1, 1]","[[happy, camper, screen, protector, resist, fingerprint, unhappy], [disappoint, product, screen, protector, suppose, fit, phone, end, cut, side, mention, none, precut, hole, line, end, use, got, size, suppose, look, decent]]","[[happy camper screen protector resist fingerprint unhappy, -0.1272, 1], [disappoint product screen protector suppose fit phone end cut side mention none precut hole line end use got size suppose look decent, -0.7262, 1]]"
B00KDFXAZO,"[0.8979, 0.624]","[5, 5]","[[recommend, case, mine, look, feel, greet, phone], [fit, phone, feel, back, come, phone]]","[[recommend case mine look feel greet phone, 0.8979, 5], [fit phone feel back come phone, 0.624, 5]]"
B00KPXTLLG,"[0.6486, -0.0297]","[3, 2]","[[decent, product, plastic, piece, top, fall, case, decent, product, money], [concept, clasp, fall, time, use, recommend, reason]]","[[decent product plastic piece top fall case decent product money, 0.6486, 3], [concept clasp fall time use recommend reason, -0.0297, 2]]"
B00KUG5QK8,[0.3437],[3],"[[press, bottons, cut, underneath, button, closest, make, better]]","[[press bottons cut underneath button closest make better, 0.3437, 3]]"
B00LABLXBS,[-0.2755],[1],"[[didnt, fit, phone]]","[[didnt fit phone, -0.2755, 1]]"
B00LALNUD2,[0.0302],[1],"[[buy, price, look, however, case, keep, power, button, phone, keep, restart, result, worth, return, money, material, okay, neat, give, power, button, pressure]]","[[buy price look however case keep power button phone keep restart result worth return money material okay neat give power button pressure, 0.0302, 1]]"
B00LL6B30I,"[0.6249, -0.4019, 0.0, 0.9524, -0.6884, 0.6249, 0.7535, 0.9343, 0.727, -0.5216, 0.8266, -0.2373, 0.7713, 0.8294, 0.5106]","[5, 3, 2, 3, 1, 5, 4, 5, 5, 2, 5, 5, 4, 3, 4]","[[drop, phone, couple, time, screen, protector, crack, onefall, think, help, stay, protect, get, ask, get], [love, love, look, case, slim, smooth, slippery, silicon, rubber, case, slip, pocket, purse, case, doesnt, provide, adequate, protection, phone, get, screen, protector, use, temper, glass, screen, protector, switch, bulky, case, summer, im, water, boat, lot, excite, switch, sleek, case], [make, phone], [case, awesome, drop, phone, multiple, time, nothing, happen], [mix, review, case, love, case, fit, phone, protect, phone, fall, encounter, fail], [case, provide, protection, issue, doesnt, click, part, start, slide, rare, occasion, worth, price, pay], [piece, volume, button, break, month, seem, feature, flaw, manufacture, come, solution, stop, sell, something, br, think, case, ok, drop, phone, time, help, protect, cracking, break, feel, use, case, say, help, protectbr, br, color, gold, complement, ability, easily, inner, insert, help, keep, think, case], [wasnt, impress, weight, case, phone, im, protection, worth, risk, go], [case, nice, color, slickslips, hand, lot], [work, fine, daughter], [case, need, make, sure, read, detail, case, fit, iphone], [case, protect, phone, ive, month, case, scratch, drop, phone, screen, button, shatter, disappoint], [case, broke, time, drop], [product, phone, doesnt, slip, drop, face, tile, nothing, happen, recommend]]","[[drop phone couple time screen protector crack onefall think help stay protect get ask get, 0.6249, 5], [love love look case slim smooth slippery silicon rubber case slip pocket purse case doesnt provide adequate protection phone get screen protector use temper glass screen protector switch bulky case summer im water boat lot excite switch sleek case, -0.4019, 3], [make phone, 0.0, 2], [case awesome drop phone multiple time nothing happen, 0.9524, 3], [mix review case love case fit phone protect phone fall encounter fail, -0.6884, 1], [case provide protection issue doesnt click part start slide rare occasion worth price pay, 0.6249, 5], [piece volume button break month seem feature flaw manufacture come solution stop sell something br think case ok drop phone time help protect cracking break feel use case say help protectbr br color gold complement ability easily inner insert help keep think case, 0.7535, 4], [wasnt impress weight case phone im protection worth risk go, 0.9343, 5], [case nice color slickslips hand lot, 0.727, 5], [work fine daughter, -0.5216, 2], [case need make sure read detail case fit iphone, 0.8266, 5], [case protect phone ive month case scratch drop phone screen button shatter disappoint, -0.2373, 5], [case broke time drop, 0.7713, 4], [product phone doesnt slip drop face tile nothing happen recommend, 0.8294, 3], [, 0.5106, 4]]"
B00LNLCK9O,[0.0285],[2],"[[fit, phone, fine, get, didnt, cleaning, cloth, ]]","[[fit phone fine get didnt cleaning cloth , 0.0285, 2]]"
B00LPBDYQ0,[0.0],[5],[[look]],"[[look, 0.0, 5]]"
B00LULSXM0,[0.0],[2],"[[nothing, lighter, plug, griffin, charger, instal]]","[[nothing lighter plug griffin charger instal, 0.0, 2]]"
B00M8YK13M,"[0.9273, -0.3197]","[5, 5]","[[order, case, company, wallet, case, price, difference, night, day, case, slick, sturdy, look, cheap, plasticy, handle, feel, sturdy, opening, inside, cheap, rip, case, feel, happy], [glad, rid, wallet, case, take, abuse, dropping, phone, save, phone, damage]]","[[order case company wallet case price difference night day case slick sturdy look cheap plasticy handle feel sturdy opening inside cheap rip case feel happy, 0.9273, 5], [glad rid wallet case take abuse dropping phone save phone damage, -0.3197, 5]]"
B00MBTSSEI,"[0.0, 0.5719]","[5, 5]","[[excellent, product, seller], [switch, got, replacement, phone, total, extras, get, rid, phone, keep, get, scratch, thats, picture]]","[[excellent product seller, 0.0, 5], [switch got replacement phone total extras get rid phone keep get scratch thats picture, 0.5719, 5]]"
B00MV77G7A,[0.7751],[5],"[[love, case, couldnt, count, time, ive, drop, phone, case, problem]]","[[love case couldnt count time ive drop phone case problem, 0.7751, 5]]"
B00MW9F160,"[0.4404, 0.687]","[3, 2]","[[review, websites, excite, promise, install, phone, sit, inch, bar, didnt, road, speed, bump, mount, separate, base, mount, phone, go, fly, seller, statement, phone, come, disappoint, trust, product, sent], [design, execute, gripper, mechanism, work]]","[[review websites excite promise install phone sit inch bar didnt road speed bump mount separate base mount phone go fly seller statement phone come disappoint trust product sent, 0.4404, 3], [design execute gripper mechanism work, 0.687, 2]]"
