B001AY18U6,"[0.296, 0.7574, 0.5719, 0.0]","[5, 5, 5, 5]","[[happy, fit], [perfect, need], [ok], [hubby, beat, keep, work]]","[[happy fit, 0.296, 5], [perfect need, 0.7574, 5], [ok, 0.5719, 5], [hubby beat keep work, 0.0, 5]]"
B00AE1MUHG,"[0.9885, 0.8126, 0.8476, 0.0772]","[5, 4, 4, 1]","[[fit, real, tight, ounce, lace, work], [title, bring, tear, glory, compare, review, say, process, order, lose, hand, usps, refund, went, order, behold, make, advertise, day, amazon, delivery, item, show, day, happy, darn, thing, alcantara, wheel, look, falling, apart, wheel, cover, fold, ziplock, type, bag, find, time, install, baby, waitno, string, found, get, customer, service, king, let, say, buy, string, oh, needle, receive, eitherbr, br, install, place, m, wheel, take, hulk, strength, gentleness, mother, touch, got, thing, slip, crazy, angle, easy, try, darn, thing, take, note, stitch, go, connects, wheel, choose, try, get, stitch, close, bottom, centerline, wheel, easy, sucessful, moment, come, tearing, thing, take, time, wow, difficult, feat, thread, opt, find, recommend, thread, amazon, sell, joanns, course, double, thread, length, arm, extend, start, time, sew, anything, bit, task, thing, go, time, went, total, install, hour, split, install, piece, side, bottom, split, top, portion, section, watch, youtube, video, get, hang, problem, try, get, stitch, closetight, rip, thread, insert, thread, get, glad, spent, money, time, wheel, look, nice, feel, greate, problem, try, get, stitch, closetight, rip, thread, insert, thread, get, glad, spent, money, time, wheel, look, nice, feel], [receive, thread, material, control, lose, interest], [steer, wheel, cover, feel, driving, buy, steer, wheel, get, year, usage, reason, dont, give, star, sew, string, isnt, thing, steer, wheel, look, feel, update, cover, start, peel, couple, month, use, black, gray, make, replace, cover]]","[[fit real tight ounce lace work, 0.9885, 5], [title bring tear glory compare review say process order lose hand usps refund went order behold make advertise day amazon delivery item show day happy darn thing alcantara wheel look falling apart wheel cover fold ziplock type bag find time install baby waitno string found get customer service king let say buy string oh needle receive eitherbr br install place m wheel take hulk strength gentleness mother touch got thing slip crazy angle easy try darn thing take note stitch go connects wheel choose try get stitch close bottom centerline wheel easy sucessful moment come tearing thing take time wow difficult feat thread opt find recommend thread amazon sell joanns course double thread length arm extend start time sew anything bit task thing go time went total install hour split install piece side bottom split top portion section watch youtube video get hang problem try get stitch closetight rip thread insert thread get glad spent money time wheel look nice feel greate problem try get stitch closetight rip thread insert thread get glad spent money time wheel look nice feel, 0.8126, 4], [receive thread material control lose interest, 0.8476, 4], [steer wheel cover feel driving buy steer wheel get year usage reason dont give star sew string isnt thing steer wheel look feel update cover start peel couple month use black gray make replace cover, 0.0772, 1]]"
B00AG6U4R2,[0.8225],[5],"[[spec, case, kid, ipod, iphones, speck, slim, protects, drop]]","[[spec case kid ipod iphones speck slim protects drop, 0.8225, 5]]"
B00APFQ5VS,"[0.144, 0.5719, 0.6369, 0.6249, 0.4404, 0.875, 0.9777]","[5, 5, 5, 4, 5, 5, 5]","[[love, picture, work], [work, great], [product, come, handy, reccommend], [precision, quality, item, way, light, let, charge, fact, flashlight, bonusbr, work, recommend, family, friend, order, wife, future, family, great, christmas, gift, work, product, keep, work, jim, jeffries], [excellent, seller, product], [buy, kid, work, complains]]","[[love picture work, 0.144, 5], [work great, 0.5719, 5], [product come handy reccommend, 0.6369, 5], [precision quality item way light let charge fact flashlight bonusbr work recommend family friend order wife future family great christmas gift work product keep work jim jeffries, 0.6249, 4], [excellent seller product, 0.4404, 5], [buy kid work complains, 0.875, 5], [, 0.9777, 5]]"
B00B155G5M,[0.5719],[4],"[[work, perfect]]","[[work perfect, 0.5719, 4]]"
B00BWZ7EPG,[0.4201],[4],"[[dark, black]]","[[dark black, 0.4201, 4]]"
B00BXX0QVQ,"[0.6946, 0.926, 0.8519, 0.7783, 0.9683, 0.9134, 0.9013, 0.7574, 0.4215]","[5, 5, 4, 5, 5, 5, 5, 5, 4]","[[nice, love, setting, loose, older, kindle, fit, nice, snug, cover, kindle, make, kindle, paperwhite, husband, read, kindle, great], [handy, book, ipad, way, disturb, anyone, great, camp, use, bed, dad, saw, mine, like, get], [day, vision, eye, drop, reading, print, love, kindle, want, spend, extra, money, book, whitebr, find, reader, amazon, read, review, product, weight, fit, lightbr, adjust, page, turn, bright, circumstance, product, make, life], [reading, light, arrive, sooner, expect, work, fine, read, review, say, didnt, find, setting, provide, light, im, concern, expense, battery, problem, see, wand, bent, angle, good], [expect, brighti, happy, product], [brightness, level, use, kindle, regular, book], [light, fit, bit, loose, kindle, stay, put, highlow, brightness, adjuster], [nice, lead, bit, heavy], [fit, work]]","[[nice love setting loose older kindle fit nice snug cover kindle make kindle paperwhite husband read kindle great, 0.6946, 5], [handy book ipad way disturb anyone great camp use bed dad saw mine like get, 0.926, 5], [day vision eye drop reading print love kindle want spend extra money book whitebr find reader amazon read review product weight fit lightbr adjust page turn bright circumstance product make life, 0.8519, 4], [reading light arrive sooner expect work fine read review say didnt find setting provide light im concern expense battery problem see wand bent angle good, 0.7783, 5], [expect brighti happy product, 0.9683, 5], [brightness level use kindle regular book, 0.9134, 5], [light fit bit loose kindle stay put highlow brightness adjuster, 0.9013, 5], [nice lead bit heavy, 0.7574, 5], [fit work, 0.4215, 4]]"
B00C2THW3A,[0.6674],[5],"[[need, replace, case, iphone, didnt, want, spend, bunch, money, upgrading, phone, month, case, price, fit, phone, quality, good, price]]","[[need replace case iphone didnt want spend bunch money upgrading phone month case price fit phone quality good price, 0.6674, 5]]"
B00C8ZV0EK,[0.0],[5],[[aaa]],"[[aaa, 0.0, 5]]"
B00CMJJV4I,[0.2023],[5],"[[product, provider]]","[[product provider, 0.2023, 5]]"
B00D99N94S,[0.4404],[4],[[product]],"[[product, 0.4404, 4]]"
B00DDYAXNO,[0.707],[5],"[[quick, delivery, satisfy, thank]]","[[quick delivery satisfy thank, 0.707, 5]]"
B00DH23CEY,[-0.25],[1],"[[picture, sticker, picture, stuck, cheap, case, case, month, crack, drop, phone]]","[[picture sticker picture stuck cheap case case month crack drop phone, -0.25, 1]]"
B00DHAR94K,"[0.7783, 0.4019]","[5, 5]","[[nifty, sturdy, case], [value, fast, shipping, case, feelkick, stand, quality, reflects, price]]","[[nifty sturdy case, 0.7783, 5], [value fast shipping case feelkick stand quality reflects price, 0.4019, 5]]"
B00DN0QDQ4,"[0.3612, 0.5994]","[1, 5]","[[feel, cheap, item, work], [love]]","[[feel cheap item work, 0.3612, 1], [love, 0.5994, 5]]"
B00DUI2X8Q,[0.4754],[4],"[[case, come, girl, like, case, price]]","[[case come girl like case price, 0.4754, 4]]"
B00DW1K35G,[0.9186],[5],"[[nice, look, pretty, see, orange, bandbr, work, great]]","[[nice look pretty see orange bandbr work great, 0.9186, 5]]"
B00DXKUT46,[0.4215],[4],[[nice]],"[[nice, 0.4215, 4]]"
B00DZ7TNG2,[0.6249],[5],"[[get, look]]","[[get look, 0.6249, 5]]"
B00E3X55DM,[0.765],[5],"[[wife, phone, love, fit, look]]","[[wife phone love fit look, 0.765, 5]]"
B00E9IKYKK,[0.6249],[5],[[protection]],"[[protection, 0.6249, 5]]"
B00EGFBD9C,[0.9648],[5],"[[product, need, carry, phone, front, pocket, slack, clip, pocket, work, offer, protection, comfort, chance, snag, bumping, phone, anything, case, construction, grip, fit, excellent, opinion, slide, thing, prop, phone, use, interest, stay, latch, waybr, nice, quality, product, price, shipping, immediate]]","[[product need carry phone front pocket slack clip pocket work offer protection comfort chance snag bumping phone anything case construction grip fit excellent opinion slide thing prop phone use interest stay latch waybr nice quality product price shipping immediate, 0.9648, 5]]"
B00EZHZVGM,"[0.7351, -0.3818]","[2, 1]","[[poor, quality, love, look, price, st, nd, time, drop, corner, break, phone, undamaged, clumsy], [guess, cost, complainmurmur, apiece, junk, indie, follow, adage, get, pay]]","[[poor quality love look price st nd time drop corner break phone undamaged clumsy, 0.7351, 2], [guess cost complainmurmur apiece junk indie follow adage get pay, -0.3818, 1]]"
B00F6FJTA6,[0.34],[5],"[[case, come, apart, change, mbattery]]","[[case come apart change mbattery, 0.34, 5]]"
B00F9IBB2O,[0.296],[3],[[ok]],"[[ok, 0.296, 3]]"
B00FB2BCG8,[0.0],[5],"[[couldnt, belive, charge]]","[[couldnt belive charge, 0.0, 5]]"
B00FEQ1RHK,"[0.7783, 0.4754]","[4, 5]","[[nice, buy], [work, great, say, wish, silicone, case]]","[[nice buy, 0.7783, 4], [work great say wish silicone case, 0.4754, 5]]"
B00FTL9542,[0.0],[1],"[[doesnt, work, home, phone]]","[[doesnt work home phone, 0.0, 1]]"
B00FXWGRHU,"[0.8074, 0.868, 0.8809, -0.5267, 0.7876, -0.7788, 0.4404]","[5, 5, 3, 1, 3, 4, 4]","[[charge, use, quit, work, send, bummer], [cool, concept, take, charge, sun, left, sun, month, charge, charge, go, make, charger], [battery, heavy, side, backpack, job, charger, glad, bring, day, trip, keep, camera, iphone, c, charge, please, note, solar, cell, charge, expect, cell, charge, discharge, apollo, take, day, recharge], [work, battery, allow, charge, night, time, light, charger, product, battery, top, builtin, solar, panel, solar, chargerbr, br, charge, battery, use, solar, power, take, time, half, charge, take, day, sunlight, product, intend, wall, outlet, possiblebr, br, manage, put, chip, solar, panel, surface, seem, affect, performancebr, br, include, carabiner, convenient, good, quality, latch, mechanism, broke, week, use], [device, charge, phone, perfect, recharge, smartphone, camera, wilderness, area, day, compact, recommend], [work, forest, festival, come, handy]]","[[charge use quit work send bummer, 0.8074, 5], [cool concept take charge sun left sun month charge charge go make charger, 0.868, 5], [battery heavy side backpack job charger glad bring day trip keep camera iphone c charge please note solar cell charge expect cell charge discharge apollo take day recharge, 0.8809, 3], [work battery allow charge night time light charger product battery top builtin solar panel solar chargerbr br charge battery use solar power take time half charge take day sunlight product intend wall outlet possiblebr br manage put chip solar panel surface seem affect performancebr br include carabiner convenient good quality latch mechanism broke week use, -0.5267, 1], [device charge phone perfect recharge smartphone camera wilderness area day compact recommend, 0.7876, 3], [work forest festival come handy, -0.7788, 4], [, 0.4404, 4]]"
B00G1SVAKE,[0.6269],[5],"[[shippingand, ]]","[[shippingand , 0.6269, 5]]"
B00G6WDYPO,"[-0.0909, 0.9875, 0.4927, 0.9524, 0.7351, 0.6369, 0.3612, 0.9432, 0.8173, 0.4404, 0.99, 0.9153]","[5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5]","[[yes, case, worth, penny], [wish, day, buy, iphone, bevel, protects, screen, impede, function, view, bit, bulky, notice, size, handle, iphone, cover, port, cover, charger, headphone, etc, bit, annoy, id], [back, plate, cheap, entire, case, cheap, china, junk, wake, america, make, way, well, stuff, pay, extra, money, quality, usa, product], [let, explain, delimma, shockproof, dust, phone, case, sound, fo, ra, phone, work, lot, wood, shop, building, tiny, house, weekend, bumper, type, case, case, inner, layer, surround, layer, kind, otter, defender, bulky, stylish, doesnt, want, phone, look, mm, pieceof, sent, backplate, protects, phone, defender, get, inner, layer, provides, protection, apt, say, part, case, look, stylish, thick, great, protection, hole, home, button, touch, id, work, port, cover, cover, thing, cant, get, call, quality, fine, thing, test, recommend, phone, time, case, ive, break, case, fact, phone, fine, im, tall, guy, im, ive, drop, standing, try, catch, knock, room, floor, phone, fine, love, ], [buy, replace, spigen, neo, hybrid, ex, slim, well, product], [case, receive, case, yesterday, happier, case, look, business, occasion, protector, doesnt, clear, worth, pay, case, well, well, case, less, money, great, deal], [hand, best, case, ever], [case, lightweight, get, lot, compliment, friend, case], [buy, case, iphone, couldnt, ask, well, case, protects, phone, kenwood, fraction, cost, plate, want, change, look, match, outfit, something, great, buy], [craft, deal, superb, use, water, tight, seal, beat, price, slick, design, save, protect, phone], [item, design, instal]]","[[yes case worth penny, -0.0909, 5], [wish day buy iphone bevel protects screen impede function view bit bulky notice size handle iphone cover port cover charger headphone etc bit annoy id, 0.9875, 5], [back plate cheap entire case cheap china junk wake america make way well stuff pay extra money quality usa product, 0.4927, 5], [let explain delimma shockproof dust phone case sound fo ra phone work lot wood shop building tiny house weekend bumper type case case inner layer surround layer kind otter defender bulky stylish doesnt want phone look mm pieceof sent backplate protects phone defender get inner layer provides protection apt say part case look stylish thick great protection hole home button touch id work port cover cover thing cant get call quality fine thing test recommend phone time case ive break case fact phone fine im tall guy im ive drop standing try catch knock room floor phone fine love , 0.9524, 5], [buy replace spigen neo hybrid ex slim well product, 0.7351, 5], [case receive case yesterday happier case look business occasion protector doesnt clear worth pay case well well case less money great deal, 0.6369, 5], [hand best case ever, 0.3612, 1], [case lightweight get lot compliment friend case, 0.9432, 5], [buy case iphone couldnt ask well case protects phone kenwood fraction cost plate want change look match outfit something great buy, 0.8173, 5], [craft deal superb use water tight seal beat price slick design save protect phone, 0.4404, 5], [item design instal, 0.99, 5], [, 0.9153, 5]]"
B00GB2I95E,[-0.2755],[1],"[[case, fit, phone]]","[[case fit phone, -0.2755, 1]]"
B00GBFQW46,[0.0],[5],"[[perfectbattery, last, day]]","[[perfectbattery last day, 0.0, 5]]"
B00GGL5XBI,[0.7902],[4],"[[buy, year, look, wouldnt, buy, white, stain, coat, peeling, month, use, black, look, feel, year]]","[[buy year look wouldnt buy white stain coat peeling month use black look feel year, 0.7902, 4]]"
B00GMKJIGO,[-0.0516],[3],"[[break, month, use, look]]","[[break month use look, -0.0516, 3]]"
B00GOYWO78,[0.7401],[4],"[[fake, come, samsung, fit, kit, come, note, driver, bud, sound, stock, earbud, put, apple, earbuds, shame, course, buy, better, one, price, youll, spend, top, sound, youll, get]]","[[fake come samsung fit kit come note driver bud sound stock earbud put apple earbuds shame course buy better one price youll spend top sound youll get, 0.7401, 4]]"
B00GPUG55S,[-0.9367],[1],"[[crap, box, nd, version, phone, ive, month, different, seller, im, casio, issue, seller, issue, there, something, speaker, didnt, work, call, quality, awful, key, go, hour, possession, reset, didnt, help, im, go, droid, figure, something]]","[[crap box nd version phone ive month different seller im casio issue seller issue there something speaker didnt work call quality awful key go hour possession reset didnt help im go droid figure something, -0.9367, 1]]"
B00GUBK95O,[0.0],[5],"[[perfectand, receive]]","[[perfectand receive, 0.0, 5]]"
B00GUPPGSA,"[0.4404, 0.5499, 0.4201, 0.576, 0.8999, 0.5719, 0.6486, -0.4564]","[4, 4, 5, 4, 5, 5, 5, 2]","[[instruction, hence, star], [fit, car, perfect, hold, ipad], [make, road, trip, thing, headphone, dont, listen, doc, mcstuffins, ipad, otter, box, case, fit, nice, snug], [weve, purchase, tablet, mount, none, felt, sturdy, wish, purchase, sooner], [perfect, child], [life, saver, road, trip, recommend, product], [lifesaver, car, trip, fit, ipad, otterbox, case, mount, passenger, seat, pop, set, show, kid, pop, adjust, captain, chair, see, back, row, van, side, car, see, hear, time, tension, readjust, tighten, device, attach, headrest, home, dont, notice, sit, seat], [make, lot, noise, vehicle, car, problem, serve, purpose, suppose]]","[[instruction hence star, 0.4404, 4], [fit car perfect hold ipad, 0.5499, 4], [make road trip thing headphone dont listen doc mcstuffins ipad otter box case fit nice snug, 0.4201, 5], [weve purchase tablet mount none felt sturdy wish purchase sooner, 0.576, 4], [perfect child, 0.8999, 5], [life saver road trip recommend product, 0.5719, 5], [lifesaver car trip fit ipad otterbox case mount passenger seat pop set show kid pop adjust captain chair see back row van side car see hear time tension readjust tighten device attach headrest home dont notice sit seat, 0.6486, 5], [make lot noise vehicle car problem serve purpose suppose, -0.4564, 2]]"
B00GVHZ646,[0.6369],[5],[[case]],"[[case, 0.6369, 5]]"
B00GWYKTCW,"[0.0, 0.9774]","[2, 5]","[[updatebr, charge, get, battery, response, charge, recharge, spare, grant, usage, vary, charge, second, excellent, product, recommendedbr, br, br, br, case, excellent, product, give, star, recharge, phone, use, use, charge, case, charge, phone, grant, convince, iphone, battery, br, love, design, work, every, setting, fact, detach, batter, simple, slim, case, outstanding, worth, money, anyone, battery, issue, phone, wait, iphone, great, product, let, face, iphones, time, iphone, last, year, phone, use, use, work, yard, work, glorify, remote, control, apple, tv], [suppose, orange, black, cover, receive, cover]]","[[updatebr charge get battery response charge recharge spare grant usage vary charge second excellent product recommendedbr br br br case excellent product give star recharge phone use use charge case charge phone grant convince iphone battery br love design work every setting fact detach batter simple slim case outstanding worth money anyone battery issue phone wait iphone great product let face iphones time iphone last year phone use use work yard work glorify remote control apple tv, 0.0, 2], [suppose orange black cover receive cover, 0.9774, 5]]"
B00HAVQFMO,[0.5719],[5],[[perfect]],"[[perfect, 0.5719, 5]]"
B00HNX8KNQ,[0.4404],[5],"[[sounding, radio, golf, cart, bluetooth]]","[[sounding radio golf cart bluetooth, 0.4404, 5]]"
B00I0D84HA,[0.4833],[5],"[[base, review, sure, product, glad, make, purchase, case, look, make]]","[[base review sure product glad make purchase case look make, 0.4833, 5]]"
B00I0QJAC0,[0.6249],[4],"[[product, advertise, merchant]]","[[product advertise merchant, 0.6249, 4]]"
B00I11VYU0,[-0.4019],[1],"[[phone, case, make, broke, month, buy]]","[[phone case make broke month buy, -0.4019, 1]]"
B00I9K3ZQ4,"[-0.296, 0.4404, 0.8155]","[4, 5, 5]","[[stop, work], [charge, sumsung, phone, work], [seems, solid, manufacture, thicker, type, cable, use, couple, week]]","[[stop work, -0.296, 4], [charge sumsung phone work, 0.4404, 5], [seems solid manufacture thicker type cable use couple week, 0.8155, 5]]"
B00IJ68BPS,"[0.8834, 0.2382]","[5, 2]","[[want], [walking, hold, phone, hand]]","[[want, 0.8834, 5], [walking hold phone hand, 0.2382, 2]]"
B00IMJQ1LI,"[0.8979, 0.8869]","[5, 4]","[[purchase, case, buy, frost, case, company, didnt, product, turn, side, phone, side, research, find, got, mail, today, love, look, want, look, enhance, look, iphone, frost, color, help, come, avoid, scratch, allow, phone, show, clearlybr, br, thing, say, look, bumper, isnt, case, come, phone, come, fell], [nice, case, perfect, fit, good, quality, work, expect, audiocharging, port, volumepower, button]]","[[purchase case buy frost case company didnt product turn side phone side research find got mail today love look want look enhance look iphone frost color help come avoid scratch allow phone show clearlybr br thing say look bumper isnt case come phone come fell, 0.8979, 5], [nice case perfect fit good quality work expect audiocharging port volumepower button, 0.8869, 4]]"
B00IPGVYKG,[0.0],[1],[[think]],"[[think, 0.0, 1]]"
B00IUNHRBY,"[0.4201, 0.6249]","[5, 5]","[[exceed, expectation, recommend]]","[[exceed expectation recommend, 0.4201, 5], [, 0.6249, 5]]"
B00IWYDH1K,[0.4404],[5],"[[need, spend, screen, protector]]","[[need spend screen protector, 0.4404, 5]]"
B00J86467A,[-0.4215],[1],"[[broke, month]]","[[broke month, -0.4215, 1]]"
B00JA8YGWG,"[0.296, -0.5423, 0.8979, -0.5812, 0.0]","[3, 2, 4, 2, 1]","[[product, great, price, give, gift, love], [ok, loud], [awfuldidnt, work], [worth, money, poor]]","[[product great price give gift love, 0.296, 3], [ok loud, -0.5423, 2], [awfuldidnt work, 0.8979, 4], [worth money poor, -0.5812, 2], [, 0.0, 1]]"
B00JCW8D38,"[0.836, 0.3679]","[5, 4]","[[holster, plastic, bit, well, quality, expect, work, design, see, fall, apart, us], [work, perfect, ride]]","[[holster plastic bit well quality expect work design see fall apart us, 0.836, 5], [work perfect ride, 0.3679, 4]]"
B00JFUDI1Y,[0.4471],[5],"[[phone, problem, toss, dropping, pelt, thing, im, foolhardy, work, charm]]","[[phone problem toss dropping pelt thing im foolhardy work charm, 0.4471, 5]]"
B00K2MWCZM,[0.6369],[3],"[[look, nd, purchase, fell, apart, use, month]]","[[look nd purchase fell apart use month, 0.6369, 3]]"
B00KA6ZF2M,"[0.908, 0.9426]","[5, 4]","[[piece, look, state, black, rubber, part, doesnt, fit, id, look, isnt, bulky, mebr, br, recommend, case, friend], [provides, great, grip, look, deal, money, arrive, order, place]]","[[piece look state black rubber part doesnt fit id look isnt bulky mebr br recommend case friend, 0.908, 5], [provides great grip look deal money arrive order place, 0.9426, 4]]"
B00KCSG3OC,[0.0],[1],"[[take, charge, get]]","[[take charge get, 0.0, 1]]"
B00KWL3428,[0.4215],[5],[[nice]],"[[nice, 0.4215, 5]]"
B00LA80542,[0.4404],[3],"[[end, return, port, werent, work, work, getting, anker, charger, thats]]","[[end return port werent work work getting anker charger thats, 0.4404, 3]]"
B00LFX3MHE,[0.2732],[1],"[[work, battery, replace, hour, charge, ripoff]]","[[work battery replace hour charge ripoff, 0.2732, 1]]"
B00LHBSYFO,"[0.0, 0.0, 0.0, -0.068]","[5, 1, 1, 5]","[[edit, review, give, product, star, charge, fast, recieved, port, charger, work, felt, piece, worth, headache, send, side, work, charging, good, buck, pay, company, read, review, reach, apologize, product, advise, return, theyll, refund, exchange, want, fast, charge, price, exchange, quick, add, get, work, send, oh, transaction, cost, nothing, im, happy], [light, charge], [light, doesnt, charge, phone, car, corolla, cigarette, lighter]]","[[edit review give product star charge fast recieved port charger work felt piece worth headache send side work charging good buck pay company read review reach apologize product advise return theyll refund exchange want fast charge price exchange quick add get work send oh transaction cost nothing im happy, 0.0, 5], [light charge, 0.0, 1], [light doesnt charge phone car corolla cigarette lighter, 0.0, 1], [, -0.068, 5]]"
B00LIXER7A,[0.3612],[1],"[[expectation, product, print, feel, break, didnt, return, cost, pay]]","[[expectation product print feel break didnt return cost pay, 0.3612, 1]]"
B00LUBF9S6,[0.0],[5],"[[product, come, fit, g, bulk, phone, protector]]","[[product come fit g bulk phone protector, 0.0, 5]]"
B00LVO1S64,"[0.0, 0.0, 0.6369, 0.935]","[5, 3, 4, 4]","[[look, cheap], [case, always, get, compliment, protective, case, case, rubber, title, say, case, cover, side, bottom, overall, case, price, shipping, arrive, week], [describe], [quote]]","[[look cheap, 0.0, 5], [case always get compliment protective case case rubber title say case cover side bottom overall case price shipping arrive week, 0.0, 3], [describe, 0.6369, 4], [quote, 0.935, 4]]"
B00M7SGF5W,[0.6407],[4],"[[bang, wont, regret, get, amp]]","[[bang wont regret get amp, 0.6407, 4]]"
B00MA05H6U,"[0.5719, 0.0, 0.5994]","[5, 1, 4]","[[random, package, recieved, contain, black], [simple, cheap, son, love], [perfect]]","[[random package recieved contain black, 0.5719, 5], [simple cheap son love, 0.0, 1], [perfect, 0.5994, 4]]"
B00MG2WOSG,[-0.4215],[2],"[[broke, use]]","[[broke use, -0.4215, 2]]"
B00MG2WOTU,[0.5719],[5],"[[excellent, cell, phone, charger]]","[[excellent cell phone charger, 0.5719, 5]]"
B00MO315UK,[-0.7881],[3],"[[nice, case, receive, stretch, look, phone, get]]","[[nice case receive stretch look phone get, -0.7881, 3]]"
B00MOC2SDY,"[0.2887, 0.0531, 0.1027, 0.4754, 0.0, 0.4404]","[5, 5, 5, 5, 5, 3]","[[convenient], [charge, phone, charger, go, charge, hour, drive], [product], [iphone, come, charger, car, iphone, battery, run, need, something, use, travel, work, sure, nice, dig, wire, hook, leave, always, handy], [need, road, trip, everyone, charge, phone, product, work, charge, overheat, like, label, product, show, charge, number, phone, tablet, overall, im, please, product]]","[[convenient, 0.2887, 5], [charge phone charger go charge hour drive, 0.0531, 5], [product, 0.1027, 5], [iphone come charger car iphone battery run need something use travel work sure nice dig wire hook leave always handy, 0.4754, 5], [need road trip everyone charge phone product work charge overheat like label product show charge number phone tablet overall im please product, 0.0, 5], [, 0.4404, 3]]"
B00MQSIUN8,"[-0.5229, 0.6249, 0.6369]","[2, 5, 5]","[[thing], [like, quality, use, week, broke]]","[[thing, -0.5229, 2], [like quality use week broke, 0.6249, 5], [, 0.6369, 5]]"
B00MUQ9M2E,[0.9224],[5],"[[case, fit, get, seem, case, recommend, thanks]]","[[case fit get seem case recommend thanks, 0.9224, 5]]"
