B0002BG6QY,[0.0],[3],"[[work, polk, db, speaker]]","[[work polk db speaker, 0.0, 3]]"
B004Z9DZE0,[-0.1027],[2],"[[return, phone, didnt, work, screen, protector, cant, use, pay, postage, get, money, backhassle]]","[[return phone didnt work screen protector cant use pay postage get money backhassle, -0.1027, 2]]"
B005QBBX86,[0.0],[5],[[bien]],"[[bien, 0.0, 5]]"
B006M5P9HQ,[-0.6418],[1],"[[difficult, put, screen, protector, stuck, bubble, use]]","[[difficult put screen protector stuck bubble use, -0.6418, 1]]"
B007N0RAYY,[0.6249],[5],"[[itemquick, shipment]]","[[itemquick shipment, 0.6249, 5]]"
B007OSGDCK,[0.4215],[1],"[[nice, throw, item]]","[[nice throw item, 0.4215, 1]]"
B00829O9C6,[0.296],[3],[[ok]],"[[ok, 0.296, 3]]"
B0085JBM2I,[0.0],[1],"[[purchase, believe]]","[[purchase believe, 0.0, 1]]"
B0089Z8Y4M,[0.6908],[4],"[[nice, look, headset, say, doesnt, volume, control, instruction, point, havebr, headset]]","[[nice look headset say doesnt volume control instruction point havebr headset, 0.6908, 4]]"
B008CAIG4M,[0.4404],[3],"[[case, couple, month, crack, thing, wasnt]]","[[case couple month crack thing wasnt, 0.4404, 3]]"
B009333D0O,[-0.2057],[2],"[[bulky, didnt, hold]]","[[bulky didnt hold, -0.2057, 2]]"
B0094JGSIQ,"[-0.4767, 0.0, 0.0]","[1, 1, 1]","[[get, phone], [bank], [wont, hold, charge]]","[[get phone, -0.4767, 1], [bank, 0.0, 1], [wont hold charge, 0.0, 1]]"
B00999HUAQ,[0.8448],[3],"[[keep, phone, couldnt, get, iphone, take, photo, one, come, werent, want, keep, phone, item, sand, work]]","[[keep phone couldnt get iphone take photo one come werent want keep phone item sand work, 0.8448, 3]]"
B009WUM3DQ,[0.6249],[5],"[[stand, great]]","[[stand great, 0.6249, 5]]"
B00ACCVAQ4,[0.5182],[5],"[[fit, belt, clip, hold]]","[[fit belt clip hold, 0.5182, 5]]"
B00B18LKU4,[0.4404],[2],"[[item, come, unit, call, sprint, replace, unit, chargem, thank, sprint]]","[[item come unit call sprint replace unit chargem thank sprint, 0.4404, 2]]"
B00BZN169A,[0.8416],[4],"[[picture, fool, fatter, expect, work, install]]","[[picture fool fatter expect work install, 0.8416, 4]]"
B00C5TNLPU,[0.8442],[5],"[[perfect, fit, keep, phone, safe]]","[[perfect fit keep phone safe, 0.8442, 5]]"
B00CBTTA4A,"[-0.4019, 0.9078, 0.9874, 0.6369, 0.6378, 0.946, 0.0, 0.8357, 0.9764, 0.4404, 0.3612, 0.0603, 0.9587]","[2, 5, 5, 5, 4, 5, 4, 5, 3, 5, 5, 4, 5]","[[anker, battery, cell, phone, hand], [battery, hold, charge, hour, go, use, phone, apps, run, productbr, br, update, br, ankerdirect, contact, offer, replace, battery, thats, nice, star, customer, service, department, battery, seem, hold, charge, point, dont, know, samsung, battery], [work, good, factory, battery], [seems, mess, phone, try, use, work, contact, support, mail, replacement, battery, avail, give, option, get, charger, charge, phone, work, awesome, support, purchase, device, love, product], [update, sept, perform, testing, find, issue, battery, upgrade, android, lollipop, release, instal, cell, phone, week, buy, anker, battery, result, test, summary, anker, battery, last, hour, battery, read, forum, implement, recommendation, improve, battery, life, way, please, anker, support, read, post, contact, apologize, offering, replace, product, want, apologize, place, review, compare, anker, battery, review, battery, doesnt, last], [like, decent, backup], [disappoint, brand, maybe, eight, hour, phone, lot, samsung, battery, last, hour, ya, get, pay], [purchase, battery, month, month, work, marvel, ncf, work, doesnt, hold, charge, last, hour, wifi, start, get, dont, leave, connect, reach, charge, doesnt, fit, anymore, update, say, anker, customer, service, term, electronics, contact, day, make, review, issue, send, battery, way, work, last, longer, purchase, post, update, month, comment, feel, satisfy, product, customer, service, experience], [part, br, br, battery, cheap, oem, knock, offs, get, gps, use, battery, life, suffer, review, anker, look, promise, decide, try, myselfbr, br, purchase, galaxy, version, arrive, today, compare, oem, battery, tad, bit, thicker, battery, cover, snap, easilybr, br, register, charge, box, perfect, storage, enclose, documentation, stating, anker, interest, customer, satisfaction, nice, touch, include, toll, support, numberbr, br, literature, state, charge, cycle, hold, charge, least, year, manufacture, dont, information, hold, put, par, oem, quality, fraction, pricebr, br, issue, heat, charge, duration, day, use, seem, oem, ill, post, backbr, br, part, br, br, week, notice, hold, charge, equivalent, samsung, battery, thats, hour, moderate, usage, signal, strength, battery, doesnt, get, hot, cheap, replacement, heat, processor, work, warm, doesnt, feel, go, explode, momentbr, br, edit, br, br, notice, battery, hold, charge, contact, customer, service, address, concern, replace, warranty, customer, service], [anker, battery, note, bought, think, id, need, didnt, know, battery, day, use, thats, need, order, dad, samsung, galaxy, tell, battery, go, hour, ask, place, get, good, battery, come, order, please, longlasting, battery, life, thanks, anker, wall, charger, charge, battery, etc, product], [honest, wasnt, expect, read, couple, review, settle, anker, samsung, battery, nfc, change, receive, package, gone, packaging, way, ask, feedback, everything, top, notch, battery, encounter, well, oem, old, bloat, fire, hazard, wait, happen, im, satified, battery, power, phone, leave, hang, form, power, bank, extra, cable, power, say, night], [make, phone, work], [meet, purpose]]","[[anker battery cell phone hand, -0.4019, 2], [battery hold charge hour go use phone apps run productbr br update br ankerdirect contact offer replace battery thats nice star customer service department battery seem hold charge point dont know samsung battery, 0.9078, 5], [work good factory battery, 0.9874, 5], [seems mess phone try use work contact support mail replacement battery avail give option get charger charge phone work awesome support purchase device love product, 0.6369, 5], [update sept perform testing find issue battery upgrade android lollipop release instal cell phone week buy anker battery result test summary anker battery last hour battery read forum implement recommendation improve battery life way please anker support read post contact apologize offering replace product want apologize place review compare anker battery review battery doesnt last, 0.6378, 4], [like decent backup, 0.946, 5], [disappoint brand maybe eight hour phone lot samsung battery last hour ya get pay, 0.0, 4], [purchase battery month month work marvel ncf work doesnt hold charge last hour wifi start get dont leave connect reach charge doesnt fit anymore update say anker customer service term electronics contact day make review issue send battery way work last longer purchase post update month comment feel satisfy product customer service experience, 0.8357, 5], [part br br battery cheap oem knock offs get gps use battery life suffer review anker look promise decide try myselfbr br purchase galaxy version arrive today compare oem battery tad bit thicker battery cover snap easilybr br register charge box perfect storage enclose documentation stating anker interest customer satisfaction nice touch include toll support numberbr br literature state charge cycle hold charge least year manufacture dont information hold put par oem quality fraction pricebr br issue heat charge duration day use seem oem ill post backbr br part br br week notice hold charge equivalent samsung battery thats hour moderate usage signal strength battery doesnt get hot cheap replacement heat processor work warm doesnt feel go explode momentbr br edit br br notice battery hold charge contact customer service address concern replace warranty customer service, 0.9764, 3], [anker battery note bought think id need didnt know battery day use thats need order dad samsung galaxy tell battery go hour ask place get good battery come order please longlasting battery life thanks anker wall charger charge battery etc product, 0.4404, 5], [honest wasnt expect read couple review settle anker samsung battery nfc change receive package gone packaging way ask feedback everything top notch battery encounter well oem old bloat fire hazard wait happen im satified battery power phone leave hang form power bank extra cable power say night, 0.3612, 5], [make phone work, 0.0603, 4], [meet purpose, 0.9587, 5]]"
B00CIUAUC8,[0.4001],[5],"[[work, intend, timer, require, solder, youve, do]]","[[work intend timer require solder youve do, 0.4001, 5]]"
B00CP11NO4,"[0.6705, 0.34]","[1, 3]","[[fall, apart], [swirl, meet, expectation, ability, extend, stylus, came, part, fit, iphone, narrow, fit, fell]]","[[fall apart, 0.6705, 1], [swirl meet expectation ability extend stylus came part fit iphone narrow fit fell, 0.34, 3]]"
B00DV2WX3G,"[0.6918, 0.705, 0.4404, -0.9409]","[2, 4, 5, 1]","[[buy, product, chargermini, usb, port, samsung, galaxy, longer, work, cant, charge, cord, charger, work, fine, month, broke, stick, got, shocking, disappoint, phone, stay, dead, get, different, brand, wall, mail, day], [year, profile, travel, issue, battery, dont, charge, got, theyre], [cell, battery, fine, weak, purchase, advertise, month, warranty, try, return, amazon, say, window, return, exchange, close, march, honor, month, warranty, replace, battery]]","[[buy product chargermini usb port samsung galaxy longer work cant charge cord charger work fine month broke stick got shocking disappoint phone stay dead get different brand wall mail day, 0.6918, 2], [year profile travel issue battery dont charge got theyre, 0.705, 4], [cell battery fine weak purchase advertise month warranty try return amazon say window return exchange close march honor month warranty replace battery, 0.4404, 5], [, -0.9409, 1]]"
B00DVPRXV0,[-0.8026],[5],"[[case, life, saver, phone, saver, drop, phone, lose, time, turn, bit, reluctant, please, make, phone, stay, case, problem, wear, neck, run, errand, ring, clip, lanyard, phone, upright, upside, plastic, part, ill, upgrade, note, look]]","[[case life saver phone saver drop phone lose time turn bit reluctant please make phone stay case problem wear neck run errand ring clip lanyard phone upright upside plastic part ill upgrade note look, -0.8026, 5]]"
B00DZ1XJJ0,"[0.6369, 0.7003, -0.7469, 0.3818]","[5, 5, 1, 5]","[[purchase, armorsuit, purchase, phone, nope, listen, sale, representative, purchase, moshi, ivisor, ag, screen, protector, crack, dont, listen, sale, rep, armorsuit, phone, way], [fit, video, follow], [quality, selfhealing, trapbr, lifetime, replacement, liebr, exist, order, receive, needbr, pay, deliverybr, b, return, product, imagine, thats, return, break, screen, protectorbr, furthermore, cost, lot, money, quality]]","[[purchase armorsuit purchase phone nope listen sale representative purchase moshi ivisor ag screen protector crack dont listen sale rep armorsuit phone way, 0.6369, 5], [fit video follow, 0.7003, 5], [quality selfhealing trapbr lifetime replacement liebr exist order receive needbr pay deliverybr b return product imagine thats return break screen protectorbr furthermore cost lot money quality, -0.7469, 1], [, 0.3818, 5]]"
B00E3913G4,"[0.0, 0.296]","[5, 5]","[[], [ok, expect]]","[[, 0.0, 5], [ok expect, 0.296, 5]]"
B00E8JX3W6,[0.8439],[5],[[happy]],"[[happy, 0.8439, 5]]"
B00EDWO8O0,"[-0.8631, 0.4404, 0.0, 0.2263]","[4, 3, 5, 3]","[[use, trip, colorado, florida, read, book, way], [usb, work, fire, phone, phone, come, work, slight, inconvenience, otherwise, work, fine, charge, device, travel, price, budget, recommend, caution, regard], [charger, work, fine, search, iphone, car, charger, pop, think, confirm, iphone, id, type, use, car, base, buy, cord, sure, amazon, sellerbelkin, mislead, pain, way, car, charger, base, work, fine]]","[[use trip colorado florida read book way, -0.8631, 4], [usb work fire phone phone come work slight inconvenience otherwise work fine charge device travel price budget recommend caution regard, 0.4404, 3], [charger work fine search iphone car charger pop think confirm iphone id type use car base buy cord sure amazon sellerbelkin mislead pain way car charger base work fine, 0.0, 5], [, 0.2263, 3]]"
B00ELAPL9U,"[0.6597, 0.4215, 0.6249, 0.8751]","[5, 4, 5, 4]","[[replacement, price, glass, seem, side, compare, remove, dont, think, make, way, samsung, screen, look, instal, tell, difference, im, use, phone, im, afraid, screen, crack, droppedbr, br, overall, install, dead, spot, work, id, recommend, brand, anybody, look, replace, oldcracked, screen], [amolded, dont, expect, glass, stand, come, torture, kit, suggest, use, blowdrier, heat, gun, separate, screen, glue, lcd, tool, work, werent, glass, glue, phone, mine, say, glass, look, know, glass, resilient], [product, describe], [fit, good, come, everything, need, replace, screen]]","[[replacement price glass seem side compare remove dont think make way samsung screen look instal tell difference im use phone im afraid screen crack droppedbr br overall install dead spot work id recommend brand anybody look replace oldcracked screen, 0.6597, 5], [amolded dont expect glass stand come torture kit suggest use blowdrier heat gun separate screen glue lcd tool work werent glass glue phone mine say glass look know glass resilient, 0.4215, 4], [product describe, 0.6249, 5], [fit good come everything need replace screen, 0.8751, 4]]"
B00EOHUVTU,"[0.6249, 0.2391]","[5, 4]","[[camera, action, stuff], [core, product, limit, aftermarket, accessory, offset, fact, include, adapter, go, pro, mount]]","[[camera action stuff, 0.6249, 5], [core product limit aftermarket accessory offset fact include adapter go pro mount, 0.2391, 4]]"
B00EW336U2,[-0.2508],[4],"[[case, color, cute, neon, pic, got, today, there, review, let, everyone, know]]","[[case color cute neon pic got today there review let everyone know, -0.2508, 4]]"
B00FOXX4G0,[-0.0772],[3],"[[case, fit, wellbut, plastic, side, broke]]","[[case fit wellbut plastic side broke, -0.0772, 3]]"
B00GA98XAE,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B00GHW2CPQ,[-0.1577],[1],"[[nice, look, case, didnt, fit, phone, galaxy]]","[[nice look case didnt fit phone galaxy, -0.1577, 1]]"
B00GIC7VOM,"[0.6369, 0.6249]","[5, 5]","[[work, great]]","[[work great, 0.6369, 5], [, 0.6249, 5]]"
B00GPGF1YS,[0.3711],[2],"[[buy, april, charge, cord, stop, work, try, get, vendor, replace, receive, response, waste, money]]","[[buy april charge cord stop work try get vendor replace receive response waste money, 0.3711, 2]]"
B00GZMLCWC,"[-0.2755, -0.6381]","[1, 1]","[[buy, product, advertise, threw, trash, ship, china], [gone, day, use, dont, fit, quality]]","[[buy product advertise threw trash ship china, -0.2755, 1], [gone day use dont fit quality, -0.6381, 1]]"
B00H2BAGDG,"[0.0747, 0.9104]","[2, 4]","[[otterbox, bulky, precut, space, port, cut, well, flap, stylus, doesnt, lay, case, buy, thing, screen, protector, isnt, connect, case, sticker, cover, decent, survive, scratch, use, abuse], [absolute, time, phone, drop, use, case, screen, crack, recommend, case, someone, phone, fell, feet, floor, fell, screenside, whole, screen, crack, case, feel, make, rubber, cover, pen, charge, port, flimsy, feel, rip, case, offer, appropriate, protection]]","[[otterbox bulky precut space port cut well flap stylus doesnt lay case buy thing screen protector isnt connect case sticker cover decent survive scratch use abuse, 0.0747, 2], [absolute time phone drop use case screen crack recommend case someone phone fell feet floor fell screenside whole screen crack case feel make rubber cover pen charge port flimsy feel rip case offer appropriate protection, 0.9104, 4]]"
B00HH5KDVC,[0.5719],[5],"[[perfect, advertise]]","[[perfect advertise, 0.5719, 5]]"
B00HI0XETE,[0.6597],[5],"[[order, work, time, course, phone, diedit, nice]]","[[order work time course phone diedit nice, 0.6597, 5]]"
B00HJC7RSU,[0.2354],[2],"[[work, read, product, wasnt, support, apple, longer, charge]]","[[work read product wasnt support apple longer charge, 0.2354, 2]]"
B00HTCGN0S,[0.4404],[4],"[[job, protect, drop]]","[[job protect drop, 0.4404, 4]]"
B00IPGW2E8,"[0.1779, 0.6249]","[5, 5]","[[issue, case, job, wife, keep, phone, smh], [smooth, slim, world]]","[[issue case job wife keep phone smh, 0.1779, 5], [smooth slim world, 0.6249, 5]]"
B00ITIFT7O,[0.6369],[5],[[case]],"[[case, 0.6369, 5]]"
B00JH834HM,"[0.4215, 0.9413, -0.6124]","[3, 5, 1]","[[nice, th, color, gold, coyote, tan], [buy, case, mom, fit, iphone, raise, front, edge, mean, phone, isnt, sit, screen, place, facedown, surface, feel, protection, case, drop, see, hold, scratch], [screen, protection, drop, phone, screen, broke, look]]","[[nice th color gold coyote tan, 0.4215, 3], [buy case mom fit iphone raise front edge mean phone isnt sit screen place facedown surface feel protection case drop see hold scratch, 0.9413, 5], [screen protection drop phone screen broke look, -0.6124, 1]]"
B00JK0D0MG,[-0.6096],[1],"[[scam, amp, charge, phone, plug, computer, purchase, item]]","[[scam amp charge phone plug computer purchase item, -0.6096, 1]]"
B00JPKKGTQ,[-0.8057],[3],"[[work, ok, get, belt, clipbr, belt, clip, doesnt, spring, clip, portion, work, way, loose, beltbr, price, point, purchase]]","[[work ok get belt clipbr belt clip doesnt spring clip portion work way loose beltbr price point purchase, -0.8057, 3]]"
B00JX86IQK,[-0.6377],[2],"[[sound, quality, good, haphones, break]]","[[sound quality good haphones break, -0.6377, 2]]"
B00JXCNAGW,[0.0757],[3],"[[leather, highquality, tool, holder, inside, brittle, cheap, overall, bit, thick, continue, use, term, doesnt, hold, card, thick, end, carry, front, pant, pocket]]","[[leather highquality tool holder inside brittle cheap overall bit thick continue use term doesnt hold card thick end carry front pant pocket, 0.0757, 3]]"
B00K1SK4H0,[0.8779],[2],"[[case, fit, putting, broke, screen, corner, tight, force, got, look, wont, take, breaking, screen]]","[[case fit putting broke screen corner tight force got look wont take breaking screen, 0.8779, 2]]"
B00K2VMWH6,[-0.8573],[1],"[[buy, phone, wont, turn, today, need, update, say, system, update, press, accept, restart, go, restart, show, error, screen, say, fail, install, wont, reboot, try, reformat, wont, restart, phone, day, junk, trouble, get, work, cricket, mobile, buy, phone, regret]]","[[buy phone wont turn today need update say system update press accept restart go restart show error screen say fail install wont reboot try reformat wont restart phone day junk trouble get work cricket mobile buy phone regret, -0.8573, 1]]"
B00KMGHPYQ,[0.8126],[5],"[[cousin, love, save, cel, ]]","[[cousin love save cel , 0.8126, 5]]"
B00KWSR0SA,[0.6451],[4],"[[ok, si, gotta, say, perfect, pack, cool, decoration, arent, sepperate, put, case, nothing, fancy, decoration]]","[[ok si gotta say perfect pack cool decoration arent sepperate put case nothing fancy decoration, 0.6451, 4]]"
B00L4PU8KM,[0.2263],[5],"[[work, worth, money]]","[[work worth money, 0.2263, 5]]"
B00L89F35Y,[0.4404],[5],[[case]],"[[case, 0.4404, 5]]"
B00LCNAYY6,"[0.7783, 0.5994]","[5, 4]","[[love], [gift, mom, love]]","[[love, 0.7783, 5], [gift mom love, 0.5994, 4]]"
B00LD6M3HI,[-0.8588],[1],"[[get, order, charge, phone, bacomes, money]]","[[get order charge phone bacomes money, -0.8588, 1]]"
B00LOVW1AQ,"[0.7003, 0.8519]","[5, 4]","[[phone, awesome, phone, love], [child, love, phone, perforrmes]]","[[phone awesome phone love, 0.7003, 5], [child love phone perforrmes, 0.8519, 4]]"
B00M6L6ZD2,[0.8957],[5],"[[product, price, iphone, fit, color, light, want]]","[[product price iphone fit color light want, 0.8957, 5]]"
B00MAWRON2,"[0.8481, 0.5994]","[5, 5]","[[price, case], [time]]","[[price case, 0.8481, 5], [time, 0.5994, 5]]"
B00MBDY4TM,[0.0],[1],[[expect]],"[[expect, 0.0, 1]]"
B00MGCBKKE,[-0.4404],[1],"[[come, damage, doesnt, work]]","[[come damage doesnt work, -0.4404, 1]]"
B00MGGEKYS,[0.0],[4],"[[work, advertisedd]]","[[work advertisedd, 0.0, 4]]"
B00MTETNT4,[0.7841],[5],[[work]],"[[work, 0.7841, 5]]"
B00MV4VHW8,[-0.1531],[2],"[[item, describe, rubber, stopper, cover, power, port, get]]","[[item describe rubber stopper cover power port get, -0.1531, 2]]"
B00N1AG1RC,"[0.9763, 0.6369, 0.6249]","[5, 5, 5]","[[protection, phone, drop, phone, time, phone, get, damage, thanks, case], [year, old, try, grab, phone, case, make, wanting, love, look, isnt, slippery, phone, want, happy, cover, white, front, couple, month, design, isnt, fade, cover, hasnt, stop, phone, reading, thumb, print, get, glass, cover, get, case, love, maneuver, didnt, love, cover, touch, harder, type, etc, debate, take, glass, cover, tell, leave, see, get, use, protection, year, use, leave, older, dont, cant, slide, use, flashlight, example, ledge, thumb, reader, cover, recommend], [purchase]]","[[protection phone drop phone time phone get damage thanks case, 0.9763, 5], [year old try grab phone case make wanting love look isnt slippery phone want happy cover white front couple month design isnt fade cover hasnt stop phone reading thumb print get glass cover get case love maneuver didnt love cover touch harder type etc debate take glass cover tell leave see get use protection year use leave older dont cant slide use flashlight example ledge thumb reader cover recommend, 0.6369, 5], [purchase, 0.6249, 5]]"
B00N1AG1RM,[0.6249],[5],[[case]],"[[case, 0.6249, 5]]"
B00N4JZNFG,[0.0],[3],"[[hole, charge, iphone, v, android, number, read, instruction, keep, rightsideup, tell]]","[[hole charge iphone v android number read instruction keep rightsideup tell, 0.0, 3]]"
B00N98WLG6,[0.7906],[5],"[[protection, thanks]]","[[protection thanks, 0.7906, 5]]"
B00NBNQHGE,"[0.8519, 0.8655]","[4, 5]","[[slim, fit, belt, clip, bit, flimsy, good, value, price], [value, please, quality]]","[[slim fit belt clip bit flimsy good value price, 0.8519, 4], [value please quality, 0.8655, 5]]"
B00NFAKZNE,[-0.4215],[1],"[[broke, week, sit, plug, time]]","[[broke week sit plug time, -0.4215, 1]]"
B00NG25B6C,"[0.81, 0.1531]","[4, 5]","[[case, someone, drop, phone], [teal, color, pastel, turquoise, cute, color, case, wish, layer, screen, protection, layer, protection, case, afterall, phone, case, dont, screen, protection, dont, need, plastic, layer, galaxy, note, say, im, go, try, clumsy]]","[[case someone drop phone, 0.81, 4], [teal color pastel turquoise cute color case wish layer screen protection layer protection case afterall phone case dont screen protection dont need plastic layer galaxy note say im go try clumsy, 0.1531, 5]]"
B00NID5BDM,[-0.3412],[1],[[quality]],"[[quality, -0.3412, 1]]"
B00NKUAK8O,[-0.1027],[2],"[[cool, concept, problem, stick, pocket, stand, tends, pop, poke]]","[[cool concept problem stick pocket stand tends pop poke, -0.1027, 2]]"
B00NL4OS7I,[-0.3632],[1],"[[get, dont, know, people, give, star, review, phone, didnt, slot, time, try, case, broke]]","[[get dont know people give star review phone didnt slot time try case broke, -0.3632, 1]]"
B00NOS3JCQ,"[0.6369, 0.901, 0.3612, -0.2755, 0.0, 0.0, 0.6369, 0.5267]","[5, 2, 1, 1, 5, 2, 5, 1]","[[phone, look, pink], [choose, hot, pink, end, get, pink], [doesnt, fit, phone], [buy, case, iphone, plus, regret, look, iphone, make, look, everything, dont, fit, phone, case, seem, phone, dont, think, protect, say, look, guess, look], [isnt, color, show, picture, turn, lighter, shade, pink, keep, anyways], [pink, purple, light, pink, dont, get], [show, excelent], [want]]","[[phone look pink, 0.6369, 5], [choose hot pink end get pink, 0.901, 2], [doesnt fit phone, 0.3612, 1], [buy case iphone plus regret look iphone make look everything dont fit phone case seem phone dont think protect say look guess look, -0.2755, 1], [isnt color show picture turn lighter shade pink keep anyways, 0.0, 5], [pink purple light pink dont get, 0.0, 2], [show excelent, 0.6369, 5], [want, 0.5267, 1]]"
B00NVNZVJS,[0.9061],[5],"[[buy, wife, rock, quality]]","[[buy wife rock quality, 0.9061, 5]]"
B00NWVTIO8,[0.4754],[4],"[[nice, lookingneed, firmer]]","[[nice lookingneed firmer, 0.4754, 4]]"
B00NXEX8D6,"[0.6249, 0.0, 0.6901, 0.4927]","[5, 5, 5, 4]","[[order, order, phone], [case, didnt, look, feel, make, problem, wish, card, slot], [buy, daughter, like, lot, shes, carry, prepay, credit, card, money, case]]","[[order order phone, 0.6249, 5], [case didnt look feel make problem wish card slot, 0.0, 5], [buy daughter like lot shes carry prepay credit card money case, 0.6901, 5], [, 0.4927, 4]]"
B00O4ACE8S,[0.3612],[3],"[[product, deliver, describe, promise, vice, muffle, speaker, mode]]","[[product deliver describe promise vice muffle speaker mode, 0.3612, 3]]"
B00OJDO6KE,"[0.0, 0.0]","[2, 5]","[[doesnt, come, glue, replace, use], [delivery, describe]]","[[doesnt come glue replace use, 0.0, 2], [delivery describe, 0.0, 5]]"
