B0009SUEX6,[0.5719],[5],"[[excellent, product]]","[[excellent product, 0.5719, 5]]"
B00CXAC1ZW,"[0.1215, 0.0, 0.6597, 0.6249, 0.7287, 0.8519]","[3, 5, 5, 4, 5, 5]","[[work, great, asus, tablet, plug, im, watch, video, want], [work, expect, toshiba, tablet, run, window], [work, otg, host, charge, usb, connect, mouse, flash, drive], [reviced, week, say, date, product, work], [work, great, complaint, android, phone, doesnt, support, charge, otg, peripheral, time, windows, tablet, work], [work, connect, samsung, mass, storage, device, try, build, worth, buck, done]]","[[work great asus tablet plug im watch video want, 0.1215, 3], [work expect toshiba tablet run window, 0.0, 5], [work otg host charge usb connect mouse flash drive, 0.6597, 5], [reviced week say date product work, 0.6249, 4], [work great complaint android phone doesnt support charge otg peripheral time windows tablet work, 0.7287, 5], [work connect samsung mass storage device try build worth buck done, 0.8519, 5]]"
B00CYNFQ6E,[0.0],[1],"[[cheap, piece, junk, fell, apart, week, semiregular, use]]","[[cheap piece junk fell apart week semiregular use, 0.0, 1]]"
B00D1K4JW6,"[0.4404, -0.4215]","[4, 2]","[[last, period, strap, broke], [product]]","[[last period strap broke, 0.4404, 4], [product, -0.4215, 2]]"
B00DDVEI60,[0.4201],[4],"[[quality, price, recommend]]","[[quality price recommend, 0.4201, 4]]"
B00DEWBM1W,"[0.7906, 0.8973, 0.0]","[5, 3, 4]","[[price, cant, believe, last, use, work], [last, year, half, job, charge, idk, couldnt, charge, transmitter, anymore, good, thing, use, android, charge, device, make, bit, longer, issue, inside, decide, break, apart, doesnt, charge, good, thing, got, pay], [didnt, got, pay]]","[[price cant believe last use work, 0.7906, 5], [last year half job charge idk couldnt charge transmitter anymore good thing use android charge device make bit longer issue inside decide break apart doesnt charge good thing got pay, 0.8973, 3], [didnt got pay, 0.0, 4]]"
B00DVH82YU,[0.3182],[5],[[cool]],"[[cool, 0.3182, 5]]"
B00DYJ9QO0,"[0.5719, 0.7681, -0.4019]","[5, 5, 5]","[[work, perfect], [get, bit, hot, charge, speed, wall, chargerbr, work, qi, wireless, charge, pad], [help, solve, usb, port, charge, issue]]","[[work perfect, 0.5719, 5], [get bit hot charge speed wall chargerbr work qi wireless charge pad, 0.7681, 5], [help solve usb port charge issue, -0.4019, 5]]"
B00E1TF21I,[0.6369],[5],"[[phone, arrive]]","[[phone arrive, 0.6369, 5]]"
B00EB3G1SW,[0.6249],[5],"[[come, product]]","[[come product, 0.6249, 5]]"
B00EKSS7SU,"[0.6652, 0.6249]","[4, 5]","[[phone, dad], [receive, yesterday, port, number, work, expect, battery, life, issue, anything, great, reception, att, area, wall, mart, family, mobile, phone, lose, signal, house, thats, switch, operate, system, use, multiple, menu, thing, key, oh, phone]]","[[phone dad, 0.6652, 4], [receive yesterday port number work expect battery life issue anything great reception att area wall mart family mobile phone lose signal house thats switch operate system use multiple menu thing key oh phone, 0.6249, 5]]"
B00EN6P2J6,"[0.7466, 0.5719, 0.6369, -0.4215, 0.6249, 0.6801]","[5, 5, 5, 1, 5, 5]","[[work, charger, fast, charge, work, use, kindle, fire, shipping, fast, product, describe, please], [excellent], [work, charm], [work, day, broke], [worry, deal, work], [work, great]]","[[work charger fast charge work use kindle fire shipping fast product describe please, 0.7466, 5], [excellent, 0.5719, 5], [work charm, 0.6369, 5], [work day broke, -0.4215, 1], [worry deal work, 0.6249, 5], [work great, 0.6801, 5]]"
B00EOC6CM0,[0.9611],[5],"[[excellent, screen, protector, come, microfiber, cloth, card, use, application, easy, clear, instruction, experience, bubble, remove, brandsbr, fit, z, ultra, smooth, touch, make, pleasure, use, phone, seem, resist, scratch, weeks, dont, use, case]]","[[excellent screen protector come microfiber cloth card use application easy clear instruction experience bubble remove brandsbr fit z ultra smooth touch make pleasure use phone seem resist scratch weeks dont use case, 0.9611, 5]]"
B00EQGBH4M,[0.4215],[5],"[[radio, price, bluetooth, clear, complaint, eq, display, hertz, decibel, wit, figure]]","[[radio price bluetooth clear complaint eq display hertz decibel wit figure, 0.4215, 5]]"
B00EUVDQL0,[-0.2547],[2],"[[work, ok, range, life, dont, know, splice, wire, get, hook, power, source, splice, youd, think, sort, adapter, splice, wire, lead, strip, void, warranty, believe, need, warranty, strip, work]]","[[work ok range life dont know splice wire get hook power source splice youd think sort adapter splice wire lead strip void warranty believe need warranty strip work, -0.2547, 2]]"
B00EV6NDIU,[0.9136],[5],"[[case, provide, excellent, coverage, access, port, grip, ridge, side, give, firm, feel, hold, phone, slippery, thick, fit, belt, holster, case, ease, folsom, trust, brand, cant, beat, quality, price, color, richer, lime, green, person, plus]]","[[case provide excellent coverage access port grip ridge side give firm feel hold phone slippery thick fit belt holster case ease folsom trust brand cant beat quality price color richer lime green person plus, 0.9136, 5]]"
B00F32P1PO,[0.0],[3],"[[look, waw]]","[[look waw, 0.0, 3]]"
B00F48F1ES,[0.34],[3],[[crackt]],"[[crackt, 0.34, 3]]"
B00FGEPSPC,[0.4404],[5],[[item]],"[[item, 0.4404, 5]]"
B00FZ2MT34,[0.5859],[5],"[[battery, price]]","[[battery price, 0.5859, 5]]"
B00G52BTY8,[0.9393],[5],"[[look, gold, white, iphone, want, keep, look, case, perfect, advertise, recommend]]","[[look gold white iphone want keep look case perfect advertise recommend, 0.9393, 5]]"
B00GBLW9S8,[-0.6124],[1],"[[change, screen, find, defect, start, line, screen, jump, poor, product, need, urgent, replacement]]","[[change screen find defect start line screen jump poor product need urgent replacement, -0.6124, 1]]"
B00GJFZSJS,"[-0.0572, 0.6369, 0.4779, -0.34, 0.802, 0.5994, 0.899, 0.9268, 0.0, 0.6369, 0.0, -0.2505, -0.6705, -0.2057]","[3, 4, 2, 1, 5, 1, 5, 5, 5, 5, 3, 3, 1, 2]","[[cheap, price, doesnt, work, voice, call], [work, thing, feel, putting, hard, time, use], [sound, quality, give, pricebr, button, change, volume, locate, part, rest, headbr, there, drawback, headset, minute, become, way, make, wear, top, ear, sore, time, afterwards, switch, pair, lg, bluetooth, headphone, rest, neck, bud, snap, magnet, use, well], [broke, day, friend, drop, foot, snap, useless], [hmmm], [de, seller, worst], [sound, simple, operation, pair, iphone, lg, tribute, wear, block, ambient, sound, gym, work], [device, work, need, work, bit, learn, curve, button, realize, play, make, lot, operate, package, arrive, day, earlier, estimate, order, pair], [dont, want, thought, return], [respond, request, help, pair, earphone, mobile, phone, clear, follow, instruction, done, order, package], [christmas, present], [wear, gym, go, mode, alot, o, listen, music, work], [piece, garbage, work, volume, couldnt, get, strain, hear, music]]","[[cheap price doesnt work voice call, -0.0572, 3], [work thing feel putting hard time use, 0.6369, 4], [sound quality give pricebr button change volume locate part rest headbr there drawback headset minute become way make wear top ear sore time afterwards switch pair lg bluetooth headphone rest neck bud snap magnet use well, 0.4779, 2], [broke day friend drop foot snap useless, -0.34, 1], [hmmm, 0.802, 5], [de seller worst, 0.5994, 1], [sound simple operation pair iphone lg tribute wear block ambient sound gym work, 0.899, 5], [device work need work bit learn curve button realize play make lot operate package arrive day earlier estimate order pair, 0.9268, 5], [dont want thought return, 0.0, 5], [respond request help pair earphone mobile phone clear follow instruction done order package, 0.6369, 5], [christmas present, 0.0, 3], [wear gym go mode alot o listen music work, -0.2505, 3], [piece garbage work volume couldnt get strain hear music, -0.6705, 1], [, -0.2057, 2]]"
B00GN285RO,[-0.103],[2],"[[buy, think, wallet, case, awesome, feature, case, build, well, arrive, use, sameday, delivery, let, moment, take, packaging, knew, good, quality, love, texture, case, using, month, problem, become, awarebr, problemsbr, card, grip, fall, case, turn, upsidedownbr, month, corner, slim, part, shell, phone, secure, begin, break, shell, disintegrate, drop, breaking, cheap, plasticbr, phone, prop, landscape, video, watch, case, doesnt, grip, side, case, phone, fall, try, stand, upbr, work, restaurant, grease, deal, case, design, pattern, trap, grease, go, home, keep, itbr, port, flap, phone, shell, way, room, fingernail, get, flap, phonebr, couple, week, adhesive, hold, case, begin, peel, awaybr, br, summarybr, wouldnt, recommend, spending, money, case, problem, month, use, trash, throw, improve, feature, point, flaw, recommend, keep, look]]","[[buy think wallet case awesome feature case build well arrive use sameday delivery let moment take packaging knew good quality love texture case using month problem become awarebr problemsbr card grip fall case turn upsidedownbr month corner slim part shell phone secure begin break shell disintegrate drop breaking cheap plasticbr phone prop landscape video watch case doesnt grip side case phone fall try stand upbr work restaurant grease deal case design pattern trap grease go home keep itbr port flap phone shell way room fingernail get flap phonebr couple week adhesive hold case begin peel awaybr br summarybr wouldnt recommend spending money case problem month use trash throw improve feature point flaw recommend keep look, -0.103, 2]]"
B00GOKA2SU,[0.0],[1],"[[order, iphone, case, get, iphone, case]]","[[order iphone case get iphone case, 0.0, 1]]"
B00HEGP33C,"[0.3387, 0.7506, 0.8316, 0.3384, 0.0]","[5, 5, 5, 4, 5]","[[improvement, version, use], [work, greatlove], [wow, cant, say, system], [garmin, look, size, perfect, work], [replace, version, gps, phone, travel, work, take, city, find, satellite]]","[[improvement version use, 0.3387, 5], [work greatlove, 0.7506, 5], [wow cant say system, 0.8316, 5], [garmin look size perfect work, 0.3384, 4], [replace version gps phone travel work take city find satellite, 0.0, 5]]"
B00HI15MH0,[0.0],[1],"[[apple, certify, charge, ipad, air]]","[[apple certify charge ipad air, 0.0, 1]]"
B00HK8X6YM,[0.7237],[2],"[[case, awesome, interfere, go, case, loose, alo, place, lose]]","[[case awesome interfere go case loose alo place lose, 0.7237, 2]]"
B00HMY0IGI,[0.4404],[5],"[[take, day, longer, guarantee, promise, wait, pick, delivery, didnt, hold, anyways, expect, phone, piece]]","[[take day longer guarantee promise wait pick delivery didnt hold anyways expect phone piece, 0.4404, 5]]"
B00HNT5X12,[0.3716],[3],"[[buy, case, girlfriend, great, come, week, case, crack, get]]","[[buy case girlfriend great come week case crack get, 0.3716, 3]]"
B00I9FVQ38,[0.6249],[5],"[[sound, great, wrangler]]","[[sound great wrangler, 0.6249, 5]]"
B00IEAVVAG,[-0.1289],[2],"[[love, fluance, setup, sxhtb, bookshelf, speaker, subwoofer, par, go, try, rca, cable, receiver, maybe, try, run, front, get, low, turn, sound, hell, lot, subwoofer, compare, looking, v, polk, psw, polk, punch, bass, go, keep, try, variation, update, sub, feel, unsatisfied]]","[[love fluance setup sxhtb bookshelf speaker subwoofer par go try rca cable receiver maybe try run front get low turn sound hell lot subwoofer compare looking v polk psw polk punch bass go keep try variation update sub feel unsatisfied, -0.1289, 2]]"
B00IMSJ7WY,[0.0665],[5],"[[simple, case, doesnt, protect, screen, need, exercise, care, drop, phone, time, concrete, look, use, plastic, screen, protector]]","[[simple case doesnt protect screen need exercise care drop phone time concrete look use plastic screen protector, 0.0665, 5]]"
B00ISLJJN2,"[0.3182, 0.5574]","[5, 5]","[[phone, case], [cool]]","[[phone case, 0.3182, 5], [cool, 0.5574, 5]]"
B00IWZFLZ4,[0.765],[5],"[[work, install, protect, screen, wipe, protector, lot]]","[[work install protect screen wipe protector lot, 0.765, 5]]"
B00J4WON7G,"[-0.765, 0.024, 0.6808, 0.6249, 0.7845, 0.7906, 0.2023, 0.2023, 0.6249, 0.2732, -0.5764, 0.7906, 0.7003, 0.6249, 0.3612, 0.4678]","[1, 4, 5, 5, 5, 5, 4, 4, 5, 5, 2, 5, 5, 1, 2, 2]","[[switch, girlfriend, battery, phone, tool, make, snap, battery, great], [simple, replace, battery, find, use, array, tool, provide, replace, battery, minute, phone, battery, day, longer, need, keep, time, downside, battery, get, hot, sometimes, battery, get, however, work, im, please, week, instal, battery, problem, thank, god], [tool, come, non, spudger, quality, phillips, screw, driver, quality, torx, driver, size, pry, tool, lift, battery, case], [replace, battery, life, improve, phone, stay, day, chargebr, earlier, die, day], [month, start, work, battery, charge, twice, day], [work, great, install], [get, iphones, battery, working, want, replace, itbr, battery, anything, battery, life, worsebr, want, return, go, hassle, reopen, phone], [buy, battery, worse, try, replace, waste, money], [battery, last, week, phone, dy], [need, find, video, tutorial, online, go, apple, help], [change, battery, charge, doesnt, longer], [kit, view, youtube, minute, replacement, video, done, kit, save, lot, money], [work, fine, use, utube, see], [husband, order, iphone, battery, amazon, door, day, work], [work, great, install], [tool]]","[[switch girlfriend battery phone tool make snap battery great, -0.765, 1], [simple replace battery find use array tool provide replace battery minute phone battery day longer need keep time downside battery get hot sometimes battery get however work im please week instal battery problem thank god, 0.024, 4], [tool come non spudger quality phillips screw driver quality torx driver size pry tool lift battery case, 0.6808, 5], [replace battery life improve phone stay day chargebr earlier die day, 0.6249, 5], [month start work battery charge twice day, 0.7845, 5], [work great install, 0.7906, 5], [get iphones battery working want replace itbr battery anything battery life worsebr want return go hassle reopen phone, 0.2023, 4], [buy battery worse try replace waste money, 0.2023, 4], [battery last week phone dy, 0.6249, 5], [need find video tutorial online go apple help, 0.2732, 5], [change battery charge doesnt longer, -0.5764, 2], [kit view youtube minute replacement video done kit save lot money, 0.7906, 5], [work fine use utube see, 0.7003, 5], [husband order iphone battery amazon door day work, 0.6249, 1], [work great install, 0.3612, 2], [tool, 0.4678, 2]]"
B00JAKNKOO,[-0.3412],[1],"[[cant, sound, shower, good]]","[[cant sound shower good, -0.3412, 1]]"
B00JGD4Y2M,[0.8591],[3],"[[come, time, fit, great, deal]]","[[come time fit great deal, 0.8591, 3]]"
B00JID7ALC,[0.8953],[3],"[[case, nice, ive, drop, phone, time, protect, phone, quality, issue, lie, magnet, disconnect, using, phone, charge, disconnect, bump, hand, case, worth, money, wish, cord]]","[[case nice ive drop phone time protect phone quality issue lie magnet disconnect using phone charge disconnect bump hand case worth money wish cord, 0.8953, 3]]"
B00JL9AY52,"[-0.5719, 0.4404]","[1, 3]","[[give, gift], [hate]]","[[give gift, -0.5719, 1], [hate, 0.4404, 3]]"
B00JQJE78W,"[0.5994, -0.2755]","[4, 1]","[[nice, case, fit], [fit, phone]]","[[nice case fit, 0.5994, 4], [fit phone, -0.2755, 1]]"
B00JQSXG8K,[0.1263],[4],"[[arrives, good, problem, access, volume, button, onoff, button, side]]","[[arrives good problem access volume button onoff button side, 0.1263, 4]]"
B00JV69GAO,[0.8225],[4],"[[install, phone, nice, bright, color, quick, delivery]]","[[install phone nice bright color quick delivery, 0.8225, 4]]"
B00K8GAYTS,[-0.3412],[2],"[[product, real, good]]","[[product real good, -0.3412, 2]]"
B00KBQMZL0,[0.296],[3],"[[ok, quality]]","[[ok quality, 0.296, 3]]"
B00KG4D81I,[0.6249],[5],"[[drop, phone, k, style, go, kart, get, scratch, case, awesome]]","[[drop phone k style go kart get scratch case awesome, 0.6249, 5]]"
B00KPE91XI,[0.4404],[5],"[[purchase, couple, time, perform, well, cord, connector, quality]]","[[purchase couple time perform well cord connector quality, 0.4404, 5]]"
B00KWNVWN4,[0.9274],[5],"[[love, love]]","[[love love, 0.9274, 5]]"
B00KXJKB4I,[0.8481],[2],"[[tight, fit, phone, hole, end, window, open, dont, line, phone, jack, power, button, slide, phone, upside, line, phone, jack, circle, home, wakeup, button, cover, hit, case, cheap, get, money, worth]]","[[tight fit phone hole end window open dont line phone jack power button slide phone upside line phone jack circle home wakeup button cover hit case cheap get money worth, 0.8481, 2]]"
B00LD2D1R8,[0.6249],[5],"[[get, work]]","[[get work, 0.6249, 5]]"
B00LG9J9VK,[0.0],[1],"[[doesnt, hold, charge, minute, month, purchase, ]]","[[doesnt hold charge minute month purchase , 0.0, 1]]"
B00LLGLR18,"[0.8225, -0.5994, 0.6249, 0.4404, 0.3506, 0.0]","[4, 2, 5, 4, 1, 1]","[[case, fine, part, broke, month, drop], [case, look, nice, product], [protection], [love, case, outer, ring, end, break, month, use]]","[[case fine part broke month drop, 0.8225, 4], [case look nice product, -0.5994, 2], [protection, 0.6249, 5], [love case outer ring end break month use, 0.4404, 4], [, 0.3506, 1], [, 0.0, 1]]"
B00LORY27A,"[-0.6222, 0.0]","[1, 5]","[[fall, phone, plug, hour, charge, wouldnt, recommend, anyone, buy, waste, money], [work, charge, data, connection]]","[[fall phone plug hour charge wouldnt recommend anyone buy waste money, -0.6222, 1], [work charge data connection, 0.0, 5]]"
B00LTQ57QQ,"[-0.1629, 0.9349, 0.5356]","[3, 5, 5]","[[case, fit, fine, slick, slot, use, card, fall, slot], [use, card, slot, case, feel, secure, hand, slide, feel, give, protection, inner, rubber, liner, great], [make, recommend]]","[[case fit fine slick slot use card fall slot, -0.1629, 3], [use card slot case feel secure hand slide feel give protection inner rubber liner great, 0.9349, 5], [make recommend, 0.5356, 5]]"
B00M7C7P4S,"[0.4404, 0.5719]","[5, 5]","[[use, got, install], [excellent, product, ]]","[[use got install, 0.4404, 5], [excellent product , 0.5719, 5]]"
B00M9NE598,"[0.3612, 0.1779, 0.3612, 0.4927, -0.2411, 0.5719, 0.9749, 0.0]","[3, 5, 4, 5, 1, 4, 3, 1]","[[otterbr, tend, brake, belt, clip, hlster, clip], [aftermarket, dose, say, otterbox, contrary, picture, go, phone, clip, pull, phone, holster, smooth, clip, get, home, look, drop, super, glue, hold, course, lose, metal, ball, give, ability, hold, position, glue, prefer, spinning, ability, make, get, vehicle, act, adjust, feature, p, uttin, seat, belt, clip, holster, quality, problem, attach, otterbox, case, fact, fit, tight, buy, cause, plan, mount, truck, dash, gps, holster, cause, know, break, modify, wont, get, pay, say, buy, break, glue, well, money, spend], [fit, expect], [false, advertisment, say], [price, excellent, provide, didnt, buy, entire, case, clip, cover, kit], [last, week, cant, otterbox, counterfeit]]","[[otterbr tend brake belt clip hlster clip, 0.3612, 3], [aftermarket dose say otterbox contrary picture go phone clip pull phone holster smooth clip get home look drop super glue hold course lose metal ball give ability hold position glue prefer spinning ability make get vehicle act adjust feature p uttin seat belt clip holster quality problem attach otterbox case fact fit tight buy cause plan mount truck dash gps holster cause know break modify wont get pay say buy break glue well money spend, 0.1779, 5], [fit expect, 0.3612, 4], [false advertisment say, 0.4927, 5], [price excellent provide didnt buy entire case clip cover kit, -0.2411, 1], [last week cant otterbox counterfeit, 0.5719, 4], [, 0.9749, 3], [, 0.0, 1]]"
B00ME7N6P8,[0.7096],[4],"[[money, use]]","[[money use, 0.7096, 4]]"
B00MIQQRT2,"[0.8676, 0.6369, -0.2823]","[5, 5, 2]","[[case, thank, recommend], [love, look, charger, doesnt, fit], [case, describe]]","[[case thank recommend, 0.8676, 5], [love look charger doesnt fit, 0.6369, 5], [case describe, -0.2823, 2]]"
B00MVGKJMU,"[0.0, -0.3544, -0.7197]","[3, 3, 1]","[[take, ship, product, expect], [work, okay, iphone, screen, replacement, buy], [get, time, replace, screen, work, touch, screen, pop, week, screen, color, mess, screen, longer, work, buy, dont, recommend, buy, replacement, screen, ive, notice, others, leave, review]]","[[take ship product expect, 0.0, 3], [work okay iphone screen replacement buy, -0.3544, 3], [get time replace screen work touch screen pop week screen color mess screen longer work buy dont recommend buy replacement screen ive notice others leave review, -0.7197, 1]]"
B00N1AG41A,"[0.7635, 0.1643]","[5, 4]","[[case, retro, chic], [fit, taking, time, charger, fit, case, product, temper, glass, cover, remove, outer, plastic, come, case, safe, phone, corner, wear, color, stickler, stuff]]","[[case retro chic, 0.7635, 5], [fit taking time charger fit case product temper glass cover remove outer plastic come case safe phone corner wear color stickler stuff, 0.1643, 4]]"
B00NGYZU20,[0.0],[5],"[[look, iphone, case]]","[[look iphone case, 0.0, 5]]"
B00NLXDW4O,"[-0.3291, 0.0]","[2, 2]","[[crack, st, fall, need, cover, order, whole, set, price, ok, poor, quality], [dificul]]","[[crack st fall need cover order whole set price ok poor quality, -0.3291, 2], [dificul, 0.0, 2]]"
