B0007WRQOO,"[0.4404, 0.5719]","[5, 5]","[[work, perfect], [ship, install]]","[[work perfect, 0.4404, 5], [ship install, 0.5719, 5]]"
B00H7TTYKE,[0.869],[5],"[[think, case, order, receive, put, phone, g, leather, didnt, want, take, decide, keep, order, glass, screen, protector, front, work, buy]]","[[think case order receive put phone g leather didnt want take decide keep order glass screen protector front work buy, 0.869, 5]]"
B00H872QSM,[-0.5733],[1],"[[qualiyi, item, buy, nothing, picture]]","[[qualiyi item buy nothing picture, -0.5733, 1]]"
B00H9KK8O2,"[0.6249, 0.8836, 0.6161, -0.296, 0.0, 0.5719]","[5, 5, 5, 5, 4, 5]","[[bubble], [ship, pricebr, great, job, protect, ipod, brother, sister, havent, complain, ], [perfect], [arrive, timework]]","[[bubble, 0.6249, 5], [ship pricebr great job protect ipod brother sister havent complain , 0.8836, 5], [perfect, 0.6161, 5], [arrive timework, -0.296, 5], [, 0.0, 4], [, 0.5719, 5]]"
B00HBOV9FS,"[0.6653, 0.7783, 0.9167, 0.1761, 0.8519, 0.4754]","[5, 5, 5, 4, 5, 5]","[[satisfy, performance, charger, suppose], [work, great, difficult, place, screen, look, brand, scratch, smudge, wipe], [protect, phone], [seems, work, fit, galaxy, make, icon, touch, swipe, feature, easy, use], [smudge, havent, problem, cant, see, scratch, im, please, screen, protector], [screen, saver, recommend]]","[[satisfy performance charger suppose, 0.6653, 5], [work great difficult place screen look brand scratch smudge wipe, 0.7783, 5], [protect phone, 0.9167, 5], [seems work fit galaxy make icon touch swipe feature easy use, 0.1761, 4], [smudge havent problem cant see scratch im please screen protector, 0.8519, 5], [screen saver recommend, 0.4754, 5]]"
B00HE5834Y,"[0.8993, 0.1027, 0.0]","[1, 1, 5]","[[streak, run, longways, screen, look, finger, smudge, clean, dust, set, face, counter, minute, leave, line, appear, phone, hour, battery, facebook, use, hour, day, hour, extreme, hibernation, mode, provide, du, battery, saver, app, comparison, maxx, doubletotriple, battery, measurement, product, time, product, pack, recommend, phone, yes, people, pc, tech, use, phone, lot, maxx, phone, battery, update, post, finding, note, background, apps, keep, run, amazon, discover, card, candy, crush, adt, pulse, update, jan, phone, wont, charge, writing, month, nobody, contact, concern, offer, make, thing, shop, seller, motorola, inc, battery, longer, hold, charge, take, minute, charge, point, turn, know, battery, memory, take, hour, charge, hour, discharge, work, computerphone, repair, shop, bring, computer, use, phone, sits, belt, case, day, time, lunch, come, get, plug, setting, describe, minute], [advertise, deliver, time], [phone, function, work, g, bar, indicate, screen, make, phone, call, data, work, fine, time, check, suppose, phone, returning]]","[[streak run longways screen look finger smudge clean dust set face counter minute leave line appear phone hour battery facebook use hour day hour extreme hibernation mode provide du battery saver app comparison maxx doubletotriple battery measurement product time product pack recommend phone yes people pc tech use phone lot maxx phone battery update post finding note background apps keep run amazon discover card candy crush adt pulse update jan phone wont charge writing month nobody contact concern offer make thing shop seller motorola inc battery longer hold charge take minute charge point turn know battery memory take hour charge hour discharge work computerphone repair shop bring computer use phone sits belt case day time lunch come get plug setting describe minute, 0.8993, 1], [advertise deliver time, 0.1027, 1], [phone function work g bar indicate screen make phone call data work fine time check suppose phone returning, 0.0, 5]]"
B00HJUJ6ZO,"[0.8074, -0.2755, -0.6381, -0.2755]","[5, 1, 1, 2]","[[arrive, break, phone], [product, fit, phone, correct, model], [thr, screen, didnt, fit, iphone, shave, tab, get, work], [fit, seem, sturdy, look, cant, ask, cover]]","[[arrive break phone, 0.8074, 5], [product fit phone correct model, -0.2755, 1], [thr screen didnt fit iphone shave tab get work, -0.6381, 1], [fit seem sturdy look cant ask cover, -0.2755, 2]]"
B00HRNACOC,[0.2716],[5],[[recommend]],"[[recommend, 0.2716, 5]]"
B00I3UWIIQ,"[0.4215, 0.2732, 0.83, 0.6249]","[5, 1, 5, 5]","[[product], [glance, case, appear, make, case, pun, intend, month, use, broke, different, location, break, side, plug, recommend, look, spend, money, month], [quality, case, ive, years, drop, phone, countless, time, case, scratch, needle, say, phone, protect], [nice]]","[[product, 0.4215, 5], [glance case appear make case pun intend month use broke different location break side plug recommend look spend money month, 0.2732, 1], [quality case ive years drop phone countless time case scratch needle say phone protect, 0.83, 5], [nice, 0.6249, 5]]"
B00I4D2YBI,[0.8316],[5],"[[excellent, sound, tiny, speaker, use, fill, sound, rear, deck, infinity, system, hyundai, work]]","[[excellent sound tiny speaker use fill sound rear deck infinity system hyundai work, 0.8316, 5]]"
B00I7Y6P2S,"[0.9453, 0.4404]","[5, 5]","[[say, tin, buy, sheet, money, cut, correct, size, shape, im, happy, use, wet, method], [bestvalue, screen, protector, purchase, instruction, installation, material, screen, bubble, screen, protector, seem, get, smudgy, work, pack, price, recommend]]","[[say tin buy sheet money cut correct size shape im happy use wet method, 0.9453, 5], [bestvalue screen protector purchase instruction installation material screen bubble screen protector seem get smudgy work pack price recommend, 0.4404, 5]]"
B00IB2AB4O,[0.0],[1],"[[need, zte, warp, g, n]]","[[need zte warp g n, 0.0, 1]]"
B00IEYG5EY,"[0.5719, 0.5994]","[5, 5]","[[fit, perfect], [love]]","[[fit perfect, 0.5719, 5], [love, 0.5994, 5]]"
B00IFJDDFM,[0.0],[1],"[[expect, cheap, piece, plastic, raising, volume, bit, think, use, charger, dock]]","[[expect cheap piece plastic raising volume bit think use charger dock, 0.0, 1]]"
B00IR1Y5GY,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B00IRWLIX6,[0.765],[5],"[[fit, great]]","[[fit great, 0.765, 5]]"
B00J62F904,"[0.6249, 0.3612, 0.6249, 0.7906]","[5, 5, 4, 5]","[[nice, designsteps], [product, install, simple, instruction], [thank]]","[[nice designsteps, 0.6249, 5], [product install simple instruction, 0.3612, 5], [thank, 0.6249, 4], [, 0.7906, 5]]"
B00JHCLKSI,[0.9672],[5],"[[phone, case, ive, purchase, quality, protects, phone, drop, phone, lot, case, stood, impact, color]]","[[phone case ive purchase quality protects phone drop phone lot case stood impact color, 0.9672, 5]]"
B00JOB3QDY,[0.6479],[3],"[[enjoy, case, quality, id, broke, day]]","[[enjoy case quality id broke day, 0.6479, 3]]"
B00JPSOF9K,[0.7178],[5],"[[nice, feel, case, plastic, insert, work, hold, phone]]","[[nice feel case plastic insert work hold phone, 0.7178, 5]]"
B00K8GZI08,"[0.296, 0.8214, 0.0, 0.6249, 0.4927, 0.6249, 0.0]","[5, 5, 5, 5, 5, 5, 5]","[[cellphone], [cheap, work], [work, expect], [receive, work], [charging, im, order, couple, friend], [work, expect, charge, syncing, ipad], [work, charge, product, describe, price, ship, buy, confidence, vendor]]","[[cellphone, 0.296, 5], [cheap work, 0.8214, 5], [work expect, 0.0, 5], [receive work, 0.6249, 5], [charging im order couple friend, 0.4927, 5], [work expect charge syncing ipad, 0.6249, 5], [work charge product describe price ship buy confidence vendor, 0.0, 5]]"
B00KHMBKOG,[0.5994],[5],"[[restore, phone]]","[[restore phone, 0.5994, 5]]"
B00KIF4VMA,[0.0],[4],"[[last, chargethumbs]]","[[last chargethumbs, 0.0, 4]]"
B00KJ0ZI4O,[0.5859],[5],"[[come, fast, sound, amaze]]","[[come fast sound amaze, 0.5859, 5]]"
B00KL65WPG,[0.0],[5],[[sgood]],"[[sgood, 0.0, 5]]"
B00KLMZ9FI,[0.8519],[5],"[[privacy, screen, perfect, mirror]]","[[privacy screen perfect mirror, 0.8519, 5]]"
B00KRSV1ZI,[0.5719],[5],"[[wife, love]]","[[wife love, 0.5719, 5]]"
B00KTV575I,[0.8481],[4],"[[case, fit, took, get]]","[[case fit took get, 0.8481, 4]]"
B00KVD3J2W,[0.4927],[5],"[[micro, sim]]","[[micro sim, 0.4927, 5]]"
B00KVLXHDK,[0.0],[5],[[exelente]],"[[exelente, 0.0, 5]]"
B00L0SDDU0,[0.7845],[5],"[[case, awesome, customer, service, case, well, expect, price]]","[[case awesome customer service case well expect price, 0.7845, 5]]"
B00L9ICD5W,"[0.937, 0.9217, 0.7902, 0.6369, 0.7968]","[5, 5, 5, 5, 5]","[[boy, phone, get, drop, case, protect, phone], [love, caseology, time, buy, phone, people, check, see, cover, need, thank], [case, order, expect, love], [im, purchase, phone, case, internet, description, vague, untruthful, feel, case, worth, money, nice, clean, look, color, mute, mint, color, noslide, texture, ideal, desk, toss, hurry, button, area, flush, case, dont, option, turn, screen, purse, side, button, try, mute, ringer], [case, fit, protects, phone, order, size, iphone, case, return, hassle, happy, product, happy, service]]","[[boy phone get drop case protect phone, 0.937, 5], [love caseology time buy phone people check see cover need thank, 0.9217, 5], [case order expect love, 0.7902, 5], [im purchase phone case internet description vague untruthful feel case worth money nice clean look color mute mint color noslide texture ideal desk toss hurry button area flush case dont option turn screen purse side button try mute ringer, 0.6369, 5], [case fit protects phone order size iphone case return hassle happy product happy service, 0.7968, 5]]"
B00LBXIOBM,[0.8338],[3],"[[ok, get, lot, clear, conference, call, listen]]","[[ok get lot clear conference call listen, 0.8338, 3]]"
B00LDL08ZW,[0.8271],[5],"[[way, carry, earpiece, dont, charger, keep, cleaner, protect]]","[[way carry earpiece dont charger keep cleaner protect, 0.8271, 5]]"
B00LEFRRQK,"[0.7553, 0.7964, 0.5423, 0.2263, -0.743, 0.0, 0.296, 0.0, 0.5719, 0.7269, 0.0, 0.872, -0.296]","[5, 5, 3, 2, 1, 5, 5, 2, 5, 3, 1, 5, 1]","[[miss, remote, get, returning], [rat, use, twice, saw, need], [iphone, ], [perfect], [stick, work, however, clicker, cheap, stop, work, month], [wish, swivel, part, hand, operation, come, instruction, figure, pair, phone, button, dont, communicating], [get, year, work, mom, us, time, haha], [okay, man], [excellent, quality, fast, shipping, thank], [pick, start, broke, day, quality], [receive], [ok], [take, disneyland, ban, work, dont, use, take, picture, everything, nice, wife, get, sick, arm, picture, money, purchase, buy, buy, quality, buy]]","[[miss remote get returning, 0.7553, 5], [rat use twice saw need, 0.7964, 5], [iphone , 0.5423, 3], [perfect, 0.2263, 2], [stick work however clicker cheap stop work month, -0.743, 1], [wish swivel part hand operation come instruction figure pair phone button dont communicating, 0.0, 5], [get year work mom us time haha, 0.296, 5], [okay man, 0.0, 2], [excellent quality fast shipping thank, 0.5719, 5], [pick start broke day quality, 0.7269, 3], [receive, 0.0, 1], [ok, 0.872, 5], [take disneyland ban work dont use take picture everything nice wife get sick arm picture money purchase buy buy quality buy, -0.296, 1]]"
B00LGQCAFK,"[0.9524, 0.0]","[5, 4]","[[convenient, hold, phone, card, place], [perfect, wallet, cover, phone, value]]","[[convenient hold phone card place, 0.9524, 5], [perfect wallet cover phone value, 0.0, 4]]"
B00LGZXTSI,"[-0.964, 0.6249, 0.5826, -0.5106, 0.0, 0.0, 0.0, 0.765, -0.2041]","[1, 5, 5, 1, 5, 5, 5, 5, 5]","[[expect], [bring, phone, june, problem, use, samsung, phone, past, year, problem, phone, problemsbr, charge, leave, hour, charge, fullybr, sometiomes, battery, run, sometimes, make, phone, call, example, call, number, time, call, ost, time, tell, register, networkbr, send, sm, message, whatsup, viber, go, time, receive, message, time, take, hour, receive, message, sent, hour, vice, versabr, br, problem, recall, went, couple, time, phone, carrier, replace, chip, card, assume, problem, continue, againbr, dont, buy, phone, cames, looooot, problem], [excellent, product, good, price], [phone, month, second, phone, buy, amazon, year, broke], [excelente], [phone, upgrade, smini, meet, need, kitkat, operating, system, allow, rd, party, apps, write, card, use, e, explorer, apps, move, file, pc, phone, plugging, phone, pc, downgrade, capability, root, phone, fix, wait, till, warranty, try], [phone, work, fine, usage, minute, day, navigation, gps, data, transfer, minute, web, browse, minute, call, battery, day, skype, video, call, g, drain, battery, minutebr, br, bit, disappoint, issue, side, skype, video, call, complain, sound, video, drop, im, issue, phone, g, network], [product]]","[[expect, -0.964, 1], [bring phone june problem use samsung phone past year problem phone problemsbr charge leave hour charge fullybr sometiomes battery run sometimes make phone call example call number time call ost time tell register networkbr send sm message whatsup viber go time receive message time take hour receive message sent hour vice versabr br problem recall went couple time phone carrier replace chip card assume problem continue againbr dont buy phone cames looooot problem, 0.6249, 5], [excellent product good price, 0.5826, 5], [phone month second phone buy amazon year broke, -0.5106, 1], [excelente, 0.0, 5], [phone upgrade smini meet need kitkat operating system allow rd party apps write card use e explorer apps move file pc phone plugging phone pc downgrade capability root phone fix wait till warranty try, 0.0, 5], [phone work fine usage minute day navigation gps data transfer minute web browse minute call battery day skype video call g drain battery minutebr br bit disappoint issue side skype video call complain sound video drop im issue phone g network, 0.0, 5], [product, 0.765, 5], [, -0.2041, 5]]"
B00LMGDW1K,[0.5262],[5],"[[buy, month, work, yet, connects, phone, time]]","[[buy month work yet connects phone time, 0.5262, 5]]"
B00MELTWBQ,[0.7783],[5],"[[gift, love]]","[[gift love, 0.7783, 5]]"
B00MJ27L90,[0.6369],[5],"[[order, today]]","[[order today, 0.6369, 5]]"
B00MMXNGZ4,[0.9217],[5],"[[wristlet, super, useful, youre, go, phone, idcredit, card, super, tiny, pocket, wrist]]","[[wristlet super useful youre go phone idcredit card super tiny pocket wrist, 0.9217, 5]]"
B00MN0T9O8,"[0.0, -0.5106]","[1, 2]","[[shotty, build, quality, let], [use, past, month, device, report, accessory, longer, charge, device, plug]]","[[shotty build quality let, 0.0, 1], [use past month device report accessory longer charge device plug, -0.5106, 2]]"
B00N28AREG,"[0.4404, 0.6249, 0.4404]","[5, 5, 4]","[[case], [ship, awesome, product]]","[[case, 0.4404, 5], [ship awesome product, 0.6249, 5], [, 0.4404, 4]]"
B00N9WKTUM,"[-0.296, -0.8489]","[4, 1]","[[item, dont, work, second, repeat, instalator, worker, speaker, system, box, screw, nothingmissing, screw, think, open, return, doesnt, work, problem, live, quito, equador, send, replacement, know, claimi, disappoint, buy, waste], [ground, loop, issue, cant, charge, phone, use, time, charge, get, addon, assume, bluetooth, addon, ground, loop, issue, phone, loud, dc, pop, jack, activate]]","[[item dont work second repeat instalator worker speaker system box screw nothingmissing screw think open return doesnt work problem live quito equador send replacement know claimi disappoint buy waste, -0.296, 4], [ground loop issue cant charge phone use time charge get addon assume bluetooth addon ground loop issue phone loud dc pop jack activate, -0.8489, 1]]"
B00NB9BZ8I,[0.6249],[5],[[price]],"[[price, 0.6249, 5]]"
B00NBT1IEY,[0.8316],[5],"[[birthday, gift, son, order, color, product]]","[[birthday gift son order color product, 0.8316, 5]]"
B00NCKVATA,"[0.5106, 0.3716, 0.4215]","[4, 3, 5]","[[nice, case], [design, feel, didnt, month], [fit, great, look, want, limit, damage, protection, dont, claim, anything, different]]","[[nice case, 0.5106, 4], [design feel didnt month, 0.3716, 3], [fit great look want limit damage protection dont claim anything different, 0.4215, 5]]"
B00NFYH9LG,[0.6249],[5],"[[item, fast, delivery]]","[[item fast delivery, 0.6249, 5]]"
B00NG8IJT2,[0.4404],[3],[[gift]],"[[gift, 0.4404, 3]]"
B00NID59Y8,"[-0.4215, -0.3377, 0.0, 0.4404, 0.044, 0.8934]","[1, 2, 5, 3, 2, 5]","[[case, lil, month, fall, apart, disappoint, love], [texture, bit, stiff, good, case], [perfect, work, protect, phone, drop], [convenient, doesnt, case, week, start, look, worn, crack, bend, week, seem, rip, wallet, part, wont, hold, money, card, overstuff, anything, ill, order, price, quality, compare, otterbox, wallet, case], [expect], [strap, break, start, come, apart, didnt, use]]","[[case lil month fall apart disappoint love, -0.4215, 1], [texture bit stiff good case, -0.3377, 2], [perfect work protect phone drop, 0.0, 5], [convenient doesnt case week start look worn crack bend week seem rip wallet part wont hold money card overstuff anything ill order price quality compare otterbox wallet case, 0.4404, 3], [expect, 0.044, 2], [strap break start come apart didnt use, 0.8934, 5]]"
B00NQGFQFE,"[0.8271, 0.8788, 0.6249, -0.6642, 0.9802, 0.296, -0.2263]","[5, 5, 5, 1, 5, 4, 1]","[[think, phone, ok, screen, start, freeze, responding, touchmay, great, buy], [im, phone, say, wow, switch, iphone, blu, phone, shipping, take, day, live, california, ship, pretty, take, phone, att, store, time, transfer, number, phone, european, surprise, br, phone, take, get, use, lovebr, p, take, charger, hold, power, button, second, put, battery, charge, didnt, phone, wasnt, charge, ], [phone, stop, work, day, use, power, button, doesnt, work, apps, knockoff, say, thing, thing], [ok], [window, phone], [research, phone, disappoint, arrive, quality, fast, colorful, phone, pink, rightit, gift, box, come, quality, usb, cable, charger, head, phone, screen, protector, match, pink, case, phone, thin, battery, use, get, day, charge, video, play, everything, load, call, quality, sound, build, speaker, super, clear, sound, nice, feature, sim, business, number, phone, choose, number, sim, use, data, use, carrier, phone, great, make, purchase], [quality, unlock, window, phone, everything, describe, package, issue, wife, love, phone, price]]","[[think phone ok screen start freeze responding touchmay great buy, 0.8271, 5], [im phone say wow switch iphone blu phone shipping take day live california ship pretty take phone att store time transfer number phone european surprise br phone take get use lovebr p take charger hold power button second put battery charge didnt phone wasnt charge , 0.8788, 5], [phone stop work day use power button doesnt work apps knockoff say thing thing, 0.6249, 5], [ok, -0.6642, 1], [window phone, 0.9802, 5], [research phone disappoint arrive quality fast colorful phone pink rightit gift box come quality usb cable charger head phone screen protector match pink case phone thin battery use get day charge video play everything load call quality sound build speaker super clear sound nice feature sim business number phone choose number sim use data use carrier phone great make purchase, 0.296, 4], [quality unlock window phone everything describe package issue wife love phone price, -0.2263, 1]]"
B00NUDYD6Q,[0.0433],[1],"[[cheap, material, cheap, plastic, feel, playdoh, wont, send, want, spend, money, return, recommend, product]]","[[cheap material cheap plastic feel playdoh wont send want spend money return recommend product, 0.0433, 1]]"
B00NX829N2,[-0.9428],[2],"[[impress, product, quality, lack, day, charge, port, door, seal, broke, quality, control, issue, thing, hold, place, piece, rubber, fail, use, fatigue, impact, ability, case, mute, button, tick, cause, phone, mute, mode, receive, thousand, doesnt, represent, product, line, nevertheless, ship]]","[[impress product quality lack day charge port door seal broke quality control issue thing hold place piece rubber fail use fatigue impact ability case mute button tick cause phone mute mode receive thousand doesnt represent product line nevertheless ship, -0.9428, 2]]"
B00O0Q2IXC,[0.7506],[5],"[[holster, fraction, cost, otterbox, holster, functionality]]","[[holster fraction cost otterbox holster functionality, 0.7506, 5]]"
B00OFRAH66,[0.6249],[5],"[[anything, tom, brady, great]]","[[anything tom brady great, 0.6249, 5]]"
B00OH4HP30,"[0.6313, 0.0]","[1, 5]","[[buy, brand, nexus, week, bought, case, yesterday, time, phone, slip, hand, fell, asphalt, nexus, glass, break, case, break, wasnt, great, hit, event, want, case, buy, want, case, protect, phone, look], [pearl, white, case]]","[[buy brand nexus week bought case yesterday time phone slip hand fell asphalt nexus glass break case break wasnt great hit event want case buy want case protect phone look, 0.6313, 1], [pearl white case, 0.0, 5]]"
