B0009A0CSQ,[0.4404],[4],[[sale]],"[[sale, 0.4404, 4]]"
B007FHX9OK,"[-0.6908, 0.5023, 0.891, 0.9331, -0.3412, -0.2057, 0.9968, 0.6249, -0.4588, 0.2732, 0.8126, 0.8519, 0.8591, 0.6249, 0.5423, 0.6697, 0.5994, 0.8999, -0.9127, 0.8183, -0.4215, 0.7346, 0.6249, 0.6369, 0.4404, 0.7472, 0.9451, -0.2144, 0.7574, 0.9597]","[3, 5, 5, 5, 4, 3, 3, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 4, 1, 5, 4, 5, 5, 5, 4, 4, 5, 5]","[[suction, cup, stick, textured, dash, slick, wood, dash], [product], [bit, bulky, interfere, view, windshield, work, promise], [excellent, experience, use, product, hold, phone, fine, super, put, phone, remove, phone, work, problem, halfstar, deduction, amazon, allow, star, deduction, place, car, dash, struggle, get, hand, thats, phone, wont, fall, pothole, want, take, car, something, want, reposition, block, afternoon, get, thing, unstuck, dash], [product, stick, windshield, forever], [work, year, suction, cup, part, melt, dash, thing, longer, hold, say, dont, mean, hotter, degree], [handsfree, alternative, car, capability, vehicle, hottie, mount, dash, steer, wheel, see, call, look, complaint, screw, adjusts, angle, phone, hold, place, loosen, cause, mount, phone, slip, rest, dash, stay, upward, angle], [get, gift, roommate, love, use, iphone, c, make, use, navigation], [give, star, month, become, crook, start, falling], [work, great, issue, solid, construction], [succion, cup, placing, iphone, done, way, make, operation, done, hand], [product, hold], [amaze, time, use, hour, day, hasnt, break, couple, time, fell, dashboard, get, suction, cup, bit, wet, reattached], [leave, review, product, purchase, amazon, help, want, play, music, navigate, gps, dont, look, cup, holder, lap, anymore, suction, cup, thing, death, grip, wherever, want, stick, surface, flat, nontextured, find, include, windshield, hang, sucker, holder, amaze, clamp, side, holder, button, put, phone, press, press, phone, clamp, cling, whatever, adjust, easy, release, adjustability, billion, adjust, thing, zillion, different, way, get, want, maximum, accessibility, adjust, stand, holder, thing, tray, thing, hold, bottom, phone, want, charge, phone, plug, aux, cable, easy, remove, peel, tab, easy, clean, use, water, transfer, car, use, baby, car, year, work, charm, love, thing, recommend, product, people, edit, take, star, removal, others, say, leave, super, sticky, glue, residue, thats, remove, get, windshield, cant, imagine, leather, fancy, surface, wouldnt, risk], [awesome, hold, phone, phone, case], [super], [product], [work, car, ship, quick, price, thanks, husband, love], [work, great], [love], [stick], [buy, purchase, car, great, product, price, last, year, go], [suction, cup, car, extreme, sunlight, time, lose, suction, power, phone, hold, problem, recommend, coworker], [rigid, stick, make, mark, use, iphone, adjust, fix, deg, recommend, use, month], [piece, equipment, set, snug, bug, rug, great, fun, periscoping, need, try, prop, iphone, use, gps], [gasket, fail, defect, rubber], [job, cost, nothing, product], [cause, damage, dashboard, cant, remove, suction, cup, leave, imprint, dashboard, buy, car, disappoint, farce, regret, purchase, item, put, dashboard], [phone, stand, lg, g, case, fit, motorola, turbo, case, case, get, turbo, otterbox, fit, check, measurement]]","[[suction cup stick textured dash slick wood dash, -0.6908, 3], [product, 0.5023, 5], [bit bulky interfere view windshield work promise, 0.891, 5], [excellent experience use product hold phone fine super put phone remove phone work problem halfstar deduction amazon allow star deduction place car dash struggle get hand thats phone wont fall pothole want take car something want reposition block afternoon get thing unstuck dash, 0.9331, 5], [product stick windshield forever, -0.3412, 4], [work year suction cup part melt dash thing longer hold say dont mean hotter degree, -0.2057, 3], [handsfree alternative car capability vehicle hottie mount dash steer wheel see call look complaint screw adjusts angle phone hold place loosen cause mount phone slip rest dash stay upward angle, 0.9968, 3], [get gift roommate love use iphone c make use navigation, 0.6249, 5], [give star month become crook start falling, -0.4588, 2], [work great issue solid construction, 0.2732, 5], [succion cup placing iphone done way make operation done hand, 0.8126, 5], [product hold, 0.8519, 5], [amaze time use hour day hasnt break couple time fell dashboard get suction cup bit wet reattached, 0.8591, 5], [leave review product purchase amazon help want play music navigate gps dont look cup holder lap anymore suction cup thing death grip wherever want stick surface flat nontextured find include windshield hang sucker holder amaze clamp side holder button put phone press press phone clamp cling whatever adjust easy release adjustability billion adjust thing zillion different way get want maximum accessibility adjust stand holder thing tray thing hold bottom phone want charge phone plug aux cable easy remove peel tab easy clean use water transfer car use baby car year work charm love thing recommend product people edit take star removal others say leave super sticky glue residue thats remove get windshield cant imagine leather fancy surface wouldnt risk, 0.6249, 5], [awesome hold phone phone case, 0.5423, 5], [super, 0.6697, 5], [product, 0.5994, 5], [work car ship quick price thanks husband love, 0.8999, 5], [work great, -0.9127, 1], [love, 0.8183, 4], [stick, -0.4215, 1], [buy purchase car great product price last year go, 0.7346, 5], [suction cup car extreme sunlight time lose suction power phone hold problem recommend coworker, 0.6249, 4], [rigid stick make mark use iphone adjust fix deg recommend use month, 0.6369, 5], [piece equipment set snug bug rug great fun periscoping need try prop iphone use gps, 0.4404, 5], [gasket fail defect rubber, 0.7472, 5], [job cost nothing product, 0.9451, 4], [cause damage dashboard cant remove suction cup leave imprint dashboard buy car disappoint farce regret purchase item put dashboard, -0.2144, 4], [phone stand lg g case fit motorola turbo case case get turbo otterbox fit check measurement, 0.7574, 5], [, 0.9597, 5]]"
B007HY48CS,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B007ZDCGVG,[0.7351],[5],"[[perfect, fit, tj, wrangler, polk, db]]","[[perfect fit tj wrangler polk db, 0.7351, 5]]"
B008RZ0FFA,"[0.6249, 0.0, 0.0]","[5, 4, 3]","[[replacement, battery, expect], [work, great], [product, receive, advertise]]","[[replacement battery expect, 0.6249, 5], [work great, 0.0, 4], [product receive advertise, 0.0, 3]]"
B008VHM0DY,[0.6249],[5],"[[use, ac, unit, replacement, year, south, ac, fire, keep, prompt, ship, product]]","[[use ac unit replacement year south ac fire keep prompt ship product, 0.6249, 5]]"
B009OZVUK6,[0.7906],[3],"[[price, work, part, button, work, product]]","[[price work part button work product, 0.7906, 3]]"
B00A434860,"[0.4404, 0.0]","[4, 5]","[[ver, y, good], [need, glare]]","[[ver y good, 0.4404, 4], [need glare, 0.0, 5]]"
B00AQT5CJO,"[0.0, -0.6142]","[1, 1]","[[work], [product, quality, weak, wish, buy]]","[[work, 0.0, 1], [product quality weak wish buy, -0.6142, 1]]"
B00BGW1PFA,[-0.1027],[4],"[[fm, tuner, weak, cant, pick, radio, station]]","[[fm tuner weak cant pick radio station, -0.1027, 4]]"
B00BXYN0K4,[-0.4588],[1],"[[wasnt, case, suck]]","[[wasnt case suck, -0.4588, 1]]"
B00C30XCH8,[0.0],[3],"[[cheep, stitch]]","[[cheep stitch, 0.0, 3]]"
B00CRO1TLQ,[-0.4404],[2],"[[rubber, collect, black, streak, anything, touch, throw, month, look, dirty]]","[[rubber collect black streak anything touch throw month look dirty, -0.4404, 2]]"
B00D418EGE,[0.0],[5],[[expect]],"[[expect, 0.0, 5]]"
B00DOL0CXC,"[0.9175, 0.8883, 0.9348, 0.1901]","[4, 5, 5, 4]","[[perfect, fit, protect, phone], [case, color, protects, recommend], [nice, case, otterbox, love, design, doesnt, love, color], [hold, br, wasnt, heavy, id, home]]","[[perfect fit protect phone, 0.9175, 4], [case color protects recommend, 0.8883, 5], [nice case otterbox love design doesnt love color, 0.9348, 5], [hold br wasnt heavy id home, 0.1901, 4]]"
B00DPSTVUY,[0.0],[5],"[[perfectand, arrive]]","[[perfectand arrive, 0.0, 5]]"
B00DSPQN2I,[0.0772],[1],"[[ad, say, fit, blackberry, q, email, company, send, respond, give, arm, band, slip]]","[[ad say fit blackberry q email company send respond give arm band slip, 0.0772, 1]]"
B00DV8APCG,[-0.2755],[1],"[[purchase, case, fit, phone]]","[[purchase case fit phone, -0.2755, 1]]"
B00E8ODMTK,[0.0],[5],"[[match, description]]","[[match description, 0.0, 5]]"
B00EEVTR64,[0.7346],[5],"[[compliment, month, get, reviewing, held, stitch, fade, problem, quality, product]]","[[compliment month get reviewing held stitch fade problem quality product, 0.7346, 5]]"
B00EO50G3I,[-0.1531],[2],"[[phone, case, ok, kick, stand, broke, week, case, start, chip]]","[[phone case ok kick stand broke week case start chip, -0.1531, 2]]"
B00EPBD1DS,"[-0.6329, 0.6486, 0.0]","[1, 5, 5]","[[usb, charger, damage, accept, charge, play, charge, annoy, pay, replace, decide, buy, diy, charger, port, instal, start, get, phone, chargingbattery, temp, message, time, see, message, message, wouldnt, clear, phone, wouldnt, charge, end, reinstall, least, work, help, draw, board, br, deal, make, unit, otherwise, look, replace], [work, install, fix, charge, problem], [star, product, fix, charge, microphone, issue, tool, use, know, cheaper, deliver]]","[[usb charger damage accept charge play charge annoy pay replace decide buy diy charger port instal start get phone chargingbattery temp message time see message message wouldnt clear phone wouldnt charge end reinstall least work help draw board br deal make unit otherwise look replace, -0.6329, 1], [work install fix charge problem, 0.6486, 5], [star product fix charge microphone issue tool use know cheaper deliver, 0.0, 5]]"
B00F678FHM,[0.886],[3],"[[case, make, xperia, z, port, cant, charge, use, headset, case, give, star, beause, protects, phone, fit, model]]","[[case make xperia z port cant charge use headset case give star beause protects phone fit model, 0.886, 3]]"
B00F76YA1M,[0.4404],[5],[[thanks]],"[[thanks, 0.4404, 5]]"
B00FOHRI4K,[0.978],[5],"[[prettiest, phone, case, texture, nice, enoughit, fit, phone, perfect, nd, skin, love, whenever, bring, phone, someone, say, love, phone, case, delivery, earlier, expect]]","[[prettiest phone case texture nice enoughit fit phone perfect nd skin love whenever bring phone someone say love phone case delivery earlier expect, 0.978, 5]]"
B00FPOQ67W,"[-0.4588, 0.0]","[1, 4]","[[suck, throw, trash], [consider, come, world, work, grea]]","[[suck throw trash, -0.4588, 1], [consider come world work grea, 0.0, 4]]"
B00FTFQMNA,[0.0],[5],"[[look, make, custom, case]]","[[look make custom case, 0.0, 5]]"
B00FXY140S,"[-0.2755, -0.1695, 0.5106, 0.707, 0.34, 0.2023, -0.4964, 0.6901, 0.7717]","[1, 1, 5, 5, 3, 5, 2, 4, 5]","[[please, product, thank], [fit, way, expect], [hook, piece, pop, ring, attache, worth, hassle], [order, sister, broke, surprise, tell, find, replacement, happy, thank], [expect, find, item, website, happy], [pop, apart], [work, great, plastic, appear, break, grey, one], [describe, price, downside, shipping, time, oh], [seem, litttle, flimsier, work, beat, pricedelivery, take]]","[[please product thank, -0.2755, 1], [fit way expect, -0.1695, 1], [hook piece pop ring attache worth hassle, 0.5106, 5], [order sister broke surprise tell find replacement happy thank, 0.707, 5], [expect find item website happy, 0.34, 3], [pop apart, 0.2023, 5], [work great plastic appear break grey one, -0.4964, 2], [describe price downside shipping time oh, 0.6901, 4], [seem litttle flimsier work beat pricedelivery take, 0.7717, 5]]"
B00G46M6LA,[0.0],[1],"[[case, look, cheap, gold, color, shown, seam, run, side, couple, week, use, scratch, bang, showing, gold, coat]]","[[case look cheap gold color shown seam run side couple week use scratch bang showing gold coat, 0.0, 1]]"
B00G6F233U,"[0.6369, 0.0, 0.5408]","[5, 5, 5]","[[klass], [fit, phone], [case, stylish, keep, phone, safe, drop, time, work, scratch, recommend, gathering, lot, dirt, get, cheap, price]]","[[klass, 0.6369, 5], [fit phone, 0.0, 5], [case stylish keep phone safe drop time work scratch recommend gathering lot dirt get cheap price, 0.5408, 5]]"
B00GHHM3TG,"[0.6808, 0.7295, -0.2057, 0.0, 0.6249, 0.5719, 0.3182, 0.9186, 0.7394, -0.2982, 0.6249, 0.5719]","[5, 5, 2, 4, 5, 5, 3, 5, 4, 1, 5, 4]","[[buy, item, car, go, road, trip, perfect, recommend, quality, great], [charge, port, broke, month, purchase, recommend], [product, work, fine, rattle, lighter, product], [thing, hold, iphone, upright, ford, escape, charge, port, cigarette, lighter, port, work, advertise, spring, release, grant, month, get, use, day, son, car, cant, go, price], [excellent, product], [product, everything, advertise, didnt, care, bulky, purchase, road, trip, end, purchase, product, day, use], [look, work], [ship, item], [excellent], [bit, phone, attach, tends, slump, drive, hitting, bump, etc, hold, nut, tight, hold, nut, tight, bend, arm, desire, position, didnt, take, holding, tab, side, crush, point, phone, case, slide, put, velcro, stick, phone, way, cost, star, ratingbr, work, set, usb, plug, use, v, car, plug, adapterbr, br, word, warn, send, multiple, email, beg, review, annoys, shed, star, begging, star], [item, fit, piece], [note, note, ]]","[[buy item car go road trip perfect recommend quality great, 0.6808, 5], [charge port broke month purchase recommend, 0.7295, 5], [product work fine rattle lighter product, -0.2057, 2], [thing hold iphone upright ford escape charge port cigarette lighter port work advertise spring release grant month get use day son car cant go price, 0.0, 4], [excellent product, 0.6249, 5], [product everything advertise didnt care bulky purchase road trip end purchase product day use, 0.5719, 5], [look work, 0.3182, 3], [ship item, 0.9186, 5], [excellent, 0.7394, 4], [bit phone attach tends slump drive hitting bump etc hold nut tight hold nut tight bend arm desire position didnt take holding tab side crush point phone case slide put velcro stick phone way cost star ratingbr work set usb plug use v car plug adapterbr br word warn send multiple email beg review annoys shed star begging star, -0.2982, 1], [item fit piece, 0.6249, 5], [note note , 0.5719, 4]]"
B00GNCMSRM,[0.9707],[5],"[[simple, case, perfect, way, protect, fit, note, feel, touch, shade, pink, pearlescent, kickstand, use, recommend, satisfy, mention, price]]","[[simple case perfect way protect fit note feel touch shade pink pearlescent kickstand use recommend satisfy mention price, 0.9707, 5]]"
B00GQN451A,[-0.3804],[1],"[[diappointing, case, loose, doesnt, stay, phone]]","[[diappointing case loose doesnt stay phone, -0.3804, 1]]"
B00GZ1GTEO,[0.8534],[5],"[[otterbox, need, say, fit, excellent, product]]","[[otterbox need say fit excellent product, 0.8534, 5]]"
B00H9O5CFI,[-0.2732],[3],"[[get, hot, charge]]","[[get hot charge, -0.2732, 3]]"
B00HRWMFNE,"[0.6249, 0.0, 0.4588, 0.6369]","[5, 5, 4, 4]","[[try, end, buying, week], [fit, galaxy, dont, case], [buy], [put, iphone, speck, case, exact, reason, buy, armband, holder]]","[[try end buying week, 0.6249, 5], [fit galaxy dont case, 0.0, 5], [buy, 0.4588, 4], [put iphone speck case exact reason buy armband holder, 0.6369, 4]]"
B00ICMW0RY,"[0.765, 0.5106]","[5, 5]","[[purchase, product, work, set], [self, coolest, thing]]","[[purchase product work set, 0.765, 5], [self coolest thing, 0.5106, 5]]"
B00IHFDRXW,[0.5023],[3],"[[scratch, back, mine, look, picture]]","[[scratch back mine look picture, 0.5023, 3]]"
B00IJ0PWBU,[0.8934],[5],"[[expect, fit, look, great, price]]","[[expect fit look great price, 0.8934, 5]]"
B00IPGVXEI,[0.7717],[5],[[recommend]],"[[recommend, 0.7717, 5]]"
B00IQ7PRHU,"[0.6369, 0.8908, 0.2732, 0.0, 0.4019]","[5, 5, 5, 5, 4]","[[use, convert, sony, action, cam, connection, gopro], [gadget, thanx], [build, fit, polaroid, cube, case], [wish, construct, aluminum, metal], [product, fit, buy]]","[[use convert sony action cam connection gopro, 0.6369, 5], [gadget thanx, 0.8908, 5], [build fit polaroid cube case, 0.2732, 5], [wish construct aluminum metal, 0.0, 5], [product fit buy, 0.4019, 4]]"
B00ITI22HY,"[0.3566, 0.701, 0.0, -0.2023, 0.6249, 0.7269]","[5, 5, 5, 1, 5, 5]","[[work, great], [product, less, month, charge, box, fry, ruin, charger, couldnt, return, spend, dollar, buy, charger, cheap, break, buy], [style, share, s, user], [convenient, press, time, charge, phone, example, go, work, morning], [product, nice, spare, charge, battery, need], [work, great, keep, backup, dont, plug, chance, day]]","[[work great, 0.3566, 5], [product less month charge box fry ruin charger couldnt return spend dollar buy charger cheap break buy, 0.701, 5], [style share s user, 0.0, 5], [convenient press time charge phone example go work morning, -0.2023, 1], [product nice spare charge battery need, 0.6249, 5], [work great keep backup dont plug chance day, 0.7269, 5]]"
B00ITN2V2K,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B00J0CT2GW,[0.9561],[5],"[[friend, tell, get, brand, im, happy, didnt, listen, pay, amazing, sound, great, connect, issue]]","[[friend tell get brand im happy didnt listen pay amazing sound great connect issue, 0.9561, 5]]"
B00J8K9ZMC,[0.4215],[5],"[[wife, like, case]]","[[wife like case, 0.4215, 5]]"
B00JX1ZKZ2,[0.0],[5],[[work]],"[[work, 0.0, 5]]"
B00JYOZ7G0,[0.9674],[5],"[[case, love, color, love, weight, durability, case]]","[[case love color love weight durability case, 0.9674, 5]]"
B00K01YS7A,[0.6249],[5],"[[awesome, speaker, instal, road, glide]]","[[awesome speaker instal road glide, 0.6249, 5]]"
B00KANGPNS,[0.9336],[4],"[[sturdy, case, protects, phone, stand, ok, work, car, dashboard, movement, fit, phone, put]]","[[sturdy case protects phone stand ok work car dashboard movement fit phone put, 0.9336, 4]]"
B00KCIW80K,[-0.0516],[2],"[[purchase, replace, amfm, radio, mfine, tuner, worse, current, need, place, went, location, house, upstairs, downstairs, get, dial, station, get, feedback, device, house, return, product, get, refund, amfm, radio, try, try, analog, tuner, see, well]]","[[purchase replace amfm radio mfine tuner worse current need place went location house upstairs downstairs get dial station get feedback device house return product get refund amfm radio try try analog tuner see well, -0.0516, 2]]"
B00KFCCVH8,[0.6115],[5],[[happy]],"[[happy, 0.6115, 5]]"
B00KGX89WM,"[0.7506, 0.0, 0.6369, 0.6353, 0.4549, 0.0]","[4, 5, 5, 5, 5, 5]","[[work, charging, device, recommend, product], [revise, review, problem, work, contact, ship, replacement, question, rating, excellent, customer, service, response, fit, inside, holder, anker, chargerconverter, earlier, review, ship], [car, use, power, bank], [work, perfectybr, get, batteryso, phone, plug], [work, advertise]]","[[work charging device recommend product, 0.7506, 4], [revise review problem work contact ship replacement question rating excellent customer service response fit inside holder anker chargerconverter earlier review ship, 0.0, 5], [car use power bank, 0.6369, 5], [work perfectybr get batteryso phone plug, 0.6353, 5], [work advertise, 0.4549, 5], [, 0.0, 5]]"
B00KH9YVVS,[0.91],[5],"[[order, well, expect, price, love, build, stand, attach, phone, plug, charger, work, well, come, phone, thank]]","[[order well expect price love build stand attach phone plug charger work well come phone thank, 0.91, 5]]"
