B0007WRQ8A,"[0.6124, 0.6808]","[5, 5]","[[yes, thank], [antenna, fit, sr, toyota, pickup, thank]]","[[yes thank, 0.6124, 5], [antenna fit sr toyota pickup thank, 0.6808, 5]]"
B00HMCHUCU,"[0.7351, 0.6249, 0.8519, 0.2732, 0.765, 0.8176, 0.6369, 0.969, 0.8079, 0.743, 0.9476, -0.4767, 0.9676, 0.765, 0.7579, 0.4927, 0.9683, 0.9436, 0.6997, 0.6908, 0.4019, 0.7176, 0.1466]","[5, 5, 5, 4, 5, 4, 3, 5, 4, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5]","[[duty, drop, phone, time, save, thought, iphone, crack, find, protecter, save, iphone], [perfect, package, buy, thing, dont, piece, home, button], [work, good, iphone, clean, screen, applying, wont, buy], [work, great, touching, sticky, part, phase, phone], [product, price, buy], [hand, best, glass, protection, iphone, use, glass, protection, year, cant, cost, protection, quality, great, job], [perfect, fit, iphones], [come, instruction, install, product, come, alcohol, wipe, fiber, clothe, installation, glass, look, cant, tell, iphone, quality, price], [excellent, product], [break, recieved, people, cheap], [experience, stick, plastic, screen, cover, cloudy, gummy, insensitive, glass, cover, top, flight, go, forgive, mistake, line, seems, screen, furthermore, bright, know, iphone, fit, hope, see, glass, cover, break, screeneeeekkkk], [perfect, fit, wife, iphone, screen, protector, broke, order, replace, say, look, way, well, cheap, plastic, one], [order, temper, glass, time, come, say, owe, phone, life, screen], [get, year, daughter, iphone, protect, screen, speck, phone, coverbr, br, school, allow, use, phone, phone, backpack, day, crack, screen, phone, bag, crack, middle, screenbr, br, cover, month, seal, edge, make, sure, clean, screen, lay, start, great, thing, screen, protector, act, phone, screen, doesnt, require, extra, pressure], [protects, screen, please], [install, straightforward, contain, everything, need, install, glass, gold, iphone, amaze, quality, residue, find, screen, protector, keep, buy, uppercase], [purchase, verizonatt, store, dust, particle, love, screen, cover, uppercase, fingerprint, resistant, part, greasy, fingersbr, thanks, product], [nice, coverage, dont, good, case, lip, protect, glass, bust, work, bel, kind, grip, max, case, doesnt, doesnt, seem, screen, protector, bc, glass, iphones, glass, thick, home, button, deep, money], [screen, protector, done, job, order, glad, went, story, sober, screen, crack, cry, baby, remember, temper, glass, screen, protector, use, credit, card, lift, boom, phone, fine, screen, protector, shatter, money, spend, im, glad, spare, get, home, recommend, everyone, purchase, worth, penny], [job], [phone, year, crack, drop, phone, frequency, height, remember, apply, compare, protector, id, try, time, im, purchase, mom, phone, seem, product]]","[[duty drop phone time save thought iphone crack find protecter save iphone, 0.7351, 5], [perfect package buy thing dont piece home button, 0.6249, 5], [work good iphone clean screen applying wont buy, 0.8519, 5], [work great touching sticky part phase phone, 0.2732, 4], [product price buy, 0.765, 5], [hand best glass protection iphone use glass protection year cant cost protection quality great job, 0.8176, 4], [perfect fit iphones, 0.6369, 3], [come instruction install product come alcohol wipe fiber clothe installation glass look cant tell iphone quality price, 0.969, 5], [excellent product, 0.8079, 4], [break recieved people cheap, 0.743, 5], [experience stick plastic screen cover cloudy gummy insensitive glass cover top flight go forgive mistake line seems screen furthermore bright know iphone fit hope see glass cover break screeneeeekkkk, 0.9476, 5], [perfect fit wife iphone screen protector broke order replace say look way well cheap plastic one, -0.4767, 1], [order temper glass time come say owe phone life screen, 0.9676, 5], [get year daughter iphone protect screen speck phone coverbr br school allow use phone phone backpack day crack screen phone bag crack middle screenbr br cover month seal edge make sure clean screen lay start great thing screen protector act phone screen doesnt require extra pressure, 0.765, 5], [protects screen please, 0.7579, 5], [install straightforward contain everything need install glass gold iphone amaze quality residue find screen protector keep buy uppercase, 0.4927, 5], [purchase verizonatt store dust particle love screen cover uppercase fingerprint resistant part greasy fingersbr thanks product, 0.9683, 5], [nice coverage dont good case lip protect glass bust work bel kind grip max case doesnt doesnt seem screen protector bc glass iphones glass thick home button deep money, 0.9436, 5], [screen protector done job order glad went story sober screen crack cry baby remember temper glass screen protector use credit card lift boom phone fine screen protector shatter money spend im glad spare get home recommend everyone purchase worth penny, 0.6997, 5], [job, 0.6908, 5], [phone year crack drop phone frequency height remember apply compare protector id try time im purchase mom phone seem product, 0.4019, 5], [, 0.7176, 4], [, 0.1466, 5]]"
B00HY6VLUQ,[0.775],[4],"[[phone, protection, easy, clip, belt, velcro, thats, duct, tape, fix, cover, area, patch]]","[[phone protection easy clip belt velcro thats duct tape fix cover area patch, 0.775, 4]]"
B00HZWJGS8,[0.0],[5],[[]],"[[, 0.0, 5]]"
B00I8BBJVM,"[0.4404, 0.9007]","[3, 2]","[[love, everything, case, pocket, deep, put, card, expose, credit, card, number, nice, thickness, protects, phone, seem, make, half, case, phone, snap, start, crack, piece, crack, purchase, case, plastic, start, fall, apart, longer, hold, phone, casebr, br, abuse, phone, dont, understand, begin, fall, apart, shame, nice, look, case, buy]]","[[love everything case pocket deep put card expose credit card number nice thickness protects phone seem make half case phone snap start crack piece crack purchase case plastic start fall apart longer hold phone casebr br abuse phone dont understand begin fall apart shame nice look case buy, 0.4404, 3], [, 0.9007, 2]]"
B00IP7EUQA,[0.0],[4],"[[work, need, wallet, part, bit, bigger]]","[[work need wallet part bit bigger, 0.0, 4]]"
B00IRMG7G4,[0.6249],[5],"[[use, awesome]]","[[use awesome, 0.6249, 5]]"
B00IRZ8EQC,"[-0.296, 0.9605, 0.4404, 0.4404]","[4, 5, 5, 5]","[[unsure, buy, phone, anyone, carrier, want, phone, longer, carrier, amazon, customer, support, help, phone, make, feel, going, comfort, zone, love, phone, arrive, condition, issue, thank, amazon, customer, support], [couple, week, purchase, phone, blue, dot, appear, camera, way, contact, seller]]","[[unsure buy phone anyone carrier want phone longer carrier amazon customer support help phone make feel going comfort zone love phone arrive condition issue thank amazon customer support, -0.296, 4], [couple week purchase phone blue dot appear camera way contact seller, 0.9605, 5], [, 0.4404, 5], [, 0.4404, 5]]"
B00J2SQL1S,"[0.0, 0.4404, -0.5423, 0.875, -0.2263, 0.6249, -0.2068, 0.204, 0.2732, 0.3818, 0.0, -0.4215]","[4, 4, 2, 5, 1, 5, 2, 1, 5, 5, 1, 2]","[[excite, doesnt, fit, phone, galaxy, edge, cri], [thanks, work, charge, look, awesome], [plug, light, come, ten, min, stop, work], [excellent, charge], [nice, work, broke, couple, week, use], [quality, fell, apart], [work, good], [course, everyone, buy, get, pay, phone, charger, last, week, loose, fit, phone, stop, work, purchase, charger], [expect], [work, car, galaxy, note, havent, try, wall, charger], [light, flicker, charge, phone, cord, longer]]","[[excite doesnt fit phone galaxy edge cri, 0.0, 4], [thanks work charge look awesome, 0.4404, 4], [plug light come ten min stop work, -0.5423, 2], [excellent charge, 0.875, 5], [nice work broke couple week use, -0.2263, 1], [quality fell apart, 0.6249, 5], [work good, -0.2068, 2], [course everyone buy get pay phone charger last week loose fit phone stop work purchase charger, 0.204, 1], [expect, 0.2732, 5], [work car galaxy note havent try wall charger, 0.3818, 5], [light flicker charge phone cord longer, 0.0, 1], [, -0.4215, 2]]"
B00JDMUTYS,[0.8593],[1],"[[year, get, cell, phone, less, year, agoand, bloody, work, bump, dont, give, talk, phone, work, fine, request, software, update, bloody, work, phone, wont, turn, screen, blackbr, br, paid, phone, get]]","[[year get cell phone less year agoand bloody work bump dont give talk phone work fine request software update bloody work phone wont turn screen blackbr br paid phone get, 0.8593, 1]]"
B00JE97F5Q,"[0.9713, -0.2263]","[5, 1]","[[speaker, connectivity, phone, laptop, sound, amaze, size, speaker, good, bass, responsebr, br, phone, call, rout, ease, build, microphone, adequate, decent, battery, life, good, recharge, time, wouldnt, hesitate, recommend, friend, buy, hearing, mine, price, cant, afford], [stop, work, week]]","[[speaker connectivity phone laptop sound amaze size speaker good bass responsebr br phone call rout ease build microphone adequate decent battery life good recharge time wouldnt hesitate recommend friend buy hearing mine price cant afford, 0.9713, 5], [stop work week, -0.2263, 1]]"
B00JGMPZRQ,[0.6249],[5],"[[look, ]]","[[look , 0.6249, 5]]"
B00JH88JDQ,"[0.444, 0.9785, 0.7003, 0.6369, 0.6369, 0.2023, 0.7574, 0.1006, -0.6369, -0.4767]","[3, 3, 5, 5, 5, 3, 5, 2, 5, 1]","[[case, month, purchase, case, none, deteriorate, case, month, card, day, drop, phone, crack, screen, didnt, put, film, heard, didnt, need, purpose, hold, card, ok], [product, work, describe, work, brand, case, slide, holder], [case, work, margin, stick, phone, crack, drop, love, lack, protection], [decent, case, flawsbr, br, prosbr, own, card, slot, type, case, hand, design, blow, incipio, stowaway, case, water, card, get, return, casebr, case, slider, sturdy, doubt, break, time, quality, seems, scratch, feel, case, protect, phone, drop, purpose, casebr, slot, headphone, plug, nice, fit, size, plug, problem, incipio, case, slide, bottom, case, headphone, jack, largebr, card, design, fit, glovebr, button, work, biggest, con, hold, phone, ear, plastic, edge, bit, triangular, shape, make, edge, dig, pass, quality, assurance, know, design, flaw, mention, stupidbr, problem, case, slippery, hand, plastic, grip, forget, put, smooth, surface, design, choice, kind, baffle, itbr, br, comfort, level, better, phone, give, star, look, combination, make, star, settle, feel, fair, slight, design, change, hand, stowaway, case, market], [poor, build, case], [drop, phone, foot, obstacle, course, damage, done, phone, case, case], [excellent, case, recommend], [nice, case, problem, dont, coating, start, wear, white, start, show, product, purchase, problem, product, go, product, time, get, case], [order, family, member, love]]","[[case month purchase case none deteriorate case month card day drop phone crack screen didnt put film heard didnt need purpose hold card ok, 0.444, 3], [product work describe work brand case slide holder, 0.9785, 3], [case work margin stick phone crack drop love lack protection, 0.7003, 5], [decent case flawsbr br prosbr own card slot type case hand design blow incipio stowaway case water card get return casebr case slider sturdy doubt break time quality seems scratch feel case protect phone drop purpose casebr slot headphone plug nice fit size plug problem incipio case slide bottom case headphone jack largebr card design fit glovebr button work biggest con hold phone ear plastic edge bit triangular shape make edge dig pass quality assurance know design flaw mention stupidbr problem case slippery hand plastic grip forget put smooth surface design choice kind baffle itbr br comfort level better phone give star look combination make star settle feel fair slight design change hand stowaway case market, 0.6369, 5], [poor build case, 0.6369, 5], [drop phone foot obstacle course damage done phone case case, 0.2023, 3], [excellent case recommend, 0.7574, 5], [nice case problem dont coating start wear white start show product purchase problem product go product time get case, 0.1006, 2], [order family member love, -0.6369, 5], [, -0.4767, 1]]"
B00JP5X698,[0.9938],[4],"[[device, couple, week, use, freerange, year, found, home, id, got, help, keep, track, here, point, makebr, br, accuracybr, great, time, sometimes, take, minute, catch, upbr, time, turn, take, minute, find, location, havent, find, problem, thoughbr, br, user, friendlynessbr, set, take, time, need, charge, couple, hoursbr, app, phone, greatbr, website, work, pc, laptop, mac, desktop, safari, mac, didnt, work, days, wrote, issue, resolve, couple, day, laterbr, usebr, br, accessoriesbr, come, accessory, belt, clip, broke, use, kid, hesitant, use, lanyard, sincebr, br, battery, lifebr, leave, mistake, battery, last, hour, try, turn, charge, night, get, forget, night, day, ok, battery, die, daybr, br, durabilitybr, seem, fragile, come, silicon, help, make, wet, situation, waterproofbr, wrap, ziplock, bag, son, attract, sprinkler, thats, work, finebr, br, geo, fence, speed, limit, so, notificationsbr, geo, fence, work, sizeperimeterbr, speed, limit, notification, work, set, speed, notify, atgood, idea, driversbr, so, work, son, doesnt, understand, concept, opt, notification, turn, offbr, notification, send, email, text, way, check, minute, app, need, anybr, br, overall, recommend, product, great, price, come, happy, disappoint, day, clip, broke, realize, wise, way, fasten, twoyearold, son, anywaybr, br, use, better, hardware, case, clip, complaint, send, beep, device, phone, app, allow, iphone, appen, driversbr, so, work, son, doesnt, understand, concept, opt, notification, turn, offbr, notification, send, email, text, way, check, minute, app, need, anybr, br, overall, recommend, product, great, price, come, happy, disappoint, day, clip, broke, realize, wise, way, fasten, twoyearold, son, anywaybr, br, use, better, hardware, case, clip, complaint, send, beep, device, phone, app, allow, iphone, app]]","[[device couple week use freerange year found home id got help keep track here point makebr br accuracybr great time sometimes take minute catch upbr time turn take minute find location havent find problem thoughbr br user friendlynessbr set take time need charge couple hoursbr app phone greatbr website work pc laptop mac desktop safari mac didnt work days wrote issue resolve couple day laterbr usebr br accessoriesbr come accessory belt clip broke use kid hesitant use lanyard sincebr br battery lifebr leave mistake battery last hour try turn charge night get forget night day ok battery die daybr br durabilitybr seem fragile come silicon help make wet situation waterproofbr wrap ziplock bag son attract sprinkler thats work finebr br geo fence speed limit so notificationsbr geo fence work sizeperimeterbr speed limit notification work set speed notify atgood idea driversbr so work son doesnt understand concept opt notification turn offbr notification send email text way check minute app need anybr br overall recommend product great price come happy disappoint day clip broke realize wise way fasten twoyearold son anywaybr br use better hardware case clip complaint send beep device phone app allow iphone appen driversbr so work son doesnt understand concept opt notification turn offbr notification send email text way check minute app need anybr br overall recommend product great price come happy disappoint day clip broke realize wise way fasten twoyearold son anywaybr br use better hardware case clip complaint send beep device phone app allow iphone app, 0.9938, 4]]"
B00JP79GU4,[-0.1331],[1],"[[fit, acive, cant, return, discover, trying, put, frusterating, say, phone, doesnt, dor, yal, need, little, smaller]]","[[fit acive cant return discover trying put frusterating say phone doesnt dor yal need little smaller, -0.1331, 1]]"
B00JUF4JLW,[-0.6664],[1],"[[didnt, work, didnt, want, pay, ship, bother, return, disappoint]]","[[didnt work didnt want pay ship bother return disappoint, -0.6664, 1]]"
B00JUF4JOE,[0.0772],[1],"[[ok, work, stop, workingbr, br, galaxy, note, galaxy]]","[[ok work stop workingbr br galaxy note galaxy, 0.0772, 1]]"
B00JUKJTV2,[-0.6359],[2],"[[love, viking, break, day, get, grant, price, quality, opinion, expect, longer]]","[[love viking break day get grant price quality opinion expect longer, -0.6359, 2]]"
B00K9HSKWO,[0.0],[5],[[excelente]],"[[excelente, 0.0, 5]]"
B00KANGLQO,"[0.5719, 0.7906]","[5, 5]","[[case, install], [expdected, perfect]]","[[case install, 0.5719, 5], [expdected perfect, 0.7906, 5]]"
B00KC7MXBK,[0.0],[1],"[[receivedlost, itembr, tks]]","[[receivedlost itembr tks, 0.0, 1]]"
B00KL7ARCI,[0.8707],[4],"[[armband, want, velcro, wouldnt, fall, apart, others, sweat, lot, run, want, something, wouldnt, affect, velcro, isnt, glue, sew, lot, lot, reliablebr, br, place, phone, hold, loose, iphone, prefer, snug, armband, expect, band, go, hole, tighten, wear, way, wear, place, phone, hold, isnt, secure, velcro, snap, fold, phone, slip, hasnt, issue, farbr, br, prosbr, velcrobr, br, consbr, run, smallbr, iphone, fit, casebr, phone, isnt, snap, velcro]]","[[armband want velcro wouldnt fall apart others sweat lot run want something wouldnt affect velcro isnt glue sew lot lot reliablebr br place phone hold loose iphone prefer snug armband expect band go hole tighten wear way wear place phone hold isnt secure velcro snap fold phone slip hasnt issue farbr br prosbr velcrobr br consbr run smallbr iphone fit casebr phone isnt snap velcro, 0.8707, 4]]"
B00KMS58HA,[0.0],[2],"[[didnt, seem, work, sony, phone]]","[[didnt seem work sony phone, 0.0, 2]]"
B00KMSUB2W,[0.8225],[5],"[[come, way, estimate, picture, worth, money]]","[[come way estimate picture worth money, 0.8225, 5]]"
B00KNOY3G0,"[0.8316, 0.987]","[5, 5]","[[excellent, transaction, beginning, end, product, great], [excellent, caseit, expect, receive, leather, case, simple, provides, solution, combine, protection, phone, convenience, portability, multipurpose, feature, wrist, strap, tends, get, way, everyday, use, ive, save, aside, travel, use, credit, card, slot, cash, pocket, make, day, way, outer, flap, fold, unit, form, nice, base, view, write, message, stylus, came, package, nice, look, writes, motoe, glad, purchase, product]]","[[excellent transaction beginning end product great, 0.8316, 5], [excellent caseit expect receive leather case simple provides solution combine protection phone convenience portability multipurpose feature wrist strap tends get way everyday use ive save aside travel use credit card slot cash pocket make day way outer flap fold unit form nice base view write message stylus came package nice look writes motoe glad purchase product, 0.987, 5]]"
B00KXMJ47K,[0.4404],[5],"[[im, clutz, protect, phone, time, ive, drop]]","[[im clutz protect phone time ive drop, 0.4404, 5]]"
B00L3O7HNA,[0.4215],[5],"[[nice, charger]]","[[nice charger, 0.4215, 5]]"
B00LASRKDG,[0.4215],[5],"[[nice, case]]","[[nice case, 0.4215, 5]]"
