B00005UK9X,[0.6249],[5],"[[mount, keep, gps, dash, slide]]","[[mount keep gps dash slide, 0.6249, 5]]"
B008VO0BX8,"[0.6908, 0.9346]","[5, 5]","[[amaze, worth, money, get, work], [pen, great, price, buy, send, message, thank, buying, item, anything, return, recommend, product]]","[[amaze worth money get work, 0.6908, 5], [pen great price buy send message thank buying item anything return recommend product, 0.9346, 5]]"
B009DUCKLU,[0.8553],[4],"[[hold, cute]]","[[hold cute, 0.8553, 4]]"
B009IFXL3Q,[0.0],[1],"[[order, iphone, case, receive, case]]","[[order iphone case receive case, 0.0, 1]]"
B00A2KPB5M,[0.4215],[5],[[nice]],"[[nice, 0.4215, 5]]"
B00A4VEP06,[-0.0258],[3],"[[cover, fine, phone, stop, work]]","[[cover fine phone stop work, -0.0258, 3]]"
B00AXX0IC4,"[-0.0772, 0.8126, 0.1154]","[4, 5, 5]","[[unit, compact, plenty, screen, purpose, sidebyside, view, area, road, intersection, difficult, follow], [feature, end, garmin, annoy, add, custom, poi, icon, icon, choose, side, find, brothel, travel], [delivery, ok, excellent, product, thank]]","[[unit compact plenty screen purpose sidebyside view area road intersection difficult follow, -0.0772, 4], [feature end garmin annoy add custom poi icon icon choose side find brothel travel, 0.8126, 5], [delivery ok excellent product thank, 0.1154, 5]]"
B00BQHDNMI,[0.1154],[2],"[[okay, kit, come, everything, need, gauge, wouldnt, waste, money]]","[[okay kit come everything need gauge wouldnt waste money, 0.1154, 2]]"
B00C6PLDEY,[0.6369],[5],[[keep]],"[[keep, 0.6369, 5]]"
B00D2VTHX0,[0.6962],[5],"[[fit, secure]]","[[fit secure, 0.6962, 5]]"
B00D5DK4G4,[0.8519],[4],"[[price, work, great]]","[[price work great, 0.8519, 4]]"
B00DMAMKZI,[0.7956],[5],"[[fit, samsung, mini, nice, room, holster, put, case, phone, office, time, use, put, heavey, use, happy]]","[[fit samsung mini nice room holster put case phone office time use put heavey use happy, 0.7956, 5]]"
B00DMAPMQM,[0.6249],[5],[[pouch]],"[[pouch, 0.6249, 5]]"
B00DRJTY44,"[0.6249, 0.3182]","[5, 3]","[[time, buy, product, come, screen, protector]]","[[time buy product come screen protector, 0.6249, 5], [, 0.3182, 3]]"
B00E9W8Q1A,[0.7389],[4],"[[nice, phone, fast, shipping, battery, phone, great, use, mobile, hot, spot, seem, run, battery]]","[[nice phone fast shipping battery phone great use mobile hot spot seem run battery, 0.7389, 4]]"
B00ENTJR7G,[-0.4404],[1],"[[case, suck, rubber, stand, buy]]","[[case suck rubber stand buy, -0.4404, 1]]"
B00EPKGIK2,[0.0],[5],"[[use, everyday]]","[[use everyday, 0.0, 5]]"
B00EUY58F4,[0.0],[2],"[[water, resistant, button, dust, get, screen, protector]]","[[water resistant button dust get screen protector, 0.0, 2]]"
B00EZJYJQI,"[-0.7984, 0.9424]","[1, 5]","[[case, price, purchase, daughter, inherit, samsung, mini, cool, bright, purple, case, make, get, siiiigh, handmedown, phone, recommend], [case, mother, buy, fell, apart, loosness, open, last, bit, longer, mother, second, disappoint]]","[[case price purchase daughter inherit samsung mini cool bright purple case make get siiiigh handmedown phone recommend, -0.7984, 1], [case mother buy fell apart loosness open last bit longer mother second disappoint, 0.9424, 5]]"
B00F3J4KYA,"[0.4404, -0.1027, 0.0, 0.4927, 0.4404]","[5, 5, 2, 4, 5]","[[gb, force, quit, time, couple, week, purchase], [condition, state, issue, phone, seller, great, need, contact], [work, describe, get, charge]]","[[gb force quit time couple week purchase, 0.4404, 5], [condition state issue phone seller great need contact, -0.1027, 5], [work describe get charge, 0.0, 2], [, 0.4927, 4], [, 0.4404, 5]]"
B00F3V8I64,[0.6124],[3],"[[design, fell, last]]","[[design fell last, 0.6124, 3]]"
B00F8NNACE,[0.4927],[4],"[[case, husband, tool, maker, case, look]]","[[case husband tool maker case look, 0.4927, 4]]"
B00FCMFOFM,"[-0.8843, -0.34]","[1, 1]","[[recommend, product, sell, touch, poor, nothing, say], [error]]","[[recommend product sell touch poor nothing say, -0.8843, 1], [error, -0.34, 1]]"
B00FM0A616,"[0.765, 0.8638, -0.2382]","[5, 5, 2]","[[crack, yes, hope, underneath, glass, phone, crack, crack, phone], [itbr, sent, daughter, alaska, love, wellbr, keep, ruin, iphones]]","[[crack yes hope underneath glass phone crack crack phone, 0.765, 5], [itbr sent daughter alaska love wellbr keep ruin iphones, 0.8638, 5], [, -0.2382, 2]]"
B00FRQJMV0,"[0.5859, 0.2263, 0.7003]","[5, 3, 4]","[[delivery, work], [work, describe, come, buy, price], [didnt, hold, charge, like, use]]","[[delivery work, 0.5859, 5], [work describe come buy price, 0.2263, 3], [didnt hold charge like use, 0.7003, 4]]"
B00G23VI32,[0.0],[3],"[[last, week, gem, fell]]","[[last week gem fell, 0.0, 3]]"
B00G3515Z0,[0.3818],[2],"[[cheap, piece, plastic, snap, phone, see, phone]]","[[cheap piece plastic snap phone see phone, 0.3818, 2]]"
B00G7UY62K,[0.0],[1],[[come]],"[[come, 0.0, 1]]"
B00G970GX4,"[0.3612, 0.6249, 0.0]","[5, 5, 3]","[[arrive, need, say], [work, design]]","[[arrive need say, 0.3612, 5], [work design, 0.6249, 5], [, 0.0, 3]]"
B00GFMGXFI,[0.296],[3],[[ok]],"[[ok, 0.296, 3]]"
B00GND21H8,[0.8908],[5],"[[perfect, perfect, garage, sound, greatcouldnt, please]]","[[perfect perfect garage sound greatcouldnt please, 0.8908, 5]]"
B00GOJSHKG,"[0.7906, -0.6708]","[5, 1]","[[apply, look], [fit, align, apple, logo, etc, disappoint]]","[[apply look, 0.7906, 5], [fit align apple logo etc disappoint, -0.6708, 1]]"
B00H4RDFZO,"[0.8807, 0.3612]","[5, 3]","[[nt, fit, phone], [case, protects, phone, perfect]]","[[nt fit phone, 0.8807, 5], [case protects phone perfect, 0.3612, 3]]"
B00HHDNLEA,[-0.128],[5],"[[super, damage, phone, kickstand, change, life]]","[[super damage phone kickstand change life, -0.128, 5]]"
B00HV2FQ54,[-0.1796],[5],"[[problem, work]]","[[problem work, -0.1796, 5]]"
B00HWQUL3Q,[0.0],[1],"[[picture, left, channel, isnt]]","[[picture left channel isnt, 0.0, 1]]"
B00HX617BA,[-0.2755],[2],"[[outer, black, part, case, fit, way]]","[[outer black part case fit way, -0.2755, 2]]"
B00HZ70IV2,[0.2732],[5],[[make]],"[[make, 0.2732, 5]]"
B00HZA6DE0,[0.0],[1],"[[work, time, time, come]]","[[work time time come, 0.0, 1]]"
B00I08CI1S,[0.1779],[1],"[[open, radio, panel, instal, plug, play, cable, youtube, guide, watch, couple, attemptedbr, br, install, turn, radio, get, momentary, aux, press, mode, button, reverts, cycle, try, turn, car, try, plug, way, check, see, right, port, align, slot, plug, everything, work, order, work, advertise, product, descriptionbr, br, bmw, business, cd, model, inspect]]","[[open radio panel instal plug play cable youtube guide watch couple attemptedbr br install turn radio get momentary aux press mode button reverts cycle try turn car try plug way check see right port align slot plug everything work order work advertise product descriptionbr br bmw business cd model inspect, 0.1779, 1]]"
B00I5WEZ06,"[0.7845, -0.3182, -0.7096, 0.91, 0.7645, 0.0, 0.5356, 0.0294, 0.9042, 0.6369, 0.9087]","[5, 2, 2, 5, 5, 5, 5, 1, 5, 5, 2]","[[work, time, want, use, fell, apart, theres, center, holding, whole, thing, tighten, gooseneck, hold, phone, look, glue, lead, night, drive], [buy, hold, phone, charge, phone, device, motherinlaw, saw, mine, love, buy], [describe, want], [use, car, everyday, sturdy, useful, family, car], [product, samsung, note, hold, fine, multiple, charge, port, kid, device, charge, bought, car], [stop, work, month, get, ok, didnt, holder, phone, end, make, topple, good, concept, need, work, design], [work, perfect, mazda, hatchback, love, multiple, usbs, hold, iphone, neck], [thing, work, note], [feature, need, feel, sturdy, arm, usb, port, die, couple, week, thing, fell, apart, month], [inside, piece, fell, month, buy], [fit, phone]]","[[work time want use fell apart theres center holding whole thing tighten gooseneck hold phone look glue lead night drive, 0.7845, 5], [buy hold phone charge phone device motherinlaw saw mine love buy, -0.3182, 2], [describe want, -0.7096, 2], [use car everyday sturdy useful family car, 0.91, 5], [product samsung note hold fine multiple charge port kid device charge bought car, 0.7645, 5], [stop work month get ok didnt holder phone end make topple good concept need work design, 0.0, 5], [work perfect mazda hatchback love multiple usbs hold iphone neck, 0.5356, 5], [thing work note, 0.0294, 1], [feature need feel sturdy arm usb port die couple week thing fell apart month, 0.9042, 5], [inside piece fell month buy, 0.6369, 5], [fit phone, 0.9087, 2]]"
B00IIYQU72,[0.91],[5],"[[find, love, design, grip]]","[[find love design grip, 0.91, 5]]"
B00IUH1TV4,"[-0.5586, -0.1815, -0.3089, -0.2584, 0.0, 0.0, -0.4019, 0.0, 0.9651]","[1, 3, 1, 1, 1, 1, 1, 2, 5]","[[didnt, work], [work, describe, make, cheap, ear, bud, cheap], [worst, product, receive, amazon, lens, glass, loose, couldnt, secure, didnt, come, list, accessory, case, cloth, total, bust, price, true, cant, attest, use, product, couldnt, get], [work, bluetooth, car, get, use, drive, wear, sunglass, time, drive, work, awesome, need, sunglass, protect, eye, listen, answer, phone, call, button, ear, piece, outstanding, deal], [connects, iphone, make, call, play], [quality, battery, life, star, battery, die, charge, leave, week, turn, thing, hear, battery, die, minute, left, charge, week, wouldnt, turn, time], [dont, work], [expect, stop, work, charge, time], [work, good, fit, kid]]","[[didnt work, -0.5586, 1], [work describe make cheap ear bud cheap, -0.1815, 3], [worst product receive amazon lens glass loose couldnt secure didnt come list accessory case cloth total bust price true cant attest use product couldnt get, -0.3089, 1], [work bluetooth car get use drive wear sunglass time drive work awesome need sunglass protect eye listen answer phone call button ear piece outstanding deal, -0.2584, 1], [connects iphone make call play, 0.0, 1], [quality battery life star battery die charge leave week turn thing hear battery die minute left charge week wouldnt turn time, 0.0, 1], [dont work, -0.4019, 1], [expect stop work charge time, 0.0, 2], [work good fit kid, 0.9651, 5]]"
B00IX3X1LG,"[0.3384, 0.4604]","[3, 1]","[[product, make, husband, taste, return], [guess, nice, case, doesnt, come, fit, galaxy, w, case, check, measurement, luck, love, phone, havent, find, case, fit, consider, size, phone, im, hop, someone, begin, design, case, disappointing]]","[[product make husband taste return, 0.3384, 3], [guess nice case doesnt come fit galaxy w case check measurement luck love phone havent find case fit consider size phone im hop someone begin design case disappointing, 0.4604, 1]]"
B00IZRJOBQ,"[0.5719, 0.4215, 0.6249]","[5, 3, 5]","[[charge, super], [perfect], [work, great]]","[[charge super, 0.5719, 5], [perfect, 0.4215, 3], [work great, 0.6249, 5]]"
B00J4TK4B8,"[0.765, 0.3576, 0.1477, 0.4404, -0.2716, 0.9136, 0.9766, 0.0, 0.0, 0.7003, 0.8805, 0.3818]","[5, 1, 5, 5, 1, 5, 4, 3, 1, 4, 5, 5]","[[delivery, fast, product, minor, scuff, item, adding, upgrade, cell, exist, service, simple, glitch, looking, venue, purchase, please], [phone, forgot, phone], [arrive, expect, work, conditionbr, deal], [advertise, unlock, phone, perform, att, network], [everything, perfect, thanks], [galaxy, smart, phone, get, deal, buying, amazon, sign, perfect, combination, great, device, great, phone, service], [uk], [buy, sister, life, problem, get, service, provider, phone, take, stunning, picture, well, wife, iphone, unlock, feature, make, bit, usd, buying, europe, asia], [product, month, drain, phone, call, minute, take, hour, charge, percent, glitch, thing, dont, seem, work, touch, screen, freeze, take, application, middle, something, screen, go, restart, issue, im, product, feel, lemon, buy, pay, nothing, there, day, window, return, there, chance, use, phone, time, luck], [charge, night], [phone, keep, flicker, screen, flicker, admit, dissatisfy, product]]","[[delivery fast product minor scuff item adding upgrade cell exist service simple glitch looking venue purchase please, 0.765, 5], [phone forgot phone, 0.3576, 1], [arrive expect work conditionbr deal, 0.1477, 5], [advertise unlock phone perform att network, 0.4404, 5], [everything perfect thanks, -0.2716, 1], [galaxy smart phone get deal buying amazon sign perfect combination great device great phone service, 0.9136, 5], [uk, 0.9766, 4], [buy sister life problem get service provider phone take stunning picture well wife iphone unlock feature make bit usd buying europe asia, 0.0, 3], [product month drain phone call minute take hour charge percent glitch thing dont seem work touch screen freeze take application middle something screen go restart issue im product feel lemon buy pay nothing there day window return there chance use phone time luck, 0.0, 1], [charge night, 0.7003, 4], [phone keep flicker screen flicker admit dissatisfy product, 0.8805, 5], [, 0.3818, 5]]"
B00J9OX32K,"[0.5158, -0.2516, 0.4215]","[3, 4, 4]","[[expect, deliver, satisfy, product], [serf, purpose, loose], [stand, protect, phone]]","[[expect deliver satisfy product, 0.5158, 3], [serf purpose loose, -0.2516, 4], [stand protect phone, 0.4215, 4]]"
B00JAULSTI,"[0.7783, 0.6249, 0.8834]","[5, 5, 5]","[[work, great, ship], [case, wide, keep, garminone, foam, separator, include, iphones, rid, perfect, fit, bike, cbx], [work, great, gps, buy, company]]","[[work great ship, 0.7783, 5], [case wide keep garminone foam separator include iphones rid perfect fit bike cbx, 0.6249, 5], [work great gps buy company, 0.8834, 5]]"
B00JF4E50I,[0.5719],[5],"[[perfect, galaxy]]","[[perfect galaxy, 0.5719, 5]]"
B00JGPQ3Z6,"[0.8547, 0.3952, 0.0, -0.8573]","[2, 3, 3, 1]","[[work], [experience, look, nice, problem, sound, quality, inconsistant, ear, goodbr, amazon, great, return, end, pay, getting, symphonize, headphone, amaze, come, yr, warranty], [year, price, good], [buy, son, use, playing, minecraft, tablet, use, day, stop, work, sound, work, everything, get, work, ear, try, electronics, see, problem, avail, cheap, product]]","[[work, 0.8547, 2], [experience look nice problem sound quality inconsistant ear goodbr amazon great return end pay getting symphonize headphone amaze come yr warranty, 0.3952, 3], [year price good, 0.0, 3], [buy son use playing minecraft tablet use day stop work sound work everything get work ear try electronics see problem avail cheap product, -0.8573, 1]]"
B00JMDU36M,[0.762],[5],[[nice]],"[[nice, 0.762, 5]]"
B00K5ZJ1DM,[0.0],[2],"[[phone, recognise, sim, card]]","[[phone recognise sim card, 0.0, 2]]"
B00K89EP7C,[-0.3159],[2],"[[super, cute, shark, come, phone, week, word, stay, design]]","[[super cute shark come phone week word stay design, -0.3159, 2]]"
B00KBQO2N4,[0.7783],[4],"[[case, last, come, case, self, super]]","[[case last come case self super, 0.7783, 4]]"
B00KGHGXYE,[0.0],[5],"[[quality, product]]","[[quality product, 0.0, 5]]"
B00KGOTKM4,"[0.8519, 0.8625]","[5, 5]","[[work, great], [poweradd, work, amaze, nice, size, take, purse, last, charge, dealthanks]]","[[work great, 0.8519, 5], [poweradd work amaze nice size take purse last charge dealthanks, 0.8625, 5]]"
B00KIK58W2,[-0.395],[2],"[[work, doesnt, case, use, day]]","[[work doesnt case use day, -0.395, 2]]"
B00KQYXJJE,"[0.0, 0.5994, 0.937]","[5, 4, 5]","[[thumb], [case, phone, smooth, case, phone, slide, lot, surface, im, try, use], [fit, protect, phone, color]]","[[thumb, 0.0, 5], [case phone smooth case phone slide lot surface im try use, 0.5994, 4], [fit protect phone color, 0.937, 5]]"
B00KTBOUQK,"[0.0, 0.7906, 0.6249]","[1, 4, 5]","[[work, light, nice, feature], [work, great], [buy, blow, fuse, car, stay]]","[[work light nice feature, 0.0, 1], [work great, 0.7906, 4], [buy blow fuse car stay, 0.6249, 5]]"
B00KTI2CBI,[0.4215],[4],"[[nice, product]]","[[nice product, 0.4215, 4]]"
B00KWM04AM,[-0.1779],[3],"[[fit, face, angle]]","[[fit face angle, -0.1779, 3]]"
B00KY3EH66,[0.0041],[3],"[[fix, maker, didnt, close, circuit, board, fix, work, fine]]","[[fix maker didnt close circuit board fix work fine, 0.0041, 3]]"
B00LGZLCN2,[0.8684],[4],"[[screen, protector, feel, type, playing, game, go, particle, get, underneath, deal, downside, film, add, effect, look, display, display, show, area, product]]","[[screen protector feel type playing game go particle get underneath deal downside film add effect look display display show area product, 0.8684, 4]]"
B00LH1CNKG,"[0.8957, 0.3384, -0.4973, 0.7964]","[5, 5, 1, 5]","[[battery, great, user, battery, run, pm, work, day, battery, saver, app, runningthe, battery, run, pm, didnt, comparison, friend, phone, battery, nightbr, br, battery, oe, battery, add, apps, etc, yearsbr, br, say, battery, cheap, battery, year, oe, batterybr, addition, charger, always, battery, readybr, usb, slot, charge, devicewhich, extra, benefit, travel], [product, glad, order], [buy, battery, say, come, month, warranty, battery, get, shuts, phone, recommend, battery, suppose, month, warranty, month, dollar, gone, window, husband, replacement, week, get, one, set, thing, spent, buck, phone, warranty, bull], [work, greatinexpensive, seem, charge]]","[[battery great user battery run pm work day battery saver app runningthe battery run pm didnt comparison friend phone battery nightbr br battery oe battery add apps etc yearsbr br say battery cheap battery year oe batterybr addition charger always battery readybr usb slot charge devicewhich extra benefit travel, 0.8957, 5], [product glad order, 0.3384, 5], [buy battery say come month warranty battery get shuts phone recommend battery suppose month warranty month dollar gone window husband replacement week get one set thing spent buck phone warranty bull, -0.4973, 1], [work greatinexpensive seem charge, 0.7964, 5]]"
B00LZCG5DS,[0.2732],[5],"[[work, use, rain]]","[[work use rain, 0.2732, 5]]"
B00LZFYM7G,"[0.3321, 0.6249]","[5, 5]","[[compact, make], [look, great]]","[[compact make, 0.3321, 5], [look great, 0.6249, 5]]"
B00M7M4GLI,"[-0.6643, 0.4215, 0.6249, 0.6249, 0.7841]","[5, 5, 5, 5, 5]","[[quality, product, recommend], [build, plug], [nice, convenient, multiple, people, car, need, charge, theyre, type, device, iphone, tablet, etc], [charger, month, problem], [product]]","[[quality product recommend, -0.6643, 5], [build plug, 0.4215, 5], [nice convenient multiple people car need charge theyre type device iphone tablet etc, 0.6249, 5], [charger month problem, 0.6249, 5], [product, 0.7841, 5]]"
B00M8812OA,[0.6249],[5],[[awesome]],"[[awesome, 0.6249, 5]]"
B00MIPEP0Q,[0.5023],[2],"[[idea, great, seem, design, give, gift, son, run, mile, day, armband, broke]]","[[idea great seem design give gift son run mile day armband broke, 0.5023, 2]]"
B00MIW13EA,[0.6369],[5],"[[soo, smooth]]","[[soo smooth, 0.6369, 5]]"
B00MO2QRYU,[0.8126],[4],"[[wish, read, review, purchase, nice, case, good, quality, decorate, phone, nice, purpose]]","[[wish read review purchase nice case good quality decorate phone nice purpose, 0.8126, 4]]"
B00MTN5U24,"[0.7269, 0.6115, 0.3716, 0.6474, 0.5994, 0.7906]","[5, 5, 5, 3, 5, 5]","[[happy, case, slim, bulky], [drop, iphone, piece, belt, clip, awesome], [case, man, work, provides, protection], [girlfriend, love, case], [case, bulky, ], [like, feel, protect, phone, screed, add, protection, felt]]","[[happy case slim bulky, 0.7269, 5], [drop iphone piece belt clip awesome, 0.6115, 5], [case man work provides protection, 0.3716, 5], [girlfriend love case, 0.6474, 3], [case bulky , 0.5994, 5], [like feel protect phone screed add protection felt, 0.7906, 5]]"
B00MW09ESK,"[0.2415, 0.807]","[4, 5]","[[case, nice, texture, offer, decent, protection, bulk, case, fact, texture, mean, drop, place], [fit, look]]","[[case nice texture offer decent protection bulk case fact texture mean drop place, 0.2415, 4], [fit look, 0.807, 5]]"
B00N1EWTT2,[0.8255],[5],"[[sturdy, protect, phone, repeat, fall, child, lol, real, smart, buy]]","[[sturdy protect phone repeat fall child lol real smart buy, 0.8255, 5]]"
B00N1WC0G6,[0.8555],[5],"[[headphone, usb, plug, fit, htc, desire]]","[[headphone usb plug fit htc desire, 0.8555, 5]]"
B00N1Z5AQU,[0.0],[1],"[[put, battery, wont, stay, im, return, product, meet, requirement, offer]]","[[put battery wont stay im return product meet requirement offer, 0.0, 1]]"
B00N46B23G,[0.6923],[5],"[[get, doesnt, hold, term, cardscash, carry, perfect, go, use, wallet, addition, appear, quality, take, beat, gentle, phone, closure, prop, convenient, say, issue, use, phone, case]]","[[get doesnt hold term cardscash carry perfect go use wallet addition appear quality take beat gentle phone closure prop convenient say issue use phone case, 0.6923, 5]]"
B00N4DSGVU,"[0.3182, -0.5267]","[2, 3]","[[satisfy, battery, charger, disappoint], [charge, anywhere, samsung, battery, life]]","[[satisfy battery charger disappoint, 0.3182, 2], [charge anywhere samsung battery life, -0.5267, 3]]"
B00N4OL0NA,[-0.8266],[1],"[[doesnt, work, suppose, tomy, phone, get, ruin, wasnt, happy, buy, phone, case]]","[[doesnt work suppose tomy phone get ruin wasnt happy buy phone case, -0.8266, 1]]"
B00N841GNA,[0.0],[5],"[[make, difference, screen]]","[[make difference screen, 0.0, 5]]"
B00NAC57X0,[0.5489],[4],"[[come, condition, look, nice, work, fine, didnt, keep, work, verizon, want, use, att, say, use, att, couldnt]]","[[come condition look nice work fine didnt keep work verizon want use att say use att couldnt, 0.5489, 4]]"
B00NAW363I,[0.0],[5],"[[c, expect, tks]]","[[c expect tks, 0.0, 5]]"
B00NCHO68K,[-0.4215],[3],"[[lot, thinner, side, grip, break, use]]","[[lot thinner side grip break use, -0.4215, 3]]"
B00NFF6L1O,[0.2023],[4],"[[work, fine]]","[[work fine, 0.2023, 4]]"
B00NFZFYDK,[0.6798],[5],"[[polaroid, quot, tablet, buy, lot, silicone, didnt, fit, glove, everything, line]]","[[polaroid quot tablet buy lot silicone didnt fit glove everything line, 0.6798, 5]]"
B00NHYMVVC,[0.4927],[5],[[product]],"[[product, 0.4927, 5]]"
B00NJ6ASG8,[0.9393],[5],"[[color, price]]","[[color price, 0.9393, 5]]"
B00NLVL9BY,[0.4215],[3],"[[picture, different, stylus, pen, get, stylus, pen, get, work, ok]]","[[picture different stylus pen get stylus pen get work ok, 0.4215, 3]]"
B00NN0H980,[0.6249],[4],"[[expect, put, stand, take, video, great]]","[[expect put stand take video great, 0.6249, 4]]"
B00NV0B8PC,[0.3612],[3],"[[put, pink, fell, easysorry, buy]]","[[put pink fell easysorry buy, 0.3612, 3]]"
B00NV3SI0M,[0.0],[5],"[[work, expect]]","[[work expect, 0.0, 5]]"
B00O1K7NA0,"[0.81, 0.7552, 0.927]","[5, 5, 1]","[[buy, replace, gorilla, glass, buy, att, throw, upsell, store, service, ecofused, product, look, excite, got, cheap, amaze, minute, phone, crack, nothing, pocket, time, set, desk, gorilla, glass, take, hundred, drop, im, electronics, face, protect, phone, product, recommend, waste, time, buy, well, product, wont, sorry, edit, company, offer, send, replacement, product, decline, send, refund, leaving, star, experience, product, company, deal], [follow, direction, microfiber, cloth, wipe, apply, bubble, test, endurance], [amaze, look, phone, today, screen, shatter, bum, remember, screen, protector, hop, work, phone, look, brand, screen, protector, shatter, impress, money, buck, buck, replace, phone]]","[[buy replace gorilla glass buy att throw upsell store service ecofused product look excite got cheap amaze minute phone crack nothing pocket time set desk gorilla glass take hundred drop im electronics face protect phone product recommend waste time buy well product wont sorry edit company offer send replacement product decline send refund leaving star experience product company deal, 0.81, 5], [follow direction microfiber cloth wipe apply bubble test endurance, 0.7552, 5], [amaze look phone today screen shatter bum remember screen protector hop work phone look brand screen protector shatter impress money buck buck replace phone, 0.927, 1]]"
B00O2HMBR2,[0.34],[5],"[[break, order, drop, phone, floor, twice, glass, shatter]]","[[break order drop phone floor twice glass shatter, 0.34, 5]]"
B00O77QM22,[0.6369],[5],"[[come, time, daughter, love]]","[[come time daughter love, 0.6369, 5]]"
