B0007L8A7M,[0.8481],[5],"[[quality, great, sound, price]]","[[quality great sound price, 0.8481, 5]]"
B008GVL9YQ,"[-0.4767, 0.9849, 0.3503, 0.0, -0.2846, -0.4215, 0.6369, 0.6249, 0.0, 0.6908, 0.9077, 0.7351, 0.2263, 0.4767, 0.4188, 0.8397, -0.896, 0.8537, 0.8074, 0.0, 0.6249, 0.6369, 0.7351, -0.4215, 0.5574, 0.4588, -0.2023, 0.1531, 0.6249, 0.6249, -0.6708, 0.6249, -0.4215]","[1, 2, 2, 5, 2, 1, 5, 5, 2, 4, 5, 5, 2, 5, 5, 5, 1, 2, 5, 1, 5, 5, 5, 1, 4, 5, 1, 1, 5, 5, 1, 5, 1]","[[want, cord, use, ipad, charge, meant, ipad, move, lap, plug, fit, make, slightest, movement, pull, loose, worse, cord, attach, plug, cover, detach, expose, wire, work, ipad, sits, untouched, defeat, purpose, want, longer, cord, replace, amazon, product, picture, show, better, amazon, cord, ala, feet], [extension, cord], [thicker, apple, charger, im, hop, longer, warranty], [disappoint, length, time, product, work, leave, comment, regard, cord, replace, cost, company, include, return, ship, happy, fluke, problem, product, integrity, return, customer], [broke, usebr, buyer, beware], [broke, fast], [item, break, month, separate, plug, wire, fray, item, work], [awesome], [work, perfect, thank], [work, week, stop, charge, wasbr, happy, find, cord, shame, wasnt, sturdy, longer, day, return, item], [amaze, cord, perfect, length, use, device, bed, use, couch, position, charge, device, faulty, wire, cord, ft, buy, ship, pin, cord, come, idevices, connection, charge, end, port, device, firm, fixate, unplug, storage, nice, cord, coil, nice, circle, make, width, soda, part, buy, price, dollar, include, shipping, ten, dollar, quality, accessory, akin, stock, cord, believe, buy, update, month, cord, cease, charge, device, buy, pin, cord, im, ask, refund], [work, connection, wore, couple, month], [take, couple, week, break, truebr, tip, charger], [work, fine, make, use, charge, ipad], [work, great], [doctor, order, lot, length, work, apple, say, aftermarket, stuff, isnt], [product, work, plug, charge, use, phone], [work, good, nice, charge, pad], [everything, need, charge, ipad, iphone, foot, cord], [work, charm], [plug, broke, plug, couple, week], [product, describe, deliver, work, apple, tablet], [product, work, charm, ask], [product, doesnt, ipad, return], [itrm], [order, quit, work, month, love, foot, cord, continue, repurchase, learn, lesson, wont, order], [well, come, replacement, buy, apple, using, nine, month, fall, apart, plug, meet, wire, buy, ten, length, use, ipad, trade, show, perfect], [didnt, work, ipad, charge, hour, charge, cord, keep, back], [okay], [poor, quality, last, week], [work, apple, product, donate, charity, waste, money]]","[[want cord use ipad charge meant ipad move lap plug fit make slightest movement pull loose worse cord attach plug cover detach expose wire work ipad sits untouched defeat purpose want longer cord replace amazon product picture show better amazon cord ala feet, -0.4767, 1], [extension cord, 0.9849, 2], [thicker apple charger im hop longer warranty, 0.3503, 2], [disappoint length time product work leave comment regard cord replace cost company include return ship happy fluke problem product integrity return customer, 0.0, 5], [broke usebr buyer beware, -0.2846, 2], [broke fast, -0.4215, 1], [item break month separate plug wire fray item work, 0.6369, 5], [awesome, 0.6249, 5], [work perfect thank, 0.0, 2], [work week stop charge wasbr happy find cord shame wasnt sturdy longer day return item, 0.6908, 4], [amaze cord perfect length use device bed use couch position charge device faulty wire cord ft buy ship pin cord come idevices connection charge end port device firm fixate unplug storage nice cord coil nice circle make width soda part buy price dollar include shipping ten dollar quality accessory akin stock cord believe buy update month cord cease charge device buy pin cord im ask refund, 0.9077, 5], [work connection wore couple month, 0.7351, 5], [take couple week break truebr tip charger, 0.2263, 2], [work fine make use charge ipad, 0.4767, 5], [work great, 0.4188, 5], [doctor order lot length work apple say aftermarket stuff isnt, 0.8397, 5], [product work plug charge use phone, -0.896, 1], [work good nice charge pad, 0.8537, 2], [everything need charge ipad iphone foot cord, 0.8074, 5], [work charm, 0.0, 1], [plug broke plug couple week, 0.6249, 5], [product describe deliver work apple tablet, 0.6369, 5], [product work charm ask, 0.7351, 5], [product doesnt ipad return, -0.4215, 1], [itrm, 0.5574, 4], [order quit work month love foot cord continue repurchase learn lesson wont order, 0.4588, 5], [well come replacement buy apple using nine month fall apart plug meet wire buy ten length use ipad trade show perfect, -0.2023, 1], [didnt work ipad charge hour charge cord keep back, 0.1531, 1], [okay, 0.6249, 5], [poor quality last week, 0.6249, 5], [work apple product donate charity waste money, -0.6708, 1], [, 0.6249, 5], [, -0.4215, 1]]"
B008J3LAFE,[0.1027],[2],[[broke]],"[[broke, 0.1027, 2]]"
B008KTRN2Q,[0.836],[5],"[[amaze, amount, item, price]]","[[amaze amount item price, 0.836, 5]]"
B008W1BFD0,[0.8608],[5],"[[close, stone, little, crook, way, youll, get, lot, compliment]]","[[close stone little crook way youll get lot compliment, 0.8608, 5]]"
B008YXLYNC,[-0.7089],[5],"[[solve, problem, live, fringe, weak, signal, area, verizon, computer, shop, tell, nothing, done, lose, signal, quality, work, saw, amazon, decide, try, work, bar, drop]]","[[solve problem live fringe weak signal area verizon computer shop tell nothing done lose signal quality work saw amazon decide try work bar drop, -0.7089, 5]]"
B0091T56BY,[0.6249],[5],[[case]],"[[case, 0.6249, 5]]"
B009AHSQ1E,[0.4215],[5],"[[cover, save, phone, year, drop, time, scratch]]","[[cover save phone year drop time scratch, 0.4215, 5]]"
B00A70YPRC,[0.5719],[5],"[[excellent, product, expect]]","[[excellent product expect, 0.5719, 5]]"
B00ADY06YI,"[0.8519, 0.7783, 0.0]","[4, 2, 5]","[[interest, concept, work, day, color, fade], [notice, afar, look, love], [expect, take, work]]","[[interest concept work day color fade, 0.8519, 4], [notice afar look love, 0.7783, 2], [expect take work, 0.0, 5]]"
B00AFYYRL4,[0.8674],[5],"[[th, time, buy, dont, everyone, think, let, love, fact, turn, anything, aux, input, bluetooth]]","[[th time buy dont everyone think let love fact turn anything aux input bluetooth, 0.8674, 5]]"
B00APBMNR2,[0.8989],[5],"[[expect, deal, get, number, item, owner, include, make, add, decent, price, work, box, put, device, bike, make, going, bike, shop, ask, help, join, strava, allow, upload, file, see, data, format, motivate, data, push, bike, isnt, configure, bike, rid, go, wait, newer, better, model, come, work, bug]]","[[expect deal get number item owner include make add decent price work box put device bike make going bike shop ask help join strava allow upload file see data format motivate data push bike isnt configure bike rid go wait newer better model come work bug, 0.8989, 5]]"
B00ARBRF0A,[0.2732],[5],"[[work, job]]","[[work job, 0.2732, 5]]"
B00BD019E2,[0.5719],[5],"[[phone, excellent, condition, trade, iphone, got]]","[[phone excellent condition trade iphone got, 0.5719, 5]]"
B00BIJN1PI,[0.8591],[4],"[[use, plug, play, device]]","[[use plug play device, 0.8591, 4]]"
B00CA7FR90,[-0.5448],[1],"[[headphone, work, week, charge, battery, die, slip, ear, sweat, run, make, click, sound, result, loose, ear, live, continue, function, die, return, date, spent, week, ideal, listen, opinion]]","[[headphone work week charge battery die slip ear sweat run make click sound result loose ear live continue function die return date spent week ideal listen opinion, -0.5448, 1]]"
B00CF34B0A,"[0.6369, -0.2732]","[5, 1]",[[charge]],"[[charge, 0.6369, 5], [, -0.2732, 1]]"
B00CQS0S7E,"[0.8176, 0.7351]","[5, 5]","[[work, need, love], [excellent, product, recommend]]","[[work need love, 0.8176, 5], [excellent product recommend, 0.7351, 5]]"
B00CR74FLO,"[-0.0516, 0.8875, 0.7269, 0.9674, 0.886, 0.3384, 0.4404, -0.4215, 0.0, 0.0, 0.8481, 0.296, 0.4703, 0.5574, 0.5719]","[1, 5, 5, 5, 5, 3, 5, 1, 3, 5, 5, 5, 3, 5, 5]","[[clip, break, week, use], [cheap, leansfalls, weight, phone, dont, set, bit, fragile, nice, price], [phone, sit, way, didnt, realize, transport, work, made, position, want, position, use], [look, cheap, tripod, home, use, work], [cant, use, phone], [doesnt, hold, weight, phone], [incar, use, wrap, pole], [bolt, glue, hold, wablyloose, ive, own, damage], [ok], [perfect], [product, great, price], [good, lunch, work, watch, movie, phone, hand], [price], [ship, take, work, thing, cant, hold, phone, want, twist, octopus, leg, lot, horizontallyclipped, phone, hold, sideways, doesnt, work, great, itll, pinch, horizontalphone, recording, style, work], [work, great, note, havent, problem, mount, use, tripod, work, foot, tripod]]","[[clip break week use, -0.0516, 1], [cheap leansfalls weight phone dont set bit fragile nice price, 0.8875, 5], [phone sit way didnt realize transport work made position want position use, 0.7269, 5], [look cheap tripod home use work, 0.9674, 5], [cant use phone, 0.886, 5], [doesnt hold weight phone, 0.3384, 3], [incar use wrap pole, 0.4404, 5], [bolt glue hold wablyloose ive own damage, -0.4215, 1], [ok, 0.0, 3], [perfect, 0.0, 5], [product great price, 0.8481, 5], [good lunch work watch movie phone hand, 0.296, 5], [price, 0.4703, 3], [ship take work thing cant hold phone want twist octopus leg lot horizontallyclipped phone hold sideways doesnt work great itll pinch horizontalphone recording style work, 0.5574, 5], [work great note havent problem mount use tripod work foot tripod, 0.5719, 5]]"
B00CXZI3DQ,[0.8921],[5],"[[nice, bit, heavy, battery, batterytime, great, wouldnt, change, sbattery, use, gps, spotify, surf, whole, day, dont, charge, day, use, internet, call, day]]","[[nice bit heavy battery batterytime great wouldnt change sbattery use gps spotify surf whole day dont charge day use internet call day, 0.8921, 5]]"
B00CYBLE2G,[0.0],[5],"[[quality, product, advertise]]","[[quality product advertise, 0.0, 5]]"
B00D4BWGUY,[0.6369],[5],"[[shipping, fast]]","[[shipping fast, 0.6369, 5]]"
B00D7KFWVW,"[0.8674, -0.1761, 0.9403]","[4, 1, 5]","[[picture, case], [fit, love, fit, iphone, come, time], [deliver, expect, quality, case, ok, price, id, say, excellent, value, money]]","[[picture case, 0.8674, 4], [fit love fit iphone come time, -0.1761, 1], [deliver expect quality case ok price id say excellent value money, 0.9403, 5]]"
B00DUAP9XU,[0.4887],[4],"[[sturdy, take, fall, crack, problem, button, sort, press, youll, get, use, wont, become, problem]]","[[sturdy take fall crack problem button sort press youll get use wont become problem, 0.4887, 4]]"
B00DWGIRUO,[-0.5423],[3],"[[durability, break, month, guarantee]]","[[durability break month guarantee, -0.5423, 3]]"
B00DY7QC1W,[0.975],[5],"[[monkey, grip, ipod, fit, worry, ipod, slip, hand, c, thing, skin, peachy, color, dont, mind, make, ton, d]]","[[monkey grip ipod fit worry ipod slip hand c thing skin peachy color dont mind make ton d, 0.975, 5]]"
B00E5NOZTK,[0.4215],[4],"[[nice, case]]","[[nice case, 0.4215, 4]]"
B00EI3Y6J6,[0.8807],[5],"[[cover, protects, phone, credit, card, slot, pocket, work, need]]","[[cover protects phone credit card slot pocket work need, 0.8807, 5]]"
B00F3587RA,[0.9042],[5],"[[buy, qi, charger, device, end, return, item, want, user, charger, phone, fit, phone, work, thanks]]","[[buy qi charger device end return item want user charger phone fit phone work thanks, 0.9042, 5]]"
B00FEZCN6K,"[-0.2755, -0.2755, -0.3182]","[1, 2, 3]","[[case, great, sturdy, cant, get, mute, button, side, case, silence, phone, bit], [didnt, fit, tab, br, get], [fit]]","[[case great sturdy cant get mute button side case silence phone bit, -0.2755, 1], [didnt fit tab br get, -0.2755, 2], [fit, -0.3182, 3]]"
B00FF3O17A,[0.0],[5],[[excelente]],"[[excelente, 0.0, 5]]"
B00FH2CWJS,[0.2732],[5],[[work]],"[[work, 0.2732, 5]]"
B00GP3RR4S,[0.5719],[5],"[[fit, perfect, color]]","[[fit perfect color, 0.5719, 5]]"
B00GRAKYB2,[0.9396],[5],"[[armband, galaxy, everything, want, armband, great, plastic, screen, cover, easy, use, phone, skin, include, screen, protector, product, recommend]]","[[armband galaxy everything want armband great plastic screen cover easy use phone skin include screen protector product recommend, 0.9396, 5]]"
B00GS3C678,[0.4588],[5],[[speaker]],"[[speaker, 0.4588, 5]]"
B00GTT0UGU,[-0.4964],[3],"[[arent, clear, dont, stick, price, work]]","[[arent clear dont stick price work, -0.4964, 3]]"
B00HOHPZVG,"[0.9622, 0.6901, 0.4404, 0.0, 0.0, 0.8481, 0.3612]","[5, 5, 4, 5, 5, 5, 4]","[[arrive, fast, descibed], [need], [job, lot, less, money], [case, side, lip, slight, bit, larger, accommodate, screen, protector], [please, case, fit, leather, feel, cover, receive, mail, manner], [product, great, price, delivery], [case, sturdy, year, phone, survive, drop, damage, case, keep, integrity, smooth, good, look, way, well, apple, replace, turquoise, bright]]","[[arrive fast descibed, 0.9622, 5], [need, 0.6901, 5], [job lot less money, 0.4404, 4], [case side lip slight bit larger accommodate screen protector, 0.0, 5], [please case fit leather feel cover receive mail manner, 0.0, 5], [product great price delivery, 0.8481, 5], [case sturdy year phone survive drop damage case keep integrity smooth good look way well apple replace turquoise bright, 0.3612, 4]]"
B00HPQUBGK,"[0.6249, -0.5719]","[5, 1]","[[work, cheap], [work, great]]","[[work cheap, 0.6249, 5], [work great, -0.5719, 1]]"
B00HTMQM6I,[-0.1027],[4],[[color]],"[[color, -0.1027, 4]]"
B00HWIME7K,[0.4215],[5],[[nice]],"[[nice, 0.4215, 5]]"
B00HYQY1LC,[-0.2028],[3],"[[okay, thought]]","[[okay thought, -0.2028, 3]]"
B00IB6HNQ4,[0.5475],[1],"[[glad, pay, thats, go, packaging, trash, cheap, plastic, case, greenish, grey, sticker, apply, get, sticker, place, look, feel, scream, cheap, nothing, resemble, carbon, fiber, save, money, isnt, time, return, garbage]]","[[glad pay thats go packaging trash cheap plastic case greenish grey sticker apply get sticker place look feel scream cheap nothing resemble carbon fiber save money isnt time return garbage, 0.5475, 1]]"
B00IIC60ZG,"[-0.2755, 0.8173]","[1, 4]","[[fit, toyota, tundra, sr, dc], [fit, taco, wish, plastic, flex, crack]]","[[fit toyota tundra sr dc, -0.2755, 1], [fit taco wish plastic flex crack, 0.8173, 4]]"
B00IP6VG8G,[0.2023],[3],"[[fine, handle, everyday, use]]","[[fine handle everyday use, 0.2023, 3]]"
B00IVBCMW4,[0.7003],[4],"[[case, price]]","[[case price, 0.7003, 4]]"
B00IZ0E5EE,[0.9449],[4],"[[product, part, im, give, star, hop, im, happy, price]]","[[product part im give star hop im happy price, 0.9449, 4]]"
B00JBJ3HQ0,"[0.6249, -0.8153, 0.9702]","[4, 3, 5]","[[nice, watch, display, change, lot, option, use, o, tizen, cell, chip, work, phone, connect, phone, tablet, convenient, tablet, user, samsung, edition, answer, phone, drive, walking, street, tablet, bag, make, phone, call, send, sm, talk, svoice, work, make, mistake, usablebr, camera, fair, quality, picture, video, right, wrist, shoot, moment, con, image, blur, dust, think, focus, issue, find, hard, focus, tow, option, macro, dont, know, warranty, add, picture, take, dont, post, picture, clean, watch, lensee, shoot, period, usage], [deal], [gear, seller, take, make, stand, product, numberonebestdeals, beat, buy, price]]","[[nice watch display change lot option use o tizen cell chip work phone connect phone tablet convenient tablet user samsung edition answer phone drive walking street tablet bag make phone call send sm talk svoice work make mistake usablebr camera fair quality picture video right wrist shoot moment con image blur dust think focus issue find hard focus tow option macro dont know warranty add picture take dont post picture clean watch lensee shoot period usage, 0.6249, 4], [deal, -0.8153, 3], [gear seller take make stand product numberonebestdeals beat buy price, 0.9702, 5]]"
B00JP06YN8,[0.7096],[5],"[[look, great, fit, work, fine]]","[[look great fit work fine, 0.7096, 5]]"
B00JQMDGG8,"[0.5719, 0.5719, 0.1027, 0.9202, -0.296, 0.5932]","[5, 5, 4, 5, 5, 5]","[[slim, snug, fit, texture, nice, item, description, good, protection, sturdy, corner, super, duty, case, good, people, abuse, phone], [simple, design, issue, suppose], [perfect, black, tpu, case], [buy, case, mom, saw, case, arrive, know, chose, uglier, case, look, amaze, leave, fingerprint, hand, oily], [excellent], [case, nice, bumper, edge, protects, glass, lay, drop, phone, fit, slip, access, batterysd, card, black, case, white, phone, there, color, transfer, black, residue, black, case, doesnt, show, fingerprint, scratch, dont, color]]","[[slim snug fit texture nice item description good protection sturdy corner super duty case good people abuse phone, 0.5719, 5], [simple design issue suppose, 0.5719, 5], [perfect black tpu case, 0.1027, 4], [buy case mom saw case arrive know chose uglier case look amaze leave fingerprint hand oily, 0.9202, 5], [excellent, -0.296, 5], [case nice bumper edge protects glass lay drop phone fit slip access batterysd card black case white phone there color transfer black residue black case doesnt show fingerprint scratch dont color, 0.5932, 5]]"
B00JQYU07E,"[0.6369, 0.5499]","[5, 4]","[[provides, information, interest, use, battery, life]]","[[provides information interest use battery life, 0.6369, 5], [, 0.5499, 4]]"
B00K33N3GC,"[0.4215, 0.6894, 0.0]","[4, 5, 5]","[[awesome, look, case, make, phone, cheaper, case, star, case, tad, loose, allow, debris, case, trap], [nice, case, design], [work]]","[[awesome look case make phone cheaper case star case tad loose allow debris case trap, 0.4215, 4], [nice case design, 0.6894, 5], [work, 0.0, 5]]"
B00K3T4IYM,[-0.4215],[1],"[[case, break, week]]","[[case break week, -0.4215, 1]]"
B00K7IIN5O,"[0.0, 0.6249, 0.6808, 0.5859]","[1, 5, 5, 4]","[[awesome, ], [return, pair, order, listen, volume, shuts], [box, headphone], [samsung, earbuds, go, use, listen, audiobooks, use, music]]","[[awesome , 0.0, 1], [return pair order listen volume shuts, 0.6249, 5], [box headphone, 0.6808, 5], [samsung earbuds go use listen audiobooks use music, 0.5859, 4]]"
B00KGP5SEC,"[0.0, -0.3412, 0.0]","[1, 1, 5]","[[work, discribed], [dont, work, lg, g, stylo, lg, leon, ruturn], [send, picture, extension, toothose, cable, picture, need, thanks]]","[[work discribed, 0.0, 1], [dont work lg g stylo lg leon ruturn, -0.3412, 1], [send picture extension toothose cable picture need thanks, 0.0, 5]]"
B00KHEJ8B6,[0.4404],[5],"[[cover, great, color, waterproof, come, phone, make, phone, doesnt, get, wet, everything, suppose]]","[[cover great color waterproof come phone make phone doesnt get wet everything suppose, 0.4404, 5]]"
B00KL4CDXW,"[0.5719, -0.5023, 0.9684, 0.2144, 0.7152, 0.6026]","[4, 5, 5, 5, 5, 5]","[[wife, saw, size, phone, put, battery, nickname, brick, become, get, battery, inch, deep, worth, get, battery, life, days, charge, battery, day, see, iphone, friend, run, charge, go, cover, grip, sleek, look, lip, front, edge, prevent, hit, floor, face, anker, make, product, understand, want, battery, power, get, bigger, size, tradeoff], [thing, amaze, get, upwards, hour, batter, life, screen, entire, time, add, size, weight, phone, light, skinny, phone, get], [battery, level, day, wife, take, work, whole, day, doesnt, need, carry, battery, day, whole, day, charge, night, go, battery, think, people, get, battery, lot, longer, music, use, google, map, pandora, time, take, lot, power, tooth, plug, day], [beast, nice, gps, cut, trip], [buy, husband, love], [work, warn]]","[[wife saw size phone put battery nickname brick become get battery inch deep worth get battery life days charge battery day see iphone friend run charge go cover grip sleek look lip front edge prevent hit floor face anker make product understand want battery power get bigger size tradeoff, 0.5719, 4], [thing amaze get upwards hour batter life screen entire time add size weight phone light skinny phone get, -0.5023, 5], [battery level day wife take work whole day doesnt need carry battery day whole day charge night go battery think people get battery lot longer music use google map pandora time take lot power tooth plug day, 0.9684, 5], [beast nice gps cut trip, 0.2144, 5], [buy husband love, 0.7152, 5], [work warn, 0.6026, 5]]"
B00KNUILKS,"[0.7579, 0.2732, 0.6962]","[5, 5, 5]","[[cool, good, quality, product], [boyfriend, use, case, phone, love, use, reason, purchase, make, want, reason, aha], [wok]]","[[cool good quality product, 0.7579, 5], [boyfriend use case phone love use reason purchase make want reason aha, 0.2732, 5], [wok, 0.6962, 5]]"
B00KO1I3FE,[0.836],[5],"[[fit, love]]","[[fit love, 0.836, 5]]"
