9712974995,[0.6249],[4],"[[customer, service, charger, charge]]","[[customer service charger charge, 0.6249, 4]]"
B004NYB684,"[0.9902, 0.5499]","[5, 4]","[[decent, radio, ok, range, charger, leave, something, desire, wouldve, better, charger, understand, cradle, charger, charger, end, headphone, jack, couldnt, find, extra, else, sell, look, dozen, store], [greatperformance, cheap, walkietalkies, use, travel, car, camp, ski, hikingbr, br, pro, battery, life, h, good, aaa, battery, multiple, rain, snowfall, jacket, talk, multiple, drop, snowbr, con, none, include, battery, worthless, hour, get, eneloops, day, talkingbr, br, performance, range, dont, get, confuse, size, radio, perform, frsgmrs, radio, promise, w, power, antenna, stuff, standard, ie, frequency, onbr, line, sight, miles, try, friends, use, paragliding, say, workbr, mountain, hikingskiing, mkm, depends, thickness, forest, obstacle, side, hill, reach, anyone, side, hill, radio, wave, cant, city, m, indoors, build, m, depends, obstacle, wont, go, wall, problem, building, venue, ski, resort, allinclusive, hotel, ship, etcbr, br, reason, buy, one, friendskids, lose, friend, use, pair, none, break, excellent, qualitybr, br, tip, get, couple, conference, badge, strap, buckle, radio, carry, neck, lose, hear, answer, skiing, example, talk, glove, chair, lift, might, drop, thats, time, who, valleybr, br, bottom, line, radio, friend, family, great, job, smallest, cheapest, toughest, market, convince, friend, get, radio, buy, hesitation, dont, need, security, feature, offer, use, decrease, range, need, power, penetration, city, environment, go, get, radio, baofeng, series, story, price, complexity, config, operate, unidens, wifegrandma, user]]","[[decent radio ok range charger leave something desire wouldve better charger understand cradle charger charger end headphone jack couldnt find extra else sell look dozen store, 0.9902, 5], [greatperformance cheap walkietalkies use travel car camp ski hikingbr br pro battery life h good aaa battery multiple rain snowfall jacket talk multiple drop snowbr con none include battery worthless hour get eneloops day talkingbr br performance range dont get confuse size radio perform frsgmrs radio promise w power antenna stuff standard ie frequency onbr line sight miles try friends use paragliding say workbr mountain hikingskiing mkm depends thickness forest obstacle side hill reach anyone side hill radio wave cant city m indoors build m depends obstacle wont go wall problem building venue ski resort allinclusive hotel ship etcbr br reason buy one friendskids lose friend use pair none break excellent qualitybr br tip get couple conference badge strap buckle radio carry neck lose hear answer skiing example talk glove chair lift might drop thats time who valleybr br bottom line radio friend family great job smallest cheapest toughest market convince friend get radio buy hesitation dont need security feature offer use decrease range need power penetration city environment go get radio baofeng series story price complexity config operate unidens wifegrandma user, 0.5499, 4]]"
B004WGHD4E,[-0.4767],[1],"[[break, use]]","[[break use, -0.4767, 1]]"
B0056C70IM,[-0.4767],[1],"[[work, card, break]]","[[work card break, -0.4767, 1]]"
B005EO5QZQ,[-0.2755],[1],"[[phone, doesnt, fit, case]]","[[phone doesnt fit case, -0.2755, 1]]"
B005HAL552,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B006JW3BSG,[0.7574],[5],"[[love, case, look, time, multiple, drop]]","[[love case look time multiple drop, 0.7574, 5]]"
B007M4Z7GO,"[-0.9626, 0.2263]","[1, 3]","[[gps, zero, star, select, aside, gps, tell, stay, left, im, mile, stretch, freeway, turn, exchange, antenna, get, wont, charge, mention, decide, route, reason, traffic, thing, time, take, side, street, area, path, took, better, way, time, traffic, work, say, minute, delay, sitting, traffic, minute, wont, say, accident, im, mph, mph, zonebr, br, tomtom, customer, service, always, end, talk, person, fake, american, name, want, computer], [nice, purchase, end, model]]","[[gps zero star select aside gps tell stay left im mile stretch freeway turn exchange antenna get wont charge mention decide route reason traffic thing time take side street area path took better way time traffic work say minute delay sitting traffic minute wont say accident im mph mph zonebr br tomtom customer service always end talk person fake american name want computer, -0.9626, 1], [nice purchase end model, 0.2263, 3]]"
B007XBPHFW,[-0.4019],[3],"[[broke, time, drop]]","[[broke time drop, -0.4019, 3]]"
B0093QU7DW,[0.2732],[5],"[[serve, purpose]]","[[serve purpose, 0.2732, 5]]"
B00974L1T4,"[0.2264, -0.6428, 0.7964, 0.7783]","[4, 5, 5, 5]","[[otterbox, product, sturdy, look], [fit, commuter, iphone, g, year, back, case, compromise, protection, bulk], [drop, phone, stair, rid, street, run, sort, place, crack, problem, phone, stellar, case, plastic, bottom, fallen, treatment, crack, work, case, take, brunt, damage, phone], [protector, iphone, wish, screen, cover]]","[[otterbox product sturdy look, 0.2264, 4], [fit commuter iphone g year back case compromise protection bulk, -0.6428, 5], [drop phone stair rid street run sort place crack problem phone stellar case plastic bottom fallen treatment crack work case take brunt damage phone, 0.7964, 5], [protector iphone wish screen cover, 0.7783, 5]]"
B0097CZF5C,"[0.8555, 0.4939, 0.4927, 0.4404, 0.8016, 0.6249, 0.6124, 0.4404, 0.7351]","[5, 5, 5, 5, 5, 5, 5, 4, 3]","[[happy, phone, met, expectation, thank], [phone, look, work], [equipment, work], [condition, work, plan, come, unlock], [thank, phone, describe], [well, expect, sign, use, iphone, look], [gran, use, thing], [purchase, make, online, recommend, seller, others], [year, bought, phone, describe, satisfy, purchase]]","[[happy phone met expectation thank, 0.8555, 5], [phone look work, 0.4939, 5], [equipment work, 0.4927, 5], [condition work plan come unlock, 0.4404, 5], [thank phone describe, 0.8016, 5], [well expect sign use iphone look, 0.6249, 5], [gran use thing, 0.6124, 5], [purchase make online recommend seller others, 0.4404, 4], [year bought phone describe satisfy purchase, 0.7351, 3]]"
B009WWCC5I,[0.765],[5],[[fit]],"[[fit, 0.765, 5]]"
B00AHWGBYA,"[-0.4767, 0.5095]","[1, 5]","[[le, star, product]]","[[le star product, -0.4767, 1], [, 0.5095, 5]]"
B00BEPFS70,[0.5994],[5],[[love]],"[[love, 0.5994, 5]]"
B00BF6HVGY,[0.8338],[4],"[[order, size, turn, fit, vehicle, sound, box, instal, year]]","[[order size turn fit vehicle sound box instal year, 0.8338, 4]]"
B00BKV3ALE,"[-0.431, 0.4927]","[5, 5]","[[buy, christmas, gift, year, go, family, cruise, year, work, awesome, wondering, communicate, deck, ship, use, cruise, charge, pack, plan, day, charge, time, use, pool, worry, get, wet]]","[[buy christmas gift year go family cruise year work awesome wondering communicate deck ship use cruise charge pack plan day charge time use pool worry get wet, -0.431, 5], [, 0.4927, 5]]"
B00BT7DOLK,"[0.8973, 0.9313, 0.802]","[5, 4, 4]","[[case, protects, phone, test, drop, phone, nothing, happen, phone], [nice, case, good, fit], [soft, edge, everything, stand, fit, camera, speaker, spen, fit, belt, clip, case, thats]]","[[case protects phone test drop phone nothing happen phone, 0.8973, 5], [nice case good fit, 0.9313, 4], [soft edge everything stand fit camera speaker spen fit belt clip case thats, 0.802, 4]]"
B00CF0FZXK,[0.0],[2],"[[put, phone, holster, dial, know, use, holster]]","[[put phone holster dial know use holster, 0.0, 2]]"
B00CMRCEN0,[0.9062],[5],"[[get, friend, love, screen, protector, lg, phone]]","[[get friend love screen protector lg phone, 0.9062, 5]]"
B00CMUM3EM,[0.6808],[4],"[[price, wish, make, thicker, material]]","[[price wish make thicker material, 0.6808, 4]]"
B00COA5N38,[0.8978],[5],"[[order, replacement, battery, samsung, tablet, kinda, get, case, battery, insert, battery, tablet, purchase, amazon]]","[[order replacement battery samsung tablet kinda get case battery insert battery tablet purchase amazon, 0.8978, 5]]"
B00D0SOCQC,[0.4019],[5],"[[havent, use, see, hold, dontbr, fill, max, clasp]]","[[havent use see hold dontbr fill max clasp, 0.4019, 5]]"
B00DQMHM14,"[0.4137, 0.9513, -0.5423, 0.2732, 0.7005]","[4, 5, 3, 5, 5]","[[work, reduce, tangle], [cheap, using, month, havent, fail], [handy, connector, feel, cheap, hold, price, deal, seem, charge, electronics, perform, hop, retract, feature, make, travel, cord], [fail, time], [price, cant, go, isnt]]","[[work reduce tangle, 0.4137, 4], [cheap using month havent fail, 0.9513, 5], [handy connector feel cheap hold price deal seem charge electronics perform hop retract feature make travel cord, -0.5423, 3], [fail time, 0.2732, 5], [price cant go isnt, 0.7005, 5]]"
B00DY7VARS,[0.3291],[3],"[[grip, part, excellent, take, charge]]","[[grip part excellent take charge, 0.3291, 3]]"
B00EDSO2AY,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B00EZ9Y6RK,"[0.6742, 0.9705]","[5, 3]","[[love, fit, iphone, c, like, transparent, plastic, want, see, bright, color, phone, giving, star, didnt, take, yellow, need, soon, construct, pad, phone, buy, unless, something, resist, yellow], [use, case, year, offer, protection, great, price, customer, service, none, recommend, case, anyone, asks, recommendation]]","[[love fit iphone c like transparent plastic want see bright color phone giving star didnt take yellow need soon construct pad phone buy unless something resist yellow, 0.6742, 5], [use case year offer protection great price customer service none recommend case anyone asks recommendation, 0.9705, 3]]"
B00EZHZ77A,[0.7003],[5],"[[granddaughter, love, case, hold, herbr, br, httpwwwamazoncomgpproductbezhzaredirecttruerefcmcrrypprdttlsol]]","[[granddaughter love case hold herbr br httpwwwamazoncomgpproductbezhzaredirecttruerefcmcrrypprdttlsol, 0.7003, 5]]"
B00F0CL1I8,[-0.6597],[2],"[[cheap, thing, fell, apart, time, disappoint]]","[[cheap thing fell apart time disappoint, -0.6597, 2]]"
B00F2OSM3G,[0.8074],[5],"[[shown, look, material, kick, stand, hold]]","[[shown look material kick stand hold, 0.8074, 5]]"
B00FA892IS,"[0.4939, -0.2382, 0.2263, 0.859, 0.9313, 0.4404, 0.7351, 0.4265, 0.8955, 0.7645, 0.6249, 0.0]","[5, 3, 4, 1, 4, 5, 5, 4, 5, 4, 5, 1]","[[okay, product], [mount, great, range, use, motorcycle, grip, sufficient, hold, phablet, phone, potholes, speedbr, finger, finger, grip, power, volume, button, cant, right, spot, phone, offset, grip, worry, fall, outbr, dont, consider, product, fault, se, dont, know, mitigate, something, aware], [job, ], [neat, device, hold, iphone, ride, o, use, gps, listen, pas, time, hold, phone, remember, take, phone, stop, market], [expect, figure, way, make, work], [describe, work, honda, shadow, hold, gps], [product, make, use, hold, phone, riding, harley], [year, update, notice, phone, wobbling, inspect, find, ring, tightens, swivel, ball, side, good, thing, check, wouldve, lose, phone, highway, unit, abuse, overstress, store, inside, dont, waste, money, value, phone, gps, review, hold, daughter, clamp, fit, fine, slimmer, section, handlebar, thicker, center, section, mount, slimmer, angle, portion, handlebar, there, articulation, hold, phone, face, riding, angle, buy], [engineer, meet, need, balljoint, bit, undersized, sure, slipping, fail, use, bouncy, mountainbicycling, environment], [want, wait, wrote, review, use, greatshield, clip, grip, outstanding, hd, road, king, product, hold, phone, position, use, phone, movie, camera, gps, recommend, product], [geocaching, bike, love, style, secure, see, screen], [work, great]]","[[okay product, 0.4939, 5], [mount great range use motorcycle grip sufficient hold phablet phone potholes speedbr finger finger grip power volume button cant right spot phone offset grip worry fall outbr dont consider product fault se dont know mitigate something aware, -0.2382, 3], [job , 0.2263, 4], [neat device hold iphone ride o use gps listen pas time hold phone remember take phone stop market, 0.859, 1], [expect figure way make work, 0.9313, 4], [describe work honda shadow hold gps, 0.4404, 5], [product make use hold phone riding harley, 0.7351, 5], [year update notice phone wobbling inspect find ring tightens swivel ball side good thing check wouldve lose phone highway unit abuse overstress store inside dont waste money value phone gps review hold daughter clamp fit fine slimmer section handlebar thicker center section mount slimmer angle portion handlebar there articulation hold phone face riding angle buy, 0.4265, 4], [engineer meet need balljoint bit undersized sure slipping fail use bouncy mountainbicycling environment, 0.8955, 5], [want wait wrote review use greatshield clip grip outstanding hd road king product hold phone position use phone movie camera gps recommend product, 0.7645, 4], [geocaching bike love style secure see screen, 0.6249, 5], [work great, 0.0, 1]]"
B00FDLUBCS,[0.9029],[5],"[[bought, voltwater, oil, vendor, complaint, leds, seen, day, give, lookbr, br, issue, watch, america, want, fahrenheit, gauge, bought, celsius, fahrenheit, bummer, description, incicate, fault, c, f, exact, value, thermostat, open]]","[[bought voltwater oil vendor complaint leds seen day give lookbr br issue watch america want fahrenheit gauge bought celsius fahrenheit bummer description incicate fault c f exact value thermostat open, 0.9029, 5]]"
B00FOVA0XC,[0.0],[5],"[[use, case, year, keep, phone, pristine, condition, ]]","[[use case year keep phone pristine condition , 0.0, 5]]"
B00GBKDETM,[0.8316],[4],"[[work, great, daughter, love]]","[[work great daughter love, 0.8316, 4]]"
B00GG2S68O,[0.9527],[5],"[[awesome, skin, skin, fit, need, hair, dryer, hottest, set, install, work, fine, love, thanks, xgear]]","[[awesome skin skin fit need hair dryer hottest set install work fine love thanks xgear, 0.9527, 5]]"
B00H2FKINA,[0.4404],[3],[[charger]],"[[charger, 0.4404, 3]]"
B00H6YQESK,[0.4767],[5],"[[buy, case, day, receive, today, perfect, picture, clip, took, minute, figure, tip, start, clip, bottom]]","[[buy case day receive today perfect picture clip took minute figure tip start clip bottom, 0.4767, 5]]"
B00HA5RXYY,"[-0.2732, 0.7717]","[5, 5]","[[guy, recommend, anker, nd, gen, astro, mah, port, charger, battery, power, bank, lady, bought, speak, anker, rep, phone, keeper], [charge, phone, faster, home, charger, charge, time, battery]]","[[guy recommend anker nd gen astro mah port charger battery power bank lady bought speak anker rep phone keeper, -0.2732, 5], [charge phone faster home charger charge time battery, 0.7717, 5]]"
B00HQRIVG0,"[0.8512, 0.0]","[5, 2]","[[awesome, adjust, whatever, length, want, lock, rewind, position, wire, dont, extend, length, rewind, others, design], [thing, dont, price]]","[[awesome adjust whatever length want lock rewind position wire dont extend length rewind others design, 0.8512, 5], [thing dont price, 0.0, 2]]"
B00HUBCFPK,[-0.8598],[1],"[[fit, hole, broke, time, try, fit, cellphone]]","[[fit hole broke time try fit cellphone, -0.8598, 1]]"
B00HUDMVFC,[0.858],[5],"[[love, case, protects, phone, isnt, bulky, case]]","[[love case protects phone isnt bulky case, 0.858, 5]]"
B00HUGVN3U,"[-0.4215, 0.4939]","[3, 3]","[[get, pay, last, month, start, crack, protect, phone, fall, time], [case, break, week]]","[[get pay last month start crack protect phone fall time, -0.4215, 3], [case break week, 0.4939, 3]]"
B00HYJL8XS,[0.6249],[5],[[awesome]],"[[awesome, 0.6249, 5]]"
B00HZAV1KQ,"[0.8777, -0.0258]","[4, 1]","[[im, senior, citizen, find, put, look, picture, say, im, happy, come, day, wait, go], [buy, want, screen, crack, day, ipod, screen, crack, case, home, button]]","[[im senior citizen find put look picture say im happy come day wait go, 0.8777, 4], [buy want screen crack day ipod screen crack case home button, -0.0258, 1]]"
B00I3UWEM6,"[0.6901, 0.5719, 0.9955, 0.7261, 0.9326, 0.2152]","[5, 5, 5, 5, 5, 5]","[[arrive, day, case, look, feel, feel, protect, complain], [debate, get, case, protect, month, decide, something, browse, online, reading, review, watch, video, purchase, tell, yabest, decision, madebr, go, snug, case, way, fall, fact, difficult, remove, case, put, love, way, feel, hand, use, phone, sturdy, solid, add, bit, thickness, slide, phone, pocket, way, design, case, make, feel, add, kind, masculinity, fine, consideringim, guybr, cant, find, downfall, doubt, update, review, otherwiseawesome, case], [seem, protect, phone, drop, time, corner, protect, phone, finebr, note, screen, protector, need, look, pick, model, onebr, like, buy, model, ipad], [button, hard, find, feel, case], [case, phone, plenty, time, kind, surface, condition, put, case, thing, part, slippery, slip, hand, im, playing, somehow, show, someone, something, phone, etc, doesnt, happen, problem, thing, put, pocket, come, fall, case, super, easy, put, trouble, take, love, size, button, volume, power, key, theyre, wouldnt, say, button, theyre, soft, im, paranoid, volume, go, phone, backpack, happen, case, anyway, love, read, lot, review, buy, help, someone, try, pick, case, selection], [time, case, spigen, sleek, design, case, protect, cellphone]]","[[arrive day case look feel feel protect complain, 0.6901, 5], [debate get case protect month decide something browse online reading review watch video purchase tell yabest decision madebr go snug case way fall fact difficult remove case put love way feel hand use phone sturdy solid add bit thickness slide phone pocket way design case make feel add kind masculinity fine consideringim guybr cant find downfall doubt update review otherwiseawesome case, 0.5719, 5], [seem protect phone drop time corner protect phone finebr note screen protector need look pick model onebr like buy model ipad, 0.9955, 5], [button hard find feel case, 0.7261, 5], [case phone plenty time kind surface condition put case thing part slippery slip hand im playing somehow show someone something phone etc doesnt happen problem thing put pocket come fall case super easy put trouble take love size button volume power key theyre wouldnt say button theyre soft im paranoid volume go phone backpack happen case anyway love read lot review buy help someone try pick case selection, 0.9326, 5], [time case spigen sleek design case protect cellphone, 0.2152, 5]]"
B00I9H2I06,"[0.0, 0.0, 0.4404]","[5, 5, 5]","[[ship, product, describe], [thanks], [work]]","[[ship product describe, 0.0, 5], [thanks, 0.0, 5], [work, 0.4404, 5]]"
B00INHH2MQ,[0.9056],[4],"[[look, great, work, expect, dont, want, take, purse, love, walk, outdoorsbr, br, change, purse, option, get, phone, case, use, knife, scratch, phone, place, push, camera, open, wont, pop, phone, case, use, tool, cant, camera, lens, result, start, tear, phone, case, part, wallet, part]]","[[look great work expect dont want take purse love walk outdoorsbr br change purse option get phone case use knife scratch phone place push camera open wont pop phone case use tool cant camera lens result start tear phone case part wallet part, 0.9056, 4]]"
B00IUIO85M,"[0.9257, 0.7876, 0.6249]","[4, 4, 5]","[[dont, color, case, worth, money, fit, phone, button, press, reason, dont, case, case], [slim, case, great, didnt, want, ruin, look, phone], [describe, fit, temper, glass, screen, protector]]","[[dont color case worth money fit phone button press reason dont case case, 0.9257, 4], [slim case great didnt want ruin look phone, 0.7876, 4], [describe fit temper glass screen protector, 0.6249, 5]]"
B00IYWQNXO,"[-0.4818, 0.9501, 0.7096, 0.8442, 0.4993, 0.8074]","[1, 5, 5, 5, 4, 4]","[[textureno, protection, tho], [spent, make, protection, phone], [phone, case, doesnt, offer, protection, bulky, case, look, dont, get, case, profile, doesnt, add, lot, weight, phone, corner, protect, user, point, case, prevents, camera, charge, port, come, contact, anything, come, screen, protector, easy], [case, advertise, color, put, phone, happy, recommend], [case, complaint, whats, think, slippery, say, color, stay, clean, went, buy, different, color], [an, safe, period]]","[[textureno protection tho, -0.4818, 1], [spent make protection phone, 0.9501, 5], [phone case doesnt offer protection bulky case look dont get case profile doesnt add lot weight phone corner protect user point case prevents camera charge port come contact anything come screen protector easy, 0.7096, 5], [case advertise color put phone happy recommend, 0.8442, 5], [case complaint whats think slippery say color stay clean went buy different color, 0.4993, 4], [an safe period, 0.8074, 4]]"
B00J4XJZQ4,"[0.5106, 0.6124]","[1, 5]","[[half, month, damage, buy, product, save, money, live], [provider, keep, word, condition, item, brand, protection, item, bulk, packaging, seal, thank, recommend, buyer, l]]","[[half month damage buy product save money live, 0.5106, 1], [provider keep word condition item brand protection item bulk packaging seal thank recommend buyer l, 0.6124, 5]]"
B00JIMFVX2,[-0.2755],[1],"[[work, month, quit, recommend]]","[[work month quit recommend, -0.2755, 1]]"
B00JRFBHNI,[0.836],[5],"[[case, perfect]]","[[case perfect, 0.836, 5]]"
B00K7VOCGA,"[0.4404, 0.2732]","[5, 2]","[[thanks], [way, thick, creates, bulge, gs]]","[[thanks, 0.4404, 5], [way thick creates bulge gs, 0.2732, 2]]"
B00K9EPIT0,[0.6705],[4],"[[product, cute, convenient]]","[[product cute convenient, 0.6705, 4]]"
B00KA6NP9C,[0.8316],[5],"[[work, great, wife, love]]","[[work great wife love, 0.8316, 5]]"
B00KCONC4A,[0.4939],[4],"[[constant, use, hard, fit, galaxy, holder, protection, case, work]]","[[constant use hard fit galaxy holder protection case work, 0.4939, 4]]"
B00KHE62P6,"[0.8879, 0.128, 0.5719]","[5, 4, 5]","[[excellent, product], [battery, work, super, fast, shipping, wasnt, charge, arrive, charge, night, battery, day, charging, couldnt, go, charge, battery, im, please, battery], [replacement, battery, samsung, battery, phone, keep, go, soon, charge, purchase, replacement, far, phone, stay, charge, day, day, reason, give, star, week]]","[[excellent product, 0.8879, 5], [battery work super fast shipping wasnt charge arrive charge night battery day charging couldnt go charge battery im please battery, 0.128, 4], [replacement battery samsung battery phone keep go soon charge purchase replacement far phone stay charge day day reason give star week, 0.5719, 5]]"
B00KMGI8PG,"[0.6369, -0.1953]","[5, 1]","[[shoulda, believe, review, order, mine, print, side, dull, pay, extra, get, well, case]]","[[shoulda believe review order mine print side dull pay extra get well case, 0.6369, 5], [, -0.1953, 1]]"
B00KNU98XC,"[0.4497, 0.7893]","[1, 5]","[[today, day, use, love, thank], [receive, logitech, trip, car, dock, iphone, doesnt, work, fall, phone, im, request, return, get, money, please, buy]]","[[today day use love thank, 0.4497, 1], [receive logitech trip car dock iphone doesnt work fall phone im request return get money please buy, 0.7893, 5]]"
B00KOQ85H0,"[0.8439, -0.1199, -0.7533, 0.9481]","[3, 3, 2, 4]","[[im, sure, great, product, person, larger, arm, use, give, star, way, light, slim, imagine, arm, get, real, sweaty, wear, bought, armband, month, try, find, fit, stay, attach, slide, velcro, work, cost, gas, return, item, feedback, seller, interaction], [pretty, muscular, arm, sort, pinch, bit, lift, use, run, jogging, think], [pinch, arm, bit, flexibility, band, move, product], [bum, purchase, hole, headphone, side, dont, fit, youd, put, backwards, pointless, sure, fluke, item, make, get, rating]]","[[im sure great product person larger arm use give star way light slim imagine arm get real sweaty wear bought armband month try find fit stay attach slide velcro work cost gas return item feedback seller interaction, 0.8439, 3], [pretty muscular arm sort pinch bit lift use run jogging think, -0.1199, 3], [pinch arm bit flexibility band move product, -0.7533, 2], [bum purchase hole headphone side dont fit youd put backwards pointless sure fluke item make get rating, 0.9481, 4]]"
