B0002SYC5O,"[0.3612, 0.1531]","[5, 3]","[[get, time, expect, thank, product, describe], [ok, way, lot, extension]]","[[get time expect thank product describe, 0.3612, 5], [ok way lot extension, 0.1531, 3]]"
B004OT8SAC,[0.0],[1],"[[didnt, work]]","[[didnt work, 0.0, 1]]"
B004STWHN2,[0.0],[4],[[look]],"[[look, 0.0, 4]]"
B004V9GSG6,[0.975],[5],"[[start, love, system, pair, recommend, rf, amp, wats, capacitor, gaaawwwddd, thing, bumb, tight, clean, oooooooooohhhhhhhh, snap, real, get, compliment, leave, ladies, love, investment, ive, make]]","[[start love system pair recommend rf amp wats capacitor gaaawwwddd thing bumb tight clean oooooooooohhhhhhhh snap real get compliment leave ladies love investment ive make, 0.975, 5]]"
B006VHF7R2,[-0.3089],[5],"[[try, others, ccms, doubt, yetbr, pen, plus]]","[[try others ccms doubt yetbr pen plus, -0.3089, 5]]"
B0071I0O2I,[-0.6622],[1],"[[bracket, hold, speaker, broke, quality, wasnt, good, sound]]","[[bracket hold speaker broke quality wasnt good sound, -0.6622, 1]]"
B008589ZKU,[0.9359],[5],"[[perfect, fit, sturdy, great, price, happy]]","[[perfect fit sturdy great price happy, 0.9359, 5]]"
B008AT6BOW,"[-0.4929, 0.631, 0.0, 0.4215, 0.0]","[1, 5, 1, 5, 5]","[[radar, detector, work, detect, traffic, junction, camera, detect, radar, gun, sound, alert, close, stationery, speed, camera, m, pure, waste, money, disappointment, work, country, get, money], [product, recommend, everyone, save, unecessary, false, alarm], [quick, shipping, product, work, expect], [save, butt, ticket, week], [stop, work, day]]","[[radar detector work detect traffic junction camera detect radar gun sound alert close stationery speed camera m pure waste money disappointment work country get money, -0.4929, 1], [product recommend everyone save unecessary false alarm, 0.631, 5], [quick shipping product work expect, 0.0, 1], [save butt ticket week, 0.4215, 5], [stop work day, 0.0, 5]]"
B008C2X122,[0.6124],[1],"[[suppose, fit, iphone, fit, trash]]","[[suppose fit iphone fit trash, 0.6124, 1]]"
B008J2V3KW,"[0.6249, 0.9371, 0.0]","[5, 5, 1]","[[return], [dropsuit, case, samsung, galaxy, buy, december, years, look, clean, scratch, drop, phone, couple, time, save, phone, body, glove, make, rugged, dropsuit, case, protection, phone, buy, iphone], [quality, money]]","[[return, 0.6249, 5], [dropsuit case samsung galaxy buy december years look clean scratch drop phone couple time save phone body glove make rugged dropsuit case protection phone buy iphone, 0.9371, 5], [quality money, 0.0, 1]]"
B008L3IDDO,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B008L3IX8Y,[0.5719],[5],"[[husband, love]]","[[husband love, 0.5719, 5]]"
B008Y2SPE4,"[0.4404, 0.6249, 0.2732]","[4, 5, 5]","[[price], [product], [arrive, time, describe, work, radio]]","[[price, 0.4404, 4], [product, 0.6249, 5], [arrive time describe work radio, 0.2732, 5]]"
B0096855IO,[0.9959],[3],"[[mount, move, edge, unit, forward, inch, bit, place, front, stem, handlebarsbr, br, easier, view, edge, display, rid, yes, talking, inchesbr, br, outfront, mount, reduce, drag, mount, edge, top, handlebar, create, bit, drag, edge, amount, drag, imperceptiblebr, br, outfront, mount, secure, include, handlebar, mount, rubber, band, read, people, problem, rubber, band, secure, edge, year, handlebar, mount, rubber, band, come, package, use, bike, bike, week, backroads, bike, trip, glacier, park, problem, ive, felt, bike, computer, attach, youre, confident, get, peace, mind, edge, secure, outfront, mountbr, br, construction, problem, company, mount, garmin, outfront, mount, make, quality, feel, feel, itll, yearsbr, br, bottom, line, money, tight, skip, doesnt, make, difference, price, considering, doesnt, seem, garmins, cost, produce, couple, dollar, unit, dollar, ship, distributionbr, br, afford, worth, try, difference, wont, tilt, head, see, display, br, reviewer, seem, think, outfront, make, difference, comfort, safety, compare, handlebar, mounting, respect, opinion, encourage, check, review, make, purchase, decisionage, check, review, make, purchase, decision]]","[[mount move edge unit forward inch bit place front stem handlebarsbr br easier view edge display rid yes talking inchesbr br outfront mount reduce drag mount edge top handlebar create bit drag edge amount drag imperceptiblebr br outfront mount secure include handlebar mount rubber band read people problem rubber band secure edge year handlebar mount rubber band come package use bike bike week backroads bike trip glacier park problem ive felt bike computer attach youre confident get peace mind edge secure outfront mountbr br construction problem company mount garmin outfront mount make quality feel feel itll yearsbr br bottom line money tight skip doesnt make difference price considering doesnt seem garmins cost produce couple dollar unit dollar ship distributionbr br afford worth try difference wont tilt head see display br reviewer seem think outfront make difference comfort safety compare handlebar mounting respect opinion encourage check review make purchase decisionage check review make purchase decision, 0.9959, 3]]"
B009SD1FTU,"[-0.0498, 0.0]","[1, 1]","[[poor, quality, reliability, save, money], [take, way, longer, charge, phone, work, time, work]]","[[poor quality reliability save money, -0.0498, 1], [take way longer charge phone work time work, 0.0, 1]]"
B009XE3LKA,[0.9001],[4],"[[keyboard, good, doesnt, capitalize, character, sentence, overall, recommend, anyone, great, feature]]","[[keyboard good doesnt capitalize character sentence overall recommend anyone great feature, 0.9001, 4]]"
B009XGZGZG,"[0.7684, 0.9093]","[4, 4]","[[get, ruffle, touch, sensitivity], [arm, band, time, work, strap, nice, velcrow, tab, allow, lock, headphone, spot, handy, plastic, mine, loosen, doesnt, functionality, need, use, screen, remove, phone, dont, use, phone, im, run, work, fine, armband, time, hold]]","[[get ruffle touch sensitivity, 0.7684, 4], [arm band time work strap nice velcrow tab allow lock headphone spot handy plastic mine loosen doesnt functionality need use screen remove phone dont use phone im run work fine armband time hold, 0.9093, 4]]"
B00A8813VO,[0.0],[1],"[[say, iphone, bull, iphone, return]]","[[say iphone bull iphone return, 0.0, 1]]"
B00AD37TOE,[0.8206],[5],"[[styolus, fit, earphone, iphone, doesnt, get, lose]]","[[styolus fit earphone iphone doesnt get lose, 0.8206, 5]]"
B00AECGDHS,[0.1742],[5],"[[use, case, year, cant, count, time, ive, drop, phone, think, broke, phone, case, keep, phone, intact, unscratched, time, brim, go, front, edge, screen, drop, phone, face, glass, wont, touch, floor, phone, recommend]]","[[use case year cant count time ive drop phone think broke phone case keep phone intact unscratched time brim go front edge screen drop phone face glass wont touch floor phone recommend, 0.1742, 5]]"
B00C1BKF3I,"[-0.25, -0.2924]","[1, 3]","[[replace, screen, tool, give, use, hairdryer, help, remove, screen, replacement, screen, look, clear, product, application, error], [cancel, product]]","[[replace screen tool give use hairdryer help remove screen replacement screen look clear product application error, -0.25, 1], [cancel product, -0.2924, 3]]"
B00CFS3I7W,"[0.7178, 0.7755, 0.8176]","[5, 5, 5]","[[quality, order, id, use, customize, case], [communicate, design, come, verrrry, consider, get, bfs, iphone, get, lol], [nice, fit, protect, phone, spot]]","[[quality order id use customize case, 0.7178, 5], [communicate design come verrrry consider get bfs iphone get lol, 0.7755, 5], [nice fit protect phone spot, 0.8176, 5]]"
B00D3YDV4C,"[0.1018, 0.9789]","[5, 5]","[[purchase, wow, well, battery, life, pop, puppy, day, non, stop, cell, use, screen, brite, cut, screen, half, bright, day, get, hyperon, extend, tpu, case, go, seidio, dilex, holster, fit, perfect, win, combination, samsung, sbr, br, note, use, heat, gun, warm, tpu, case, inside, area, go, camera, lens, push, area, inward, till, cool, area, didnt, sit, flush, case, pop, perfectbr, heat, dilex, holster, tab, pop, cell, tpu, case, hold, tab, till, cool, sug, fit, plastic, clip, move, closer, cell, regular, hot, blow, drier, tweak, fine, perfection], [im, like, thing, sad, phone, chew, battery, turn, course, longer, thin, svelt, phone, stick, bit, youd, think, id, put, thicker, battery, twice, metric, gone, get, hour, oem, battery, day, longer, wonderful, pack, couple, spare, charger, go]]","[[purchase wow well battery life pop puppy day non stop cell use screen brite cut screen half bright day get hyperon extend tpu case go seidio dilex holster fit perfect win combination samsung sbr br note use heat gun warm tpu case inside area go camera lens push area inward till cool area didnt sit flush case pop perfectbr heat dilex holster tab pop cell tpu case hold tab till cool sug fit plastic clip move closer cell regular hot blow drier tweak fine perfection, 0.1018, 5], [im like thing sad phone chew battery turn course longer thin svelt phone stick bit youd think id put thicker battery twice metric gone get hour oem battery day longer wonderful pack couple spare charger go, 0.9789, 5]]"
B00D477YFA,"[-0.8074, 0.6808, 0.6369, 0.0772, -0.4929]","[2, 3, 5, 5, 2]","[[purchase, month, switch, quit, function, sending, warranty, lg, work, month, update, lg, warranty, repair, service, sent, product, repair, system, error, send, product, week, fix, hope, deal, repair, service], [noise, cancel, work], [item, week, power, button, broke, battery, life, good, great], [color, volume], [mix, feel, way, work, sound, quality, decent, power, onoff, switch, stop, work, took, apart, tab, break, way, fixing, garbage, btw, wert, month]]","[[purchase month switch quit function sending warranty lg work month update lg warranty repair service sent product repair system error send product week fix hope deal repair service, -0.8074, 2], [noise cancel work, 0.6808, 3], [item week power button broke battery life good great, 0.6369, 5], [color volume, 0.0772, 5], [mix feel way work sound quality decent power onoff switch stop work took apart tab break way fixing garbage btw wert month, -0.4929, 2]]"
B00D6KXM6A,[0.0],[1],"[[cant, acces, gps]]","[[cant acces gps, 0.0, 1]]"
B00DE946G8,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B00DI7ZSSQ,"[0.0, 0.6369]","[3, 5]","[[phone, ive], [package, come, brand, name]]","[[phone ive, 0.0, 3], [package come brand name, 0.6369, 5]]"
B00DOR78ZQ,"[-0.5988, 0.0]","[1, 5]","[[time, say], [baofeng, bff, handitalkie, second, generation, uvr, uvr, accessory, suppose, bff, charger, sent, photo, look, charger, longer, function, accept, radio, cannibalize, part, repair, charger, permanent, damage, warn]]","[[time say, -0.5988, 1], [baofeng bff handitalkie second generation uvr uvr accessory suppose bff charger sent photo look charger longer function accept radio cannibalize part repair charger permanent damage warn, 0.0, 5]]"
B00DOWZXAS,[0.8885],[5],"[[excellent, battery, make, streamlight, flashlight, super, bright]]","[[excellent battery make streamlight flashlight super bright, 0.8885, 5]]"
B00DP0PRDW,[-0.4767],[1],"[[receive, item]]","[[receive item, -0.4767, 1]]"
B00E1XDS0G,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B00EDDE7PE,"[0.3612, 0.7717]","[4, 5]","[[temp, function, watch, size, face, watch], [lot, research, watch, decide, look, watch, decent, price, feature, find, review, indicate, see, find, review, read, regard, scratch, simple, use, phone, screen, protector, cut, shape, voila, screen, protect, cost, everything, buck, reason, star, instruction, follow, time, work, screen]]","[[temp function watch size face watch, 0.3612, 4], [lot research watch decide look watch decent price feature find review indicate see find review read regard scratch simple use phone screen protector cut shape voila screen protect cost everything buck reason star instruction follow time work screen, 0.7717, 5]]"
B00EG0C20G,"[0.6249, 0.7506, 0.4927, 0.5719, -0.0, 0.4019, 0.872, 0.8338, 0.6866, 0.3612, 0.6369, 0.6478, 0.8952]","[4, 4, 4, 5, 4, 4, 4, 4, 4, 5, 5, 5, 4]","[[product, seem, piece, cover, lightning, connector], [fit, problem, work, keyboard, plug, adapter], [drop, phone, time, count, protect], [son, love, case, buy], [phone, case], [install, fit, protect, phone, arrive, time], [case, get, drop, phone, time, live, hope, change, button, cover, prevent, peel, expose, stuff, happen, case], [buy, wife, iphone, c, blue, color, come, time, work, say, thought, thicker, use, brand, turn, want, lighter, cover, phone, protective, screen, touch, buy, price, buy, u], [case, great, value, feel, sturdy, pad, corner, absorb, lot, shock, drop, phone, screen, protector, great, touch, screen, work, flaw, case, mute, switch, side, access, fingernail, trim, need, toothpick, something, switch, sound, onoff, case, tight, dust, get, catch, screen, protector, screen, thats, problem, case, case, perfect, price, recommend], [buy, husband, year, phone, today, change, look, feel, buy, yesterday, recommend, everyone], [fit, phone, install, buy], [case, issue, cover, headphone, charge, area, stay, plug, try, close, pop, hour, nothing, plug, close, stay, close, cut, tab, convenience, oh, plastic, cover, screen, bit, phone, screen, feel, press, use, minor, irritation, im, ill, enjoy, case, provide, protection], [grandson, love]]","[[product seem piece cover lightning connector, 0.6249, 4], [fit problem work keyboard plug adapter, 0.7506, 4], [drop phone time count protect, 0.4927, 4], [son love case buy, 0.5719, 5], [phone case, -0.0, 4], [install fit protect phone arrive time, 0.4019, 4], [case get drop phone time live hope change button cover prevent peel expose stuff happen case, 0.872, 4], [buy wife iphone c blue color come time work say thought thicker use brand turn want lighter cover phone protective screen touch buy price buy u, 0.8338, 4], [case great value feel sturdy pad corner absorb lot shock drop phone screen protector great touch screen work flaw case mute switch side access fingernail trim need toothpick something switch sound onoff case tight dust get catch screen protector screen thats problem case case perfect price recommend, 0.6866, 4], [buy husband year phone today change look feel buy yesterday recommend everyone, 0.3612, 5], [fit phone install buy, 0.6369, 5], [case issue cover headphone charge area stay plug try close pop hour nothing plug close stay close cut tab convenience oh plastic cover screen bit phone screen feel press use minor irritation im ill enjoy case provide protection, 0.6478, 5], [grandson love, 0.8952, 4]]"
B00EMVOV3U,"[0.2023, 0.836]","[5, 5]","[[use, item, replace, sundamaged, mount, g, dashcam, suction, cup, made, easier, mount, rearview, mirror, toll, pas, use, ball, joint, g, doesnt, slot, attach, foot, mount, fit, g, snug, add, washer], [work, fine]]","[[use item replace sundamaged mount g dashcam suction cup made easier mount rearview mirror toll pas use ball joint g doesnt slot attach foot mount fit g snug add washer, 0.2023, 5], [work fine, 0.836, 5]]"
B00FEBU0DM,[0.923],[5],"[[quality, price, happy]]","[[quality price happy, 0.923, 5]]"
B00FGIH37Y,"[0.765, -0.4118, 0.0, 0.5719, 0.5719, 0.0]","[4, 5, 3, 5, 5, 5]","[[excellent, productwell, meet, needsi, purchase], [get, ask], [belt, loop, keep, come, unsewn], [phone, fit, perfect, look], [look, sort, holster, cut, pocket, call, clip, ok, bulky, size, note, unplanned, call, go], [excellent]]","[[excellent productwell meet needsi purchase, 0.765, 4], [get ask, -0.4118, 5], [belt loop keep come unsewn, 0.0, 3], [phone fit perfect look, 0.5719, 5], [look sort holster cut pocket call clip ok bulky size note unplanned call go, 0.5719, 5], [excellent, 0.0, 5]]"
B00FPQ8S30,"[0.6486, 0.659]","[5, 5]","[[cover, protect, sheet, instal, work, upgrade, glass, installation, wasnt, far], [price]]","[[cover protect sheet instal work upgrade glass installation wasnt far, 0.6486, 5], [price, 0.659, 5]]"
B00FRU5UNA,"[0.0, 0.9423]","[5, 4]","[[advertise], [simple, installation, gm, vehicle, need, antenna, adapter, instal, silverado, factory, radio, direct, wire, unit, connects, antenna, line, radio, bluetooth, setup, easy, download, app, customize, station, want, use, sound, clear, problem, phone, call, youre, look, way, play, music, hand, calling, factory, radio, doesnt, solution]]","[[advertise, 0.0, 5], [simple installation gm vehicle need antenna adapter instal silverado factory radio direct wire unit connects antenna line radio bluetooth setup easy download app customize station want use sound clear problem phone call youre look way play music hand calling factory radio doesnt solution, 0.9423, 4]]"
B00GI9ASXG,[0.8442],[5],"[[perfect, fit, use]]","[[perfect fit use, 0.8442, 5]]"
B00GTY7JIC,[0.6908],[1],"[[picture, film, peel, case]]","[[picture film peel case, 0.6908, 1]]"
B00H4N1Y2O,"[-0.408, 0.642]","[4, 5]","[[awesome, window, control, viper, alarm, dont, need, dei, brand, alarm, utilize, believe, alarm, sell, thembr, br, installation, easy, assume, know, wire, function, purchase, control, windows, infiniti, ibr, br, thing, unit, programming, window, vent, need, vent, front, windows, get, vent, amount, program, unit, front, window, vent, window, vent, think, problem, front, windows, vent, program, window, allbr, br, alarm, instal, clifford, avantgard, smart, windows, program, vent, use, laptop, cliffnet, wizardbr, br, update, march, br, provide, update, use, alarm, system, window, control, unit, time, try, vent, window, unit, fail, vent, window, vent, window, connect, unsure, go, connection], [order, gain, control, windows, em, install, wire, diagram, simple, follow, mush, run, self, programming, function, annoy, car, feature, get, use, today, age, feature, vehicle, car, sell, window]]","[[awesome window control viper alarm dont need dei brand alarm utilize believe alarm sell thembr br installation easy assume know wire function purchase control windows infiniti ibr br thing unit programming window vent need vent front windows get vent amount program unit front window vent window vent think problem front windows vent program window allbr br alarm instal clifford avantgard smart windows program vent use laptop cliffnet wizardbr br update march br provide update use alarm system window control unit time try vent window unit fail vent window vent window connect unsure go connection, -0.408, 4], [order gain control windows em install wire diagram simple follow mush run self programming function annoy car feature get use today age feature vehicle car sell window, 0.642, 5]]"
B00H4RDFWW,"[0.6249, 0.0]","[5, 4]","[[case], [fit, bit, slippery]]","[[case, 0.6249, 5], [fit bit slippery, 0.0, 4]]"
B00HIIG6NW,[0.5994],[5],"[[granddaughter, age, birthday, give, iphone, case, accessory, love]]","[[granddaughter age birthday give iphone case accessory love, 0.5994, 5]]"
B00HP8RR1A,[0.5719],[5],"[[excellent, sound, quality]]","[[excellent sound quality, 0.5719, 5]]"
B00HYAZMU2,"[-0.7441, 0.6369, 0.8977]","[2, 5, 5]","[[usb, broke, day, annoy, bode, quality, charger, see, last], [work, arrive, time], [excellent, wireless, charger, use, samsung, galaxy, note, work, charm, problem, take, minute, shut, charger, recommend]]","[[usb broke day annoy bode quality charger see last, -0.7441, 2], [work arrive time, 0.6369, 5], [excellent wireless charger use samsung galaxy note work charm problem take minute shut charger recommend, 0.8977, 5]]"
B00HYZY21W,"[-0.296, 0.0]","[1, 1]","[[last, month], [crap, battery, loses, charge, usage, way, day, yikes, wish, purchase, thought, charge, power, battery, year, issue]]","[[last month, -0.296, 1], [crap battery loses charge usage way day yikes wish purchase thought charge power battery year issue, 0.0, 1]]"
B00I13ETZU,"[-0.6908, -0.6614, 0.0, 0.0222, 0.0, -0.5142]","[1, 1, 5, 1, 3, 1]","[[couple, day, break, charging, part, come, recommend], [doesnt, work, money], [month, charge, port, broke, inside, phone, take, phone, device, cant, return, expect, device, longer], [come, time, everything, expect], [work, month, quit], [cheap, get, money, put, charge, port, case, short, time, wouldnt, charge, phone]]","[[couple day break charging part come recommend, -0.6908, 1], [doesnt work money, -0.6614, 1], [month charge port broke inside phone take phone device cant return expect device longer, 0.0, 5], [come time everything expect, 0.0222, 1], [work month quit, 0.0, 3], [cheap get money put charge port case short time wouldnt charge phone, -0.5142, 1]]"
B00I48MSC8,[0.3182],[3],"[[time, fit, mobile, samsung, note, otter, box, material, make, boor]]","[[time fit mobile samsung note otter box material make boor, 0.3182, 3]]"
B00I4EBOYK,[0.9538],[5],"[[need, make, connection, headunit, kicker, hideaway, power, subwoofer, use, posilock, connector, connect, hi, input, wire, kicker, hideaway, hi, input, wire, kicker, kisl, cablebr, br, kicker, provide, inline, rca, connector, allow, extend, kisl, connect, meter, rca, headunit, kicker, hideaway, locate, car, complete, simple, matter, plug, rca, connector, sw, output, headunit, black, block, connector, hideaway, power, subwooferbr, br, use, connect, kicker, hideaway, power, subwoofer, make, sure, use, follow, wire, combo, proper, operationbr, wire, connection, br, zisl, blue, wire, hideaway, white, wire, leave, br, zisl, blue, wire, hideaway, grey, wire, br, wire, connection, br, zisl, grey, wire, hideaway, whiteblack, wire, leave, br, zisl, grey, wire, hideaway, greyblack, wire, br, note, prefer, kicker, provide, kisl, cable, hideaway, power, subwoofer, packaging, provide, read, owner, show, use, kisl, cable, method, connect, subwoofer, stereo, systembr, br, recommend, kisl, kicker, hideaway, power, subwoofer, way, listening, frequency, music]]","[[need make connection headunit kicker hideaway power subwoofer use posilock connector connect hi input wire kicker hideaway hi input wire kicker kisl cablebr br kicker provide inline rca connector allow extend kisl connect meter rca headunit kicker hideaway locate car complete simple matter plug rca connector sw output headunit black block connector hideaway power subwooferbr br use connect kicker hideaway power subwoofer make sure use follow wire combo proper operationbr wire connection br zisl blue wire hideaway white wire leave br zisl blue wire hideaway grey wire br wire connection br zisl grey wire hideaway whiteblack wire leave br zisl grey wire hideaway greyblack wire br note prefer kicker provide kisl cable hideaway power subwoofer packaging provide read owner show use kisl cable method connect subwoofer stereo systembr br recommend kisl kicker hideaway power subwoofer way listening frequency music, 0.9538, 5]]"
B00IDI70SQ,[-0.5719],[2],"[[work, month, doesnt, charge, apple, product, product, potential, useless, light, application]]","[[work month doesnt charge apple product product potential useless light application, -0.5719, 2]]"
B00IICJRV0,[0.8828],[5],"[[sleek, look, feel, quality, recommend]]","[[sleek look feel quality recommend, 0.8828, 5]]"
B00IJ218BG,[-0.764],[1],"[[poor, quality, lock, mechanism, weak, make, cheap, material]]","[[poor quality lock mechanism weak make cheap material, -0.764, 1]]"
B00IPGVROO,[0.7351],[4],"[[phone, drop, hand, million, time, scratchso, case, price]]","[[phone drop hand million time scratchso case price, 0.7351, 4]]"
B00IULR162,[-0.6608],[1],"[[receive, item, piece, crap, image, look, scan, something, case, fit, phone, money]]","[[receive item piece crap image look scan something case fit phone money, -0.6608, 1]]"
B00J29JS4E,[-0.787],[3],"[[im, satisfy, item, work, work, drop, lot, lose, connection, thing, im, happy, time, connect, bluetooth, phone, go, phone, setting, select, headset, wouldnt, recommend]]","[[im satisfy item work work drop lot lose connection thing im happy time connect bluetooth phone go phone setting select headset wouldnt recommend, -0.787, 3]]"
