B00009UHRE,[0.0],[5],"[[perform, expect]]","[[perform expect, 0.0, 5]]"
B00CM10SZM,"[0.6249, 0.7964, -0.6949, 0.0, 0.4404, 0.6249, 0.0, -0.2498, -0.4404, 0.8689, -0.5499, -0.2411]","[5, 4, 1, 2, 4, 5, 1, 2, 1, 4, 1, 1]","[[couple, get, hot, melt, use, rest], [working, fine, dead, random, time, message, accessory, support], [cord, use, month, quit, work], [buy, package, time, plug, iphone, say, accessorie, support], [price, shipping], [price, work, cable], [charge, phone, start, decharging, worth, buy, cord, buy, name, brand], [product, use, iphone, lot, im, change, phone, recommend, friend], [work, iphone, get, week, charge, cord, friday, connector, become, lose, pull, cord], [order, bood, came, receive, list, longer, stock, cord, iphone, come, doesnt, apple, think, give, cord, help, mobility, charge, use, hop, work, try, update, review, cord, dy], [deserve, star]]","[[couple get hot melt use rest, 0.6249, 5], [working fine dead random time message accessory support, 0.7964, 4], [cord use month quit work, -0.6949, 1], [buy package time plug iphone say accessorie support, 0.0, 2], [price shipping, 0.4404, 4], [price work cable, 0.6249, 5], [charge phone start decharging worth buy cord buy name brand, 0.0, 1], [product use iphone lot im change phone recommend friend, -0.2498, 2], [work iphone get week charge cord friday connector become lose pull cord, -0.4404, 1], [order bood came receive list longer stock cord iphone come doesnt apple think give cord help mobility charge use hop work try update review cord dy, 0.8689, 4], [deserve star, -0.5499, 1], [, -0.2411, 1]]"
B00CMC44EC,[0.7997],[4],"[[wife, cardninja, use, time, primary, wallet, love, buy, replacement, month, adhesive, stick, container, card, become, shiny, use, put, lot, card, stretch, shape, perfect, go, need, id, card, awesome, wallet, replacement, lean, term, number, card]]","[[wife cardninja use time primary wallet love buy replacement month adhesive stick container card become shiny use put lot card stretch shape perfect go need id card awesome wallet replacement lean term number card, 0.7997, 4]]"
B00CNGOEGU,[0.7264],[4],"[[use, handy]]","[[use handy, 0.7264, 4]]"
B00CT5SQJQ,[-0.7002],[1],"[[receive, product, happy, didnt, receive, earpiece, waste, time]]","[[receive product happy didnt receive earpiece waste time, -0.7002, 1]]"
B00DDVDU00,[0.0],[3],"[[week, wallet, start, tear]]","[[week wallet start tear, 0.0, 3]]"
B00DOFUGJ8,[0.0],[1],"[[work, iphone, certify]]","[[work iphone certify, 0.0, 1]]"
B00DPOEWRU,[0.7269],[4],"[[quality, price, say]]","[[quality price say, 0.7269, 4]]"
B00EXPNDXO,"[0.2732, 0.296, 0.6249]","[4, 4, 5]","[[fit, put, phone], [case], [ok]]","[[fit put phone, 0.2732, 4], [case, 0.296, 4], [ok, 0.6249, 5]]"
B00F3JS5UK,[0.6249],[5],"[[quick, delivery, stay, phone, great]]","[[quick delivery stay phone great, 0.6249, 5]]"
B00F3S2RCS,[0.2263],[1],"[[rip, worth, steak, specialfor, ]]","[[rip worth steak specialfor , 0.2263, 1]]"
B00F4SCRSQ,[0.4404],[5],"[[case, carry, loose, bill, pocket, stick]]","[[case carry loose bill pocket stick, 0.4404, 5]]"
B00FABUYJQ,[0.7351],[5],"[[work, fast, ship, excellent, price, product]]","[[work fast ship excellent price product, 0.7351, 5]]"
B00FLW37Q6,[0.3716],[3],"[[sound, issue, whit, fm, function]]","[[sound issue whit fm function, 0.3716, 3]]"
B00FN8CXO0,[0.6369],[5],"[[last, least, year, phone]]","[[last least year phone, 0.6369, 5]]"
B00FS5O51M,[0.8442],[5],"[[board, fit, perfect]]","[[board fit perfect, 0.8442, 5]]"
B00FVJEXRG,[0.0],[1],"[[charge, battery, work]]","[[charge battery work, 0.0, 1]]"
B00GI8A59O,"[0.2484, 0.8957]","[5, 5]","[[screen, protector, fit], [work, quality, one, pay, retail, cell, phone, store]]","[[screen protector fit, 0.2484, 5], [work quality one pay retail cell phone store, 0.8957, 5]]"
B00H2BYTWA,[0.0],[5],"[[use, day]]","[[use day, 0.0, 5]]"
B00H5IYEF2,[0.9116],[5],"[[home, button, sticker, easy, use, beautiful, pink, color, surround, diamond]]","[[home button sticker easy use beautiful pink color surround diamond, 0.9116, 5]]"
B00HCQEO7U,[-0.4767],[3],"[[order, case]]","[[order case, -0.4767, 3]]"
B00HM5TV7O,[0.836],[5],"[[superb, quality, expectation, winner, price]]","[[superb quality expectation winner price, 0.836, 5]]"
B00HVRK12M,[0.9334],[5],"[[couldnt, find, case, glow, light, protects]]","[[couldnt find case glow light protects, 0.9334, 5]]"
B00HXPJAR4,"[0.34, 0.924]","[4, 5]","[[case, perfect, fit, recommend], [work, great, consider, galaxy, curve, curve, screen, present, problem, case, try, case]]","[[case perfect fit recommend, 0.34, 4], [work great consider galaxy curve curve screen present problem case try case, 0.924, 5]]"
B00I01N9M2,"[0.8795, 0.8598]","[5, 1]","[[buy, case, try, find, description, state, build, screen, protector, couldnt, find, anything, ok, screen, protector, love, design, week, design, peel, slide, pocket, sturdy, case, drop, phone, protect, time, drop, snap, apart, let, phone, bounce], [case, case, fit, perfect, didnt, trouble, phone, case]]","[[buy case try find description state build screen protector couldnt find anything ok screen protector love design week design peel slide pocket sturdy case drop phone protect time drop snap apart let phone bounce, 0.8795, 5], [case case fit perfect didnt trouble phone case, 0.8598, 1]]"
B00IFTPI8W,[0.0],[4],"[[item, describe]]","[[item describe, 0.0, 4]]"
B00IKIIMW2,[0.0],[5],[[expect]],"[[expect, 0.0, 5]]"
B00IM7MFGU,[0.9041],[5],"[[type, window, feature, scratch, purchase, color, great, look, person]]","[[type window feature scratch purchase color great look person, 0.9041, 5]]"
B00IMDUA52,[0.0749],[5],"[[love, love, case, upgrade, use, hope, make, note]]","[[love love case upgrade use hope make note, 0.0749, 5]]"
B00JA5HZ72,[0.2263],[4],"[[buy, teen, produce, sound, look, bass, something, turn, speaker]]","[[buy teen produce sound look bass something turn speaker, 0.2263, 4]]"
B00JH82VQW,"[0.6249, 0.7506, 0.8176, 0.785]","[5, 5, 1, 5]","[[love, case, corner, start, split, fell, case, pay, break, drop], [amaze, case, film, protection, avoid, scratch, apple, sign, button, access, cable, connect], [case, phone, profile, slim, wrap, corner, protect, keep, speaker, button, port, issue, connect, press, button, drop, phone, time, case, protect, fine, need, case, someone, know, need, buying, suggesting, case], [protection, save, phone, drop]]","[[love case corner start split fell case pay break drop, 0.6249, 5], [amaze case film protection avoid scratch apple sign button access cable connect, 0.7506, 5], [case phone profile slim wrap corner protect keep speaker button port issue connect press button drop phone time case protect fine need case someone know need buying suggesting case, 0.8176, 1], [protection save phone drop, 0.785, 5]]"
B00JH83KC6,"[0.9099, 0.9267]","[5, 5]","[[case, fit, card, appears, sturdy, wellprotected, think, access, card, time, slide, manage, love], [adore, case, cute, color, easy, storage, wish, front, part, case, white, color, blue]]","[[case fit card appears sturdy wellprotected think access card time slide manage love, 0.9099, 5], [adore case cute color easy storage wish front part case white color blue, 0.9267, 5]]"
B00JJ4RKEC,[-0.2837],[1],"[[purchase, item, cord, begin, come, apart, pin, area, charge, take, longer, hr, get, charge, stop, work, order, june, stop, charge, didnt, bother, contact, company, say, description, lifetime, warranty, decide, send, replacement, wait, see, happens]]","[[purchase item cord begin come apart pin area charge take longer hr get charge stop work order june stop charge didnt bother contact company say description lifetime warranty decide send replacement wait see happens, -0.2837, 1]]"
B00KOIGYS0,[0.2709],[3],"[[decent, purchase, good, protection, stylish, look, black, great, built, screen, protector, upset, thing, include, protection, camera, lens, volume, button, less, year, rubber, headphone, start, wear, everyone, mom, brand, wish, water, protection]]","[[decent purchase good protection stylish look black great built screen protector upset thing include protection camera lens volume button less year rubber headphone start wear everyone mom brand wish water protection, 0.2709, 3]]"
B00KR0VJVM,"[0.6492, 0.9136, -0.3612, 0.3451, 0.9531, 0.8555, 0.9933, 0.886, 0.8988, 0.863, 0.0772, 0.1027, -0.8622, 0.8312, 0.836, 0.4404, 0.6249, 0.0, -0.296, 0.9382]","[4, 5, 1, 2, 5, 5, 5, 4, 5, 5, 1, 4, 1, 5, 2, 4, 5, 1, 1, 4]","[[month, suck], [love, phone, picture, quality, speed, excellent], [phone, arrive, condition, get, use, power, button, side, deal, glossy, bother, buy, phone, case, anyways, midrange, phone, recommend, get, lollipop, o, update, make, wifi, charge, phone, ran, lot, smoother, afterwards, couple, day, im, youre, virgin, mobile, steal, sure], [upgrade, samsung, galaxy, victory, thing, blow, love, ui, great, price, complaint, wee, bit, phablet, sure], [get, boyfriend, birthday, love, camera, great, feature, look, navigate, thing, doesnt, size, want, phone, phone, think, perfect], [tell, happy, purchase, phone, use, htc, evo, g, lte, month, stop, update, apps, memory, found, great, price, read, review, review, buy, get, case, super, slim, phone, feel, hold, buy, fastest, memory, card, go, excellent, quality, picture, speed, sound, good, say, camera, shot, quality, update, htc, move, apps, pic, text, etc, breeze, use, app, auto, transfer, everything, tap, button, watch, move, battery, last, time, thing, glte, phone, find, g, service, area, vm, say, exist, phone, glte, service, valley, love, speed, use, talkback, read, overdrive, book, couldnt, phone, autoupdates, run, htc, sense, note, turn, time, instruction, go, virgin, set, turn, activation, quick, easy], [want, send, phone, didnt, realize, cant, work, gsm, network, unlock], [nice, phone, price, paidbr, complaint, memory, upgrading, software, take, way, space, limit, get, apps, nice, phone], [honken, tonk, phone, yeeeehhaaaaw], [buy, dad, love, eyesight, screen, great, run, everything, course, screen, come, battery, life, expect, dad, phone, aquos, boost, mobile, mile, well, call, quality, call, quality, lot, carrier, year, one, call, quality, wisconsin, virgin, mobile], [phone, great, upload, lollipop, software, update, zero, storage, apps, week, anyone, work, please, post], [product, need, know, return, camera, think, flip, phone, camera, quality, compare, pick, megapixels, appears, false, codnt, unhappy], [buy, phone, november, hoping, answer, wish, keep, apps, update, purchase, wish, smash, bit, let, preface, say, dont, know, root, phone, purchase, socalled, gb, memory, phone, find, isnt, room, update, appsbr, br, yes, experiment, move, percentage, apps, add, mini, sd, card, phone, cant, app, sd, card, use, app, photo, book, prefs, avoid, update, apps, htc, etc, avail, update, put, week, went, gb, space, gb, space, mean, update, bless, apps, want, amazon, kindle, avast, skype, move, something, card, remove, appsbr, br, appear, im, shoot, need, memory, galaxy, phone, problem, dont, want, contract, cant, afford, leave, phone, battery, make, wont, remove, battery, replace, thatbr, br, cant, win], [charger, include], [phone, month, hold, lg, volt, shown, lag, great, reception, great, battery, life, price, phone, stealbr, br, pro, snappy, performance, screen, perfect, giant, hand, android, lollipop, mp, camera, bossbr, br, con, battery, life, get, day, pm, plugging, moderate, use, percent, end, night], [entertain, frustrating], [phone, lot, phone, replaces, htc, evo, g, screen, sound, superb, fast, suprised, battery, life, suprise, impress, convert, data, evo, desire], [phone, awesome, shipping], [phone, last, year, maintain, speed, responsiveness, get, lollipop, upgrade, everything, work, perfectbr, br, battery, life, hasnt, gone, year, br, drop, number, time, get, couple, minor, scrape, scratch, screen, reading, article, respond, email], [charger, work, day]]","[[month suck, 0.6492, 4], [love phone picture quality speed excellent, 0.9136, 5], [phone arrive condition get use power button side deal glossy bother buy phone case anyways midrange phone recommend get lollipop o update make wifi charge phone ran lot smoother afterwards couple day im youre virgin mobile steal sure, -0.3612, 1], [upgrade samsung galaxy victory thing blow love ui great price complaint wee bit phablet sure, 0.3451, 2], [get boyfriend birthday love camera great feature look navigate thing doesnt size want phone phone think perfect, 0.9531, 5], [tell happy purchase phone use htc evo g lte month stop update apps memory found great price read review review buy get case super slim phone feel hold buy fastest memory card go excellent quality picture speed sound good say camera shot quality update htc move apps pic text etc breeze use app auto transfer everything tap button watch move battery last time thing glte phone find g service area vm say exist phone glte service valley love speed use talkback read overdrive book couldnt phone autoupdates run htc sense note turn time instruction go virgin set turn activation quick easy, 0.8555, 5], [want send phone didnt realize cant work gsm network unlock, 0.9933, 5], [nice phone price paidbr complaint memory upgrading software take way space limit get apps nice phone, 0.886, 4], [honken tonk phone yeeeehhaaaaw, 0.8988, 5], [buy dad love eyesight screen great run everything course screen come battery life expect dad phone aquos boost mobile mile well call quality call quality lot carrier year one call quality wisconsin virgin mobile, 0.863, 5], [phone great upload lollipop software update zero storage apps week anyone work please post, 0.0772, 1], [product need know return camera think flip phone camera quality compare pick megapixels appears false codnt unhappy, 0.1027, 4], [buy phone november hoping answer wish keep apps update purchase wish smash bit let preface say dont know root phone purchase socalled gb memory phone find isnt room update appsbr br yes experiment move percentage apps add mini sd card phone cant app sd card use app photo book prefs avoid update apps htc etc avail update put week went gb space gb space mean update bless apps want amazon kindle avast skype move something card remove appsbr br appear im shoot need memory galaxy phone problem dont want contract cant afford leave phone battery make wont remove battery replace thatbr br cant win, -0.8622, 1], [charger include, 0.8312, 5], [phone month hold lg volt shown lag great reception great battery life price phone stealbr br pro snappy performance screen perfect giant hand android lollipop mp camera bossbr br con battery life get day pm plugging moderate use percent end night, 0.836, 2], [entertain frustrating, 0.4404, 4], [phone lot phone replaces htc evo g screen sound superb fast suprised battery life suprise impress convert data evo desire, 0.6249, 5], [phone awesome shipping, 0.0, 1], [phone last year maintain speed responsiveness get lollipop upgrade everything work perfectbr br battery life hasnt gone year br drop number time get couple minor scrape scratch screen reading article respond email, -0.296, 1], [charger work day, 0.9382, 4]]"
B00L4IPE8U,[0.7496],[5],"[[box, speaker, get]]","[[box speaker get, 0.7496, 5]]"
B00L76XDUA,[0.0299],[2],"[[purchase, return, vintage, car, windshield, mount, rotate, see, phone, sure, slat, windshield, ordering, wasnt, clear, description]]","[[purchase return vintage car windshield mount rotate see phone sure slat windshield ordering wasnt clear description, 0.0299, 2]]"
B00L9S0FZW,[0.7845],[3],"[[wish, phone, part, match, exact, phone, phone, fit, take, volume, power, button, google, nexus]]","[[wish phone part match exact phone phone fit take volume power button google nexus, 0.7845, 3]]"
B00LBMDSI2,[0.9184],[5],"[[give, friend, gift, love, dress, phone]]","[[give friend gift love dress phone, 0.9184, 5]]"
B00LFJ5P5K,[0.8569],[4],"[[glow, dark, case, enjoy, case, lot, say, glow, disappoint]]","[[glow dark case enjoy case lot say glow disappoint, 0.8569, 4]]"
B00LL8W7A6,"[-0.1531, 0.34]","[2, 3]","[[take, color, easily, example, dark, jean, fade, die, pant, corduroy], [side, get, clean]]","[[take color easily example dark jean fade die pant corduroy, -0.1531, 2], [side get clean, 0.34, 3]]"
B00LM4F6AM,"[0.6249, -0.3612]","[4, 2]","[[cheap, make, holster, section, last, couple, day, clip, fall, apart], [work, great]]","[[cheap make holster section last couple day clip fall apart, 0.6249, 4], [work great, -0.3612, 2]]"
B00LU2AN5O,[0.8608],[4],"[[case, feel, put, screen, face, get, scratch, there, lot, room, screen, table, case, design, hasnt, scratch, offyet]]","[[case feel put screen face get scratch there lot room screen table case design hasnt scratch offyet, 0.8608, 4]]"
B00M0CYBQU,[-0.5448],[3],"[[crack, side, second, use, cant, fit, wallet, part, take, phone]]","[[crack side second use cant fit wallet part take phone, -0.5448, 3]]"
B00M0RDHAQ,"[-0.7584, 0.0277, 0.9118]","[3, 5, 4]","[[drop, phone, lake, damage, bit, water, log, menu, button, area, work, fine, day], [like, case, fit, iphone, value, money, compare, brand, screen, protector, improve, leaf, gap, screen, experience, longer, iphone, remove, screen, protector, use, tamper, glass, recommend, view, stand, future, version], [unhappy, product, make, cheap, start, loose, color, quick, phone, didnt, feel, protect, case]]","[[drop phone lake damage bit water log menu button area work fine day, -0.7584, 3], [like case fit iphone value money compare brand screen protector improve leaf gap screen experience longer iphone remove screen protector use tamper glass recommend view stand future version, 0.0277, 5], [unhappy product make cheap start loose color quick phone didnt feel protect case, 0.9118, 4]]"
B00MI8UK0C,"[0.6249, 0.948]","[4, 5]","[[case, phone, day, dont, know, itll, term, id, say, iphone, case, ive, seem, tend, drop, phone, let, gold, phone, stand, well, case, make, happy], [awesome, case]]","[[case phone day dont know itll term id say iphone case ive seem tend drop phone let gold phone stand well case make happy, 0.6249, 4], [awesome case, 0.948, 5]]"
B00MV77F94,"[0.6369, 0.7779]","[5, 5]","[[case, look, color, stand, case, fit, doesnt, scuff, use, month, done, good, job, protect, phone, time, ive, drop, rubber, rim, front, protects, rim, camera, prevents, scratch, grip, line, perfect, run, case, wont, slip, hand, make, slim, iphone, thicker, phone, thin, anyway, dont, mind, recommend]]","[[case look color stand case fit doesnt scuff use month done good job protect phone time ive drop rubber rim front protects rim camera prevents scratch grip line perfect run case wont slip hand make slim iphone thicker phone thin anyway dont mind recommend, 0.6369, 5], [, 0.7779, 5]]"
B00N2JUI8A,[0.86],[4],"[[protection, need, protect, fall, love, blackberry, dont, need, case, theyre, design, take, hit, case, doubt, help, protect, mar, phone, drop, thinner, overall, side, glossy, grip, front, lip, matte, modify, case, cut, blackberry, assistant, button, find, activate, trim, nub, inside, case, box, cutter, doesnt, engage, start, feature, want, use]]","[[protection need protect fall love blackberry dont need case theyre design take hit case doubt help protect mar phone drop thinner overall side glossy grip front lip matte modify case cut blackberry assistant button find activate trim nub inside case box cutter doesnt engage start feature want use, 0.86, 4]]"
B00N9RP31C,[0.5719],[4],"[[daughter, love]]","[[daughter love, 0.5719, 4]]"
B00NEDCCNS,[0.9508],[5],"[[tripod, mount, phone, ask, make, machine, aluminum, light, miter, grip, pad, rubber, protect, phonecase, deep, iphone, fit, mophie, juicepack, case, great, time, lapse]]","[[tripod mount phone ask make machine aluminum light miter grip pad rubber protect phonecase deep iphone fit mophie juicepack case great time lapse, 0.9508, 5]]"
B00NFA8ZCC,"[0.765, 0.5267]","[5, 4]","[[lot, everyone, family, know, belongs, mom, well, downside], [thank]]","[[lot everyone family know belongs mom well downside, 0.765, 5], [thank, 0.5267, 4]]"
B00NFL9RXM,"[0.7902, 0.3818, 0.4263]","[5, 4, 4]","[[ranboo, use, everyday, go, walk, shopping, size, everyday, need, recommend, anyone], [nofuss, pouch, sufficient, space, iphone, money, credit, card, key, wear, body, heavy, recommend], [front, pocket, fit, iphone, otterbox, case, put, wallet, compact, lipstick, zipper, pocket, make, sure, pull, tug, strap, wear, strap, cross, bodybr, use, bag, want, travel, light, day]]","[[ranboo use everyday go walk shopping size everyday need recommend anyone, 0.7902, 5], [nofuss pouch sufficient space iphone money credit card key wear body heavy recommend, 0.3818, 4], [front pocket fit iphone otterbox case put wallet compact lipstick zipper pocket make sure pull tug strap wear strap cross bodybr use bag want travel light day, 0.4263, 4]]"
B00NG0H1MQ,"[0.2942, 0.826]","[5, 5]","[[read, bad, review, otterbox, iphone, decide, try, disappoint, protects, phone, great], [shop, read, review, settle, body, glove, shocksuit, easy, put, provide, protection, edge, look, nice, shade, purple, grape, lavender, twotone, problem, use, button, cover, purchaser, didnt, built, screen, protector, remove, week, think, fine, doesnt, sensitivity, happy, purchase, buy, body, glove, product]]","[[read bad review otterbox iphone decide try disappoint protects phone great, 0.2942, 5], [shop read review settle body glove shocksuit easy put provide protection edge look nice shade purple grape lavender twotone problem use button cover purchaser didnt built screen protector remove week think fine doesnt sensitivity happy purchase buy body glove product, 0.826, 5]]"
B00NG9UNQI,"[0.85, 0.2609]","[5, 2]","[[desribed, love, camo, edge, wear, look, money], [look, camo, rub, edge]]","[[desribed love camo edge wear look money, 0.85, 5], [look camo rub edge, 0.2609, 2]]"
B00NH1KAUY,"[0.6249, 0.4238]","[5, 5]","[[go, bare, iphone, unsettle, case, offer, protection, youll, need, lose, amaze, slim, design, perfect], [pay, case]]","[[go bare iphone unsettle case offer protection youll need lose amaze slim design perfect, 0.6249, 5], [pay case, 0.4238, 5]]"
B00NJ9LCFQ,[0.8898],[5],"[[carry, battery, time, tire, stuff, cord, bag, whenever, charge, phone, bend, doesnt, color, bonus]]","[[carry battery time tire stuff cord bag whenever charge phone bend doesnt color bonus, 0.8898, 5]]"
B00NL4T24C,[0.6486],[5],"[[nice, look, feel, phone, fit, glove]]","[[nice look feel phone fit glove, 0.6486, 5]]"
B00NMPKVRM,"[-0.485, 0.765]","[3, 5]","[[use, play, music, phone, truckbr, br, work, advertise, problemsbr, br, buzz, noise, radio, music, playing, phone, go, playing, sound, darn, ground, loop, isoltator, others, recommend, noise, degrade, sound, quality, id, buzzing, rare, time, playingbr, br, unit, phone, start, truck, reason, music, play, phone, speaker, unit, reconnect, bluetooth, time, bluetooth, system, problem, play, music, connect, work, doesnt, play, phone], [work, thought, battery, life, great, use, week, charge]]","[[use play music phone truckbr br work advertise problemsbr br buzz noise radio music playing phone go playing sound darn ground loop isoltator others recommend noise degrade sound quality id buzzing rare time playingbr br unit phone start truck reason music play phone speaker unit reconnect bluetooth time bluetooth system problem play music connect work doesnt play phone, -0.485, 3], [work thought battery life great use week charge, 0.765, 5]]"
B00NN31W6M,[0.5413],[4],"[[say, anything, quality]]","[[say anything quality, 0.5413, 4]]"
B00NNZ1C38,[0.5994],[5],"[[nice, work]]","[[nice work, 0.5994, 5]]"
