B0007L8BY4,[-0.3384],[1],"[[speaker, tear, apart, installation, speaker, sound, quality]]","[[speaker tear apart installation speaker sound quality, -0.3384, 1]]"
B00AYPEL56,"[0.0, -0.1695, 0.0, 0.2161, 0.4404, 0.8555, 0.4754, 0.5994, 0.4198]","[5, 1, 5, 5, 5, 5, 4, 5, 5]","[[receive, package, estimate, time, slot, contain, cable, cable, appear, make, difference, picture, connector, end, straight, angle, doesnt, matter, fact, believe, picture, orderedbr, br, use, connect, usb, drive, phone, blu, studio, energy, kit, kat, use, file, manager, browse, content, usb, stick, copy, paste, file, using, stock, file, manager, come, phone, find, manager, app, add, e, manager, write, usb, drive, apps, problem, work, fine, connect, mouse, work, fine, dont, use, mouse, phone, amaze, technology, work, work, get, price, get, starsbr, br, im, sure, people, problem, cable, otg, usb, pin, micro, connector, short, pin, ground, cable, connects, micro, usb, port, charge, port, enables, android, phone, tablet, act, host, usb, device, plug, end, standard, type, usb, connector, check, connector, meter, see, pin, micro, end, connect, tell, receive, otg, work, otg, compliant, device, make, phone, tablet, time, access, plug, device, take, running, device, connection, completebr, br, keep, mind, hook, device, require, lot, power, ie, hard, phone, able, need, power, supply, device, respond], [advertise], [catalog, say, pack, receive, price, worth, spending, time], [pack, work], [plug, mouse, work, work, usb, relate, item, usb, flash, drive, testing, cant, tell, sure], [value, performance], [work], [describe]]","[[receive package estimate time slot contain cable cable appear make difference picture connector end straight angle doesnt matter fact believe picture orderedbr br use connect usb drive phone blu studio energy kit kat use file manager browse content usb stick copy paste file using stock file manager come phone find manager app add e manager write usb drive apps problem work fine connect mouse work fine dont use mouse phone amaze technology work work get price get starsbr br im sure people problem cable otg usb pin micro connector short pin ground cable connects micro usb port charge port enables android phone tablet act host usb device plug end standard type usb connector check connector meter see pin micro end connect tell receive otg work otg compliant device make phone tablet time access plug device take running device connection completebr br keep mind hook device require lot power ie hard phone able need power supply device respond, 0.0, 5], [advertise, -0.1695, 1], [catalog say pack receive price worth spending time, 0.0, 5], [pack work, 0.2161, 5], [plug mouse work work usb relate item usb flash drive testing cant tell sure, 0.4404, 5], [value performance, 0.8555, 5], [work, 0.4754, 4], [describe, 0.5994, 5], [, 0.4198, 5]]"
B00BJBWYMQ,[0.8271],[5],"[[quality, installation, purchase]]","[[quality installation purchase, 0.8271, 5]]"
B00BL8US48,[0.6249],[5],"[[work, great, money]]","[[work great money, 0.6249, 5]]"
B00C1PXCB6,[0.4404],[4],"[[drop, phone, countless, time, condition]]","[[drop phone countless time condition, 0.4404, 4]]"
B00CHV2YS6,[0.4215],[1],"[[product, work, want, get, good, case, use, get, pay]]","[[product work want get good case use get pay, 0.4215, 1]]"
B00CSM6H78,[0.8312],[5],"[[case, fit, cute, daughter, like, agree, review, flimsy]]","[[case fit cute daughter like agree review flimsy, 0.8312, 5]]"
B00CWPAIBW,[0.0],[5],"[[cant, beat, price]]","[[cant beat price, 0.0, 5]]"
B00CXOHC0W,[0.6249],[5],"[[nice, slim, nice, buy, price]]","[[nice slim nice buy price, 0.6249, 5]]"
B00D9OMDQI,[0.5719],[3],"[[cool, design, come, apart, month]]","[[cool design come apart month, 0.5719, 3]]"
B00DEJXZRE,[0.8748],[4],"[[replace, older, model, work, nice, color, receive, amount, time, br, satisfy]]","[[replace older model work nice color receive amount time br satisfy, 0.8748, 4]]"
B00DGRYN66,[0.5494],[5],"[[nice, year, want, buy, find, ]]","[[nice year want buy find , 0.5494, 5]]"
B00DVGTG46,[0.699],[5],"[[expect, leg, mount, hold, phone, seem, money, complain, hold, ill, update, review]]","[[expect leg mount hold phone seem money complain hold ill update review, 0.699, 5]]"
B00ESYNSB2,"[-0.0644, -0.6467]","[4, 1]","[[case, expect, exception, supply, screen, protector, hop, cover, whole, screen, leave, half, inch, screen, unprotected], [shatter, screen, phone, drop, didnt, protect, phone]]","[[case expect exception supply screen protector hop cover whole screen leave half inch screen unprotected, -0.0644, 4], [shatter screen phone drop didnt protect phone, -0.6467, 1]]"
B00FADAV6U,"[0.0, 0.0]","[1, 1]","[[trash, ], [day, doesnt, work, anymore, piece, junk]]","[[trash , 0.0, 1], [day doesnt work anymore piece junk, 0.0, 1]]"
B00FAY7QK8,"[0.9561, 0.6369]","[5, 5]","[[phone, cant, use, tryig, find, someone, take], [love, case, sure, grip, side, make, operate, fear, slide, hand, color, great, allow, see, see, fit, couldnt, happier]]","[[phone cant use tryig find someone take, 0.9561, 5], [love case sure grip side make operate fear slide hand color great allow see see fit couldnt happier, 0.6369, 5]]"
B00FG66WDC,[0.9191],[5],"[[super, cute, take, get, wait, drop, phone, time, bounce, super]]","[[super cute take get wait drop phone time bounce super, 0.9191, 5]]"
B00FGUSJ7A,[0.9693],[5],"[[well, hop, love, texture, love, secure, fit, please]]","[[well hop love texture love secure fit please, 0.9693, 5]]"
B00FM4R9N0,[0.4588],[4],"[[get, beg]]","[[get beg, 0.4588, 4]]"
B00FR6Z908,[0.5859],[5],"[[replacement, screen, instal, work, amaze]]","[[replacement screen instal work amaze, 0.5859, 5]]"
B00FS4AF0S,"[0.926, 0.6361, 0.0719, 0.0]","[5, 5, 5, 5]","[[nfc, tag, research, utilize, love, functionality, use, trigger, app, pull, switch, trigger, event, simple, got, em, setup, room, car, use, keychain, nfc, tag, gym, setup], [range, come, variety, different, color, come, chain, tag, use, tasker, trigger, app, combination, android, device, love, efficient, device, become, turn, task, tap, device], [chip, work, galaxy, work, wife, phone, beginning, show, age, replace, chip, work, metal, surface, metal, seem, block, signal, something, need, functionality, design, work, onnear, metalbr, br, havent, find, us, think, wouldbr, br, finding, way, software, option, write, chip, challenge, software, unclear, description, try, using, trigger, tagstandbr, br, problem, set, step, chip, use, sequence, save, app, problem, annoyancebr, br, use, chip, day, weekbr, use, leave, work, turn, wifi, turn, volume, turn, bluetooth, drive, mode, get, work, use, second, change, sound, vibrate, turn, drive, mode, bluetooth, leave, use, chip, turn, thing, wife, im, head, home, get, home, use, reverse, change, morning]]","[[nfc tag research utilize love functionality use trigger app pull switch trigger event simple got em setup room car use keychain nfc tag gym setup, 0.926, 5], [range come variety different color come chain tag use tasker trigger app combination android device love efficient device become turn task tap device, 0.6361, 5], [chip work galaxy work wife phone beginning show age replace chip work metal surface metal seem block signal something need functionality design work onnear metalbr br havent find us think wouldbr br finding way software option write chip challenge software unclear description try using trigger tagstandbr br problem set step chip use sequence save app problem annoyancebr br use chip day weekbr use leave work turn wifi turn volume turn bluetooth drive mode get work use second change sound vibrate turn drive mode bluetooth leave use chip turn thing wife im head home get home use reverse change morning, 0.0719, 5], [, 0.0, 5]]"
B00G2BX616,[-0.5967],[2],"[[mistake, choose, product, realize, intend, pilot, yacht, owner, bike, device, optimize, week]]","[[mistake choose product realize intend pilot yacht owner bike device optimize week, -0.5967, 2]]"
B00G9FXCKK,[0.2382],[2],"[[hd, return, case, didnt, look, way, expect, edge, color, black, think, picture, look, get, feel, hand, story]]","[[hd return case didnt look way expect edge color black think picture look get feel hand story, 0.2382, 2]]"
B00GP0GUC6,"[-0.8003, 0.0, 0.0, 0.2023, 0.4404, 0.0, 0.2382, 0.6249, -0.4965, 0.0729, 0.0, 0.5719, 0.0, 0.5719, -0.4821, -0.2263, 0.6249, 0.6249]","[1, 5, 5, 5, 5, 4, 1, 5, 1, 4, 5, 5, 5, 4, 2, 2, 5, 5]","[[work, fine], [work], [cord, work], [samsung, cable, job, take, cable, work, device, reason, recognize, keep, go, day, seem, work, fine, give, star, damage, way, quick, buy, cable, coat, cable, open, show, wire, week, use], [bargin], [disappoint, connector, phone, force, take, phone, wiggle, pull, hard, damage, phone, process, money], [perfect], [work, work, expect, month, fit, plug, phone], [get, seem, quality, product], [change, galaxy], [job], [work], [excellent], [stop, work, week, get, ], [year, home, gentle, use, plug, come, cheap], [wiggle, shake, phone, didnt, fit, go, wouldnt, come, broke, phone, try, get, piece], [period]]","[[work fine, -0.8003, 1], [work, 0.0, 5], [cord work, 0.0, 5], [samsung cable job take cable work device reason recognize keep go day seem work fine give star damage way quick buy cable coat cable open show wire week use, 0.2023, 5], [bargin, 0.4404, 5], [disappoint connector phone force take phone wiggle pull hard damage phone process money, 0.0, 4], [perfect, 0.2382, 1], [work work expect month fit plug phone, 0.6249, 5], [get seem quality product, -0.4965, 1], [change galaxy, 0.0729, 4], [job, 0.0, 5], [work, 0.5719, 5], [excellent, 0.0, 5], [stop work week get , 0.5719, 4], [year home gentle use plug come cheap, -0.4821, 2], [wiggle shake phone didnt fit go wouldnt come broke phone try get piece, -0.2263, 2], [period, 0.6249, 5], [, 0.6249, 5]]"
B00GPUL7J2,[-0.4767],[1],"[[poor, quality, edge, fuse]]","[[poor quality edge fuse, -0.4767, 1]]"
B00GU23TLE,[0.7351],[5],"[[excellent, product, work, thank]]","[[excellent product work thank, 0.7351, 5]]"
B00H46N55U,[0.4588],[5],"[[awesome, charge, note]]","[[awesome charge note, 0.4588, 5]]"
B00H70W7BG,[0.4404],[5],[[case]],"[[case, 0.4404, 5]]"
B00HNJIPSK,"[0.2724, 0.6249]","[4, 4]","[[u, buy, u, need, u, think, im, sell, u], [please, item, take, awhile, get, aware, ]]","[[u buy u need u think im sell u, 0.2724, 4], [please item take awhile get aware , 0.6249, 4]]"
B00HZACTP2,[0.0],[1],"[[couldnt, use, bubble]]","[[couldnt use bubble, 0.0, 1]]"
B00I61P46A,[-0.128],[1],"[[hop, need, bluetooth, piece, car, try, cheapest, seem, device, stream, medium, car, hook, pair, quality, sub, par, bluetooth, device, live, hum, loud, ignore, audio, hum, dealt, week, power, shut, reason, week, die, return, period, bummer, look, idea, device, need, work]]","[[hop need bluetooth piece car try cheapest seem device stream medium car hook pair quality sub par bluetooth device live hum loud ignore audio hum dealt week power shut reason week die return period bummer look idea device need work, -0.128, 1]]"
B00IDV1RRS,"[0.8933, 0.1655]","[5, 3]","[[gem, fall, get], [amaze, cover, daughter, doesnt, worry, phone, drop, cause, rubber, protects]]","[[gem fall get, 0.8933, 5], [amaze cover daughter doesnt worry phone drop cause rubber protects, 0.1655, 3]]"
B00IGGWXUA,[0.9744],[5],"[[fallen, time, use, blackberry, phone, bring, speed, manner, joy, use, cant, stop, hold, slim, sleek, light, get, learn, sound, message, thats, ok, get, basic, buy, case, love, phone]]","[[fallen time use blackberry phone bring speed manner joy use cant stop hold slim sleek light get learn sound message thats ok get basic buy case love phone, 0.9744, 5]]"
B00ISDBS2U,[-0.2263],[1],"[[broke, company, refund]]","[[broke company refund, -0.2263, 1]]"
B00J2LCT5W,[0.34],[5],"[[drop, ipad, fell, screen, metal, floor, screen, protector, broke, ipad, stay, tact, think, count, star, spent, time]]","[[drop ipad fell screen metal floor screen protector broke ipad stay tact think count star spent time, 0.34, 5]]"
B00J48TNXE,[0.8834],[5],"[[fit, happy, customer]]","[[fit happy customer, 0.8834, 5]]"
B00J8YMICC,[-0.3612],[3],"[[didnt, use, make, lot, thing, difficult, use, phone, take]]","[[didnt use make lot thing difficult use phone take, -0.3612, 3]]"
B00JL50DK2,[0.7906],[5],"[[cover, well, price]]","[[cover well price, 0.7906, 5]]"
B00JNX044M,"[0.2732, 0.6249, 0.3716, 0.3612, -0.1363]","[5, 5, 3, 5, 2]","[[work], [product, use, purse, car], [leaf, phone, screen, look, mirror], [im, disappoint, feel, stiff, thick, lens, glass, space, frame, fold, wont, mold, finger, way, stick, bit, rub, glass, face, phone, feel, sort, make], [work, great, clean, leaf, nobody, micro, lint, particle]]","[[work, 0.2732, 5], [product use purse car, 0.6249, 5], [leaf phone screen look mirror, 0.3716, 3], [im disappoint feel stiff thick lens glass space frame fold wont mold finger way stick bit rub glass face phone feel sort make, 0.3612, 5], [work great clean leaf nobody micro lint particle, -0.1363, 2]]"
B00JUXPNA0,[0.9382],[5],"[[love, love, try, vent, gripper, model, claim, nexus, broke, minutes, use, nexus, case, thick, case, critical, factor, worry, wouldnt, stick, curve, dash, havent, try, textured, area, hold, took, road, trip, great, job, live, heat, area, f, right, slippagefalling, dash, great, product, great, price, def, goto, item, nexus, owner]]","[[love love try vent gripper model claim nexus broke minutes use nexus case thick case critical factor worry wouldnt stick curve dash havent try textured area hold took road trip great job live heat area f right slippagefalling dash great product great price def goto item nexus owner, 0.9382, 5]]"
B00JYIQTV8,[-0.2755],[3],"[[wont, fit, iphone, otterbox, case, didnt, fit, im, use, intend]]","[[wont fit iphone otterbox case didnt fit im use intend, -0.2755, 3]]"
B00K1SKXPI,"[0.0, 0.5859, -0.4019]","[3, 1, 1]","[[description, say, doesnt, bubble, mislead, description], [purchase, clean, fluid, wait, hour, use, device, second, manage, mark, material, use, installation, card, come, kit, feel, creates, resistance, swipe, begin, discolor, take, figure, absorbing, color, cover, instal, device, color, permanent, remove, believe, try, item, way, poke, cause, screen, recommend, temper, glass, protector, smooth, smudge, resistant, easy, install, scratchcut, resistant, bubble, cost, price], [use, item, instal, use, touch, screen, operation, tablet]]","[[description say doesnt bubble mislead description, 0.0, 3], [purchase clean fluid wait hour use device second manage mark material use installation card come kit feel creates resistance swipe begin discolor take figure absorbing color cover instal device color permanent remove believe try item way poke cause screen recommend temper glass protector smooth smudge resistant easy install scratchcut resistant bubble cost price, 0.5859, 1], [use item instal use touch screen operation tablet, -0.4019, 1]]"
B00K3MH7IS,[-0.765],[1],"[[try, charger, fail, week, replacement, weeksbr, br, charger, ten, percent, failure, rate, wall, charger, technology, decade, quality, control]]","[[try charger fail week replacement weeksbr br charger ten percent failure rate wall charger technology decade quality control, -0.765, 1]]"
B00K7JIIUI,[0.5719],[4],"[[get, aunt, love]]","[[get aunt love, 0.5719, 4]]"
B00KD9AKJO,[0.3612],[5],"[[expect, recommend, product, anyone]]","[[expect recommend product anyone, 0.3612, 5]]"
B00KH5V30O,[0.6705],[4],"[[improves, clarity, face, helmet]]","[[improves clarity face helmet, 0.6705, 4]]"
B00KHMW8Z6,"[0.9905, 0.4404]","[5, 5]","[[grayorange, ashield, cover, fit, lg, control, problem, orange, gray, part, mean, maintain, grip, hold, phone, feel, confident, cover, protect, drop, attest, amygrade, lol, dont, use, holster, seem, belt, clip, turn, horizontal, carry, hole, line, cover, impact, speaker, camera, control, usb, port, flap, persnickety, want, connect, cable, help, keep, moisture, picture, reflect, color, gotten, lot, comment, look, spot, phone, lay, amongst, junk, cat, lay, feel, got, money, buy]]","[[grayorange ashield cover fit lg control problem orange gray part mean maintain grip hold phone feel confident cover protect drop attest amygrade lol dont use holster seem belt clip turn horizontal carry hole line cover impact speaker camera control usb port flap persnickety want connect cable help keep moisture picture reflect color gotten lot comment look spot phone lay amongst junk cat lay feel got money buy, 0.9905, 5], [, 0.4404, 5]]"
B00KICMW1A,[0.5577],[2],"[[love, concept, stand, phone, silicon, rip, corner, time, put, put, phone, black, say, size, phone, volt, silicon, thin, amazon, handle, situation, make, recommend]]","[[love concept stand phone silicon rip corner time put put phone black say size phone volt silicon thin amazon handle situation make recommend, 0.5577, 2]]"
B00KW5SBK4,"[-0.3089, 0.0951, 0.0]","[1, 1, 1]","[[computer, system, bmw, series, description, contrary, cost, return, worth, recommend], [dont, waste, money, say, thing, use, usb, product, support, doesnt, work], [cooper, mini, aux, cord, work]]","[[computer system bmw series description contrary cost return worth recommend, -0.3089, 1], [dont waste money say thing use usb product support doesnt work, 0.0951, 1], [cooper mini aux cord work, 0.0, 1]]"
B00KZ984WM,[0.5719],[5],"[[daughter, love]]","[[daughter love, 0.5719, 5]]"
B00L2SCQBU,"[0.8287, 0.4404, 0.8519]","[4, 5, 5]","[[buy, fit, phone], [fit, phone, struggle, get, phone, case, get, protect, phone, take, okay]]","[[buy fit phone, 0.8287, 4], [fit phone struggle get phone case get protect phone take okay, 0.4404, 5], [, 0.8519, 5]]"
B00L4DXC5W,"[0.9483, -0.2732]","[5, 5]","[[case, fit, phone, work, feel, look, phone], [protect, htc, smartphone, damage, time, drop, get, cover, film, display, better, risk, breaking, phone]]","[[case fit phone work feel look phone, 0.9483, 5], [protect htc smartphone damage time drop get cover film display better risk breaking phone, -0.2732, 5]]"
B00L87I1UA,"[0.3612, 0.5984]","[5, 5]","[[cover, phone, fit, work, say, else, say], [cover, fit, nokia]]","[[cover phone fit work say else say, 0.3612, 5], [cover fit nokia, 0.5984, 5]]"
B00L8FVJME,[0.5922],[4],"[[love, star, didnt, package, stylus, picture]]","[[love star didnt package stylus picture, 0.5922, 4]]"
