1061799832,[-0.296],[5],"[[work, advertise, issue]]","[[work advertise issue, -0.296, 5]]"
B007T0NM2M,[-0.1027],[5],"[[buy, stock, xm, radio, replace, work, fine, issue]]","[[buy stock xm radio replace work fine issue, -0.1027, 5]]"
B0085JRQP0,"[-0.3176, 0.5719, 0.0, 0.836]","[1, 5, 5, 5]","[[work, advertise], [ottorbox, continue, amaze, case, worse, case, scenario, anything, break, snap, send, send, piece, always, supoort, ob], [make, mistake, review, day, receive, report, knockoff, wrongbr, br, dont, know, junk, come, guess, either, knockoff, purchase, bin, defect, return, purchase, genuine, otterbox, product, otterbox, price, great, result, piece, junk, fell, apart, week, iphone, bubble, plasticize, rubber, begin, open, become, hole, tear, builtin, screen, protector, become, foggy, week, someone, rub, sandpaper, purchase, suppose, otterbox, case, son, samsung, seller, corner, tear, rip, time, frame, chuck, trash, weeksbr, br, people, electronics, drop, phone, leave, extreme, heat, extreme, cold, im, use, phone, keep, house, vehiclebr, br, please, save, aggravation, buy, anything, crp, seller, son, past, day, return, period, contact, amazon, help, figure, deal, replacement, seller, optionbr, br, give, seller, knockoff, product, zero, star, note, purchase, make, figure, access, write, review, fact, lengthy, today, august, thats, year, later, indicate, level, disgust, seller, knockoff, product], [excellent, product]]","[[work advertise, -0.3176, 1], [ottorbox continue amaze case worse case scenario anything break snap send send piece always supoort ob, 0.5719, 5], [make mistake review day receive report knockoff wrongbr br dont know junk come guess either knockoff purchase bin defect return purchase genuine otterbox product otterbox price great result piece junk fell apart week iphone bubble plasticize rubber begin open become hole tear builtin screen protector become foggy week someone rub sandpaper purchase suppose otterbox case son samsung seller corner tear rip time frame chuck trash weeksbr br people electronics drop phone leave extreme heat extreme cold im use phone keep house vehiclebr br please save aggravation buy anything crp seller son past day return period contact amazon help figure deal replacement seller optionbr br give seller knockoff product zero star note purchase make figure access write review fact lengthy today august thats year later indicate level disgust seller knockoff product, 0.0, 5], [excellent product, 0.836, 5]]"
B0088U4YAG,"[0.3384, 0.1189, 0.743, 0.5106, 0.8555]","[5, 5, 5, 4, 5]","[[work], [work], [thing, go], [car, charger, find, note, edge, charge, phone, fast, good, fast, charger, come, phone], [problem, work]]","[[work, 0.3384, 5], [work, 0.1189, 5], [thing go, 0.743, 5], [car charger find note edge charge phone fast good fast charger come phone, 0.5106, 4], [problem work, 0.8555, 5]]"
B008U1O8UO,[0.4404],[4],"[[smooth, transaction, item, great, issue]]","[[smooth transaction item great issue, 0.4404, 4]]"
B008VUZPUQ,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B0093QIWHK,[-0.2584],[2],"[[work, bmw, month, wouldnt, play, music, iphone, buy, go, electronics, purchase, something]]","[[work bmw month wouldnt play music iphone buy go electronics purchase something, -0.2584, 2]]"
B00976AWWY,[0.9238],[5],"[[nice, cheap, color, nice, ear, take, pocket, case, buy, ear, get, rip, problem, put, take, loose, button, work]]","[[nice cheap color nice ear take pocket case buy ear get rip problem put take loose button work, 0.9238, 5]]"
B009BRH55G,"[0.0, -0.4754, 0.3612, 0.9404]","[2, 1, 4, 5]","[[thank], [case, found, useless], [im, please, bumper, get, quality, recommend, anyone, great, deal, price], [stay, make]]","[[thank, 0.0, 2], [case found useless, -0.4754, 1], [im please bumper get quality recommend anyone great deal price, 0.3612, 4], [stay make, 0.9404, 5]]"
B009VB5DOC,[0.6908],[3],"[[theyre, cute, case, sparkle, stuff, fall]]","[[theyre cute case sparkle stuff fall, 0.6908, 3]]"
B009YRHVUM,[0.0],[5],[[excelente]],"[[excelente, 0.0, 5]]"
B00AME8QVY,[0.9444],[5],"[[see, call, gram, lg, env, mobile, phone, year, course, accessory, sell, verizon, store, need, cover, went, amazon, find, cover, verizon, product, fit, update, look, phone, deliver, glove, price, ask]]","[[see call gram lg env mobile phone year course accessory sell verizon store need cover went amazon find cover verizon product fit update look phone deliver glove price ask, 0.9444, 5]]"
B00B1OZ7OS,[0.6597],[4],"[[mount, position, view, gps]]","[[mount position view gps, 0.6597, 4]]"
B00BDTH5JG,[-0.5994],[5],"[[advertise, complaint, buy]]","[[advertise complaint buy, -0.5994, 5]]"
B00C005D28,[0.0],[5],[[wonderfull]],"[[wonderfull, 0.0, 5]]"
B00CC0L14K,[0.3346],[4],"[[stereo, set]]","[[stereo set, 0.3346, 4]]"
B00CC9P1K6,[0.8413],[4],"[[stand, phone, problem, find, black, misplace, part, otherwise, great, buy]]","[[stand phone problem find black misplace part otherwise great buy, 0.8413, 4]]"
B00CHV2UY4,[0.9839],[5],"[[dollar, life, case, work, performs, excellent, thing, problem, switch, turn, phone, silent, loud, work, minute, free, excellent, product, buy, soon, shipping, get, way, estimate, date, believe, get, day, recommend, everybody, youll, please, promise]]","[[dollar life case work performs excellent thing problem switch turn phone silent loud work minute free excellent product buy soon shipping get way estimate date believe get day recommend everybody youll please promise, 0.9839, 5]]"
B00CI8L0WY,"[0.765, 0.6249]","[5, 5]","[[work, great, hold, charge, bit, longer, battery, phone, purchase, charge, backpack, trip, camera], [time, promise, price]]","[[work great hold charge bit longer battery phone purchase charge backpack trip camera, 0.765, 5], [time promise price, 0.6249, 5]]"
B00COH8D24,"[-0.128, 0.6249]","[5, 5]","[[case], [case]]","[[case, -0.128, 5], [case, 0.6249, 5]]"
B00CP22SZG,[0.9267],[5],"[[use, case, suppose, find, brand, lot, less, second, love, order]]","[[use case suppose find brand lot less second love order, 0.9267, 5]]"
B00CWERRPS,[0.9779],[4],"[[case, hasnt, come, case, iphone, case, seller, sell, iphone, case, price, iphone, case, ship, case, love, case, pricey, star, case, sorta, love, case, muchbr, br, cute, nice, casebr, crystal, fall, dont, get, extra]]","[[case hasnt come case iphone case seller sell iphone case price iphone case ship case love case pricey star case sorta love case muchbr br cute nice casebr crystal fall dont get extra, 0.9779, 4]]"
B00DFS2WQO,[0.1114],[1],"[[super, make, took, forever, get, worth, day, receive, cheap, plastic, break, half, try, get, get, battery, change]]","[[super make took forever get worth day receive cheap plastic break half try get get battery change, 0.1114, 1]]"
B00DR3Q6GO,[0.8957],[4],"[[screen, cover, thick, press, take, action, issuebr, press, button, power, button, seem, work, inconvenience, timesbr, sound, voice, clarity, party, call, excellent]]","[[screen cover thick press take action issuebr press button power button seem work inconvenience timesbr sound voice clarity party call excellent, 0.8957, 4]]"
B00DS5ZP0E,[0.0],[5],"[[ship, work, expect]]","[[ship work expect, 0.0, 5]]"
B00E4R2LRU,[-0.4215],[1],"[[dont, know, rate, broke, receive]]","[[dont know rate broke receive, -0.4215, 1]]"
B00F0J137K,[0.0258],[5],"[[order, month, time, year, didnt, leather, case, phone, drop, break, screen, fit, glove]]","[[order month time year didnt leather case phone drop break screen fit glove, 0.0258, 5]]"
B00F0TFGY6,"[0.6249, -0.441, 0.0]","[5, 1, 4]","[[gud, quality], [cheap, material, rip, father, done, week, plastic, phone, holder, detach, outer, part, case, recommend], [want, quality, great, buy]]","[[gud quality, 0.6249, 5], [cheap material rip father done week plastic phone holder detach outer part case recommend, -0.441, 1], [want quality great buy, 0.0, 4]]"
B00F3580KY,[0.7474],[5],"[[product, thanks]]","[[product thanks, 0.7474, 5]]"
B00F6BZAXA,[0.6249],[5],[[awesome]],"[[awesome, 0.6249, 5]]"
B00FEKZ9QG,"[0.6249, 0.6526, 0.6369]","[5, 5, 5]","[[cover, exact, picture], [havent, spill, survive, drop, unscathed]]","[[cover exact picture, 0.6249, 5], [havent spill survive drop unscathed, 0.6526, 5], [, 0.6369, 5]]"
B00FNK8T3W,[0.7574],[4],"[[use, watch, score, gone, happy, recommend, use, guess, ask, partner, distance, feel, independent, confidentasinbwkgq, garmin, approach, golf, gps, watch]]","[[use watch score gone happy recommend use guess ask partner distance feel independent confidentasinbwkgq garmin approach golf gps watch, 0.7574, 4]]"
B00G7RVRS4,[0.8481],[5],"[[product, great, price, ship]]","[[product great price ship, 0.8481, 5]]"
B00GNY68TO,"[0.3384, -0.4404, 0.5719, 0.8343, 0.4404, 0.91, 0.2023, 0.0]","[5, 3, 4, 4, 5, 4, 2, 3]","[[work, let, see, last], [controller, xbox, button, work], [thing, weird, charger, port, upside], [work, good, battery, life, zero, issue], [controller, come, time, son, love], [controller, price, dpad, controller, ship, unscrew, loose, tighten, fix, recommend, people, budget], [work, great, problem, link, game, play, great, different, sony, controller, let, please, thanks], [controller, damage]]","[[work let see last, 0.3384, 5], [controller xbox button work, -0.4404, 3], [thing weird charger port upside, 0.5719, 4], [work good battery life zero issue, 0.8343, 4], [controller come time son love, 0.4404, 5], [controller price dpad controller ship unscrew loose tighten fix recommend people budget, 0.91, 4], [work great problem link game play great different sony controller let please thanks, 0.2023, 2], [controller damage, 0.0, 3]]"
B00H5A8OBK,"[0.7003, 0.9201, 0.6542]","[4, 5, 5]","[[look, good, tooth], [system, great, work, toyota, sequoia, limit, edition, fit, wire, harness, buy, make, hook, whole, lot, easier, power, speaker, fine, issue], [product, breeze, set, get, threw, ok]]","[[look good tooth, 0.7003, 4], [system great work toyota sequoia limit edition fit wire harness buy make hook whole lot easier power speaker fine issue, 0.9201, 5], [product breeze set get threw ok, 0.6542, 5]]"
B00H5HITY0,[0.7003],[4],"[[go, use, day, bling, bling, start, fall, perfect, ocassions]]","[[go use day bling bling start fall perfect ocassions, 0.7003, 4]]"
B00HNT5WOA,"[0.4404, 0.765]","[5, 5]","[[expect], [product, great, put, picture, make, customize]]","[[expect, 0.4404, 5], [product great put picture make customize, 0.765, 5]]"
B00HQ2GWKC,"[0.8586, 0.2732]","[5, 5]","[[nice, stylus, pen, combination, stylus, tip, write], [handle, screen, use]]","[[nice stylus pen combination stylus tip write, 0.8586, 5], [handle screen use, 0.2732, 5]]"
B00HRO2TRY,[0.8248],[3],"[[work, outdoors, landscaping, job, summer, snow, removal, salt, winter, time, otterbox, defender, series, rumor, line, defense, phone, disagree, port, cover, seal, dirt, grit, salt, particle, get, case, port, replace, phone, model, twice, corrosion, charge, port, need, rugged, phone, model, wish, better, option, case, phone, phone, model, case, option, find, protection, time, knowledge, offer, lg, flex]]","[[work outdoors landscaping job summer snow removal salt winter time otterbox defender series rumor line defense phone disagree port cover seal dirt grit salt particle get case port replace phone model twice corrosion charge port need rugged phone model wish better option case phone phone model case option find protection time knowledge offer lg flex, 0.8248, 3]]"
B00HS9V384,[-0.0772],[1],"[[sorry, didnt, work]]","[[sorry didnt work, -0.0772, 1]]"
B00HT6GI22,"[0.9081, 0.8316, 0.6369]","[5, 5, 5]","[[case], [need, case, got, case, daughter, newborn, case, held, everything, daughter, match, pink, iphone, c, recommend], [doesnt, add, lot, bulk, phone, compare, otter, box, case, pink, match, pink, iphone, c, grey, look, install]]","[[case, 0.9081, 5], [need case got case daughter newborn case held everything daughter match pink iphone c recommend, 0.8316, 5], [doesnt add lot bulk phone compare otter box case pink match pink iphone c grey look install, 0.6369, 5]]"
B00HY1ENLU,[-0.6597],[3],"[[classy, elegant, samsung, galaxy, light, g, inside, label, mark, iphones, get, phone, sort, button, press, change, phone, think, get, product, exchange]]","[[classy elegant samsung galaxy light g inside label mark iphones get phone sort button press change phone think get product exchange, -0.6597, 3]]"
B00I0QCU3G,[0.296],[4],[[ok]],"[[ok, 0.296, 4]]"
B00IJ4ENNY,[0.806],[4],"[[seller, ship, order, fast, tool, use, case, bit, weak, change, battery, work, fine, im]]","[[seller ship order fast tool use case bit weak change battery work fine im, 0.806, 4]]"
B00IJ5ZNKK,[0.6522],[4],"[[perfect, fit, make, modification, hole, wrist, strap, wallet, case, recommend, use, screen, protector, yes, front, flap, cover, edge, card, cause, bit, scratch]]","[[perfect fit make modification hole wrist strap wallet case recommend use screen protector yes front flap cover edge card cause bit scratch, 0.6522, 4]]"
B00IUHH49U,[0.6448],[4],[[try]],"[[try, 0.6448, 4]]"
B00IWBJQQI,[0.6369],[5],[[work]],"[[work, 0.6369, 5]]"
B00J0CQ9UY,[0.6705],[5],"[[take, try, understood, get, fault, product, love, place, order, need, love]]","[[take try understood get fault product love place order need love, 0.6705, 5]]"
B00J4EZ896,[0.802],[5],"[[nice, fit]]","[[nice fit, 0.802, 5]]"
B00J4SRJWG,[0.6369],[5],"[[iems, ive]]","[[iems ive, 0.6369, 5]]"
B00J6GFTL4,[-0.7354],[4],"[[nice, get, size, mistake]]","[[nice get size mistake, -0.7354, 4]]"
B00JDCHJWI,"[-0.5423, -0.1695]","[2, 1]","[[material], [cheap, product, ]]","[[material, -0.5423, 2], [cheap product , -0.1695, 1]]"
B00JH883ZK,[0.729],[4],"[[case, ok, otherwise]]","[[case ok otherwise, 0.729, 4]]"
B00JJ879XU,"[0.3306, 0.7269]","[5, 4]","[[case, nice, look, fit, sony, xperia, z, phone, case, protects, phone, drop, phone, time, damage, cause], [recommend]]","[[case nice look fit sony xperia z phone case protects phone drop phone time damage cause, 0.3306, 5], [recommend, 0.7269, 4]]"
B00JO6KINU,"[0.4404, 0.926, 0.8316, 0.9186, 0.8047, 0.3612, 0.6249, 0.6853, 0.6486]","[5, 2, 5, 5, 5, 5, 5, 5, 4]","[[work, great], [expect, star], [bought, beat, piece, course, year, drop, countless, time, phone, perfect, shape, tell, everything, need, knowbr, update, replacement, case, buy, beat, dust, phone, fine, thing, workbr, br, update, order, receive, case, job, protect, phone, drop, phone, case, damage, time, wont], [sturdy, case, sleek, built, kickstand, work, add, size, bulkiness, case, fit, pocket, anyway], [use, type, case, year, provide, protection, side, clip, seperates, holster], [husband, work, phone, doesnt, pocket, love, case, clip, pant, get, phone], [perfect, fast, awesome, business], [love, case, look, fit, kickstand, work, couple, month, plastic, broke, volume, button, biggie, month, later, case, year, car, arizona, plastic, piece, seem, time, use, longer, happy, purchase], [way, pack]]","[[work great, 0.4404, 5], [expect star, 0.926, 2], [bought beat piece course year drop countless time phone perfect shape tell everything need knowbr update replacement case buy beat dust phone fine thing workbr br update order receive case job protect phone drop phone case damage time wont, 0.8316, 5], [sturdy case sleek built kickstand work add size bulkiness case fit pocket anyway, 0.9186, 5], [use type case year provide protection side clip seperates holster, 0.8047, 5], [husband work phone doesnt pocket love case clip pant get phone, 0.3612, 5], [perfect fast awesome business, 0.6249, 5], [love case look fit kickstand work couple month plastic broke volume button biggie month later case year car arizona plastic piece seem time use longer happy purchase, 0.6853, 5], [way pack, 0.6486, 4]]"
B00JTU2O2O,[0.2609],[4],"[[nice, home, button, doesnt, work, phone]]","[[nice home button doesnt work phone, 0.2609, 4]]"
B00JW0ASA6,[0.807],[5],"[[touch, sensitivity, clarity, satisfactory, satisfy]]","[[touch sensitivity clarity satisfactory satisfy, 0.807, 5]]"
B00JYJ9YIW,[0.4404],[5],[[case]],"[[case, 0.4404, 5]]"
B00KCWE8K4,"[-0.873, -0.1331]","[5, 4]","[[get, mother, hear, speaker, disappoint, tinny, loud, handset, speaker, good, use, set, monitor, online, annoy, spam, text, keep, come, charge, answer, way, turn, ], [havent, turn, phone, work, run, stay, time, doesnt, want, use, phone, fear, damage, change, phone, go, ohio, phone, carrier, doesnt, work, area]]","[[get mother hear speaker disappoint tinny loud handset speaker good use set monitor online annoy spam text keep come charge answer way turn , -0.873, 5], [havent turn phone work run stay time doesnt want use phone fear damage change phone go ohio phone carrier doesnt work area, -0.1331, 4]]"
B00KGSPQDM,"[-0.3818, 0.4927]","[1, 5]",[[crap]],"[[crap, -0.3818, 1], [, 0.4927, 5]]"
B00KNMUWIA,[0.5719],[5],[[perfect]],"[[perfect, 0.5719, 5]]"
B00KUKCXL4,[0.6694],[5],"[[get, case, hubby, zte, speed, phone, love, rugged, look, n, hold, slick, case, rubber, grip, stand, use, desktop]]","[[get case hubby zte speed phone love rugged look n hold slick case rubber grip stand use desktop, 0.6694, 5]]"
B00KWV0EXU,[0.0],[2],"[[fell, apart, week]]","[[fell apart week, 0.0, 2]]"
B00KY9HAX2,"[0.0516, 0.6486]","[5, 5]","[[body, glove, case, galaxy, love, get, phone, hoping, make, lg, g, case, provide, grip, dont, fling, phone, gesture, hold, grip, turn, pocket, inside, ill, look, body, glove, case, phone], [nice, feel, ruggedbr, rec, g, owner, case, style]]","[[body glove case galaxy love get phone hoping make lg g case provide grip dont fling phone gesture hold grip turn pocket inside ill look body glove case phone, 0.0516, 5], [nice feel ruggedbr rec g owner case style, 0.6486, 5]]"
B00L1A5NG4,"[0.7964, 0.8858]","[5, 5]","[[price], [cool, quality, rubber, great, thick]]","[[price, 0.7964, 5], [cool quality rubber great thick, 0.8858, 5]]"
B00LB1628G,[0.8519],[5],"[[work, product]]","[[work product, 0.8519, 5]]"
B00LCE86TK,[0.2144],[4],"[[wish, bit, wider, cover, ship, stay, phone, go, pocket, purse, multiple, time, day]]","[[wish bit wider cover ship stay phone go pocket purse multiple time day, 0.2144, 4]]"
B00LECI3WA,[0.7964],[5],"[[thing, doesnt, come, instruction, need, watch, video, website, love, fact, tool, remove, instal]]","[[thing doesnt come instruction need watch video website love fact tool remove instal, 0.7964, 5]]"
B00LL5RNSK,"[0.744, -0.8894, -0.4404]","[5, 3, 3]","[[case, side, get, become, looking, try, everything, sun, scrubber, eraser, womp], [get, dirty], [use, year, day, steel, case, get, week]]","[[case side get become looking try everything sun scrubber eraser womp, 0.744, 5], [get dirty, -0.8894, 3], [use year day steel case get week, -0.4404, 3]]"
B00LTCI1B8,[0.9117],[5],"[[perfect, fit, nice, price, case, come, screen, saver]]","[[perfect fit nice price case come screen saver, 0.9117, 5]]"
B00LV3UCOO,[0.8481],[5],"[[case, reason, put, give, piece, mind, accident, prone, drop, thing, alot, hold, love, silicone, kick, stand, came, handy, bake, read, recipe, tablet]]","[[case reason put give piece mind accident prone drop thing alot hold love silicone kick stand came handy bake read recipe tablet, 0.8481, 5]]"
B00LVITGT6,[0.3612],[5],"[[met, expectation, thank]]","[[met expectation thank, 0.3612, 5]]"
B00M07SUTE,[0.9369],[3],"[[here, thing, case, drop, phone, wasnt, wood, get, damage, surrounding, edge, phone, love, case, get, ton, compliment, buy, havent, break, time]]","[[here thing case drop phone wasnt wood get damage surrounding edge phone love case get ton compliment buy havent break time, 0.9369, 3]]"
B00M1BJYX0,[-0.7506],[1],"[[didnt, come, pink, case, offer, week, use, screen, go, strip]]","[[didnt come pink case offer week use screen go strip, -0.7506, 1]]"
B00M2DU9B8,[-0.1326],[1],"[[time, iphone, read, approve, charge]]","[[time iphone read approve charge, -0.1326, 1]]"
B00MAN09H4,[0.743],[4],"[[value, speaker, sound, high, end, speaker, purchase, stereo, separation, isnt, great, space, cone, otherwise, thing, pack, punch]]","[[value speaker sound high end speaker purchase stereo separation isnt great space cone otherwise thing pack punch, 0.743, 4]]"
B00MMP9ZPC,[0.7817],[4],"[[research, ipod, holder, car, decide, choice, year, position, arm, apparatus, whatever, angle, want, isnt, super, heavy, stay, place, recommend, product, update, drawback, styrofoamlike, substance, glue, edge, soften, area, ipod, slide, summer, notice, peel, glue, ofa, nuissance, drawback, tho]]","[[research ipod holder car decide choice year position arm apparatus whatever angle want isnt super heavy stay place recommend product update drawback styrofoamlike substance glue edge soften area ipod slide summer notice peel glue ofa nuissance drawback tho, 0.7817, 4]]"
B00MPHMZPE,[0.8687],[4],"[[ship, issue, notice, npro, tablet, black, boarder, glass, thicker, prevents, see, icon, screen, battery, power, wifi, icon, tilt, tablet, see, icon, black, boarder, work, look, way, well, crack, screen]]","[[ship issue notice npro tablet black boarder glass thicker prevents see icon screen battery power wifi icon tilt tablet see icon black boarder work look way well crack screen, 0.8687, 4]]"
B00MY86YJW,"[0.4019, 0.9432, 0.861]","[3, 5, 2]","[[wish, didnt, take, phone, use], [picture, describe, put, case, phone, recognize, change, screen, open, front, give, ability, answer, talk, cover, close, slit, ear, speaker, super, great, product, please], [work, suppose, wore, hoping]]","[[wish didnt take phone use, 0.4019, 3], [picture describe put case phone recognize change screen open front give ability answer talk cover close slit ear speaker super great product please, 0.9432, 5], [work suppose wore hoping, 0.861, 2]]"
B00MYFV06W,[-0.5865],[2],"[[case, good, case, let, get, glaring, problem, need, buy, thisbr, problem, side, case, tight, come, scratch, scratch, hide, put, black, custom, come, unscratched]]","[[case good case let get glaring problem need buy thisbr problem side case tight come scratch scratch hide put black custom come unscratched, -0.5865, 2]]"
B00MYX46K6,"[0.6249, 0.6249]","[5, 5]","[[product], [awesome, need]]","[[product, 0.6249, 5], [awesome need, 0.6249, 5]]"
B00N5JWWFE,"[0.6369, 0.6249, 0.8521, 0.2263]","[5, 5, 5, 5]","[[expect, foot, charger, money], [oh, nice, use, phone, charge, time, plug, recliner, work, play, worry, battery, life, br, night, phone, double, asmy, alarm, clock, wake, read, night, text, email], [length, ], [work, great]]","[[expect foot charger money, 0.6369, 5], [oh nice use phone charge time plug recliner work play worry battery life br night phone double asmy alarm clock wake read night text email, 0.6249, 5], [length , 0.8521, 5], [work great, 0.2263, 5]]"
B00N63V39K,"[0.4404, 0.9214]","[5, 5]","[[excellent, call, function, reception, comfy, cool, outlook, happy, product]]","[[excellent call function reception comfy cool outlook happy product, 0.4404, 5], [, 0.9214, 5]]"
B00NCCLMBO,[-0.805],[1],"[[buy, droid, maxx, warn, screen, protector, cover, entire, screen, there, portion, cover, hop, case, cover, gap, coverage, expect, dust, lint, etc, get, caughttrapped, expose, edge, disappoint]]","[[buy droid maxx warn screen protector cover entire screen there portion cover hop case cover gap coverage expect dust lint etc get caughttrapped expose edge disappoint, -0.805, 1]]"
B00NCF7TIG,[0.7642],[5],"[[buy, case, try, enhace, cosmetic, aspect, iphone, use, magpul, case, let, tell, look, gorgeousbr, br, top, notch, quality, taking, look, toobr, br, good, buy, imo]]","[[buy case try enhace cosmetic aspect iphone use magpul case let tell look gorgeousbr br top notch quality taking look toobr br good buy imo, 0.7642, 5]]"
B00NCQKH98,[0.6486],[3],"[[quality, hop, wish, bit, room]]","[[quality hop wish bit room, 0.6486, 3]]"
B00NGJGGBO,"[0.6361, 0.7351, -0.6486]","[4, 5, 1]","[[use, month, charge], [perfect, intention, recommend, product], [bought, didnt, work, return, work, make, charge]]","[[use month charge, 0.6361, 4], [perfect intention recommend product, 0.7351, 5], [bought didnt work return work make charge, -0.6486, 1]]"
B00NI0E62C,[0.1901],[3],"[[phone, build, gorrila, glass]]","[[phone build gorrila glass, 0.1901, 3]]"
B00NLJAEJO,[0.0258],[5],"[[recommend, anyone, frustrate, phone, life, phone, wouldnt, whole, day, battery, go, day, something, require, lot, battery]]","[[recommend anyone frustrate phone life phone wouldnt whole day battery go day something require lot battery, 0.0258, 5]]"
B00NO5QKQQ,[0.0],[4],[[excellen]],"[[excellen, 0.0, 4]]"
B00NP8YXMA,"[0.6249, 0.6369]","[4, 5]","[[case, ], [awesome]]","[[case , 0.6249, 4], [awesome, 0.6369, 5]]"
B00NPHRY4K,"[0.6369, 0.0]","[5, 5]","[[fit, nexus, armor, case], [hold, nexus, wobblebr, mount, asinbhosm, ram, mount, vshape, base, inch, ball, rail, yoke, blackbr, position, asinbsxj, ram, mount, socket, swivel, arm, inch, ball, basesbr, br, rock, solidbr, movesbr, stay, put]]","[[fit nexus armor case, 0.6369, 5], [hold nexus wobblebr mount asinbhosm ram mount vshape base inch ball rail yoke blackbr position asinbsxj ram mount socket swivel arm inch ball basesbr br rock solidbr movesbr stay put, 0.0, 5]]"
