B000O52ZY0,[0.4404],[5],"[[well, speaker, stock, tahoe]]","[[well speaker stock tahoe, 0.4404, 5]]"
B005F515HM,"[0.6249, -0.6124]","[5, 1]","[[replace, month, pin, get, worn, damage, sweat, contaminant, think, pin, watch, problem, replace, charger, solve, problem, problem, watch, pin, garmin, something, improve, charger, dont, spend, month, charger, cost, charger, cost, watch], [work, great]]","[[replace month pin get worn damage sweat contaminant think pin watch problem replace charger solve problem problem watch pin garmin something improve charger dont spend month charger cost charger cost watch, 0.6249, 5], [work great, -0.6124, 1]]"
B005P99KRU,"[0.4215, 0.0, 0.6249]","[5, 5, 5]","[[work, great], [work, describe, uniden, scanner], [nice]]","[[work great, 0.4215, 5], [work describe uniden scanner, 0.0, 5], [nice, 0.6249, 5]]"
B0070DGQW6,"[0.5719, 0.7269]","[5, 4]","[[excellent], [phone, case]]","[[excellent, 0.5719, 5], [phone case, 0.7269, 4]]"
B0074R1D0S,"[0.8788, -0.5423]","[3, 1]","[[arrive, day, birthday, battery, life, subpar, dy, bit, faster, phone, blackberry, curve, day, go, work, time, phone, purse, doesnt, get, use, till, evening, day, fine, come, phone, charge, there, problem, day, come, drain, half, battery, sit, unused, purse, come, box, seem, unsure, expect, well, phone, overall, id, say, dont, order, expect, perfect]]","[[arrive day birthday battery life subpar dy bit faster phone blackberry curve day go work time phone purse doesnt get use till evening day fine come phone charge there problem day come drain half battery sit unused purse come box seem unsure expect well phone overall id say dont order expect perfect, 0.8788, 3], [, -0.5423, 1]]"
B0078LXM40,"[-0.3412, 0.0]","[1, 5]","[[touch, good, phone], [gracias, complacido]]","[[touch good phone, -0.3412, 1], [gracias complacido, 0.0, 5]]"
B007RUG9UG,[0.0],[5],"[[need, describe]]","[[need describe, 0.0, 5]]"
B007ZREFCA,[-0.1546],[4],"[[product, appear, need, well, longer, screw, job, change, rear, speaker, camryhave, take, back, deck, speaker, screw, replace, infinity, x, screw, come, bottom, blow, take, replace, take, time, help]]","[[product appear need well longer screw job change rear speaker camryhave take back deck speaker screw replace infinity x screw come bottom blow take replace take time help, -0.1546, 4]]"
B0080A3V4E,[0.5994],[5],"[[cheap, work, seem, quality, product, great, get, youre, crawl, anything, plug, charger, leave, plug, plug, charge, brick, need]]","[[cheap work seem quality product great get youre crawl anything plug charger leave plug plug charge brick need, 0.5994, 5]]"
B00813HBBO,[0.0],[5],"[[exc, product]]","[[exc product, 0.0, 5]]"
B00815AB00,"[-0.6115, 0.8844, 0.802, 0.6249, 0.6318, 0.876, 0.0, 0.8976]","[3, 5, 4, 5, 5, 4, 4, 5]","[[describe], [disappoint, fit, earpiece, hurt, inside], [product], [dont, get, hour, talk, time, fit, use, clear, reception], [wear, day, comfort, switch, ear, couple, time, day, voice, quality, good, audio, quality, gripe, lose, ability, stream, music, phone, earpiece, opposite, side, body, bought, sparesbackups], [cut, tolerate, standard, im, sound, come, loud, silicone, earpiece, decent, midline, item, price], [excellent, device, performs, doubletaptorediallast, function], [nice, earpiece, great, battery, standby, pull, work, bag, week, hour, talk, time, leave, get, crackle, tribe, volume, way, pain, conference, call, someone, loud]]","[[describe, -0.6115, 3], [disappoint fit earpiece hurt inside, 0.8844, 5], [product, 0.802, 4], [dont get hour talk time fit use clear reception, 0.6249, 5], [wear day comfort switch ear couple time day voice quality good audio quality gripe lose ability stream music phone earpiece opposite side body bought sparesbackups, 0.6318, 5], [cut tolerate standard im sound come loud silicone earpiece decent midline item price, 0.876, 4], [excellent device performs doubletaptorediallast function, 0.0, 4], [nice earpiece great battery standby pull work bag week hour talk time leave get crackle tribe volume way pain conference call someone loud, 0.8976, 5]]"
B0083LUY5Y,[0.8555],[5],"[[handy, holder, iphonethis, keep, phone, safe, work, scratch]]","[[handy holder iphonethis keep phone safe work scratch, 0.8555, 5]]"
B0089GXGWQ,"[0.1531, 0.6249]","[4, 5]","[[dock, station], [work, great]]","[[dock station, 0.1531, 4], [work great, 0.6249, 5]]"
B008CEW5CM,[0.6808],[4],"[[nice, case, purpose, buy, youre, hop, phone, protection]]","[[nice case purpose buy youre hop phone protection, 0.6808, 4]]"
B008M2ERV6,"[0.3716, -0.4234]","[3, 1]","[[case, great, last, held, phone, crack, cheap, cheap, cheap], [product, dont, buy, strip, attach, front, open, closing, case, feel, material, super, cheap, money, pocket, youll, fold, money, end, make, case, recommend, anyone]]","[[case great last held phone crack cheap cheap cheap, 0.3716, 3], [product dont buy strip attach front open closing case feel material super cheap money pocket youll fold money end make case recommend anyone, -0.4234, 1]]"
B008PHQJCI,"[0.5719, 0.5106]","[5, 5]","[[everything, fine, thank], [work, perfect]]","[[everything fine thank, 0.5719, 5], [work perfect, 0.5106, 5]]"
B009TZSJSW,[0.1326],[1],"[[doesnt, work, charge, htc, cell, phone, get, cable, worth, bother, return]]","[[doesnt work charge htc cell phone get cable worth bother return, 0.1326, 1]]"
B00A0LXRL8,[0.6249],[5],"[[speaker, arrive, time, sound]]","[[speaker arrive time sound, 0.6249, 5]]"
B00A4TT16G,[0.0],[1],"[[dont, buy]]","[[dont buy, 0.0, 1]]"
B00ACCLETC,[0.6652],[1],"[[order, knockoff, case, buy, dealer, protect, edge, case, buy, flimsy, material, compare, put, bunch, color, spot, let, silver, phone, thru, disappointment, glad, notice, make, buy]]","[[order knockoff case buy dealer protect edge case buy flimsy material compare put bunch color spot let silver phone thru disappointment glad notice make buy, 0.6652, 1]]"
B00ANIBBDE,[-0.3291],[3],"[[ware, bug, working, gps, stop, work, month]]","[[ware bug working gps stop work month, -0.3291, 3]]"
B00ANM2YDQ,[0.0],[4],"[[ship, charge, battery]]","[[ship charge battery, 0.0, 4]]"
B00BG0DQM2,[0.0],[5],"[[charger, work, expect, say]]","[[charger work expect say, 0.0, 5]]"
B00BJN74OM,[0.4235],[4],"[[baby, case, protect, phone, drop, bump, bought, january, hold, manhandle, month, son, doubt, case, intend, hold, teething, baby, im, surprise, took, break, less, portion, case]]","[[baby case protect phone drop bump bought january hold manhandle month son doubt case intend hold teething baby im surprise took break less portion case, 0.4235, 4]]"
B00BL5FDFK,"[0.4404, 0.0, 0.631]","[5, 5, 3]","[[nice, product, coin, insert, screen, protector, couldnt, remove, reset, protector, crack, abuse, give, guess, say, otherwise, didnt, scratch, protect, phone, time, fell, advertise, phone, keep, pocket, great], [get, product, time, quality], [job, drop, crack, screen, protector]]","[[nice product coin insert screen protector couldnt remove reset protector crack abuse give guess say otherwise didnt scratch protect phone time fell advertise phone keep pocket great, 0.4404, 5], [get product time quality, 0.0, 5], [job drop crack screen protector, 0.631, 3]]"
B00BT02O40,[0.886],[4],"[[color, part, make, material, always, drop, phone, case, help, time, didnt, get, phone]]","[[color part make material always drop phone case help time didnt get phone, 0.886, 4]]"
B00C1T8P1O,[0.6249],[5],"[[deal, quick, ship]]","[[deal quick ship, 0.6249, 5]]"
B00C7H9SD4,"[-0.2732, 0.7684, -0.2732, 0.0]","[5, 3, 3, 2]","[[cant, start, car], [find, cut], [work, advertise, dealership, cut, program, work, vehicle], [ill, update, get, cut, program, work, carbr, br, didnt, know, pay, locksmith, dealer, set, key, work, car, uselessbr, br, think, place, home, depot, make, copy, car, keybr, br, kind, key, dont, work, computer, chip, dobr, br, wish, realize, buy]]","[[cant start car, -0.2732, 5], [find cut, 0.7684, 3], [work advertise dealership cut program work vehicle, -0.2732, 3], [ill update get cut program work carbr br didnt know pay locksmith dealer set key work car uselessbr br think place home depot make copy car keybr br kind key dont work computer chip dobr br wish realize buy, 0.0, 2]]"
B00CLVNR38,[-0.3412],[1],"[[doesnt, stick, windshield]]","[[doesnt stick windshield, -0.3412, 1]]"
B00CNYAEAW,"[0.2023, 0.0]","[5, 5]","[[fine], [job]]","[[fine, 0.2023, 5], [job, 0.0, 5]]"
B00COQWMPO,[0.0],[3],"[[picture, seem, phone, case, imagine, start, peel]]","[[picture seem phone case imagine start peel, 0.0, 3]]"
B00CRTDYB4,[0.0],[4],"[[muy, bueno]]","[[muy bueno, 0.0, 4]]"
B00CST4LBK,"[0.5255, 0.8126, 0.296, 0.4678, 0.4404, 0.4404, 0.6249]","[5, 5, 4, 4, 5, 4, 5]","[[seems, ok, havent, try], [work, great], [work, great, strap, hold, snug, type, think, price, consider, material, make], [product], [product], [ipod, nano, get, tiny, day, buy, arm, band, drop, thing, quality, construction, need, band, complaint, come], [band, order, longevity, im, look]]","[[seems ok havent try, 0.5255, 5], [work great, 0.8126, 5], [work great strap hold snug type think price consider material make, 0.296, 4], [product, 0.4678, 4], [product, 0.4404, 5], [ipod nano get tiny day buy arm band drop thing quality construction need band complaint come, 0.4404, 4], [band order longevity im look, 0.6249, 5]]"
B00CTAMMTG,"[0.6249, -0.34, 0.0]","[5, 1, 5]","[[product, service, quick], [excelente, telfono], [phone, arrive, prepay, phone, activate, description, amazon, note, prepay, phone, disappoint]]","[[product service quick, 0.6249, 5], [excelente telfono, -0.34, 1], [phone arrive prepay phone activate description amazon note prepay phone disappoint, 0.0, 5]]"
B00DFN8C2W,[-0.4215],[2],"[[broke, time, take]]","[[broke time take, -0.4215, 2]]"
B00E5YNODC,[0.2382],[4],"[[product, need, earpiece, ear]]","[[product need earpiece ear, 0.2382, 4]]"
B00EBNDOIC,"[0.9253, 0.0]","[5, 5]","[[think, order, end, vary, color, love, thing, work, desk, desk, member, family, phone, sturdy, grip, phone, great, stand], [hold, phone]]","[[think order end vary color love thing work desk desk member family phone sturdy grip phone great stand, 0.9253, 5], [hold phone, 0.0, 5]]"
B00ELFDOYO,"[0.4404, 0.0]","[2, 2]","[[case, close, case, crack, day, sit, purse, order]]","[[case close case crack day sit purse order, 0.4404, 2], [, 0.0, 2]]"
B00EP2CAFW,[-9.0E-4],[2],"[[nice, phone, arrive, fashion, link, phone, line, trouble, week, microphone, quit, work, use, head, set, use, phone, work, fine]]","[[nice phone arrive fashion link phone line trouble week microphone quit work use head set use phone work fine, -9.0E-4, 2]]"
B00EXWJ02U,"[0.5267, -0.4097, 0.6369]","[5, 3, 5]","[[quality, want], [fit, phone, glove, keep, safe, whenever, drop], [case, become, time, bumper, turn, order, thing, happen]]","[[quality want, 0.5267, 5], [fit phone glove keep safe whenever drop, -0.4097, 3], [case become time bumper turn order thing happen, 0.6369, 5]]"
B00EYZ1ZCY,"[0.5859, 0.5719, 0.5267]","[4, 4, 5]","[[perfect], [work, batter], [nice, product, nd, excellent, customer, service, quick, resolution, complaint]]","[[perfect, 0.5859, 4], [work batter, 0.5719, 4], [nice product nd excellent customer service quick resolution complaint, 0.5267, 5]]"
B00FH66AW4,[0.0],[3],"[[charge, mah, phone, mah, capacity]]","[[charge mah phone mah capacity, 0.0, 3]]"
B00FN84WC6,[0.8519],[5],"[[take, great, pic, lug, camera]]","[[take great pic lug camera, 0.8519, 5]]"
B00FY2S9YS,[0.9799],[5],"[[illumishield, nokia, easy, easy, easy, put, time, done, dry, method, messing, surface, super, smooth, touch, armorsuit, lumia, itbr, br, edge, seal, curve, glass, lumia, cover, hasnt, issue, deal, eitherbr, br, think, something, great, illumishield, well, well]]","[[illumishield nokia easy easy easy put time done dry method messing surface super smooth touch armorsuit lumia itbr br edge seal curve glass lumia cover hasnt issue deal eitherbr br think something great illumishield well well, 0.9799, 5]]"
B00G4JU4QG,[0.7823],[5],"[[look, great, make, watch]]","[[look great make watch, 0.7823, 5]]"
B00GDBB964,[0.8316],[5],"[[hold, year, got, iphone, us, touch, love, cat]]","[[hold year got iphone us touch love cat, 0.8316, 5]]"
B00GHISFC4,[0.6249],[5],"[[look, great, g, note, ]]","[[look great g note , 0.6249, 5]]"
B00GT31D4Y,[0.6249],[5],"[[look, stylish, work]]","[[look stylish work, 0.6249, 5]]"
B00GU2LURY,[-0.3612],[2],"[[case, thick, make, phone, difficult, operate]]","[[case thick make phone difficult operate, -0.3612, 2]]"
B00GYDYV0C,[0.4215],[4],"[[nice, case]]","[[nice case, 0.4215, 4]]"
B00HWISEVA,[0.6901],[4],"[[shell, fit]]","[[shell fit, 0.6901, 4]]"
B00I0YLWOG,[0.3612],[5],[[thank]],"[[thank, 0.3612, 5]]"
B00I7PAYWO,"[0.8658, 0.9041, 0.4927, 0.8479]","[5, 5, 5, 5]","[[shes, cute, way, elevate, protect, beat, pill], [look, perfect, condition], [form], [life, love, love, unit]]","[[shes cute way elevate protect beat pill, 0.8658, 5], [look perfect condition, 0.9041, 5], [form, 0.4927, 5], [life love love unit, 0.8479, 5]]"
B00IEDZGB8,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B00IEXFY6A,"[0.6249, 0.1531, 0.0, -0.5423]","[5, 2, 1, 1]","[[light, cute, charge, phone, device, anything], [work, great], [charger, doesnt, charge, try, unplug, plug, time, nothing, second, dont, buy, item, piece, work], [fell, apart]]","[[light cute charge phone device anything, 0.6249, 5], [work great, 0.1531, 2], [charger doesnt charge try unplug plug time nothing second dont buy item piece work, 0.0, 1], [fell apart, -0.5423, 1]]"
B00IGXQ2VE,"[-0.7269, 0.5719]","[2, 5]","[[try, case, won, get], [case, make, cheap, type, plastic, quality, get, otterbox, rubber, button, make, use, volume, key, cause, button, press, buy, iblason]]","[[try case won get, -0.7269, 2], [case make cheap type plastic quality get otterbox rubber button make use volume key cause button press buy iblason, 0.5719, 5]]"
B00IGY5QVU,"[0.0, 0.4404, 0.8807]","[1, 4, 4]","[[value, excellent, product], [didnt, work], [app]]","[[value excellent product, 0.0, 1], [didnt work, 0.4404, 4], [app, 0.8807, 4]]"
B00IIHNX10,"[0.5267, 0.7579, -0.4939, 0.6213, 0.0772, -0.6249, 0.4404, -0.4939]","[4, 4, 3, 5, 2, 1, 5, 1]","[[value], [worst, dont, buy, work, couple, week], [wall, charge, put, night, car, charger, way, slow, ivolve, car, charger, charge], [charger, purchase, blown, continue, operate], [month, return, policy, period, outlet, head, star, make, winning, noise], [purchase, advertise, output, receive, saw, ac, adapter, output, v, unit, fact, outputbr, br, disappoint, unit, advertise, fact, charger, market], [product, purchase], [cord, charge, phone, fine, car, adapter, wall, adapter, work, great, problem, cord, use, phone, charge, screen, misreads, press, screen, open, move, thing]]","[[value, 0.5267, 4], [worst dont buy work couple week, 0.7579, 4], [wall charge put night car charger way slow ivolve car charger charge, -0.4939, 3], [charger purchase blown continue operate, 0.6213, 5], [month return policy period outlet head star make winning noise, 0.0772, 2], [purchase advertise output receive saw ac adapter output v unit fact outputbr br disappoint unit advertise fact charger market, -0.6249, 1], [product purchase, 0.4404, 5], [cord charge phone fine car adapter wall adapter work great problem cord use phone charge screen misreads press screen open move thing, -0.4939, 1]]"
B00IVAFACY,"[0.5683, -0.7783]","[3, 2]","[[broke, month, space, wallet, space, rip, better, make], [poop, grad, leather]]","[[broke month space wallet space rip better make, 0.5683, 3], [poop grad leather, -0.7783, 2]]"
B00IY39JKW,[0.3919],[3],"[[genuine, leather, make]]","[[genuine leather make, 0.3919, 3]]"
B00IYP53XC,[0.9359],[1],"[[bluetooth, work, look, unless, treat, crystal, egg, theyre, go, break, broke, adjust, side, hour, take, box, thought, wed, try, get, replacement, last, day, break, spot, fall, carpet, floor, wish, make, well, bummer]]","[[bluetooth work look unless treat crystal egg theyre go break broke adjust side hour take box thought wed try get replacement last day break spot fall carpet floor wish make well bummer, 0.9359, 1]]"
B00IYQ5DZY,[0.1999],[5],"[[purchase, order, didnt, fit, phone, contact, send, charge]]","[[purchase order didnt fit phone contact send charge, 0.1999, 5]]"
B00J3L5JAI,[0.8885],[5],"[[fit, note, look, say]]","[[fit note look say, 0.8885, 5]]"
B00JH83QTS,[0.7717],[4],"[[seems, phone, get, hot, love, place, card]]","[[seems phone get hot love place card, 0.7717, 4]]"
B00JKKDCW4,[0.4404],[4],[[work]],"[[work, 0.4404, 4]]"
B00JSPR7TU,[-0.8322],[2],"[[portion, go, phone, fit, outer, layer, phone, cover, wont, fit, kind, disappoint, money, return]]","[[portion go phone fit outer layer phone cover wont fit kind disappoint money return, -0.8322, 2]]"
B00JW7UC96,[0.5423],[4],"[[take, phone, nice]]","[[take phone nice, 0.5423, 4]]"
B00K028JQ0,[0.4215],[5],"[[husband, like, help, phone, lot]]","[[husband like help phone lot, 0.4215, 5]]"
B00KBV1JQW,[0.7346],[5],"[[phone, downside, charge, time, take, age, rambr, camera, audio]]","[[phone downside charge time take age rambr camera audio, 0.7346, 5]]"
B00KJ67ZE4,"[0.0, -0.4939, 0.7684, 0.2732, -0.2732]","[1, 1, 1, 1, 3]","[[cord, cheap, didnt, work, get, company, great, give, refund], [otbut, break], [receive, color, cord, doesnt, work, great, deal, waste, time, buck, message, sender, havent, heard], [charge, phone], [short, use, month]]","[[cord cheap didnt work get company great give refund, 0.0, 1], [otbut break, -0.4939, 1], [receive color cord doesnt work great deal waste time buck message sender havent heard, 0.7684, 1], [charge phone, 0.2732, 1], [short use month, -0.2732, 3]]"
B00KN9UET0,[0.296],[5],[[ok]],"[[ok, 0.296, 5]]"
B00KP474O6,[0.4215],[5],"[[nice, case]]","[[nice case, 0.4215, 5]]"
B00KQ1IVT0,"[0.7579, 0.6249, 0.3384, -0.4215, 0.4404]","[3, 5, 5, 2, 5]","[[capacity, price], [work, last], [wife, love, thing, carry, purse, phone, battery, doesnt, took, camping, charge, phone, couple, day], [broke, week, power, button, light, froze], [everything, thing, great, month, port, charge, mini, usb, seem, give, got, wiggle, bit, sit, charge]]","[[capacity price, 0.7579, 3], [work last, 0.6249, 5], [wife love thing carry purse phone battery doesnt took camping charge phone couple day, 0.3384, 5], [broke week power button light froze, -0.4215, 2], [everything thing great month port charge mini usb seem give got wiggle bit sit charge, 0.4404, 5]]"
B00KYUWA9A,"[0.6249, 0.2449]","[5, 5]","[[work, expect, charge, note, satisfy, product], [working, charger]]","[[work expect charge note satisfy product, 0.6249, 5], [working charger, 0.2449, 5]]"
B00L2SF64E,"[0.9274, -0.0933]","[5, 5]","[[buy, retain, factory, usb, port, position, toyota, highlander, fit, hole, factory, usbaux, port, module, mount, get, engage, lock, tab, go, anywherebr, br, others, mention, membrane, hinge, cover, tend, usb, time, doesnt, pose, problem], [plug, ft, want, mount, dash, radio, dont, know, jeep, model, model, tj, wrangler, fit, switch, mount]]","[[buy retain factory usb port position toyota highlander fit hole factory usbaux port module mount get engage lock tab go anywherebr br others mention membrane hinge cover tend usb time doesnt pose problem, 0.9274, 5], [plug ft want mount dash radio dont know jeep model model tj wrangler fit switch mount, -0.0933, 5]]"
B00L7PZVWY,[0.0],[1],"[[charge, dont]]","[[charge dont, 0.0, 1]]"
B00LAEZOCE,[0.7528],[5],"[[phone, holster, fit, iphone, order, time, belt, loop, dont, lose, phone, slip]]","[[phone holster fit iphone order time belt loop dont lose phone slip, 0.7528, 5]]"
B00LODM09G,"[0.7425, -0.1779]","[5, 5]","[[protect, gem], [light, weight, sound, need, something, flying, west, coast, east, coast, m, player, die, half, way, last, use, rent, car, speaker, make, half, drive]]","[[protect gem, 0.7425, 5], [light weight sound need something flying west coast east coast m player die half way last use rent car speaker make half drive, -0.1779, 5]]"
B00LV83KMU,"[-0.4215, 0.9534]","[2, 5]","[[order, trueshield, temper, glass, screen, protector, instal, screen, protector, htc, m, month, notice, crack, think, screen, wasnt, temper, glass, protect, phone, way, describe, month, he, grab, drop, phone, time, time, feel, well, temper, glass, instal, install, bubble, look], [like, broke, month]]","[[order trueshield temper glass screen protector instal screen protector htc m month notice crack think screen wasnt temper glass protect phone way describe month he grab drop phone time time feel well temper glass instal install bubble look, -0.4215, 2], [like broke month, 0.9534, 5]]"
B00M06YFQW,"[-0.6908, 0.836, 0.7449, 0.0, 0.6908, -0.3597, -0.443, 0.8932, 0.9323, 0.0, -0.6197, 0.5719, 0.0, 0.7783, 0.3612, 0.5106, 0.4445]","[3, 5, 5, 4, 2, 1, 3, 5, 5, 5, 1, 4, 2, 3, 4, 5, 5]","[[ok, start, come, apart, time, try, remove, kick, stand, use, doesnt, hold], [didt], [case, excellent, reason, star, kickstand, use, longways], [case], [product, great, price, couldnt, happier, purchase], [met, expectation], [delivery, quick, thank, looking, case, wonder, sturdy, rugged, style, phone, case, purchase, case, exceed, expectation, style, stability, safetyprotection, phone, kickstand, feature, thanks], [make, material, protects, operate, camera, belt, clip, broke, us, access, slot, line], [clip, snap, month, buy, case, buy, hop, result], [dont, buy, buy, product, hold, phone, belt, work, work, walking, hold, part, start, loose, come, use, clip, part, reason, buy, product, cant, use, hold, belt], [nice, case, light, design, hand], [belt, clip, broke, couple, week, use, point, metal, pin, go, ear], [broke, day, busy, people], [case, describe], [buy, holster, case, style, ure, forget, ur, side, yes, u, heman, life, case], [product, fit, delivery]]","[[ok start come apart time try remove kick stand use doesnt hold, -0.6908, 3], [didt, 0.836, 5], [case excellent reason star kickstand use longways, 0.7449, 5], [case, 0.0, 4], [product great price couldnt happier purchase, 0.6908, 2], [met expectation, -0.3597, 1], [delivery quick thank looking case wonder sturdy rugged style phone case purchase case exceed expectation style stability safetyprotection phone kickstand feature thanks, -0.443, 3], [make material protects operate camera belt clip broke us access slot line, 0.8932, 5], [clip snap month buy case buy hop result, 0.9323, 5], [dont buy buy product hold phone belt work work walking hold part start loose come use clip part reason buy product cant use hold belt, 0.0, 5], [nice case light design hand, -0.6197, 1], [belt clip broke couple week use point metal pin go ear, 0.5719, 4], [broke day busy people, 0.0, 2], [case describe, 0.7783, 3], [buy holster case style ure forget ur side yes u heman life case, 0.3612, 4], [product fit delivery, 0.5106, 5], [, 0.4445, 5]]"
B00M1B88Y6,[0.7845],[5],"[[yes, fit, air]]","[[yes fit air, 0.7845, 5]]"
B00M3D7IPC,[-0.0572],[1],"[[seller, say, celphone, work, argentina, doesnt, work, cellphone, hung, time, work, return, product]]","[[seller say celphone work argentina doesnt work cellphone hung time work return product, -0.0572, 1]]"
B00M6J1QY2,"[0.0183, 0.0817, 0.5719, 0.8316]","[5, 5, 5, 4]","[[use, time, glue, seem, stuck], [perfect, ive, look], [get, cramp, hold, phone, hand, problem, get, nifty, sturdy, gadget, cant, imagine, use, anything], [wish, allow, phone, lay, using, stand]]","[[use time glue seem stuck, 0.0183, 5], [perfect ive look, 0.0817, 5], [get cramp hold phone hand problem get nifty sturdy gadget cant imagine use anything, 0.5719, 5], [wish allow phone lay using stand, 0.8316, 4]]"
B00M74TP1W,[0.4675],[5],"[[dont, leave, gps, dash, hot, sun, ordering, battery, quick, delivery, good, price]]","[[dont leave gps dash hot sun ordering battery quick delivery good price, 0.4675, 5]]"
B00M7UZNZ8,[-0.4767],[1],"[[hurt, inside]]","[[hurt inside, -0.4767, 1]]"
B00M9L6C2I,[0.3534],[1],"[[front, cover, decrease, sensitivity, touch, screen, break, bottom, case, handle, slight, drop]]","[[front cover decrease sensitivity touch screen break bottom case handle slight drop, 0.3534, 1]]"
B00MBRTA2Y,"[-0.0294, -0.6115]","[1, 1]","[[hate, phone, id, send, u, press, icon, time, app, swipe, screen, time, lock, screen, unlock], [battery, good, hr, battery, charge, send, package, amazon, ups, yesterday, april, ]]","[[hate phone id send u press icon time app swipe screen time lock screen unlock, -0.0294, 1], [battery good hr battery charge send package amazon ups yesterday april , -0.6115, 1]]"
B00MF38RW8,[0.3675],[5],"[[phone, case, rubber, line, middle, cheap, plastic, dont, mind, protect, phone]]","[[phone case rubber line middle cheap plastic dont mind protect phone, 0.3675, 5]]"
B00MHBRL6G,[0.8251],[5],"[[product, love, ]]","[[product love , 0.8251, 5]]"
B00MHQ9CVI,[0.8312],[4],"[[work, great, get, use, bed, multitude, device, charge, usb, thing, dont, anything, plug, port, glow, blue, end, need, cover, cant, sleep, bright, nightlight]]","[[work great get use bed multitude device charge usb thing dont anything plug port glow blue end need cover cant sleep bright nightlight, 0.8312, 4]]"
B00MI8SY7I,"[0.6369, 0.5994]","[5, 5]","[[casemate, smooth, case, put, device]]","[[casemate smooth case put device, 0.6369, 5], [, 0.5994, 5]]"
