B00022OBOC,[0.6956],[5],"[[price, sound]]","[[price sound, 0.6956, 5]]"
B00M2GINEK,[-0.284],[3],"[[use, charger, im, travel, home, period, time, charge, phone, percent, great, job]]","[[use charger im travel home period time charge phone percent great job, -0.284, 3]]"
B00M9UPJ7S,"[0.9797, 0.8806]","[5, 5]","[[elegant, look, fancy, look, gaudy, doesnt, attract, dirt, nice, wish, bit, coverage, top, corner, push, pop, contour, hand, make, hold, phone, lot, contour, dont, know, people, say, sit, back, mine, look, gold, iphone, havent, getting, cord, jack, aftermarket, charge, cable, head, fit, fine], [quality, great, remove, put, phone, downside, doesnt, improve, grip, phone, good, improvement, case]]","[[elegant look fancy look gaudy doesnt attract dirt nice wish bit coverage top corner push pop contour hand make hold phone lot contour dont know people say sit back mine look gold iphone havent getting cord jack aftermarket charge cable head fit fine, 0.9797, 5], [quality great remove put phone downside doesnt improve grip phone good improvement case, 0.8806, 5]]"
B00MP6BO6G,[0.34],[2],"[[front, plastic, part, case, flimsy, crack, nd, order, design, crack, im, do]]","[[front plastic part case flimsy crack nd order design crack im do, 0.34, 2]]"
B00MTKJI48,[0.6369],[5],"[[work, remove, case, love, convenience]]","[[work remove case love convenience, 0.6369, 5]]"
B00MV77GSO,"[0.8122, 0.9441]","[5, 4]","[[nice, case, good, price, purchase, screen, protector, go, way, feel, hand, help, time, come], [spec, case, drop, phone, time, spec, case, protect, phone]]","[[nice case good price purchase screen protector go way feel hand help time come, 0.8122, 5], [spec case drop phone time spec case protect phone, 0.9441, 4]]"
B00MWFXLSO,[0.0],[5],"[[done, suppose]]","[[done suppose, 0.0, 5]]"
B00N1AG5AU,"[0.4404, 0.8555, 0.8338, 0.8979, -0.25, 0.3254, 0.8812]","[4, 5, 2, 5, 4, 5, 5]","[[get, case, boyfriend, flip, wallet, want, something, come, got, love, get, use, slide, get, keep, everything, secure, dont, worry, lose, item, click, place, fit, card, cash], [case, wasnt, add, phone, want, something, hold, id, phone, body, end, return, went, apple, case, idea, great, get, past, extra, body, phone, fine], [phone, casecard, holder, planet, second, get, generation, phone, ill, get, use, offer, protection], [case, iphone, went, upgrade, week, realize, dependent, case, keep, credit, card, apple, pay, apple, pay, wont, accept, debit, card, need, carry, debit, card, keep, debit, card, cash, otterbox, im, set, dont, worry, lug, purse, dont, tobr, open, close, time, put, phone, loosen, effort], [card, holder, get, stick, hold, card], [case, difficult, become, easier, time, take, day, loosen, get, cell, phone, case, month, case, hold, card, hold, bill, bw, card, drop, phone, time, case, protect, convenience, buy, case], [case, need, space, card]]","[[get case boyfriend flip wallet want something come got love get use slide get keep everything secure dont worry lose item click place fit card cash, 0.4404, 4], [case wasnt add phone want something hold id phone body end return went apple case idea great get past extra body phone fine, 0.8555, 5], [phone casecard holder planet second get generation phone ill get use offer protection, 0.8338, 2], [case iphone went upgrade week realize dependent case keep credit card apple pay apple pay wont accept debit card need carry debit card keep debit card cash otterbox im set dont worry lug purse dont tobr open close time put phone loosen effort, 0.8979, 5], [card holder get stick hold card, -0.25, 4], [case difficult become easier time take day loosen get cell phone case month case hold card hold bill bw card drop phone time case protect convenience buy case, 0.3254, 5], [case need space card, 0.8812, 5]]"
B00N47K7N6,[-0.6133],[3],"[[give, replacement, seller, fit, replacement, fit, well, protector, buy, item, use, seller, sure]]","[[give replacement seller fit replacement fit well protector buy item use seller sure, -0.6133, 3]]"
B00NIEPD2K,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B00NKR5LL8,[0.5573],[5],"[[phone, case, cute, cute, cute, bulky, otter, boxthank, godbr, br, think, order, go, screen, cover, sticker, one, get, there, hair, frustrate, take, min, cant, deal, bubble, foggy, screen, youve, swim, clolrinated, pool, day, cant, see, bottom, otter, box, plastic, window, cling, take, replace, problem, doesnt, ruin, fit, screen, otter, box, air, bubble, take, restick, done, time, im, picker, cant, stop, look, fit, greatbr, br, water, hole, bottom, camera, speaker, charger, etc, wasnt, worry, learn, way, water, resistant, one, arent, water, resistant, toddler, put, cup, purse, phone, drop, sink, dish, im, water, water, resistant, one, resistant, besides, dont, know, humidity, worry, bought, casebr, br, ive, drop, pavement, tile, car, dont, ask, flight, stair, time, oh, im, screw, delight, fine, land, screen, dread, picking, know, screen, look, spider, web, didnt, damagebr, say, im, clumsy, mom, go, iphone, phone, otter, box, case, cover, annoy, thing, jar, jar, binks, drop, fall, nothing, sort, damage, im, rd, phone, thank, god, insurance, accients, griffin, case, ie, toddler, roll, razor, scooter, damagebr, br, say, fact, screen, fit, sell, fact, slimmer, look, make, star, day, week, different, iphone, phone, otter, box, case, cover, annoy, thing, jar, jar, binks, drop, fall, nothing, sort, damage, im, rd, phone, thank, god, insurance, accients, griffin, case, ie, toddler, roll, razor, scooter, damagebr, br, say, fact, screen, fit, sell, fact, slimmer, look, make, star, day, week]]","[[phone case cute cute cute bulky otter boxthank godbr br think order go screen cover sticker one get there hair frustrate take min cant deal bubble foggy screen youve swim clolrinated pool day cant see bottom otter box plastic window cling take replace problem doesnt ruin fit screen otter box air bubble take restick done time im picker cant stop look fit greatbr br water hole bottom camera speaker charger etc wasnt worry learn way water resistant one arent water resistant toddler put cup purse phone drop sink dish im water water resistant one resistant besides dont know humidity worry bought casebr br ive drop pavement tile car dont ask flight stair time oh im screw delight fine land screen dread picking know screen look spider web didnt damagebr say im clumsy mom go iphone phone otter box case cover annoy thing jar jar binks drop fall nothing sort damage im rd phone thank god insurance accients griffin case ie toddler roll razor scooter damagebr br say fact screen fit sell fact slimmer look make star day week different iphone phone otter box case cover annoy thing jar jar binks drop fall nothing sort damage im rd phone thank god insurance accients griffin case ie toddler roll razor scooter damagebr br say fact screen fit sell fact slimmer look make star day week, 0.5573, 5]]"
B00NQBO1LE,[0.5598],[5],"[[nice, cord, get, catch, lay, way]]","[[nice cord get catch lay way, 0.5598, 5]]"
B00NQT23P2,[0.9295],[5],"[[look, nice, hold, phone, break, broke, corner, hold, phone, look, love]]","[[look nice hold phone break broke corner hold phone look love, 0.9295, 5]]"
B00NSJ6CD4,[-0.5256],[1],"[[doesnt, work, computer, disappoint]]","[[doesnt work computer disappoint, -0.5256, 1]]"
B00NSXS17K,[0.6249],[5],"[[work, got, coyote, time]]","[[work got coyote time, 0.6249, 5]]"
B00NXJACPS,"[0.6369, 0.5645, -0.6187]","[5, 1, 1]","[[feel, nice, add, bulk, case, start, peel, week, happy, color, compliment, gold, iphone, ], [look, case]]","[[feel nice add bulk case start peel week happy color compliment gold iphone , 0.6369, 5], [look case, 0.5645, 1], [, -0.6187, 1]]"
B00O9MY736,"[-0.1786, -0.0516]","[3, 5]","[[saw, uncle, headphone, fleece, thingie, take, fix, wasnt, funnybr, br, expand, product, bit, cooler, need, material, absorbs, sweatbikini], [item, arrive, time, wire, management, isnt, good, describe, leaf, earbuds, dangle, band, material, nice, make, headset, slippery, neck, lead, fall, body]]","[[saw uncle headphone fleece thingie take fix wasnt funnybr br expand product bit cooler need material absorbs sweatbikini, -0.1786, 3], [item arrive time wire management isnt good describe leaf earbuds dangle band material nice make headset slippery neck lead fall body, -0.0516, 5]]"
B00OFM54IC,[0.0],[4],"[[way, stash, money, cant, bring, purse, wallet]]","[[way stash money cant bring purse wallet, 0.0, 4]]"
B00OFRR2VY,[0.6369],[5],"[[sturdy, find, protects, phone, stand, ]]","[[sturdy find protects phone stand , 0.6369, 5]]"
B00OGRPVJ8,[0.6249],[5],[[awesome]],"[[awesome, 0.6249, 5]]"
B00OJ9HFIS,[0.5522],[4],"[[look, doubt]]","[[look doubt, 0.5522, 4]]"
B00OO7KM6W,[0.4678],[4],"[[work, iphone, seem, take, longer, expect, havent, use, battery, maybe, slow]]","[[work iphone seem take longer expect havent use battery maybe slow, 0.4678, 4]]"
B00OSLDFTK,[0.926],[5],"[[awesome, bought, wife, jeep, love, quick, charge, port, look, feel, quality, product]]","[[awesome bought wife jeep love quick charge port look feel quality product, 0.926, 5]]"
B00OVRLVH4,[0.6249],[5],[[case]],"[[case, 0.6249, 5]]"
B00OZ8RZOM,[0.0],[4],[[say]],"[[say, 0.0, 4]]"
B00P1AHGN8,[0.7351],[2],"[[stock, speaker, complete, buy, pair, kos, porta, pro, remove, replace, speaker, sound, amaze, youll, get, hour, charge, battery, id, buy, product, bluetooth, device, alone, put, nicer, kos, speaker, material, super]]","[[stock speaker complete buy pair kos porta pro remove replace speaker sound amaze youll get hour charge battery id buy product bluetooth device alone put nicer kos speaker material super, 0.7351, 2]]"
B00P6MX51I,"[0.234, 0.5719]","[1, 2]","[[fault, reading, verizon, version, xperia, z, please, victimize, buy, product, think, xperias, configure, way, need, specific, version, case], [excellent, case, couldnt, charger, point]]","[[fault reading verizon version xperia z please victimize buy product think xperias configure way need specific version case, 0.234, 1], [excellent case couldnt charger point, 0.5719, 2]]"
B00P8LLH94,"[0.0, 0.3612]","[1, 5]","[[return], [delivery, time]]","[[return, 0.0, 1], [delivery time, 0.3612, 5]]"
B00P9WCI2C,[-0.0258],[5],"[[issue, product, work]]","[[issue product work, -0.0258, 5]]"
B00PIBI5W6,[-0.5256],[1],[[disappoint]],"[[disappoint, -0.5256, 1]]"
B00PMDSEXK,[0.7876],[4],"[[tripod, adapter, fit, iphone, otterbox, commuter, case, room, spare, fit, product, keep, phone, place, gorilla, po, tripod, bluetooth, remote, pair, iphone, come, handy, start, stopping, video, shoot, photo]]","[[tripod adapter fit iphone otterbox commuter case room spare fit product keep phone place gorilla po tripod bluetooth remote pair iphone come handy start stopping video shoot photo, 0.7876, 4]]"
B00PQ7GWMC,[0.886],[5],"[[product, seems, tell, truth, design, love]]","[[product seems tell truth design love, 0.886, 5]]"
B00Q283ZEC,[0.5927],[4],"[[star, get, hot, working, cool, work]]","[[star get hot working cool work, 0.5927, 4]]"
B00Q4NQQA0,"[0.3118, 0.6249, 0.8481, 0.9607, -0.296, 0.9968, 0.0, 0.9784, 0.7506, 0.836, 0.9362, 0.2023, 0.8481, 0.9136, 0.0, -0.0516, 0.6249, 0.0, 0.7906, -0.5647]","[4, 5, 4, 3, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 3, 5, 5, 5, 1, 5]","[[update, br, battery, die, backpack, trip, get, wet, second, battery, useless, lose, lot, chage, cycle, go, battery, hold, charge, die, got, lot, use, battery, im, complain, charger, work, contemplate, buying, batteriesbr, br, update, br, use, battery, year, work, awesome, wall, outlet, option, im, battery, grab, swap, phone, reboot, boom, obsess, pokeacutemon, go, battery, battery, cycle, day, use, soundcloud, bluetooth, bright, screen, day, none, charger, mess, buy, br, reviewbr, experience, anker, product, anker, battery, acer, laptop, perfect, champ, day, year, go, anker, car, phone, charger, break, phone, cablebr, br, review, brand, time, day, note, bricked, research, figure, maybe, battery, fry, buy, anker, battery, hop, resurrect, phone, didnt, swap, phone, note, use, battery, keep, phone, run, need, plug, wall, battery, month, say, anker, aeesome, battery, perform, effect, feel, charge, battery, hold, charge, longer, go, day, half, battery, part, battery, dy, turn, phone, swap, battery, turn, see, percentage, go, phone, dyingbr, br, useful, go, camp, airplane, mode, battery, day, thats, record, video, play, kusoc, take, picture, awesome, anker, good, warranty, solid, choose, iphone, ideal], [battery, feel, denser, oem, good, thing, work, design, hold, charge, well, oem, samsung, battery, issue, battery, fall, charger, others, describe, issue, battery, anker, support, quick, send, replacement, question, ask, customer, service], [last, oem, battery, note, buy, ultra, convenient, longer, hunt, outlet, im], [week, use, everything, great, battery, note, ], [buy, assume, yes, know, idea, charge, anker, extend, mah, battery, note, theres, reason, shouldnt, havebr, br, charger, design, battery, place, backwards, way, place, phone, design, battery, place, orientation, phone, anker, extend, battery, work, fine, chargerbr, br, ankers, product, design, engineer, miss, bit, credit, didnt, claim, charge, extend, battery, search, cant, find, extend, battery, seems, discontinuedbr, br, nobody, claim, battery, take, star, battery, package, work, fine, fit, phone, charger, seem, charge, plenty, batteries, charger, wont, need, extend, battery, deal, wish, theyd, bit, foresight], [buy, phone, who, battery, taken, mophie, battery, longer, brand, battery], [battery, work, note, problem], [shipment, come, battery, replacement, anker, food, thought, battery, case, go, battery], [battery, fit, phone, great, bulge, charger, seem, im, accustom, use, fast, charger, complaint], [time, use, anker, phonebr, great, warranty, support, swell, end, life, anker, provide, refund, replacement], [battery, gripe, charger, battery, tad, slot, charger, result, battery, force, pressure, doesnlodges, battery, charger, dont, know, change, design, charger, spring, come, battery, great, charger, note, perfect, fit, battery, charger, make, time, come, home, find, battery, charge, pop, charger, slot], [product, oem, battery], [battery, dont, charge, anker, charge, cradle, note, charge, youre, use, fast, charger, theyre, amaze, plan, keep, upbr, br, great, value, price, havent, done, testing, month, use, go, pretty, stock, samsung, battery], [work, make, phone, hot, use, fast, charger], [awesome, product, swap, battery, note, rotate, battery, stock, battery, mean, plug, phone, battery, stock, battery, charge, everything, work, expect, buy, anker], [take, hour, battery, charger, charge, battery, good, buy, battery, rotate, charge], [work, great, quality, expect, money, battery, charger, great, travel, give, day, use, need, locate, charger], [extra, battery, minute, battery, charge, dead, get, home], [batt, ankerbuy, product, everything], [research, bite, settling, anker, brand, dont, know, recieved, sub, par, battery, order, charge, battery, explode, leave, nice, scorch, mark, hardwood, floor, fill, house, smoke, filing, returnrefund, wasnt, get, sent, time, date, return, slip, disapointed]]","[[update br battery die backpack trip get wet second battery useless lose lot chage cycle go battery hold charge die got lot use battery im complain charger work contemplate buying batteriesbr br update br use battery year work awesome wall outlet option im battery grab swap phone reboot boom obsess pokeacutemon go battery battery cycle day use soundcloud bluetooth bright screen day none charger mess buy br reviewbr experience anker product anker battery acer laptop perfect champ day year go anker car phone charger break phone cablebr br review brand time day note bricked research figure maybe battery fry buy anker battery hop resurrect phone didnt swap phone note use battery keep phone run need plug wall battery month say anker aeesome battery perform effect feel charge battery hold charge longer go day half battery part battery dy turn phone swap battery turn see percentage go phone dyingbr br useful go camp airplane mode battery day thats record video play kusoc take picture awesome anker good warranty solid choose iphone ideal, 0.3118, 4], [battery feel denser oem good thing work design hold charge well oem samsung battery issue battery fall charger others describe issue battery anker support quick send replacement question ask customer service, 0.6249, 5], [last oem battery note buy ultra convenient longer hunt outlet im, 0.8481, 4], [week use everything great battery note , 0.9607, 3], [buy assume yes know idea charge anker extend mah battery note theres reason shouldnt havebr br charger design battery place backwards way place phone design battery place orientation phone anker extend battery work fine chargerbr br ankers product design engineer miss bit credit didnt claim charge extend battery search cant find extend battery seems discontinuedbr br nobody claim battery take star battery package work fine fit phone charger seem charge plenty batteries charger wont need extend battery deal wish theyd bit foresight, -0.296, 5], [buy phone who battery taken mophie battery longer brand battery, 0.9968, 5], [battery work note problem, 0.0, 5], [shipment come battery replacement anker food thought battery case go battery, 0.9784, 5], [battery fit phone great bulge charger seem im accustom use fast charger complaint, 0.7506, 5], [time use anker phonebr great warranty support swell end life anker provide refund replacement, 0.836, 5], [battery gripe charger battery tad slot charger result battery force pressure doesnlodges battery charger dont know change design charger spring come battery great charger note perfect fit battery charger make time come home find battery charge pop charger slot, 0.9362, 5], [product oem battery, 0.2023, 1], [battery dont charge anker charge cradle note charge youre use fast charger theyre amaze plan keep upbr br great value price havent done testing month use go pretty stock samsung battery, 0.8481, 5], [work make phone hot use fast charger, 0.9136, 5], [awesome product swap battery note rotate battery stock battery mean plug phone battery stock battery charge everything work expect buy anker, 0.0, 3], [take hour battery charger charge battery good buy battery rotate charge, -0.0516, 5], [work great quality expect money battery charger great travel give day use need locate charger, 0.6249, 5], [extra battery minute battery charge dead get home, 0.0, 5], [batt ankerbuy product everything, 0.7906, 1], [research bite settling anker brand dont know recieved sub par battery order charge battery explode leave nice scorch mark hardwood floor fill house smoke filing returnrefund wasnt get sent time date return slip disapointed, -0.5647, 5]]"
B00QA96ABS,"[0.8055, -0.3622]","[5, 4]","[[im, please, case, receive, describe], [look, wasnt, broke, couple, week, drop, phone, get, pay]]","[[im please case receive describe, 0.8055, 5], [look wasnt broke couple week drop phone get pay, -0.3622, 4]]"
B00QDJK80Y,[0.34],[3],"[[design, doesnt, autoclose, chip, case, relearn, turn, phone, closing]]","[[design doesnt autoclose chip case relearn turn phone closing, 0.34, 3]]"
B00QH799SY,[0.9912],[4],"[[excellent, case, stuffbr, case, sleek, feel, phone, overlap, camera, lip, thats, look, elsewherebr, cutout, accurate, phone, button, expose, apple, window, backbr, feel, quality, case, genuine, carbon, case, get, slight, rubbery, feel, carbon, look, greatbr, br, reason, cant, give, star, downfall, case, consider, get, itbr, br, minor, cosmetic, misprint, carbon, case, line, case, notice, thing, flawless, get, customer, imobr, get, case, super, snug, good, thing, earlier, today, try, take, protector, clean, phone, chip, tiny, bit, carbon, corner, carbon, chip, dig, forcebr, case, tad, slippery, problem, carbon, bit, slick, feel, something, watch, forbr, br, anyhow, besides, slight, qualm, case, awesome, slim, case, youre, look, ft, drop, protection, case, lay, face, front, lip, wont, find, youre, look, please, feeling, case, slight, drop, protection, feel, safe, drop, ft, match]]","[[excellent case stuffbr case sleek feel phone overlap camera lip thats look elsewherebr cutout accurate phone button expose apple window backbr feel quality case genuine carbon case get slight rubbery feel carbon look greatbr br reason cant give star downfall case consider get itbr br minor cosmetic misprint carbon case line case notice thing flawless get customer imobr get case super snug good thing earlier today try take protector clean phone chip tiny bit carbon corner carbon chip dig forcebr case tad slippery problem carbon bit slick feel something watch forbr br anyhow besides slight qualm case awesome slim case youre look ft drop protection case lay face front lip wont find youre look please feeling case slight drop protection feel safe drop ft match, 0.9912, 4]]"
B00QJPDBJW,"[-0.3749, -0.5719, 0.7269, 0.7906, -0.4767, -0.5821]","[2, 2, 1, 5, 1, 1]","[[month, cable, stop, work, micro, connector, start, fall, device, stop, charge], [cable, work, offer, mean, identification, everyone, household, battle, charge, hub, color, look, duty, lay, like, foot, length, multiple, device, use, charger, hub, however, month, mini, usb, fitting, device, multiple, device, show, charge, error, warn, use, cable, charge, fall, phone, move, happen, cable, device, forgive, happening, board, cross, check, cable, charging, transformer, diligent, issue, cable, come, solve, problem, unfortunate, work, help, keep, thing, organize, got, lot, complement, recommend, anyone], [month, half, stop, work, worth, effort, money, spend, extra, dollar, get, something, last], [cable, great, theory, price, dont, expect, longer, month, ive, week, function, wrap, cord, phone, frontwards, backwards, alternate, charge, minute, theyre, plug, etc, go, vendor], [quality, micro, connector, wear, week], [work, great]]","[[month cable stop work micro connector start fall device stop charge, -0.3749, 2], [cable work offer mean identification everyone household battle charge hub color look duty lay like foot length multiple device use charger hub however month mini usb fitting device multiple device show charge error warn use cable charge fall phone move happen cable device forgive happening board cross check cable charging transformer diligent issue cable come solve problem unfortunate work help keep thing organize got lot complement recommend anyone, -0.5719, 2], [month half stop work worth effort money spend extra dollar get something last, 0.7269, 1], [cable great theory price dont expect longer month ive week function wrap cord phone frontwards backwards alternate charge minute theyre plug etc go vendor, 0.7906, 5], [quality micro connector wear week, -0.4767, 1], [work great, -0.5821, 1]]"
B00QP54VYA,[0.8658],[5],"[[fit, feel, shipping, close, day, terrific, find]]","[[fit feel shipping close day terrific find, 0.8658, 5]]"
B00QU4NQMY,"[0.6249, 0.946, 0.8173]","[5, 5, 5]","[[case, button, feel, case], [sturdy, phone, case, love, slim, case, look, phone, great, protection, feel, drop, phone, time, butterfingers, protect, phone, time], [case]]","[[case button feel case, 0.6249, 5], [sturdy phone case love slim case look phone great protection feel drop phone time butterfingers protect phone time, 0.946, 5], [case, 0.8173, 5]]"
B00QW3D8KI,"[0.6249, 0.8514]","[5, 5]","[[make, product, package, happy], [plenty, slot, strap]]","[[make product package happy, 0.6249, 5], [plenty slot strap, 0.8514, 5]]"
B00R8E3QUC,[0.7717],[5],"[[case, sturdy, print, hasnt, come, anything, wonder, concern, purchase, case]]","[[case sturdy print hasnt come anything wonder concern purchase case, 0.7717, 5]]"
B00R8U5MU8,[-0.7096],[4],"[[fit, work, way, past, seal]]","[[fit work way past seal, -0.7096, 4]]"
B00R92PE62,[0.7506],[5],"[[fit, phone, protects, fall]]","[[fit phone protects fall, 0.7506, 5]]"
B00RIPX21Y,[-0.802],[1],"[[worst, product, ive, buy, drop, iphone, get, break, day, ]]","[[worst product ive buy drop iphone get break day , -0.802, 1]]"
B00RKU7JLQ,[0.34],[5],"[[come, fast, work]]","[[come fast work, 0.34, 5]]"
B00RVGXZBM,[0.4404],[5],[[gps]],"[[gps, 0.4404, 5]]"
B00RYF7L10,"[0.0, 0.0]","[2, 2]","[[fill, nothing, move], [sent]]","[[fill nothing move, 0.0, 2], [sent, 0.0, 2]]"
B00S09PULC,[0.8949],[5],"[[use, thing, couple, year, time, come, preattached, case, work, beyond]]","[[use thing couple year time come preattached case work beyond, 0.8949, 5]]"
B00S32DHTS,[-0.2755],[1],"[[item, look, nothing, picture]]","[[item look nothing picture, -0.2755, 1]]"
B00S8L6S6S,"[0.7056, 0.9557, -0.7796, -0.3818, 0.7899]","[5, 5, 1, 1, 5]","[[cant, believe, glass, tell, screen, protector, instal, center, others, say, infact, easier, protector, use, watch, get, thisbr, come, screen, protector, application, tool, anti, sticker, microfiber, cloth, anti, scratch, removing, squeegee, warranty], [adherence], [piece, crap, come, crack, package, trying, watch], [excellent, product, easy, install, love, great, value], [seller, ship, replacement, part, lifetime, warranty, hassle, screen, great, part, chip, piece, come, look, premium]]","[[cant believe glass tell screen protector instal center others say infact easier protector use watch get thisbr come screen protector application tool anti sticker microfiber cloth anti scratch removing squeegee warranty, 0.7056, 5], [adherence, 0.9557, 5], [piece crap come crack package trying watch, -0.7796, 1], [excellent product easy install love great value, -0.3818, 1], [seller ship replacement part lifetime warranty hassle screen great part chip piece come look premium, 0.7899, 5]]"
B00SR7K5SA,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B00SS906UO,[-0.2755],[1],"[[doesnt, fit]]","[[doesnt fit, -0.2755, 1]]"
B00SUG2BBW,[-0.5515],[5],"[[work, kind, fit, card, print]]","[[work kind fit card print, -0.5515, 5]]"
B00SWMFEEK,[0.5095],[5],"[[give, phone, place]]","[[give phone place, 0.5095, 5]]"
B00T8WUSDK,"[0.5719, -0.4767, 0.8541, 0.8519, 0.8442]","[5, 1, 5, 5, 5]","[[couldnt, please, call, phone, see, happy, amaze], [whatever, suppose, thank, change, battery, work], [work, great], [perfect], [product]]","[[couldnt please call phone see happy amaze, 0.5719, 5], [whatever suppose thank change battery work, -0.4767, 1], [work great, 0.8541, 5], [perfect, 0.8519, 5], [product, 0.8442, 5]]"
B00T8ZH7CM,[0.4404],[5],"[[quality, excelent, price, deal]]","[[quality excelent price deal, 0.4404, 5]]"
B00TAFNWEC,[0.6249],[5],[[sevice]],"[[sevice, 0.6249, 5]]"
B00TECAXTS,[-0.2755],[1],"[[doesnt, fit, phone]]","[[doesnt fit phone, -0.2755, 1]]"
B00TGXQHT0,[0.4391],[4],"[[look, great, handle, iphone, iwatch, cord, stay, track, suppose, stay]]","[[look great handle iphone iwatch cord stay track suppose stay, 0.4391, 4]]"
B00TJ3DZA6,"[0.6369, 0.7003, 0.836, 0.4754, 0.8999, 0.7751, 0.9359, 0.8706]","[5, 1, 5, 5, 5, 5, 5, 5]","[[case, didnt, take, beauty, phone], [excellent, case, slim, great, grip, look, edge, gold, platinum, color, buy, smokeblack, need, look, case], [bumper, case, ive, suppose, sleek, doesnt, make, super, slim, phone, bulky, charge, headphone, guard, come, film, phone, template, design, product], [case, say], [excellent, case, case, add, texture, button, phone, case, feel, button, phone, add, case, find, ease, pocket, come, handy, im, meeting, phone, go, fit, phone, add, bulk], [slim, case, samsung, galaxy, edge, surprise, didnt, want, something, bulky, delivers, get, smoke, side, goldplatinum, galaxy, edge, smoke, side, back, look, didnt, use, protector, see, help], [case, protector, come, fold, didnt, sit, phone, take, zagg, replace, wasnt, good, idea]]","[[case didnt take beauty phone, 0.6369, 5], [excellent case slim great grip look edge gold platinum color buy smokeblack need look case, 0.7003, 1], [bumper case ive suppose sleek doesnt make super slim phone bulky charge headphone guard come film phone template design product, 0.836, 5], [case say, 0.4754, 5], [excellent case case add texture button phone case feel button phone add case find ease pocket come handy im meeting phone go fit phone add bulk, 0.8999, 5], [slim case samsung galaxy edge surprise didnt want something bulky delivers get smoke side goldplatinum galaxy edge smoke side back look didnt use protector see help, 0.7751, 5], [case protector come fold didnt sit phone take zagg replace wasnt good idea, 0.9359, 5], [, 0.8706, 5]]"
B00TRBBOLC,[0.5405],[1],"[[phone, day, cant, get, bqck, box, fast, love, lg, g, flex, flex, compare, keep, charge, shut, hour]]","[[phone day cant get bqck box fast love lg g flex flex compare keep charge shut hour, 0.5405, 1]]"
B00UKCPFIA,[0.4215],[5],"[[nice, case]]","[[nice case, 0.4215, 5]]"
B00UNQT714,"[0.9099, 0.4927]","[5, 5]","[[product, help, card, organize, compartment, orderbr, tronixpro, phase, transaction]]","[[product help card organize compartment orderbr tronixpro phase transaction, 0.9099, 5], [, 0.4927, 5]]"
B00UPPL5AE,[0.8345],[5],"[[omg, product, expectation, thank, seller, im, love]]","[[omg product expectation thank seller im love, 0.8345, 5]]"
B00UWMCXD8,[0.92],[5],"[[awesome, want, port, wall, charger, build, quality, recommend]]","[[awesome want port wall charger build quality recommend, 0.92, 5]]"
B00V7OR3JO,"[0.0, 0.0, 0.8271, -0.6808, 0.4404, 0.5719]","[5, 5, 5, 3, 5, 5]","[[sleek, case, easy, use], [use, clip, broke, order, replace, broke], [expect], [excellent, case], [need, receive, fashion], [arrive, time, work, nice, holster, option, pay, wireless, price, fit, fine]]","[[sleek case easy use, 0.0, 5], [use clip broke order replace broke, 0.0, 5], [expect, 0.8271, 5], [excellent case, -0.6808, 3], [need receive fashion, 0.4404, 5], [arrive time work nice holster option pay wireless price fit fine, 0.5719, 5]]"
B00V9ZN8R2,[-0.7579],[2],"[[case, fit, phone, appearance, arrive, color, order, case, broke, time, drop, phone, th, case, sharp, edge, catch, everything, buy, case, disappoint]]","[[case fit phone appearance arrive color order case broke time drop phone th case sharp edge catch everything buy case disappoint, -0.7579, 2]]"
B00VB0KSVY,[0.3612],[3],"[[deliver, time]]","[[deliver time, 0.3612, 3]]"
B00VCW8WGE,"[0.8834, 0.8548, -0.0516]","[5, 5, 2]","[[headphone, great, soundin, office, find, sound, isolating, use, itstylish, shape, likebr, earphone, control, work, buy, soonbr, cord, longbr, good, product, price, ], [stop, work, reason, less, month, moderate, use, everything, include, sound, quality, use, phone, call], [price, great, earphone, job, quality]]","[[headphone great soundin office find sound isolating use itstylish shape likebr earphone control work buy soonbr cord longbr good product price , 0.8834, 5], [stop work reason less month moderate use everything include sound quality use phone call, 0.8548, 5], [price great earphone job quality, -0.0516, 2]]"
B00VQV367Q,"[0.8625, -0.5106]","[5, 4]","[[nice, look, phone, case, fit, phone, red, section, crack, dont, seem, operation, case, im, afraid, get, worse], [case, heavy, duty, protective, drop, phone, time, phone, fine]]","[[nice look phone case fit phone red section crack dont seem operation case im afraid get worse, 0.8625, 5], [case heavy duty protective drop phone time phone fine, -0.5106, 4]]"
B00VVPGWQY,[0.7351],[5],"[[perfect, oem, fit]]","[[perfect oem fit, 0.7351, 5]]"
