B0007WRQVC,[0.0],[5],"[[describe, work]]","[[describe work, 0.0, 5]]"
B007WAWHLQ,"[0.9072, 0.7814]","[4, 5]","[[son, love, look, safe, time], [case, pricebr, br, rubberlike, material, smooth, edge, make, grab, inside, piece, rugged, allowing, drop, absorb, case, excess, edge, problem, face, inside, case, bear, take, adjustment, need, take, sincebr, br, plastic, cover, hole, port, cover, everything, secure, fit, dirt, stay, nicebr, br, there, protector, oh, boy, screen, protector, notice, easily, wearandtear, inside, pocket, fade, appearance, look, dirty, make, screen, lightbr, br, frame, ridge, side, top, screen, example, close, ad, corner, edge, play, game, involve, tap, location, stubby, finger, ridge, seem, br, annoy, thing, protector, meet, screen, push, harder, touch, screen, register, annoy, fix, problem, take, handy, pocket, knife, find, screen, protector, secure, frame, couple, dab, cheap, easily, pry, plasticbr, br, great, buy, cheap, price, happy, purchase]]","[[son love look safe time, 0.9072, 4], [case pricebr br rubberlike material smooth edge make grab inside piece rugged allowing drop absorb case excess edge problem face inside case bear take adjustment need take sincebr br plastic cover hole port cover everything secure fit dirt stay nicebr br there protector oh boy screen protector notice easily wearandtear inside pocket fade appearance look dirty make screen lightbr br frame ridge side top screen example close ad corner edge play game involve tap location stubby finger ridge seem br annoy thing protector meet screen push harder touch screen register annoy fix problem take handy pocket knife find screen protector secure frame couple dab cheap easily pry plasticbr br great buy cheap price happy purchase, 0.7814, 5]]"
B0089JZJO6,[0.8678],[5],"[[quality, nice, appearance, fit, phone]]","[[quality nice appearance fit phone, 0.8678, 5]]"
B008AZU4AS,[0.6701],[5],"[[week, br, provide, excellent, charge, wait, phone, engage, battery, matter, gone, get, charge, got, warm, charge, thats, considering, return, battery, get, hold]]","[[week br provide excellent charge wait phone engage battery matter gone get charge got warm charge thats considering return battery get hold, 0.6701, 5]]"
B008JC82BA,"[0.431, 0.6249]","[3, 5]",[[awesome]],"[[awesome, 0.431, 3], [, 0.6249, 5]]"
B008KS8XYE,[0.6249],[5],"[[product, expect]]","[[product expect, 0.6249, 5]]"
B008P2GPH2,[0.8625],[5],"[[fit, jeep, cherokee, installation, easy]]","[[fit jeep cherokee installation easy, 0.8625, 5]]"
B0091C7IKI,"[0.5719, 0.8316]","[5, 5]","[[otter, box, perfect, condition, ship, price], [husband, love]]","[[otter box perfect condition ship price, 0.5719, 5], [husband love, 0.8316, 5]]"
B0098I8S7C,"[-0.8176, 0.0]","[1, 1]","[[work, ipod, buy, product, griffin, run, product, garbage], [look, total, waste, money, connector, wire, charge, phone]]","[[work ipod buy product griffin run product garbage, -0.8176, 1], [look total waste money connector wire charge phone, 0.0, 1]]"
B009CW6YUM,[0.6249],[5],[[speaker]],"[[speaker, 0.6249, 5]]"
B009KZ35TO,[-0.8361],[1],"[[dont, get, headset, great, build, quality, annoy, mute, voice, message, enable, mute, deal, breaker, annoy, conference, call, affect, productivity, use, device, esp, muteunmute, plantronics, go, br, contact, plantronics, customer, support, say, solution, timeline, fixedbr, redicoulus, seem, pure, complecancy, give, know, problem, impacting, productivity, amound, people, complainingbr, time, plantronics, learn, way, buy, product, ]]","[[dont get headset great build quality annoy mute voice message enable mute deal breaker annoy conference call affect productivity use device esp muteunmute plantronics go br contact plantronics customer support say solution timeline fixedbr redicoulus seem pure complecancy give know problem impacting productivity amound people complainingbr time plantronics learn way buy product , -0.8361, 1]]"
B009LXYBFC,[0.9186],[5],"[[purple, case, iphone, everyone, love, awesome]]","[[purple case iphone everyone love awesome, 0.9186, 5]]"
B009LZNM3M,[-0.4767],[1],[[color]],"[[color, -0.4767, 1]]"
B00AD5KK7K,"[0.3612, 0.5719, 0.6249, 0.6249, 0.8519, 0.6908, 0.9091]","[1, 4, 5, 5, 5, 4, 4]","[[work, great, travel], [nice, product, good, price], [love], [product, battery, life, make, sure, charge, nigth, lot, scratch, dent, thats, im, xd], [perfect], [work, great], [work, week, doesnt, charge, last, year]]","[[work great travel, 0.3612, 1], [nice product good price, 0.5719, 4], [love, 0.6249, 5], [product battery life make sure charge nigth lot scratch dent thats im xd, 0.6249, 5], [perfect, 0.8519, 5], [work great, 0.6908, 4], [work week doesnt charge last year, 0.9091, 4]]"
B00AFSN9QE,"[-0.4767, 0.5719, 0.3384, 0.8655]","[2, 5, 5, 5]","[[wow, ipod, touch, case, buybr, recommend, people, atendancy, drop, thing], [buy, nephew, love], [work, bit, clap, start, break, circle, show, apple, symbol, start, crack, drove, crazy, use, different, case], [work]]","[[wow ipod touch case buybr recommend people atendancy drop thing, -0.4767, 2], [buy nephew love, 0.5719, 5], [work bit clap start break circle show apple symbol start crack drove crazy use different case, 0.3384, 5], [work, 0.8655, 5]]"
B00B8EGSDA,"[0.743, 0.2732]","[4, 5]","[[battery, perfect, replacement, battery, come, lumen, shipping, take, bit, longer, hop], [cheap, work]]","[[battery perfect replacement battery come lumen shipping take bit longer hop, 0.743, 4], [cheap work, 0.2732, 5]]"
B00BMDNT3O,[0.7351],[5],"[[perfect, fit]]","[[perfect fit, 0.7351, 5]]"
B00C3C195I,[-0.4767],[1],"[[case, break, took, package]]","[[case break took package, -0.4767, 1]]"
B00CLNI49S,[0.3612],[5],"[[buy, cable, fit, phone]]","[[buy cable fit phone, 0.3612, 5]]"
B00COH8D1A,"[0.6682, 0.4404]","[5, 5]","[[love, color], [protection, phone]]","[[love color, 0.6682, 5], [protection phone, 0.4404, 5]]"
B00CV2M6CK,"[0.6249, 0.5994]","[5, 5]","[[super, fast, ship, describe], [quality]]","[[super fast ship describe, 0.6249, 5], [quality, 0.5994, 5]]"
B00CXN1BH8,[0.6249],[5],"[[awesome, product, fast, ship]]","[[awesome product fast ship, 0.6249, 5]]"
B00D59FOL8,[0.8777],[5],"[[awesome, product, cute, design, receive, ton, compliment]]","[[awesome product cute design receive ton compliment, 0.8777, 5]]"
B00DCESLIE,[0.743],[5],"[[case, fit, hold, drop, phone, drop, time, ok]]","[[case fit hold drop phone drop time ok, 0.743, 5]]"
B00DRCHVY6,[0.0],[1],[[use]],"[[use, 0.0, 1]]"
B00E9G17LW,[0.6597],[5],"[[work, expect, timing, shipping]]","[[work expect timing shipping, 0.6597, 5]]"
B00E9QJWYG,[0.2382],[4],"[[screen, protector, good, quality, phone, screen, cover, case]]","[[screen protector good quality phone screen cover case, 0.2382, 4]]"
B00EDWSASK,[0.6369],[5],"[[power, button, side, requires, press, operate, case]]","[[power button side requires press operate case, 0.6369, 5]]"
B00EZ69E34,"[-0.886, 0.8821, -0.5267]","[1, 5, 1]","[[sprint, start, trouble, hold, charge, decide, attempt, fix, board, receive, break, contact, give, power, speakerphone, speaker, speaker, use, ringer, volume, music, noise, make, talking, phone, problem, contact, seller, deliver, onebr, br, degree, computer, science, do, amount, laptop, desktop, repair, work, circuit, board, havent, work, phone, tablet, lot, instruction, online, show, replace, buy, tool, doubt, skill, check, facebook, chance, friend, put, minute, work, save, buying, phone, caveat, make, buy, board, sphl, sprint, model, verizon, different, model, att, board, case, youll, notice, real, fast, isnt, go, fit], [try, seller, audio, second, audio, pickup, require, yell, phone, order, person, hear, reinstall, oe, part, charging, port, audio, issuesbr, br, go, try, product], [goodafter, replace, part, microphone, stop, workingafter, month]]","[[sprint start trouble hold charge decide attempt fix board receive break contact give power speakerphone speaker speaker use ringer volume music noise make talking phone problem contact seller deliver onebr br degree computer science do amount laptop desktop repair work circuit board havent work phone tablet lot instruction online show replace buy tool doubt skill check facebook chance friend put minute work save buying phone caveat make buy board sphl sprint model verizon different model att board case youll notice real fast isnt go fit, -0.886, 1], [try seller audio second audio pickup require yell phone order person hear reinstall oe part charging port audio issuesbr br go try product, 0.8821, 5], [goodafter replace part microphone stop workingafter month, -0.5267, 1]]"
B00F2COK5C,[0.5719],[5],"[[perfect, allways]]","[[perfect allways, 0.5719, 5]]"
B00F7TWCIM,[0.3013],[3],"[[case, nice, fall, cant, protect, get, phone, cover]]","[[case nice fall cant protect get phone cover, 0.3013, 3]]"
B00F9EF5KC,[0.9538],[5],"[[quality, daughter, love, fit, phone, seem, case, layer, soft, silicone, layer, nice]]","[[quality daughter love fit phone seem case layer soft silicone layer nice, 0.9538, 5]]"
B00FUTB4U6,[-0.2732],[5],"[[look, face, oh, case, simple, put, prove, sturdy, phone, drop, waist, height]]","[[look face oh case simple put prove sturdy phone drop waist height, -0.2732, 5]]"
B00FWLWQYU,[0.5616],[4],"[[purchase, gift, niece, ipod, love, design, color, drop, ipod, test, protective, dont, want, test, product, appear, take, majority, hit, star, get, line, snap]]","[[purchase gift niece ipod love design color drop ipod test protective dont want test product appear take majority hit star get line snap, 0.5616, 4]]"
B00FX68XWI,[0.5859],[5],"[[amaze, come, time, come, pen, screen, protector]]","[[amaze come time come pen screen protector, 0.5859, 5]]"
B00G32SGCI,[0.6245],[5],"[[fiance, love, case, buy, thing, solid, protect, phone, difficult, deal, breaker]]","[[fiance love case buy thing solid protect phone difficult deal breaker, 0.6245, 5]]"
B00G964FR8,[0.0],[1],"[[break, phone, screen, whenever, put]]","[[break phone screen whenever put, 0.0, 1]]"
B00GFDHNLA,"[-0.4404, 0.9615, 0.8828, 0.5719, -0.6432, 0.1531]","[5, 5, 5, 5, 3, 5]","[[use, trip, hostel, love, way, use, device, charge, battery, bank, hotel, stop, point, charge, device, time, feature, charge, device, work, port, good, ipad, devicebr, br, benefit, cost, lot, iphone, ipad, device, etc, etc, plain, site, charge, lot, worry, ipad, see, charger], [light, open, box, weve, use, month, excellent, charger, charge, wife, iphone, time, charge, havent, test, love, dont, worry, finding, outlet, take, theme, park, great, take, photo, want, phone], [excellent, product], [ton, capacity, charge, device, fast, take, time, get, device, charge, capacity], [ill, start, say, product, work, feel, sturdy, expect, people, say, bit, chose, want, something, last, charge, droid, turbo, last, charge, extra, feature, others, flashlight, screen, flashlight, wont, get, example, wouldnt, use, walk, dark, beam, doesnt, go, need, see, thats, problembr, br, reason, star, display, get, cut, seems, isnt, room, display, everything, dealbreaker, seem, design, choice, mean, charge, phone, screen, cut, display, say, reason, whole, thing, seem, sturdy, silver, part, mine, pop, end, line, black, part, end, device, seen, complaint, problem], [quick, charge, keep, charge, get, charge, galaxy, edge, wish, get, sooner, carry, purse, charge, walk, thru, mall]]","[[use trip hostel love way use device charge battery bank hotel stop point charge device time feature charge device work port good ipad devicebr br benefit cost lot iphone ipad device etc etc plain site charge lot worry ipad see charger, -0.4404, 5], [light open box weve use month excellent charger charge wife iphone time charge havent test love dont worry finding outlet take theme park great take photo want phone, 0.9615, 5], [excellent product, 0.8828, 5], [ton capacity charge device fast take time get device charge capacity, 0.5719, 5], [ill start say product work feel sturdy expect people say bit chose want something last charge droid turbo last charge extra feature others flashlight screen flashlight wont get example wouldnt use walk dark beam doesnt go need see thats problembr br reason star display get cut seems isnt room display everything dealbreaker seem design choice mean charge phone screen cut display say reason whole thing seem sturdy silver part mine pop end line black part end device seen complaint problem, -0.6432, 3], [quick charge keep charge get charge galaxy edge wish get sooner carry purse charge walk thru mall, 0.1531, 5]]"
B00GIY0PXO,[0.924],[5],"[[battery, case, add, phone, isnt, problem, work, hour, shift, play, music, video, watch, movie, end, shift, im, percent, day, useage]]","[[battery case add phone isnt problem work hour shift play music video watch movie end shift im percent day useage, 0.924, 5]]"
B00GPGF1YI,[0.5719],[5],"[[excellent, product, teenager]]","[[excellent product teenager, 0.5719, 5]]"
B00GT3QTSO,[0.7972],[5],"[[amaze, quality, mega, man, dont, buy]]","[[amaze quality mega man dont buy, 0.7972, 5]]"
B00GX61GVW,[-0.6989],[3],"[[item, arrive, describe, thing, disappoint, isnt, loud, phone, space, hold, charge]]","[[item arrive describe thing disappoint isnt loud phone space hold charge, -0.6989, 3]]"
B00HHKGQFE,[0.2023],[4],"[[buy, fatherinlaw, work, fine, cell, phone]]","[[buy fatherinlaw work fine cell phone, 0.2023, 4]]"
B00HHR4YSI,[-0.6007],[1],"[[regret, return, didnt, look, picture, crook, make, wonder, return]]","[[regret return didnt look picture crook make wonder return, -0.6007, 1]]"
B00HITR7DE,[0.2247],[4],"[[work, stick, bezel, frame, case, ore, see, light]]","[[work stick bezel frame case ore see light, 0.2247, 4]]"
B00HT6GGK6,"[0.8934, 0.9455]","[5, 5]","[[otterbox, camo, lover, enjoy], [instruction, little, confuse, get, apart, get, phone, get, hurdle, great, case, clip, jog, jogging, short, dont, pocket]]","[[otterbox camo lover enjoy, 0.8934, 5], [instruction little confuse get apart get phone get hurdle great case clip jog jogging short dont pocket, 0.9455, 5]]"
B00HVI3CO0,[0.4404],[5],[[thanks]],"[[thanks, 0.4404, 5]]"
B00IABNF3A,[0.9661],[3],"[[love, case, cover, stain, wipe, wetwipe, mark, month, casing, phone, loose, mean, use, wallet, sturdy, use, wallet, feature, time, total, finehowever, get, pay, case, decent, price, last, month, start, deteriorate, bullet, get, otterbox, color, case, cute, summer]]","[[love case cover stain wipe wetwipe mark month casing phone loose mean use wallet sturdy use wallet feature time total finehowever get pay case decent price last month start deteriorate bullet get otterbox color case cute summer, 0.9661, 3]]"
B00IODNLYC,"[0.8442, 0.0, 0.4215, -0.1043, 0.4404, 0.6115, 0.7717]","[5, 5, 5, 5, 5, 4, 5]","[[excelent], [iphone, case, arrive, time, fit], [happy, purchase], [case, look, smooth, slip, pocket, absorb, shock, drop], [delivery, describe, nice, case], [advertise, fast, shipping, slim, case, good, protection, clear, color, sophisticate, look], [product, fast, delivery, vendor]]","[[excelent, 0.8442, 5], [iphone case arrive time fit, 0.0, 5], [happy purchase, 0.4215, 5], [case look smooth slip pocket absorb shock drop, -0.1043, 5], [delivery describe nice case, 0.4404, 5], [advertise fast shipping slim case good protection clear color sophisticate look, 0.6115, 4], [product fast delivery vendor, 0.7717, 5]]"
B00IS6MLU0,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B00ITILPZ4,"[0.1531, 0.8807, 0.981, -0.2732, -0.4939, -0.0928, 0.6821, -0.0693, 0.5574, 0.631, 0.0, -0.8784, 0.6164, 0.0, 0.4215, 0.6474, 0.6249, -0.3818]","[1, 5, 5, 5, 1, 1, 3, 5, 5, 5, 2, 1, 5, 5, 5, 5, 5, 3]","[[stop, accept, charge, month, plug, store, energy, light, come, blink, get], [keep, turn], [purchase, charger, year, everyone, want, love, purchase, gift, work, android, phone, buy, iphone, cord], [kinda, iffy, asus, zenfone, doesnt, fast, charge, anything, charge, fine, price, yea, dont, recall, get, fast, charge, user, state, depend, phonebr, br, update, photo, add, show, doesnt, fast, charge, asus, zenfone, gb, ram, version], [charge, super], [product, buy, husband, charge, mine, month, use, weekend, recharge, phone, husband, us, lot, time, hell, charge, phone, friend, phone, time, convenient, charge, bluetooth, speaker, phone, time, work, evening, recommend, anyone, thats, con, mebr, br, update, husband, unit, die, month, doesnt, charge, change, review], [purchase, older, pilot, x, gift, lose, couple, got, wet, die, buy, g, model, stylish, thinner, older, model, regard, x, model, get, wet, nice, thing, make, water, x, drop, puddle, pick, right, gone, g, appear, seal, im, think, make, cell, phone, survive, drop, water, able, simpler, power, supply, im, give, star, reason, give], [convenient, phone, sleek], [miniusb, port, defective, charge, item, wont, connect, charge, wall, prop, angle, put, weight, connection, mini, usb, port, collapse, unit, make, pretty, shoddybr, br, update, company, sent, unit, ask, return, break, give, unit, chance, redemption, update], [use, product, time, travel, charge, charge, phone, time, last, sure, run, charge, power, recommend, product], [usb, battery, wonderful, value], [work, great], [product, work, month, longer, charge, disappoint, return, month, dont, waste, money], [airplane, bus, trip], [teenager, fast, work, buying, charger], [buy, thing, stop, work, connector, get, unit, wont, charge, piece, junk], [product, stop, charge, month, time, chance, return, time, expire, company, honor, return, sent, send, break, love, size, product, verse, shape, work, iphone, sizebr, br, recommend, company, anyone, give, christmas, giftsbr, thanks, poweraddbr, joe, beniche], [sturdy, bit, heavy, charger, charging, device]]","[[stop accept charge month plug store energy light come blink get, 0.1531, 1], [keep turn, 0.8807, 5], [purchase charger year everyone want love purchase gift work android phone buy iphone cord, 0.981, 5], [kinda iffy asus zenfone doesnt fast charge anything charge fine price yea dont recall get fast charge user state depend phonebr br update photo add show doesnt fast charge asus zenfone gb ram version, -0.2732, 5], [charge super, -0.4939, 1], [product buy husband charge mine month use weekend recharge phone husband us lot time hell charge phone friend phone time convenient charge bluetooth speaker phone time work evening recommend anyone thats con mebr br update husband unit die month doesnt charge change review, -0.0928, 1], [purchase older pilot x gift lose couple got wet die buy g model stylish thinner older model regard x model get wet nice thing make water x drop puddle pick right gone g appear seal im think make cell phone survive drop water able simpler power supply im give star reason give, 0.6821, 3], [convenient phone sleek, -0.0693, 5], [miniusb port defective charge item wont connect charge wall prop angle put weight connection mini usb port collapse unit make pretty shoddybr br update company sent unit ask return break give unit chance redemption update, 0.5574, 5], [use product time travel charge charge phone time last sure run charge power recommend product, 0.631, 5], [usb battery wonderful value, 0.0, 2], [work great, -0.8784, 1], [product work month longer charge disappoint return month dont waste money, 0.6164, 5], [airplane bus trip, 0.0, 5], [teenager fast work buying charger, 0.4215, 5], [buy thing stop work connector get unit wont charge piece junk, 0.6474, 5], [product stop charge month time chance return time expire company honor return sent send break love size product verse shape work iphone sizebr br recommend company anyone give christmas giftsbr thanks poweraddbr joe beniche, 0.6249, 5], [sturdy bit heavy charger charging device, -0.3818, 3]]"
B00J21G6MY,[-0.4767],[1],[[break]],"[[break, -0.4767, 1]]"
B00J62FBUW,"[0.4927, 0.9349, 0.7351, 0.6369]","[4, 5, 5, 5]","[[super, install, great, job, keep, gear, fit, protect, go, purchase, tablet, excellent, product, money, update, put, screen, protector, condition, imagine, scratch, stain, im, go, buy, tablet, get], [job, protect, watch, need, buy, spray, sunscreen, think, chemical, reaction, begin, hour, come, completelybr, br, aside, problem, work, wouldnt, know, attach, smooth, touch], [perfect, fit], [suppose, protects, watch, apply]]","[[super install great job keep gear fit protect go purchase tablet excellent product money update put screen protector condition imagine scratch stain im go buy tablet get, 0.4927, 4], [job protect watch need buy spray sunscreen think chemical reaction begin hour come completelybr br aside problem work wouldnt know attach smooth touch, 0.9349, 5], [perfect fit, 0.7351, 5], [suppose protects watch apply, 0.6369, 5]]"
B00JAXSQBI,"[0.6249, 0.6249, 0.8176, -0.1027, -0.5719]","[4, 5, 5, 1, 1]","[[wasnt, expect, make, cheap, guess, get, pay], [otterbox, defender, cost, muchi, get, cheap], [quality, protection, price], [quality], [hate, rip, day]]","[[wasnt expect make cheap guess get pay, 0.6249, 4], [otterbox defender cost muchi get cheap, 0.6249, 5], [quality protection price, 0.8176, 5], [quality, -0.1027, 1], [hate rip day, -0.5719, 1]]"
B00JB0O0HY,"[-0.6643, 0.2955, 0.4404, 0.8271, 0.25, 0.9795, 0.5267, 0.6124]","[4, 4, 5, 5, 1, 5, 5, 5]","[[come, promise, worth, price], [fit, look, want], [case, money], [construct, price], [receive, case, week, seems, sturdy, problem], [fit, impede, use, shell, challenge, clip, stretchy, cover, done, dont, love, job, protect, phone, advertisedbr, br, buy, seller], [piece, put, slippery, side, make, phone, hand, get, case, store, feel], [case, fit, position, cutout, button, charger, color, true, picture, link, case, make, nice, rubber, noslide, exterior, good, grip, buy, wont, disappoint]]","[[come promise worth price, -0.6643, 4], [fit look want, 0.2955, 4], [case money, 0.4404, 5], [construct price, 0.8271, 5], [receive case week seems sturdy problem, 0.25, 1], [fit impede use shell challenge clip stretchy cover done dont love job protect phone advertisedbr br buy seller, 0.9795, 5], [piece put slippery side make phone hand get case store feel, 0.5267, 5], [case fit position cutout button charger color true picture link case make nice rubber noslide exterior good grip buy wont disappoint, 0.6124, 5]]"
B00JGNR9WE,[0.0352],[4],"[[need, rubber, thing, drop, case, wont, smash, screen]]","[[need rubber thing drop case wont smash screen, 0.0352, 4]]"
B00JM1RLMS,[-0.6908],[1],"[[think, perfect, adapter, iphone, charger, keep, handbag, lot, deal, system, work, start, notice, phone, charge, blame, charger, think, poor, battery, life, realize, charger, work, fine, use, kooinn, dud]]","[[think perfect adapter iphone charger keep handbag lot deal system work start notice phone charge blame charger think poor battery life realize charger work fine use kooinn dud, -0.6908, 1]]"
B00JQSXGNA,[0.0],[1],"[[letter, describe]]","[[letter describe, 0.0, 1]]"
B00JV1GLTI,[0.836],[5],"[[buy, color, cheap, id, trade, bit, break, year, protect, phone, love, color, beach, hate, phone, cover, wait, upgrade, cover, grand]]","[[buy color cheap id trade bit break year protect phone love color beach hate phone cover wait upgrade cover grand, 0.836, 5]]"
B00JV3HCQM,[-0.0772],[1],"[[use, maybe, time, start, give, problem]]","[[use maybe time start give problem, -0.0772, 1]]"
B00K00RIK0,[0.7654],[5],"[[everything, case, order, color, convenience, wallet, attach, worry, purse, bulky]]","[[everything case order color convenience wallet attach worry purse bulky, 0.7654, 5]]"
B00K0QQ6NO,[0.3612],[1],"[[rip, buy, work, day, whole, day, work, rate, star]]","[[rip buy work day whole day work rate star, 0.3612, 1]]"
B00K5CGRTQ,[0.2732],[5],[[work]],"[[work, 0.2732, 5]]"
B00KCALJZS,"[0.9062, 0.4404]","[5, 4]","[[product], [fit, phone, husband, like, lot, seem, help, key, turn, sound]]","[[product, 0.9062, 5], [fit phone husband like lot seem help key turn sound, 0.4404, 4]]"
B00KF6ANNS,[-0.6017],[2],"[[impress, cover, guess, expect, something, blame, want, something, simple]]","[[impress cover guess expect something blame want something simple, -0.6017, 2]]"
B00KHVNFUY,[0.5719],[5],"[[case, year, hold]]","[[case year hold, 0.5719, 5]]"
B00KQVP16G,"[0.0, 0.7906, 0.4404, 0.7776, -0.4664, -0.7975, 0.2023, -0.4215, 0.5936, 0.0, 0.4404, 0.0, 0.4692]","[5, 5, 5, 5, 5, 5, 5, 1, 2, 5, 5, 2, 3]","[[product], [charge, battery, capacity, problem, main, concern, product, broke, less, month, use, satisfy, way, replace, dont, look, purchase], [work, good], [phone, wont, charge, mine, get, galaxy, dedicate, player], [stop, work, time, lawsuit], [charge, battery, broke, monthsi], [work, indicator, light, let, know, do, charge, charging, dead, battery, take, hour, havent, problem, weeks, everyday, use], [need], [fine, product, service, battery, expect], [prong, fell, month, use], [month, suppose], [broke, bieber], [noot, battery, charger, compact, efficient, work, charm]]","[[product, 0.0, 5], [charge battery capacity problem main concern product broke less month use satisfy way replace dont look purchase, 0.7906, 5], [work good, 0.4404, 5], [phone wont charge mine get galaxy dedicate player, 0.7776, 5], [stop work time lawsuit, -0.4664, 5], [charge battery broke monthsi, -0.7975, 5], [work indicator light let know do charge charging dead battery take hour havent problem weeks everyday use, 0.2023, 5], [need, -0.4215, 1], [fine product service battery expect, 0.5936, 2], [prong fell month use, 0.0, 5], [month suppose, 0.4404, 5], [broke bieber, 0.0, 2], [noot battery charger compact efficient work charm, 0.4692, 3]]"
B00KTG5T74,[0.6249],[5],[[case]],"[[case, 0.6249, 5]]"
B00KVPTJ7O,[0.4939],[5],"[[charging, car, car, charger, way, solve, problem]]","[[charging car car charger way solve problem, 0.4939, 5]]"
B00L4KNBDI,[0.2023],[5],"[[charge, jabra, separate, usb, plug, came]]","[[charge jabra separate usb plug came, 0.2023, 5]]"
B00LBK3870,[-0.0717],[5],"[[buy, hook, stereo, computer, work, far, appear, crack, spot]]","[[buy hook stereo computer work far appear crack spot, -0.0717, 5]]"
B00LHHM8XC,[0.4404],[5],[[cover]],"[[cover, 0.4404, 5]]"
B00LHJOK5O,[0.0],[4],"[[work, expect, issue]]","[[work expect issue, 0.0, 4]]"
B00LPUPK3G,[0.4215],[4],"[[everything, describe, seller, mention, sim, card, need]]","[[everything describe seller mention sim card need, 0.4215, 4]]"
B00LUM9Y2C,"[0.1025, 0.7494]","[2, 5]","[[flimsy, dont, phone, nice, switch, color, day], [get, daughter, wouldnt, upset, black, phone, love, switch, color, time]]","[[flimsy dont phone nice switch color day, 0.1025, 2], [get daughter wouldnt upset black phone love switch color time, 0.7494, 5]]"
B00M16DXKK,"[0.0, 0.0]","[5, 4]","[[use, twice, work, expect, take, time, charge, phone], [video, reviewbr, br, httpsyoutubeczpjmikovee]]","[[use twice work expect take time charge phone, 0.0, 5], [video reviewbr br httpsyoutubeczpjmikovee, 0.0, 4]]"
