9714414997,[0.0],[5],"[[stream, netflixhulu, medium, phone]]","[[stream netflixhulu medium phone, 0.0, 5]]"
B0027DPM1U,"[0.4404, -0.1027]","[5, 5]","[[connects, audio, interface, hard, using, year, issue], [cable]]","[[connects audio interface hard using year issue, 0.4404, 5], [cable, -0.1027, 5]]"
B0028MQWVE,[0.6249],[5],[[application]],"[[application, 0.6249, 5]]"
B002AT2N36,"[0.4927, 0.6249, 0.2732, 0.0]","[5, 4, 5, 1]","[[didnt, work, white, dot, red, receive], [expect, price], [get, hold, charge, work], [phone, accessory, work]]","[[didnt work white dot red receive, 0.4927, 5], [expect price, 0.6249, 4], [get hold charge work, 0.2732, 5], [phone accessory work, 0.0, 1]]"
B003XU78OU,[-0.6938],[1],"[[ok, distance, hiker, train, trip, mile, day, work, say, want, device, accurate, isnt, support, time, plug, unit, software, want, firmware, great, course, thats, thing, disappoint, chat, figure, get, work, use, forum, try, everything, get, done, keep, give, error, connect, answer, minutes, say, hello, review, question, update, firmware, reset, odometer, question, lacking, substance, make, something, box, start, use, dont, geocache, feature, useless, camera, joke, hello, call, want, camera, gps, grip, magellan, support, rude, cut, chat, problem, wasnt, solve, phone, support, rude, inconsiderate, expect, top, notch, support, wasnt, whim, purchase, guess, thank, went, garmin, unit, im, support, feature, stay, device]]","[[ok distance hiker train trip mile day work say want device accurate isnt support time plug unit software want firmware great course thats thing disappoint chat figure get work use forum try everything get done keep give error connect answer minutes say hello review question update firmware reset odometer question lacking substance make something box start use dont geocache feature useless camera joke hello call want camera gps grip magellan support rude cut chat problem wasnt solve phone support rude inconsiderate expect top notch support wasnt whim purchase guess thank went garmin unit im support feature stay device, -0.6938, 1]]"
B004LURZ9E,[-0.3816],[3],"[[suppose, sturdy, person, wear, phone, case, work, wellbr, caught, sideways, get, van, tore, belt, loop, holder, fixing, dont, packaging, soin, trash]]","[[suppose sturdy person wear phone case work wellbr caught sideways get van tore belt loop holder fixing dont packaging soin trash, -0.3816, 3]]"
B005HB1QT6,[0.0],[1],"[[didnt, work, get, message, didnt, charge, get, service, provider]]","[[didnt work get message didnt charge get service provider, 0.0, 1]]"
B006916VMU,[0.0],[1],"[[work, wouldnt, buy]]","[[work wouldnt buy, 0.0, 1]]"
B006GAP82S,"[0.3384, 0.743]","[4, 3]","[[excellent, holster, price, wife, lose, holster, expect, blackberrybranded, replacement, cost, finesturdy, recommend, name, brand, sturdy, replacement, holster], [brand, oem, need, replacement, came, phone, go, vinyl, version, smooth, grain, matte, finish, grain, leather, variant, update, dec, tab, start, crack]]","[[excellent holster price wife lose holster expect blackberrybranded replacement cost finesturdy recommend name brand sturdy replacement holster, 0.3384, 4], [brand oem need replacement came phone go vinyl version smooth grain matte finish grain leather variant update dec tab start crack, 0.743, 3]]"
B006QYPG94,[0.0],[5],[[expect]],"[[expect, 0.0, 5]]"
B007IWJGZ8,[0.7351],[5],"[[perfect, fit]]","[[perfect fit, 0.7351, 5]]"
B007MTNBSK,[0.8885],[5],"[[sound, amaze, fit, wife, beetle]]","[[sound amaze fit wife beetle, 0.8885, 5]]"
B007SL8E9I,[0.0],[4],"[[satlink, w, lead, meter, finder]]","[[satlink w lead meter finder, 0.0, 4]]"
B0081HMG9M,[-0.1027],[3],"[[phone, battery, memory, space, limit, update, apps]]","[[phone battery memory space limit update apps, -0.1027, 3]]"
B00838DCCO,"[0.7717, 0.7964]","[4, 5]","[[work, make, look, im, part, secret, service], [item, thanks]]","[[work make look im part secret service, 0.7717, 4], [item thanks, 0.7964, 5]]"
B008CVPE8C,"[0.0, -0.7096, 0.4215, 0.0]","[4, 2, 5, 5]","[[expect], [review, state, arent, rigid, design, cap, lift, tension, negates, point, quality], [use, lead, light, bar, nice, product], [purchase]]","[[expect, 0.0, 4], [review state arent rigid design cap lift tension negates point quality, -0.7096, 2], [use lead light bar nice product, 0.4215, 5], [purchase, 0.0, 5]]"
B008D09ONS,[0.9052],[5],"[[screen, talk, point, night, sky, billion, star, crystal, definition, pose, value, take, bit, get, use, samsung]]","[[screen talk point night sky billion star crystal definition pose value take bit get use samsung, 0.9052, 5]]"
B008KNBZP8,[-0.8746],[4],"[[case, company, case, nokia, window, phone, seem, case, case, purchase, samsung, phone, robust, fit, hand, problem, silicone, case, fit, phone, plastic, case, attach, silicone, case, move, bit, cover, port, make, charge, problem, lose, usb, cord, work, phone, fail, use, phone, case, phone, buy, company, start, silicone, case, issue, problem]]","[[case company case nokia window phone seem case case purchase samsung phone robust fit hand problem silicone case fit phone plastic case attach silicone case move bit cover port make charge problem lose usb cord work phone fail use phone case phone buy company start silicone case issue problem, -0.8746, 4]]"
B008ZUJN82,[0.9607],[4],"[[love, wish, kind, preservative, wood, fit, nice, get, compliment, camera, control, interference, give, star, aforementioned, stain, something, wood]]","[[love wish kind preservative wood fit nice get compliment camera control interference give star aforementioned stain something wood, 0.9607, 4]]"
B0099SG2WE,[0.5106],[5],"[[fit, iphone, screen, protector, fine, last, hr, day, work]]","[[fit iphone screen protector fine last hr day work, 0.5106, 5]]"
B0099Z710Y,"[-0.4215, 0.0498]","[3, 3]","[[case, work, ok, rubber, fit], [work, problem]]","[[case work ok rubber fit, -0.4215, 3], [work problem, 0.0498, 3]]"
B009KT9Z26,[0.6697],[5],"[[love, case, iphone, c, work, go, get]]","[[love case iphone c work go get, 0.6697, 5]]"
B009SXAXQQ,[0.7837],[5],"[[protection, phone]]","[[protection phone, 0.7837, 5]]"
B00A7MEJ76,[-0.3182],[1],"[[work, lot, noise, connection, order, union, handset, work, fine, grey, translucent, threw, package, wasnt, return, wasnt]]","[[work lot noise connection order union handset work fine grey translucent threw package wasnt return wasnt, -0.3182, 1]]"
B00A9S6DDQ,"[0.734, 0.5106]","[5, 5]","[[nice, lasting, nice, cover], [look, person]]","[[nice lasting nice cover, 0.734, 5], [look person, 0.5106, 5]]"
B00AE0IK2Q,"[0.7992, 0.296, -0.7732]","[3, 3, 1]","[[charger, dose, work, put, battery, chager, day, charge, halfway, didnt, product, happy], [charge, battery, ok, velcro, tip, time, wall, charger, buy, well], [ok]]","[[charger dose work put battery chager day charge halfway didnt product happy, 0.7992, 3], [charge battery ok velcro tip time wall charger buy well, 0.296, 3], [ok, -0.7732, 1]]"
B00B6DFK8C,[0.9042],[5],"[[love, case, love, flip, bottom, set, base, charger, alarm, clock, case, year, hold]]","[[love case love flip bottom set base charger alarm clock case year hold, 0.9042, 5]]"
B00BYUJL2S,[0.5719],[4],"[[buyer, delivery, prefectbr, wouldve, give, star, find, charge, pull, rubber, plug, timebr, sound, good, clear, bit, louder]]","[[buyer delivery prefectbr wouldve give star find charge pull rubber plug timebr sound good clear bit louder, 0.5719, 4]]"
B00CBAP4TO,[0.4019],[4],"[[enclosure, case, bulky, feel, purse, know, ive, find, phone, compliment]]","[[enclosure case bulky feel purse know ive find phone compliment, 0.4019, 4]]"
B00DCIZKPM,"[-0.7178, -0.81]","[1, 3]","[[broke, weak, bumper, plastic], [look, nice, month, use, bottom, portion, charger, broke, make, bezel, useless, try, contact, spigen, say, say, get, hear, thing, note, issue, ]]","[[broke weak bumper plastic, -0.7178, 1], [look nice month use bottom portion charger broke make bezel useless try contact spigen say say get hear thing note issue , -0.81, 3]]"
B00DI4CZJ4,[0.0],[4],"[[work, shipping]]","[[work shipping, 0.0, 4]]"
B00DOL0DS6,[0.4215],[5],"[[veryyyyyyyyyy, nice, case]]","[[veryyyyyyyyyy nice case, 0.4215, 5]]"
B00DS5ZO4G,"[0.6249, 0.4404]","[5, 5]","[[quick, cheep], [work, great, gas, shipment]]","[[quick cheep, 0.6249, 5], [work great gas shipment, 0.4404, 5]]"
B00DZEWVAA,"[0.92, -0.1689]","[5, 1]","[[product, great, price, pay, arrive, expect, order, th, expect, september, rd, quality, case, dollar, recommend, buy, want, cute, galaxy, outer, space, case], [look, cheap, pay]]","[[product great price pay arrive expect order th expect september rd quality case dollar recommend buy want cute galaxy outer space case, 0.92, 5], [look cheap pay, -0.1689, 1]]"
B00EE7VLIA,[0.9246],[5],"[[look, great, feel, price, case, ive, own]]","[[look great feel price case ive own, 0.9246, 5]]"
B00EEZ6TGQ,[0.9651],[5],"[[color, slip, phone, good, absorb, shock, drop, phone, super, easy, clean, alcohol, wipethe, color, doesnt, fade, chip, phone, case, recommend]]","[[color slip phone good absorb shock drop phone super easy clean alcohol wipethe color doesnt fade chip phone case recommend, 0.9651, 5]]"
B00ELSAZY8,[0.9806],[5],"[[phone, awesome, super, cool, super, slim, find, phone, br, phone, great, phone]]","[[phone awesome super cool super slim find phone br phone great phone, 0.9806, 5]]"
B00ENOBUF8,"[-0.296, 0.3182]","[2, 5]","[[look, picture, material, feel, cheap, flimsy, part, hold, phone, loose, case, receive, return, item], [lovebr, fan]]","[[look picture material feel cheap flimsy part hold phone loose case receive return item, -0.296, 2], [lovebr fan, 0.3182, 5]]"
B00EUVB2C0,"[0.6369, 0.2732, 0.6369, 0.4927]","[4, 5, 5, 5]","[[us, need], [work, charm], [work, price]]","[[us need, 0.6369, 4], [work charm, 0.2732, 5], [work price, 0.6369, 5], [, 0.4927, 5]]"
B00FHHPSX0,[0.0],[1],[[work]],"[[work, 0.0, 1]]"
B00GBILFH2,[0.296],[4],"[[time, white, fade, case, drop, protection, wallet, case]]","[[time white fade case drop protection wallet case, 0.296, 4]]"
B00GUNMCUC,[0.0],[4],"[[case, time]]","[[case time, 0.0, 4]]"
B00H8A4U9W,[-0.4767],[1],"[[product, come, defector, software, date, fail, answer]]","[[product come defector software date fail answer, -0.4767, 1]]"
B00H8AWJ72,"[0.5859, 0.9149]","[5, 5]","[[bit, kit, device, charge, power, pack], [charger, bulky, wire, attach, plug, phone, youre, fumble, force, carry, wire, charge, charge, hold, time, carry, mine, bag, phone, get, charge]]","[[bit kit device charge power pack, 0.5859, 5], [charger bulky wire attach plug phone youre fumble force carry wire charge charge hold time carry mine bag phone get charge, 0.9149, 5]]"
B00HARWNRE,[0.4404],[5],[[product]],"[[product, 0.4404, 5]]"
B00HNC0V7K,[0.0],[1],"[[buggy, doesnt, work, half, time]]","[[buggy doesnt work half time, 0.0, 1]]"
B00HROI09K,[0.765],[5],"[[excellent, whole, year]]","[[excellent whole year, 0.765, 5]]"
B00IASEMJO,[0.3491],[3],"[[buy, replace, seem, get, stretch, velcro, seem, le, year, year, bout, intensive, run, couple, inactivity, year, use, ive, put, mile, seem, thing, happen, fine, thing, arent, build, cheap, replace, year]]","[[buy replace seem get stretch velcro seem le year year bout intensive run couple inactivity year use ive put mile seem thing happen fine thing arent build cheap replace year, 0.3491, 3]]"
B00IGUUKRY,"[0.7717, -0.2263, -0.3786, 0.4675, 0.4215, 0.4404, 0.2023, 0.0]","[5, 2, 2, 3, 5, 4, 4, 5]","[[nice, case, use, different, belt, holster], [case, carrier, quality, bulky], [thanks], [product, kick, stand, super, use, expect, job, great, price, ], [duty, case, realize, wa, buy], [hop, use, look, case, keep, need, hand, put, phone, take, holster, clip, phone, soft, part, case, slide, remove, phone, holster], [case, belt, clip, broke, minutes, amazon, mfr, refund, purchase], [work, fine]]","[[nice case use different belt holster, 0.7717, 5], [case carrier quality bulky, -0.2263, 2], [thanks, -0.3786, 2], [product kick stand super use expect job great price , 0.4675, 3], [duty case realize wa buy, 0.4215, 5], [hop use look case keep need hand put phone take holster clip phone soft part case slide remove phone holster, 0.4404, 4], [case belt clip broke minutes amazon mfr refund purchase, 0.2023, 4], [work fine, 0.0, 5]]"
B00II6GF3O,[0.6249],[4],[[product]],"[[product, 0.6249, 4]]"
B00IKEOIU6,[0.6369],[5],[[case]],"[[case, 0.6369, 5]]"
B00IO1Y4KY,[0.5367],[5],"[[sleek, classy, look, want]]","[[sleek classy look want, 0.5367, 5]]"
B00IRP2328,[0.0],[1],"[[doesnt, week, time, cant, return, fifth]]","[[doesnt week time cant return fifth, 0.0, 1]]"
B00ITX9OU2,[0.584],[5],"[[work, fact, go, way]]","[[work fact go way, 0.584, 5]]"
B00J3XDTUI,[0.296],[4],[[ok]],"[[ok, 0.296, 4]]"
B00JH835MG,"[0.6249, 0.6249]","[5, 5]","[[awesome, case, price, dont, add, size, phone, overall], [awesome, case]]","[[awesome case price dont add size phone overall, 0.6249, 5], [awesome case, 0.6249, 5]]"
B00JQ2IXD4,[0.0],[3],[[work]],"[[work, 0.0, 3]]"
B00JQKCW9C,[-0.3365],[3],"[[color, case, put, stay, snug, dont, scratch, look, time, get]]","[[color case put stay snug dont scratch look time get, -0.3365, 3]]"
B00JW7AXEA,[0.9225],[5],"[[get, phone, im, absolute, clutz, try, carry, hand, didnt, phone, day, phone, slip, pocket, carrying, grocery, land, sidewalk, corner, see, concretebr, br, prosbr, slim, casebr, great, pricebr, br, consbr, week, color, get, dingy, price, intend, job, br]]","[[get phone im absolute clutz try carry hand didnt phone day phone slip pocket carrying grocery land sidewalk corner see concretebr br prosbr slim casebr great pricebr br consbr week color get dingy price intend job br, 0.9225, 5]]"
B00JXYFNJC,"[0.3538, 0.4391, 0.983, 0.6369, 0.6369, 0.5719, 0.5994]","[2, 5, 5, 5, 5, 5, 5]","[[buy, use, bluetooth, drive, job, road, driver, people, talk, say, blueparrot, headset], [severl, model, love, exception, get, use, control], [deal, great, bluetooth, headset, get, girlfriend, model, want, newer, resistant, water, sweat, great, headset, great, price, sound, love, pair, everything, laptop, ipod, samsung, good, get], [product, claim, work, apple, product, call, tech, support, connection, issue, macbook, pro, say, isnt, make, apple, product, android, work, update, iphone, box, state, apple, offer, take, know, get, connect, macbook, keep, product, keep, reconnecting, update, fiddle, doesnt, weve, speak, computer, phone, speaker, unpleasant], [product], [mom, love]]","[[buy use bluetooth drive job road driver people talk say blueparrot headset, 0.3538, 2], [severl model love exception get use control, 0.4391, 5], [deal great bluetooth headset get girlfriend model want newer resistant water sweat great headset great price sound love pair everything laptop ipod samsung good get, 0.983, 5], [product claim work apple product call tech support connection issue macbook pro say isnt make apple product android work update iphone box state apple offer take know get connect macbook keep product keep reconnecting update fiddle doesnt weve speak computer phone speaker unpleasant, 0.6369, 5], [product, 0.6369, 5], [mom love, 0.5719, 5], [, 0.5994, 5]]"
B00K03YZM6,[0.8126],[5],"[[love, case, lightweight, bulky, kickstand, bonus]]","[[love case lightweight bulky kickstand bonus, 0.8126, 5]]"
B00K0UDBEM,[0.8926],[5],"[[super, cute, slide, bit, love]]","[[super cute slide bit love, 0.8926, 5]]"
B00K188SOG,[0.5709],[4],"[[cover, protects, phone]]","[[cover protects phone, 0.5709, 4]]"
B00KC11GIC,[0.7063],[5],"[[daughter, love, week, delivery, estimate, date, surprise, good, product]]","[[daughter love week delivery estimate date surprise good product, 0.7063, 5]]"
B00KFVRWQ4,[-0.4973],[2],"[[corner, arent, protect]]","[[corner arent protect, -0.4973, 2]]"
B00KKIH622,"[0.6249, 0.1154, 0.6705, 0.0]","[5, 3, 4, 3]","[[wayyy, hold, card, wont, stay, shutbr, give, star, wasnt, make, car, gotten, ship, return, fast], [okay, expect, hold, card, say, put, case, end, flimsy, open], [case]]","[[wayyy hold card wont stay shutbr give star wasnt make car gotten ship return fast, 0.6249, 5], [okay expect hold card say put case end flimsy open, 0.1154, 3], [case, 0.6705, 4], [, 0.0, 3]]"
B00KO65LM2,[0.9063],[5],"[[expectation, lack, exposure, ativ, se, phone, receives, case, turn, case, ive, own, fit, phone, perfect, allow, charge, great, buy, ]]","[[expectation lack exposure ativ se phone receives case turn case ive own fit phone perfect allow charge great buy , 0.9063, 5]]"
B00KVBQ87W,[0.9674],[5],"[[case, arrive, time, promise, fit, lg, g, skin, fire, red, phone, look, shiny, protect, screen, protection, add, glass, screen, protector, phone, safe]]","[[case arrive time promise fit lg g skin fire red phone look shiny protect screen protection add glass screen protector phone safe, 0.9674, 5]]"
B00L22JHK4,[0.1695],[4],"[[dont, waste, money, work, thats, say]]","[[dont waste money work thats say, 0.1695, 4]]"
B00L3TQRJ0,[0.2023],[5],"[[order, work, fine]]","[[order work fine, 0.2023, 5]]"
B00L5FIACO,"[0.4404, 0.0516]","[5, 3]","[[problem, programming, good, purchase], [quality, fast, shipping, key, say]]","[[problem programming good purchase, 0.4404, 5], [quality fast shipping key say, 0.0516, 3]]"
B00LH8EFCI,[0.6369],[5],[[use]],"[[use, 0.6369, 5]]"
B00LJ116Z2,[0.8591],[5],"[[style, phone, case, drop, time, phone, kick, break, screen, scratch, kickstand, work, love, stylus, come]]","[[style phone case drop time phone kick break screen scratch kickstand work love stylus come, 0.8591, 5]]"
B00LJKQ1QW,[-0.128],[5],"[[fab, bad, arent, allow, place, anymore]]","[[fab bad arent allow place anymore, -0.128, 5]]"
B00LMX6C6U,[-0.2516],[4],[[loose]],"[[loose, -0.2516, 4]]"
B00LO3PN2M,[0.5574],[4],"[[product, concern, rubber, barrier, protect, edge]]","[[product concern rubber barrier protect edge, 0.5574, 4]]"
B00LOYOL24,"[0.6369, 0.6369]","[5, 5]","[[iphone, case]]","[[iphone case, 0.6369, 5], [, 0.6369, 5]]"
B00LU2JMZ6,"[0.3182, 0.8539, 0.9495, 0.6369]","[1, 5, 5, 5]","[[eh, find, well, case, get, dirty, wayyy, fast], [case], [fit, phone, make, feel, secure, bulky, case, perfect], [fit, difficult, put, remove, smooth, texture, look, appear, picture, button, press, jack, port, remain, otterbox, cheap, plastic, great, quality]]","[[eh find well case get dirty wayyy fast, 0.3182, 1], [case, 0.8539, 5], [fit phone make feel secure bulky case perfect, 0.9495, 5], [fit difficult put remove smooth texture look appear picture button press jack port remain otterbox cheap plastic great quality, 0.6369, 5]]"
B00LVO4IAM,"[0.9454, 0.0, 0.9469, -0.4215]","[4, 5, 4, 1]","[[product, arrive, packaging, sturdy, product, work, describe, galaxy, note, phone, selfie, stick, hold, problem, remote, work, seller, take, care, problem, order, seller, hint, practice, selfie, stick, plan, use, adjust, swivel, head, spring, load, mechanism, hold, phone, adjust, telescope, rod, take, picture, angle, way, want, get, perfect, shot, tie, slip, remote, control, piece, stick, replace, remote], [want], [glance, wonderful, item, come, instruction, pair, remote, ill, revise, review, use, im, star, havent, chance, use, ton], [broke, use, make, cheap, materialsspend, dollar, buy, decent]]","[[product arrive packaging sturdy product work describe galaxy note phone selfie stick hold problem remote work seller take care problem order seller hint practice selfie stick plan use adjust swivel head spring load mechanism hold phone adjust telescope rod take picture angle way want get perfect shot tie slip remote control piece stick replace remote, 0.9454, 4], [want, 0.0, 5], [glance wonderful item come instruction pair remote ill revise review use im star havent chance use ton, 0.9469, 4], [broke use make cheap materialsspend dollar buy decent, -0.4215, 1]]"
B00LWFANNG,[-0.6908],[1],"[[try, use, cable, work, wire, plug, charge, night, remain, battery, indication, cord, work, didnt]]","[[try use cable work wire plug charge night remain battery indication cord work didnt, -0.6908, 1]]"
B00M7WFPZY,[0.5719],[5],"[[daughter, love, case]]","[[daughter love case, 0.5719, 5]]"
B00MBTWI44,[0.807],[5],"[[nice, ipod, fit, feel, place, ipod]]","[[nice ipod fit feel place ipod, 0.807, 5]]"
B00MHBZ2Z8,"[0.8599, 0.2975]","[5, 5]","[[volume, button, press, case], [awesome, case, fit, protection, seem, legit, signal, affect, button, push, happy, case, compare, others, use]]","[[volume button press case, 0.8599, 5], [awesome case fit protection seem legit signal affect button push happy case compare others use, 0.2975, 5]]"
B00MHIZ7JW,"[0.6369, 0.8548, 0.9081]","[5, 5, 5]","[[case, cute, love, cover], [buy, case, phone, rubber, protects, phone, drop, quality]]","[[case cute love cover, 0.6369, 5], [buy case phone rubber protects phone drop quality, 0.8548, 5], [, 0.9081, 5]]"
B00MHV8X5O,[0.7845],[5],"[[case, nice, color]]","[[case nice color, 0.7845, 5]]"
B00MI4A9WU,[0.0],[1],"[[start, chip, week, use]]","[[start chip week use, 0.0, 1]]"
B00MI9MK18,[0.4404],[5],"[[productmeets, requirement]]","[[productmeets requirement, 0.4404, 5]]"
B00MJBIE0G,[0.9673],[5],"[[install, work, feel, well, save, lot, money, diybr, thing, item, everything, come, instal, thats]]","[[install work feel well save lot money diybr thing item everything come instal thats, 0.9673, 5]]"
B00MNLTGHW,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B00MNSVLSC,[-0.1655],[5],"[[case, hop, take, phone, time, problem, put, remove, wont, hold, lot, cash, serve, purpose, keep, everything, handy]]","[[case hop take phone time problem put remove wont hold lot cash serve purpose keep everything handy, -0.1655, 5]]"
B00MO0DACO,"[-0.6808, 0.8999]","[1, 5]","[[month, strap, break, color, dull], [find, case, want, price, pay, come, choose, design, kinda, fun, saw, design, chose, correct, choice, saw, name, owl, incorrect, cat, open, apparent, ordinary, cat, cheshire, cat, love, get, whered, get, cool, comment, anything]]","[[month strap break color dull, -0.6808, 1], [find case want price pay come choose design kinda fun saw design chose correct choice saw name owl incorrect cat open apparent ordinary cat cheshire cat love get whered get cool comment anything, 0.8999, 5]]"
B00MQYHHJA,"[0.8176, 0.6007]","[5, 3]","[[cant, complain, feel, look], [quality, fit, think, tighter, overall, good, look, piece]]","[[cant complain feel look, 0.8176, 5], [quality fit think tighter overall good look piece, 0.6007, 3]]"
B00MTDMJ7S,[-0.7841],[1],"[[doesnt, connect, wifi, device, button, turn, keep, packaging, return]]","[[doesnt connect wifi device button turn keep packaging return, -0.7841, 1]]"
B00N2UHDXM,"[0.8341, 0.5574]","[5, 5]","[[screen, protector], [quality, product, price, clear, cant, beat]]","[[screen protector, 0.8341, 5], [quality product price clear cant beat, 0.5574, 5]]"
B00NF5JWC4,"[0.6249, 0.4404]","[5, 5]","[[product], [describe, price]]","[[product, 0.6249, 5], [describe price, 0.4404, 5]]"
B00NHXIFRM,"[-0.3182, 0.128, 0.631, 0.5719]","[4, 3, 5, 5]","[[excellent], [bit, loose], [case, look, c, seem, adding, lot, bulk, function, mar, include, film, screen], [surprise, find, flimsy, rubber, minimal, plastic, case]]","[[excellent, -0.3182, 4], [bit loose, 0.128, 3], [case look c seem adding lot bulk function mar include film screen, 0.631, 5], [surprise find flimsy rubber minimal plastic case, 0.5719, 5]]"
B00NI25BJW,[0.6597],[5],"[[delivery, fit, take, time, install, correct]]","[[delivery fit take time install correct, 0.6597, 5]]"
B00NLKW7FM,"[0.0, 0.6249]","[5, 5]","[[work], [work, phone, assassinate]]","[[work, 0.0, 5], [work phone assassinate, 0.6249, 5]]"
B00NM386JY,"[-0.7506, 0.9724, 0.8126, 0.6369]","[3, 5, 3, 5]","[[order, family], [case, time, love, color, feel, case, doesnt, add, weight, bulk, perfect, fit], [purchase, glass, protection, iphone, decide, get, case, better, protection, better, safe, sorry], [thing, get, dirty]]","[[order family, -0.7506, 3], [case time love color feel case doesnt add weight bulk perfect fit, 0.9724, 5], [purchase glass protection iphone decide get case better protection better safe sorry, 0.8126, 3], [thing get dirty, 0.6369, 5]]"
B00NMQO97E,[0.0],[1],"[[screen, protector, iphone, screen]]","[[screen protector iphone screen, 0.0, 1]]"
B00NU2BNQU,[0.0],[1],"[[order, galaxy, design, receive, american, flag, design]]","[[order galaxy design receive american flag design, 0.0, 1]]"
B00NWI8E5U,[0.5859],[5],"[[look, amaze, c, ship, fast]]","[[look amaze c ship fast, 0.5859, 5]]"
