1059656000,[0.0],[5],"[[describe, work, flawlesslythanks]]","[[describe work flawlesslythanks, 0.0, 5]]"
B003K36VJI,[0.296],[5],[[ok]],"[[ok, 0.296, 5]]"
B003SKMIKE,[0.4215],[5],"[[nice, ]]","[[nice , 0.4215, 5]]"
B003W2OMSE,[0.7845],[3],"[[nice, case, fit]]","[[nice case fit, 0.7845, 3]]"
B0047T79VS,[0.7165],[2],"[[range, spotty, remove, metal, plate, soley, serf, weightbr, sound, quality, hotbr, music, sound, compress, muffledbr, sound, fine, talk, radio, podcastsbr, volume, lowbr, test, toshiba, netbook, bt, adapterbr, htc, evo, g, lte, zte, zmax, samsung, tab, br, audio, quality, regardless, source, stream, play, locallybr, device, use, hk, onyx, bt, speaker, mercury, milan, microsofts, sync, system, satisfactory, result]]","[[range spotty remove metal plate soley serf weightbr sound quality hotbr music sound compress muffledbr sound fine talk radio podcastsbr volume lowbr test toshiba netbook bt adapterbr htc evo g lte zte zmax samsung tab br audio quality regardless source stream play locallybr device use hk onyx bt speaker mercury milan microsofts sync system satisfactory result, 0.7165, 2]]"
B004A81PJI,[0.4404],[5],"[[work, good]]","[[work good, 0.4404, 5]]"
B004FRUGRQ,[-0.9729],[1],"[[buy, gen, wirelessbr, phone, get, break, receiver, phone, call, speaker, phone, return, phone, spending, hour, look, online, solution, try, figure, problem, contact, problem, return, say, technician, inspect, refund, money, phone, work, get, say, technician, couldnt, find, anything, phone, refund, charge, restock, fee, phone, usedbr, top, sent, fake, headphone, fake, charge, cord, apple, block, unauthorized, lightning, cord, give, phone, went, return, cord, work, charge, phone, couldnt, form, connection, itunes, battery, life, phone, nothing, lead, believe, phone, fake, usedrefurbished, suck, pay, list, phone, end, pay, take, use, sell, someone, againbr, give, star, b, product, b, company, customer, service, service, period]]","[[buy gen wirelessbr phone get break receiver phone call speaker phone return phone spending hour look online solution try figure problem contact problem return say technician inspect refund money phone work get say technician couldnt find anything phone refund charge restock fee phone usedbr top sent fake headphone fake charge cord apple block unauthorized lightning cord give phone went return cord work charge phone couldnt form connection itunes battery life phone nothing lead believe phone fake usedrefurbished suck pay list phone end pay take use sell someone againbr give star b product b company customer service service period, -0.9729, 1]]"
B004O9492I,[0.3536],[1],"[[buy, useless, garbage, plastic, tool, use, avoid, cost]]","[[buy useless garbage plastic tool use avoid cost, 0.3536, 1]]"
B005DOWTKC,[0.0],[1],"[[image, flip]]","[[image flip, 0.0, 1]]"
B005KSVFYC,[0.8201],[5],"[[phone, arrive, price, work, seem, hook, verizon, world, problem, enter, phone, number, hand, gzone, lose, ability, otherwise, work, fine, daughter, verizon, thing, please, note, rugged, phone, labrador, retriever]]","[[phone arrive price work seem hook verizon world problem enter phone number hand gzone lose ability otherwise work fine daughter verizon thing please note rugged phone labrador retriever, 0.8201, 5]]"
B005T0DU6W,[0.8805],[4],"[[case, duty, iphone, fit, case, make, fit, verizon, belt, case, glad, someone, make, case, phone]]","[[case duty iphone fit case make fit verizon belt case glad someone make case phone, 0.8805, 4]]"
B006BHQWX0,"[0.0, -0.34]","[5, 5]","[[everything, advertise], [replace, battery, phone, money, buy, say, oem, die, week, im, sure, fake]]","[[everything advertise, 0.0, 5], [replace battery phone money buy say oem die week im sure fake, -0.34, 5]]"
B0075D2HE2,[0.2278],[5],"[[cover, flip, work]]","[[cover flip work, 0.2278, 5]]"
B0077IPZOO,[-0.4215],[2],"[[case, fell, apart, area, front, half, broke, week, put, phone, remains, phone, day, work]]","[[case fell apart area front half broke week put phone remains phone day work, -0.4215, 2]]"
B007W58CD8,[0.3716],[4],"[[collecting, dust]]","[[collecting dust, 0.3716, 4]]"
B007WUW090,[-0.7227],[1],"[[dont, know, lg, g, phone, make, star, write, review, deserve, thats, star]]","[[dont know lg g phone make star write review deserve thats star, -0.7227, 1]]"
B0085C36S8,"[0.0, 0.5499]","[5, 3]","[[okay, pull, apart], [product, describe, arrive, fast]]","[[okay pull apart, 0.0, 5], [product describe arrive fast, 0.5499, 3]]"
B008B2JEWO,[0.5854],[5],"[[place, protect, screen, year]]","[[place protect screen year, 0.5854, 5]]"
B008EPW1MI,"[0.6249, 0.1779, 0.979]","[5, 5, 5]","[[case, use, phone], [buy, case, protect, galaxy, straight, talk, case, look, fit, phone, drop, phone, twice, make, mark, case, phone, work, love, white, color, doesnt, get, dingy, own, month, suggest, product, nice, thin, case], [son, love, take, beat]]","[[case use phone, 0.6249, 5], [buy case protect galaxy straight talk case look fit phone drop phone twice make mark case phone work love white color doesnt get dingy own month suggest product nice thin case, 0.1779, 5], [son love take beat, 0.979, 5]]"
B008S9IN36,[0.2732],[5],"[[work, build, laser]]","[[work build laser, 0.2732, 5]]"
B009583ZGY,[0.6369],[5],[[goodprotects]],"[[goodprotects, 0.6369, 5]]"
B00974L72U,"[0.0, 0.1246, 0.7814]","[4, 5, 4]","[[case, save, phone, death, time, look], [look], [case, year, rubber, peal, bit, hold, year, thats, spend, way, time, phone, hand, ]]","[[case save phone death time look, 0.0, 4], [look, 0.1246, 5], [case year rubber peal bit hold year thats spend way time phone hand , 0.7814, 4]]"
B009VBQFI0,[0.6791],[4],"[[case, describe, show, color, cute, letter, phone, recommend, anyone, protects, get]]","[[case describe show color cute letter phone recommend anyone protects get, 0.6791, 4]]"
B00AAHRZI8,[0.6249],[5],"[[year, quality, mediabrdige]]","[[year quality mediabrdige, 0.6249, 5]]"
B00B0KRS36,[-0.3612],[5],"[[like, bangle, size, woman, size, fit, bangle, know, woman, feel, way, need, get, ball, bangles, lose, size, fit]]","[[like bangle size woman size fit bangle know woman feel way need get ball bangles lose size fit, -0.3612, 5]]"
B00B66C0VE,[-0.1531],[5],"[[iphone, charge, port, went, couple, month, contact, went, apple, look, clean, port, attempt, charge, charge, offer, replacement, phone, dollar, decline, search, google, found, amazon, buy, dollar, iphone, tool, kit, dollar, watch, couple, youtube, video, hour, charge, iphone, save, dollar, compare, apple, fix, went, order, longer, iphone, give, brother, hasnt, issue, port, year]]","[[iphone charge port went couple month contact went apple look clean port attempt charge charge offer replacement phone dollar decline search google found amazon buy dollar iphone tool kit dollar watch couple youtube video hour charge iphone save dollar compare apple fix went order longer iphone give brother hasnt issue port year, -0.1531, 5]]"
B00BPRLNQ2,[0.7096],[5],"[[work, great, bolt, hat, hunting, sand, ball, smoother, action, thread, mount, fine, reviewer]]","[[work great bolt hat hunting sand ball smoother action thread mount fine reviewer, 0.7096, 5]]"
B00BXLQOOG,[0.3818],[3],"[[product, price, stone, fell, moment, put, phone, overall]]","[[product price stone fell moment put phone overall, 0.3818, 3]]"
B00CXAKL1S,[0.5799],[5],"[[like, screen, cover, didnt, give, glare, didnt, get, scratch, buy, phone]]","[[like screen cover didnt give glare didnt get scratch buy phone, 0.5799, 5]]"
B00CYNMFP4,"[0.7828, 0.6249, 0.3182]","[5, 4, 5]","[[buy, husband, love, protect, phone, get, daughter, christmas, year, protect, phone, tendency, drop, damage, knock, wood], [cool, cover], [case]]","[[buy husband love protect phone get daughter christmas year protect phone tendency drop damage knock wood, 0.7828, 5], [cool cover, 0.6249, 4], [case, 0.3182, 5]]"
B00D1DCRVI,"[0.4215, -0.25]","[4, 2]","[[nice, sturdy], [case, complete, crap, hand, make, cheap, dont, buy]]","[[nice sturdy, 0.4215, 4], [case complete crap hand make cheap dont buy, -0.25, 2]]"
B00D8YYI5S,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B00DAPTAHG,[0.6486],[5],"[[charge, great, doesnt, take, plus, charge, lumia, battery, nokia, lumia, keep, battery, sd, energy, saver, setting]]","[[charge great doesnt take plus charge lumia battery nokia lumia keep battery sd energy saver setting, 0.6486, 5]]"
B00DDMIRGQ,"[0.7159, 0.3612, -0.7265, 0.3384]","[4, 5, 1, 3]","[[foot, pad, mini], [van, holder, window, thank, youbr, horace], [disappoint, suction, cup, hold, always, fell, dash, board, floor, put, aside]]","[[foot pad mini, 0.7159, 4], [van holder window thank youbr horace, 0.3612, 5], [disappoint suction cup hold always fell dash board floor put aside, -0.7265, 1], [, 0.3384, 3]]"
B00DH0SBO2,[0.6369],[5],[[product]],"[[product, 0.6369, 5]]"
B00DR8KSI6,[0.9575],[5],"[[get, case, today, perfect, fit, phone, bulky, nice, look, feel, design]]","[[get case today perfect fit phone bulky nice look feel design, 0.9575, 5]]"
B00DTKKBFM,"[-0.4215, -0.3182, 0.5719, -0.3716, 0.0, 0.4088, 0.3182]","[1, 1, 5, 4, 5, 2, 5]","[[replacement, broke], [fell, apart, week, lack, proper, glue, wondering, knockoff, ome], [look, find, store], [day, break, buy, clip, break, light, use, price, something, make], [belt, clip, fit, otterbox, fine, clip, broke, caught, car, seat], [excellent], [search, came, doesnt, fit]]","[[replacement broke, -0.4215, 1], [fell apart week lack proper glue wondering knockoff ome, -0.3182, 1], [look find store, 0.5719, 5], [day break buy clip break light use price something make, -0.3716, 4], [belt clip fit otterbox fine clip broke caught car seat, 0.0, 5], [excellent, 0.4088, 2], [search came doesnt fit, 0.3182, 5]]"
B00DX18O10,[0.9393],[5],"[[product, price, perfect, onetouch, idol, ]]","[[product price perfect onetouch idol , 0.9393, 5]]"
B00EBBO6XG,[0.2609],[3],"[[nice, phone, item, return]]","[[nice phone item return, 0.2609, 3]]"
B00ECL0C06,[0.9136],[3],"[[alittle, pixelated, look, fit, perfect, look, awesome]]","[[alittle pixelated look fit perfect look awesome, 0.9136, 3]]"
B00EH8E78C,[0.9493],[5],"[[go, reading, review, rave, company, product, customer, support, cant, speak, customer, support, aspect, cable, hold, far, month, use, car, charge, phone, work, suppose, need, get, switch, tv]]","[[go reading review rave company product customer support cant speak customer support aspect cable hold far month use car charge phone work suppose need get switch tv, 0.9493, 5]]"
B00ESOMYXU,"[0.7906, 0.296, 0.765, 0.6249]","[4, 5, 5, 5]","[[ok], [film, make, phone, look, well, apply], [excellent, product, fast]]","[[ok, 0.7906, 4], [film make phone look well apply, 0.296, 5], [excellent product fast, 0.765, 5], [, 0.6249, 5]]"
B00F0NO6N4,[0.0],[1],"[[flimsy, product]]","[[flimsy product, 0.0, 1]]"
B00FEZHVUI,"[-0.7096, 0.6908]","[1, 5]","[[compus, break, contact, waste, money], [thanks, nice]]","[[compus break contact waste money, -0.7096, 1], [thanks nice, 0.6908, 5]]"
B00FGUBN32,[0.6115],[5],[[happy]],"[[happy, 0.6115, 5]]"
B00FH4HKV6,[0.6486],[3],"[[okay, battery, indicator, work, tell, work, work]]","[[okay battery indicator work tell work work, 0.6486, 3]]"
B00FSWKX3E,[0.4404],[5],[[thanks]],"[[thanks, 0.4404, 5]]"
B00G1X3A0M,[0.3612],[3],"[[recommend, product]]","[[recommend product, 0.3612, 3]]"
B00G9EYPRA,[0.7717],[5],[[fit]],"[[fit, 0.7717, 5]]"
B00G9Q8A6U,"[0.2263, 0.0, 0.0772, 0.4404, -0.5256, 0.6249, -0.7096, 0.5106, -0.5267]","[5, 1, 1, 5, 1, 5, 1, 5, 1]","[[product], [screen, come, crack, disappoint, purchase], [fit, perfectlybr], [glass, broking, got, order, amd, broking, bull], [receive, mine, break, didnt, get, use, care], [nice, think, receive], [arrive, break, waste, money], [joke, phone, fell, time, protector, shatter, bc, make, glass, phone, ok]]","[[product, 0.2263, 5], [screen come crack disappoint purchase, 0.0, 1], [fit perfectlybr, 0.0772, 1], [glass broking got order amd broking bull, 0.4404, 5], [receive mine break didnt get use care, -0.5256, 1], [nice think receive, 0.6249, 5], [arrive break waste money, -0.7096, 1], [joke phone fell time protector shatter bc make glass phone ok, 0.5106, 5], [, -0.5267, 1]]"
B00GCQN8V4,"[0.765, 0.0]","[5, 5]","[[work, great, thx], [arrive, fast, need]]","[[work great thx, 0.765, 5], [arrive fast need, 0.0, 5]]"
B00GYISSX8,"[0.0, 0.8932]","[5, 5]","[[case, expect, price, cheap, compare, cell, phone, store], [describedvery, form, fittingi, love, case, look, phone, happy, case]]","[[case expect price cheap compare cell phone store, 0.0, 5], [describedvery form fittingi love case look phone happy case, 0.8932, 5]]"
B00GYKW25Q,"[0.1057, 0.5719, 0.8655, -0.6007, 0.049, 0.0, 0.8894, 0.6249]","[5, 5, 5, 1, 1, 3, 4, 5]","[[boyfriend], [arrive, fast, describe, granddaughter, love], [price, case, perfect, bit, protection, price], [front, screen, bubble, go], [fit, phonec, waste, money], [secure, case, love, color, nice], [case, great], [prosbr, protective, drop, phone, time, case, provide, protection, look, forbr, color, super, cutebr, br, conbr, wont, fit, front, purse, put, phone]]","[[boyfriend, 0.1057, 5], [arrive fast describe granddaughter love, 0.5719, 5], [price case perfect bit protection price, 0.8655, 5], [front screen bubble go, -0.6007, 1], [fit phonec waste money, 0.049, 1], [secure case love color nice, 0.0, 3], [case great, 0.8894, 4], [prosbr protective drop phone time case provide protection look forbr color super cutebr br conbr wont fit front purse put phone, 0.6249, 5]]"
B00H24HY4M,[0.2023],[4],"[[seems, work, fine]]","[[seems work fine, 0.2023, 4]]"
B00H5EKRB6,[-0.0],[5],"[[guy, work, gonna, steal, power, stick, cool, flash, light, put, pocket, purse, charge, come, charge, cord, carry, pink, gotta, love, girl]]","[[guy work gonna steal power stick cool flash light put pocket purse charge come charge cord carry pink gotta love girl, -0.0, 5]]"
B00HNLO7AS,[-0.4893],[2],"[[dont, buy, product, try, stick, macbook, screen, luck, trash]]","[[dont buy product try stick macbook screen luck trash, -0.4893, 2]]"
B00I0YLWSC,[-0.7506],[1],"[[crappy, case, find, otter, box, type, casedont, waste, time, money]]","[[crappy case find otter box type casedont waste time money, -0.7506, 1]]"
B00I63IZBY,[0.7719],[1],"[[cellular, prepay, shambr, activate, phone, person, store, locate, buttkeep, minnesota, iowabr, br, demand, credit, check, acknowledge, yepper, prepay, gotta, check, want, security, depositbr, br, brand, phone, amazon, stock, fulfil, toilet, drop, wipe, brick, amazon, marketplace, scammer, true, phone, make, work, fantasy]]","[[cellular prepay shambr activate phone person store locate buttkeep minnesota iowabr br demand credit check acknowledge yepper prepay gotta check want security depositbr br brand phone amazon stock fulfil toilet drop wipe brick amazon marketplace scammer true phone make work fantasy, 0.7719, 1]]"
B00IP2MW5Q,[0.9337],[3],"[[product, love, unique, look, fit, phone, reason, give, star, take, time, get, phone, case, gift, getting, time]]","[[product love unique look fit phone reason give star take time get phone case gift getting time, 0.9337, 3]]"
B00IUNHOWG,[0.0],[5],"[[coolest, phone, cover]]","[[coolest phone cover, 0.0, 5]]"
B00J33GO7S,[0.6808],[5],"[[case, help, keep, phone, clean, protect]]","[[case help keep phone clean protect, 0.6808, 5]]"
B00JJVN9HC,"[0.765, 0.5719, 0.6697, 0.4404]","[5, 5, 5, 5]","[[timing], [excellent], [sturdy, charger, samsung, price, happy, purchase]]","[[timing, 0.765, 5], [excellent, 0.5719, 5], [sturdy charger samsung price happy purchase, 0.6697, 5], [, 0.4404, 5]]"
B00JQNQEFW,[-0.4728],[3],"[[item, use, idea]]","[[item use idea, -0.4728, 3]]"
B00JRVLQJM,"[-0.5423, 0.1896]","[3, 4]","[[case, ok, edge, instal, button, function, fit, nothing, power, back, piece, difficult, get, place, need, butter, knife, something, spread, snap, place, use, prefer, something, lighter, softer], [nod, bad, price]]","[[case ok edge instal button function fit nothing power back piece difficult get place need butter knife something spread snap place use prefer something lighter softer, -0.5423, 3], [nod bad price, 0.1896, 4]]"
B00JZKKQ96,[0.2263],[4],"[[okay, use, store, phone]]","[[okay use store phone, 0.2263, 4]]"
B00K8K7JLK,[0.5719],[5],"[[excellent, itemvery, man]]","[[excellent itemvery man, 0.5719, 5]]"
B00K9T265Y,[0.4201],[5],[[charger]],"[[charger, 0.4201, 5]]"
B00KPRVSFY,"[0.802, -0.1815, 0.6369, 0.7351, 0.0]","[5, 4, 5, 4, 5]","[[case, protects, phone, great, problem, phone, overheats, inside, case, flow, get], [want], [product, fit, sprint, phone, button, verizon], [case, use, provides, excellent, protection]]","[[case protects phone great problem phone overheats inside case flow get, 0.802, 5], [want, -0.1815, 4], [product fit sprint phone button verizon, 0.6369, 5], [case use provides excellent protection, 0.7351, 4], [, 0.0, 5]]"
B00KURN3ZC,[0.0],[1],"[[half, cable, work, buy, cable]]","[[half cable work buy cable, 0.0, 1]]"
B00KWM02MC,[0.0],[4],"[[keep, screen, scratch, guess, serf, purpose]]","[[keep screen scratch guess serf purpose, 0.0, 4]]"
B00KYC7J3U,"[0.0, 0.5719]","[4, 5]","[[ship, time, fastphone, look], [daughter, love, phone]]","[[ship time fastphone look, 0.0, 4], [daughter love phone, 0.5719, 5]]"
B00L0SEDWW,"[0.0, 0.6597, 0.765, -0.2755]","[1, 1, 4, 1]","[[quality, im, happy, purchase], [think, able, wrist, good, someone, child, size, arm], [beware, make, arm], [iphone]]","[[quality im happy purchase, 0.0, 1], [think able wrist good someone child size arm, 0.6597, 1], [beware make arm, 0.765, 4], [iphone, -0.2755, 1]]"
B00L3W7D6I,"[0.1255, 0.3384, 0.6249]","[3, 4, 4]","[[product], [case, water, hear, people, press, home, button, recommend, everyday, casebut, great, camp, fish, trip], [work]]","[[product, 0.1255, 3], [case water hear people press home button recommend everyday casebut great camp fish trip, 0.3384, 4], [work, 0.6249, 4]]"
B00L80F47U,[0.5712],[3],"[[work, need, thick, top, press, button, turn, phone, dont]]","[[work need thick top press button turn phone dont, 0.5712, 3]]"
B00LAXWJZU,[0.8625],[5],"[[worth, penny, go, fill, room, sound, hear, perfect, movie]]","[[worth penny go fill room sound hear perfect movie, 0.8625, 5]]"
B00LCSOO6K,[0.765],[5],"[[purchase, gift, sister, love]]","[[purchase gift sister love, 0.765, 5]]"
B00LH0FHW8,[0.4404],[4],"[[film, moto, x]]","[[film moto x, 0.4404, 4]]"
B00LOAAUIM,[0.0],[1],"[[picture, receive, cigarette, lighter, outlet, usb, connection]]","[[picture receive cigarette lighter outlet usb connection, 0.0, 1]]"
B00LP35I1W,[0.4404],[5],[[thanks]],"[[thanks, 0.4404, 5]]"
B00LZNPGKU,"[0.6369, 0.9844, 0.7906, 0.4404, -0.34, -0.09, -0.4767, 0.7992]","[5, 5, 5, 4, 2, 5, 3, 5]","[[case, install, give, otter, box, run, money], [case], [attach, phone, seem], [fit, good, work], [excellent, case, build, issue, screen, show, bubble, lift, area, deal], [wish, purchase, easy, case, come, link, watch, instal, remove, fit, perfect, go, glitch, description, case, clear, point, rubber, part, make, grip, phone, safer, piece, cover, screen, cutout, fit, lock, place, front, charge, port, button, screen, recommend, brand, case, seller, fast, shipping, great, price], [star, everything, say, drop, foot, survive, kayaking, snorkel, came, survive, unplanned, knock, toilet, month, problem, screen, protector, come, way, month, come, glue, didnt, hold, thats, biggie, buy, think, didnt, screen, protector, anyway], [dust, get, inside, case, drive, crazy]]","[[case install give otter box run money, 0.6369, 5], [case, 0.9844, 5], [attach phone seem, 0.7906, 5], [fit good work, 0.4404, 4], [excellent case build issue screen show bubble lift area deal, -0.34, 2], [wish purchase easy case come link watch instal remove fit perfect go glitch description case clear point rubber part make grip phone safer piece cover screen cutout fit lock place front charge port button screen recommend brand case seller fast shipping great price, -0.09, 5], [star everything say drop foot survive kayaking snorkel came survive unplanned knock toilet month problem screen protector come way month come glue didnt hold thats biggie buy think didnt screen protector anyway, -0.4767, 3], [dust get inside case drive crazy, 0.7992, 5]]"
B00MAAKDG4,[0.9001],[5],"[[keeping, phone, safe, print, love]]","[[keeping phone safe print love, 0.9001, 5]]"
B00MADSMHI,[-0.0719],[4],"[[item, price, nothing, guess, get, pay, need]]","[[item price nothing guess get pay need, -0.0719, 4]]"
B00MBCDN4A,[0.6705],[5],"[[fit, thought, wish, charge, shippinghandling, charge, order, time]]","[[fit thought wish charge shippinghandling charge order time, 0.6705, 5]]"
B00MJRAIJK,[0.5434],[2],"[[edge, glass, start, chip, month, sort, look, eyesore, look, upgrade, phone, month, start]]","[[edge glass start chip month sort look eyesore look upgrade phone month start, 0.5434, 2]]"
B00MSYQ96U,[0.4404],[5],[[product]],"[[product, 0.4404, 5]]"
