B00000J0IT,[0.6115],[5],"[[ship, happy]]","[[ship happy, 0.6115, 5]]"
B00MNSRFRI,"[0.89, 0.0, 0.0, 0.7845, 0.5574, 0.1531]","[5, 1, 1, 5, 1, 1]","[[please, make, advertise, product, specific, phone, work, phone, product, work, abr, advertise], [didnt, work], [product, work, problem, get, estimate, time, work, cheap, quality, product, buy, thank], [work, havent, trouble], [product, work, samsung, try, work, pay, expedite, shipping, get, day, mind, wait, work], [work, home, send]]","[[please make advertise product specific phone work phone product work abr advertise, 0.89, 5], [didnt work, 0.0, 1], [product work problem get estimate time work cheap quality product buy thank, 0.0, 1], [work havent trouble, 0.7845, 5], [product work samsung try work pay expedite shipping get day mind wait work, 0.5574, 1], [work home send, 0.1531, 1]]"
B00MPIGQB2,"[0.8957, -0.5106, 0.5106, 0.4201, 0.6249, 0.7717, 0.936, 0.886, 0.4939, 0.6249, 0.8271]","[5, 2, 5, 5, 5, 5, 5, 4, 5, 5, 5]","[[product, wife, love], [bring, vacation, charge, multiple, phone, recommend], [recommend, use, summer, camp, travel, last, time], [device, use, time, travel, keep, iphone, ipad, day, travel, charge, passenger, iphone, havent, use, purchase, friend, use, outage, im, us, think], [buy, charge, phone, tablet, phone, provide, wifi, hotspot, tablet, work, way, hour, go, charge, go, unit, came, handy, carry, buy, friend, present], [product, take, day, raft, trip, power, need], [lot, rav, power, accessory, love, love, work, arrival, quick, return, replace, question, ask, buy, product], [product, recomended], [unit, fail, month, use, output, side, supply, device, connect, charge, show, x, sign, battery, icon], [hit, home, run, charger, segment, lead, site, battery, charge, use, else, matter], [item, work, note, twice, plenty, power]]","[[product wife love, 0.8957, 5], [bring vacation charge multiple phone recommend, -0.5106, 2], [recommend use summer camp travel last time, 0.5106, 5], [device use time travel keep iphone ipad day travel charge passenger iphone havent use purchase friend use outage im us think, 0.4201, 5], [buy charge phone tablet phone provide wifi hotspot tablet work way hour go charge go unit came handy carry buy friend present, 0.6249, 5], [product take day raft trip power need, 0.7717, 5], [lot rav power accessory love love work arrival quick return replace question ask buy product, 0.936, 5], [product recomended, 0.886, 4], [unit fail month use output side supply device connect charge show x sign battery icon, 0.4939, 5], [hit home run charger segment lead site battery charge use else matter, 0.6249, 5], [item work note twice plenty power, 0.8271, 5]]"
B00MRAZV9Q,[0.7351],[5],"[[fit, perfect]]","[[fit perfect, 0.7351, 5]]"
B00MUAHACO,[0.2849],[5],"[[protection, color, bright, find, mess, purse, volume, button, figure, wasnt, snap, use, firm, pressure, way, make, sure, snap, seem, bulky, use, slim, speck, cover, getting, use]]","[[protection color bright find mess purse volume button figure wasnt snap use firm pressure way make sure snap seem bulky use slim speck cover getting use, 0.2849, 5]]"
B00N4JZWTI,[0.7906],[4],"[[product, install]]","[[product install, 0.7906, 4]]"
B00NGDD4JW,[0.7418],[4],"[[work, design, wish, glare, wasnt]]","[[work design wish glare wasnt, 0.7418, 4]]"
B00NIJBUEA,[0.8074],[4],"[[nice, phone, credit, card, case, way, carry, necessity, fit, purse]]","[[nice phone credit card case way carry necessity fit purse, 0.8074, 4]]"
B00NIJOGOG,[0.4404],[5],"[[item, recomend]]","[[item recomend, 0.4404, 5]]"
B00NILICOE,[0.6249],[5],[[cover]],"[[cover, 0.6249, 5]]"
B00NIZCF8E,"[0.9745, 0.6915, -0.0516]","[5, 5, 2]","[[look, protection, phone, fell, lap, crack], [love, case, searching, thin, sturdy, clear, case, day, case, change, ive, case, month, think, change, love, thin, feel, scratch, dont, mind, overall, case, buy], [get, case, dislike, case, phone, year, like, throw, thing, require, case, need, far, case, survive, treatment, year, say, recommend]]","[[look protection phone fell lap crack, 0.9745, 5], [love case searching thin sturdy clear case day case change ive case month think change love thin feel scratch dont mind overall case buy, 0.6915, 5], [get case dislike case phone year like throw thing require case need far case survive treatment year say recommend, -0.0516, 2]]"
B00NL6B68A,[0.6249],[5],"[[product, leather, tell, difference]]","[[product leather tell difference, 0.6249, 5]]"
B00NTRCKG8,[0.2732],[5],"[[purchase, device, tablet, phone, make, lightweight]]","[[purchase device tablet phone make lightweight, 0.2732, 5]]"
B00NX93MZA,[-0.8834],[1],"[[suffering, vagary, cheap, aftermarket, cable, decide, go, honeywell, brand, use, product, thing, die, week, figure, contact, people, demand, replacement, disappoint]]","[[suffering vagary cheap aftermarket cable decide go honeywell brand use product thing die week figure contact people demand replacement disappoint, -0.8834, 1]]"
B00O0IYM9S,[0.4927],[4],[[product]],"[[product, 0.4927, 4]]"
B00O1U5OVK,"[0.5984, 0.5574, 0.4939]","[5, 4, 3]","[[case, seem, make], [case, took, time, get], [nice, product, hold, phone, fine]]","[[case seem make, 0.5984, 5], [case took time get, 0.5574, 4], [nice product hold phone fine, 0.4939, 3]]"
B00O5EUDTK,"[0.0, 0.0, 0.6249]","[3, 4, 3]","[[menu], [phone, expect, built, tv, tuner, useless, analog, tv, youll, lucky, find, channel], [k, memory, paint, cellphone, key, fall, rest, ok]]","[[menu, 0.0, 3], [phone expect built tv tuner useless analog tv youll lucky find channel, 0.0, 4], [k memory paint cellphone key fall rest ok, 0.6249, 3]]"
B00OAZHOIC,[0.836],[5],"[[daughter, love, case, fit, perfect]]","[[daughter love case fit perfect, 0.836, 5]]"
B00OBHESU6,"[-0.2349, -0.4767, -0.0911, 0.8057]","[2, 2, 4, 5]","[[smart, watch, purchase, point, st, generation, watch, screen, resolution, battery, life, heart, rate, sensor, work, time, o, android, janky, feature, recommend, spending, bit, get, generation, snartwatch, wait, smartwatch, technology, improve, consider, buying], [cool, battery, duration, watch, short, forget, recharge], [poor, battery, life, result, return], [love, watch, downside, doesnt, support, run, app, get, different, run, app, work]]","[[smart watch purchase point st generation watch screen resolution battery life heart rate sensor work time o android janky feature recommend spending bit get generation snartwatch wait smartwatch technology improve consider buying, -0.2349, 2], [cool battery duration watch short forget recharge, -0.4767, 2], [poor battery life result return, -0.0911, 4], [love watch downside doesnt support run app get different run app work, 0.8057, 5]]"
B00OIS6J8C,[0.6249],[4],"[[phone, case]]","[[phone case, 0.6249, 4]]"
B00OLU6D1U,"[0.3817, 0.5044]","[4, 5]","[[phone, go, minute, ive, use, keep, momentum], [thisi, phone, die, expect]]","[[phone go minute ive use keep momentum, 0.3817, 4], [thisi phone die expect, 0.5044, 5]]"
B00OS925K2,[-0.0015],[2],"[[spring, clamp, good, grip, slip, make, cheap]]","[[spring clamp good grip slip make cheap, -0.0015, 2]]"
B00OT7L1OE,"[0.3384, 0.4404, 0.0]","[5, 4, 5]","[[exellant], [make, power, source, plenty, power, money, charger, fall, apart, month, use], [work, good]]","[[exellant, 0.3384, 5], [make power source plenty power money charger fall apart month use, 0.4404, 4], [work good, 0.0, 5]]"
B00OY6NKLW,[0.0516],[5],"[[quad, lock, rock, love, speed, connect, phone, second, remove, second, road, bike, mountain, bike, poncho, work, rain, storm, issue, find, mount, attachment, band, break, zip, tie, permanent, feel, less, rubber, band, band, break, decide, go, rubber, band, keep, bike, bag]]","[[quad lock rock love speed connect phone second remove second road bike mountain bike poncho work rain storm issue find mount attachment band break zip tie permanent feel less rubber band band break decide go rubber band keep bike bag, 0.0516, 5]]"
B00OYEAGN4,[0.987],[5],"[[purchase, product, month, case, unique, dont, use, case, take, beauty, phone, case, fit, add, wow, factor, phone, case, order, start, peeling, side, month, contact, coverup, respond, hour, ask, send, proceed, address, question, black, ashewood, walnut, deliver, hesitationthis, customer, service, receive, customer, ensure, satisfy, work, buy, product]]","[[purchase product month case unique dont use case take beauty phone case fit add wow factor phone case order start peeling side month contact coverup respond hour ask send proceed address question black ashewood walnut deliver hesitationthis customer service receive customer ensure satisfy work buy product, 0.987, 5]]"
B00P0BWMOG,[-0.7351],[1],"[[product, cheap, fake, arrive, scratch]]","[[product cheap fake arrive scratch, -0.7351, 1]]"
B00P1TZH30,[0.8047],[4],"[[hope, stay, use]]","[[hope stay use, 0.8047, 4]]"
B00P7XUCHQ,[0.0],[4],"[[quality, product]]","[[quality product, 0.0, 4]]"
B00P84YVKI,"[0.4404, 0.7496, -0.2755, 0.4404]","[5, 5, 1, 4]","[[product], [didnt, fit], [shield, made, cover, rubber, outer, shell, side, raise, surface, phone, add, protection, rubber, cover, side, button, ribber, press, button, plenty, space, provide, camera, connection, side, stand, nicebr, br, werent, instruction, peel, rubber, side, split, seam, side, case, insert, phone, provide, plenty, protection, phonebr, br, good, protection, phone], [product]]","[[product, 0.4404, 5], [didnt fit, 0.7496, 5], [shield made cover rubber outer shell side raise surface phone add protection rubber cover side button ribber press button plenty space provide camera connection side stand nicebr br werent instruction peel rubber side split seam side case insert phone provide plenty protection phonebr br good protection phone, -0.2755, 1], [product, 0.4404, 4]]"
B00PFGJ5KA,[0.8462],[3],"[[look, amaze, phone, love, color, prevents, scratch, scrap, bump, drop, drop, getting, car, write, month, temper, glass, goodness, sake, jesus]]","[[look amaze phone love color prevents scratch scrap bump drop drop getting car write month temper glass goodness sake jesus, 0.8462, 3]]"
B00PM6XDNS,[0.875],[5],"[[vhf, radio, use, love, builtin, gps, feature]]","[[vhf radio use love builtin gps feature, 0.875, 5]]"
B00PP2JJ8M,[0.7717],[5],"[[work, great, help, keep, eye, road]]","[[work great help keep eye road, 0.7717, 5]]"
B00Q0H24ME,[0.9481],[4],"[[tricky, get, perfect, time, ship, seller, work, great, way, keep, case, change]]","[[tricky get perfect time ship seller work great way keep case change, 0.9481, 4]]"
B00Q13QS42,[0.6249],[5],[[case]],"[[case, 0.6249, 5]]"
B00Q6A56WA,[-0.598],[1],"[[case, case, keep, unsnapping, frustrate]]","[[case case keep unsnapping frustrate, -0.598, 1]]"
B00QQ0VHH8,"[-0.296, 0.8658]","[2, 5]","[[thing, great, nice, hold, heck, charge, fit, wallet]]","[[thing great nice hold heck charge fit wallet, -0.296, 2], [, 0.8658, 5]]"
B00QW8LFBC,"[0.8525, -0.4665]","[5, 3]","[[chain, length, cantbelieve, pay], [watch, keep, accurate, time, pop, see, clock, face]]","[[chain length cantbelieve pay, 0.8525, 5], [watch keep accurate time pop see clock face, -0.4665, 3]]"
B00QXF3ACG,"[0.6249, 0.8479]","[5, 5]","[[case, sure, buy, thank], [case]]","[[case sure buy thank, 0.6249, 5], [case, 0.8479, 5]]"
B00QYJQY0Q,[0.8413],[3],"[[price, cardio, sweat, lot, soak, bit, make, take, phone, youre, done, price]]","[[price cardio sweat lot soak bit make take phone youre done price, 0.8413, 3]]"
B00R7BK84S,[0.517],[5],"[[rd, time, purchase, number, case, provide, protection, add, bulk, iphone, case, know, cover, power, headphone, port, carry, phone, pocket, cover, keep, lint, work, want, charge, phone, connect, car, stereo]]","[[rd time purchase number case provide protection add bulk iphone case know cover power headphone port carry phone pocket cover keep lint work want charge phone connect car stereo, 0.517, 5]]"
B00R97AJK8,[0.6511],[5],"[[dont, review, sorry, product]]","[[dont review sorry product, 0.6511, 5]]"
B00RF80OQA,[-0.1513],[1],"[[unsatisfied, case, didnt, week, chain, cheap, pop]]","[[unsatisfied case didnt week chain cheap pop, -0.1513, 1]]"
B00RG9JKO0,"[0.9371, 0.8442, 0.0]","[5, 1, 3]","[[time, display, radio, display, radio, station, number, im, give, star, reason, purchase, need, clock, radio, test, mp, feature, speak, time, display, radio, id, star, reception, sound, quality, great, size, simple, design, shame, return, good, price], [radio, porch, camp, size, sound, seem, get, reception, please, product, price], [doesnt, hold, charge, expect]]","[[time display radio display radio station number im give star reason purchase need clock radio test mp feature speak time display radio id star reception sound quality great size simple design shame return good price, 0.9371, 5], [radio porch camp size sound seem get reception please product price, 0.8442, 1], [doesnt hold charge expect, 0.0, 3]]"
B00RW7ZF54,[0.0],[5],"[[look, prompt, delivery, service, intend, buy, back]]","[[look prompt delivery service intend buy back, 0.0, 5]]"
B00S5SCY62,[-0.4993],[3],"[[take, fit, give, phone, style, get, tire, people, people, phone]]","[[take fit give phone style get tire people people phone, -0.4993, 3]]"
B00S8EBRKW,"[0.7845, 0.7841, 0.0, 0.9201]","[5, 5, 4, 5]","[[nice, case, great, price], [excellent, look, classy], [nice, case, buy, wife, love, fit], []]","[[nice case great price, 0.7845, 5], [excellent look classy, 0.7841, 5], [nice case buy wife love fit, 0.0, 4], [, 0.9201, 5]]"
B00S9R6ESS,"[0.5719, 0.3367]","[5, 3]","[[grandson, love], [case, pen, self, love, downisde, pen, doesnt, write, time, dont, gel, pen, anways, im, go, change, cartridge]]","[[grandson love, 0.5719, 5], [case pen self love downisde pen doesnt write time dont gel pen anways im go change cartridge, 0.3367, 3]]"
B00SAPSAPO,[0.7717],[5],"[[color, thank]]","[[color thank, 0.7717, 5]]"
B00SAY8370,[0.6249],[5],"[[sound, money, delivery]]","[[sound money delivery, 0.6249, 5]]"
B00SIJS9GW,[0.1027],[1],"[[make, irulu, irulu, tablet, bigger, tablet, cut, modify, expect, exact, fit]]","[[make irulu irulu tablet bigger tablet cut modify expect exact fit, 0.1027, 1]]"
B00SLOSRSO,[0.25],[5],"[[work, great, everything, need, shirt, pocket, keep, hit, letter, let, read, menu, dark, restaurant, handy]]","[[work great everything need shirt pocket keep hit letter let read menu dark restaurant handy, 0.25, 5]]"
B00SMOY9I0,[0.3462],[4],"[[gel, hard, suprised, looking]]","[[gel hard suprised looking, 0.3462, 4]]"
B00SNOTSWQ,"[0.6369, 0.963, 0.8713, 0.8591, 0.6249]","[5, 5, 5, 5, 5]","[[look, feel], [look, case, ever, seem, think, flaw], [fit, feel, grip, keep, phone, slim], [product, super, satisfiedbr, excellent, quality, installbr, give, fact, going, post, review, time]]","[[look feel, 0.6369, 5], [look case ever seem think flaw, 0.963, 5], [fit feel grip keep phone slim, 0.8713, 5], [product super satisfiedbr excellent quality installbr give fact going post review time, 0.8591, 5], [, 0.6249, 5]]"
B00STSX64W,"[0.9577, 0.9622]","[4, 5]","[[band, excellent, value, problem, get, iphone, case, case, side, rubber, sleeve, style, key, pocket, nice, touch, week, run, band, discover, band, arm, thats, band, come, slot, thread, slot, perfect, wrap, wrist, face, phone, watch, run, finger, photo, thats, prefer, way, great, forerunner, band, versatile, arrive, pack, contact, detail, business, card, case, problem, wont, ], [receive, armband, didnt, hold, use, armband, gym, run, work, compare, armband, fabricconstruction, band, appear, use, run, easier, navigate, phone, window, band, slim, armor, case, phone, fit, need, remove, case, impress, letter, enclose, corporation, see, product, give, star, unsure, hold, use, believe]]","[[band excellent value problem get iphone case case side rubber sleeve style key pocket nice touch week run band discover band arm thats band come slot thread slot perfect wrap wrist face phone watch run finger photo thats prefer way great forerunner band versatile arrive pack contact detail business card case problem wont , 0.9577, 4], [receive armband didnt hold use armband gym run work compare armband fabricconstruction band appear use run easier navigate phone window band slim armor case phone fit need remove case impress letter enclose corporation see product give star unsure hold use believe, 0.9622, 5]]"
B00SYPN6YU,"[0.7964, 0.6369, -0.2755]","[5, 5, 1]","[[work, tablet, watch, movie, tv, tablet, trip, friend, house], [product, gotta, love], [work, buy, chinese, ripoff, wont, fit, micro, usb]]","[[work tablet watch movie tv tablet trip friend house, 0.7964, 5], [product gotta love, 0.6369, 5], [work buy chinese ripoff wont fit micro usb, -0.2755, 1]]"
B00SZI3Z42,"[0.6249, 0.6249]","[5, 5]","[[fit, great], [product]]","[[fit great, 0.6249, 5], [product, 0.6249, 5]]"
B00TAH000E,[0.4215],[3],"[[nice, slim, case, youre, hold, phone, hit, power, button, wayyyyyyy, turn, screen, happens, adjust, grip, phone, side, key, sensitive, case]]","[[nice slim case youre hold phone hit power button wayyyyyyy turn screen happens adjust grip phone side key sensitive case, 0.4215, 3]]"
B00TNMQHNA,[-0.7488],[3],"[[arrive, disappoint, doesnt, stay, place, fit, return]]","[[arrive disappoint doesnt stay place fit return, -0.7488, 3]]"
B00TNUO9ZA,[0.6249],[5],"[[phone, case, husband, case]]","[[phone case husband case, 0.6249, 5]]"
B00TOYERQ6,"[0.8979, 0.0, 0.688, 0.4404]","[5, 5, 2, 3]","[[ship, case, great, look, fancy, great, price, receive, compliment], [fit, good, protect, edge, white, side, absorb, color, grrrrr], [look], [buy, product, white, area, become, dirty, stain, week, quality, good, white, color, good, choice]]","[[ship case great look fancy great price receive compliment, 0.8979, 5], [fit good protect edge white side absorb color grrrrr, 0.0, 5], [look, 0.688, 2], [buy product white area become dirty stain week quality good white color good choice, 0.4404, 3]]"
B00TQ3H87K,[0.3384],[5],"[[fit, right, bare, phone, make]]","[[fit right bare phone make, 0.3384, 5]]"
B00TZMDGNC,[0.8126],[5],"[[perfect, arrive, time, husband, love]]","[[perfect arrive time husband love, 0.8126, 5]]"
B00TZOAR6E,[0.628],[1],"[[name, say, pyle, chit, didnt, work, min, watt, watt, dont, waste, money]]","[[name say pyle chit didnt work min watt watt dont waste money, 0.628, 1]]"
B00U9BHPBM,[0.743],[5],"[[awsome, case, girlfriend, love, allow, id, credit, card, cash, carry, purse]]","[[awsome case girlfriend love allow id credit card cash carry purse, 0.743, 5]]"
B00UB9W92C,[0.0772],[5],"[[want, hardwire, v, radar, item, ]]","[[want hardwire v radar item , 0.0772, 5]]"
B00UBK9M08,"[0.4588, -0.7353, 0.3612, 0.9454]","[5, 1, 5, 1]","[[plug, charge, everything], [quick, charge, fast, let, see, thing, compare, anker, update, overtime], [update, write, review, purchase, work, year, half, light, use, item, charge, time, port, qualcomm, start, use, charge, lgv, qualcomm, montgs, start, get, hot, smoke, go, catch, fire, blue, port, dont, work, afraid, use, remain, port, less, year, light, use, shoildnt, happen, go, brand, anker, review, stop, waste, time, research, done, cell, want, buy, less, charger, save, time, money, aggravation, charger, get, period, great, quality, doesnt, plug, wall, feel, rugged, qualcomm, quick, charge, dont, trust, cell, tablet, anything, risk, buck, well, name, brand, ank, opinion, know, didnt, get, contact, ill, set, straight, charger, ive, own, period, dont, stock, afiliation, tell], [buy, charger, connect, phone, night, reason, heat, usb, melt, port, end, warp, melt, miss, protection, condition, short, quality, control, problem, trust, brand, charge, phone, catch, bedroom, fire]]","[[plug charge everything, 0.4588, 5], [quick charge fast let see thing compare anker update overtime, -0.7353, 1], [update write review purchase work year half light use item charge time port qualcomm start use charge lgv qualcomm montgs start get hot smoke go catch fire blue port dont work afraid use remain port less year light use shoildnt happen go brand anker review stop waste time research done cell want buy less charger save time money aggravation charger get period great quality doesnt plug wall feel rugged qualcomm quick charge dont trust cell tablet anything risk buck well name brand ank opinion know didnt get contact ill set straight charger ive own period dont stock afiliation tell, 0.3612, 5], [buy charger connect phone night reason heat usb melt port end warp melt miss protection condition short quality control problem trust brand charge phone catch bedroom fire, 0.9454, 1]]"
B00UKGMNP4,[0.1833],[3],"[[cant, put, phone, lose, ability, close, card, yes, cash]]","[[cant put phone lose ability close card yes cash, 0.1833, 3]]"
B00UMU7WY0,[-0.2755],[1],"[[doesnt, fit, phone, send]]","[[doesnt fit phone send, -0.2755, 1]]"
B00UTDKJSG,"[0.5719, -0.0516]","[5, 5]","[[perfect], [perfect, attach, ipod, stereo, car, black, blend, dash, problems, cord]]","[[perfect, 0.5719, 5], [perfect attach ipod stereo car black blend dash problems cord, -0.0516, 5]]"
B00UV38O8G,"[0.5574, 0.8115]","[5, 5]","[[case, look, well, expect, look, feel, leather, bound, book, carry, phone, side, pocket, cover, stay, close, protects, screen, thickness, make, camera, lens, recess, protect, scratch, cover], [everyone, know, want]]","[[case look well expect look feel leather bound book carry phone side pocket cover stay close protects screen thickness make camera lens recess protect scratch cover, 0.5574, 5], [everyone know want, 0.8115, 5]]"
B00UZ7XEHE,[0.8519],[5],"[[picture, doesnt, show, awesome, detail, love, seems, design, seem, coating, flower, red, orange, look, eye, orange, color]]","[[picture doesnt show awesome detail love seems design seem coating flower red orange look eye orange color, 0.8519, 5]]"
B00V3WZM9S,[0.8442],[2],"[[design, hate, slip, hand, drop, time, buying, cast, month, youre, less, say, go, youll, get, ton, compliment, luck]]","[[design hate slip hand drop time buying cast month youre less say go youll get ton compliment luck, 0.8442, 2]]"
B00V4ERHR0,[0.2885],[5],"[[end, crutch, need, way, keep, phone, time, case, fell, else, home, caddy, asinbgrvixo, krutch, kaddy, crutch, accessory, use, carry, cup, stuff, house, phone, note, hog, space, besides, didnt, carry, phone, ice, pack, liquid, pouch, cross, body, doesnt, swing, feel, secure, get, crutch, know, phone]]","[[end crutch need way keep phone time case fell else home caddy asinbgrvixo krutch kaddy crutch accessory use carry cup stuff house phone note hog space besides didnt carry phone ice pack liquid pouch cross body doesnt swing feel secure get crutch know phone, 0.2885, 5]]"
B00VGTZUW2,[0.7322],[5],"[[sturdy, make, price, perfect, fit, fire, phone]]","[[sturdy make price perfect fit fire phone, 0.7322, 5]]"
B00VJ7NZFU,[-0.2755],[1],"[[doesnt, phone]]","[[doesnt phone, -0.2755, 1]]"
B00VXGHRH4,[0.4404],[5],"[[quality, buy]]","[[quality buy, 0.4404, 5]]"
B00VXN88WA,[-0.836],[1],"[[camera, lent, broke, month, use, guarantee, work, argentina, worst, experience]]","[[camera lent broke month use guarantee work argentina worst experience, -0.836, 1]]"
B00W51I2L6,"[-0.2617, 0.0, 0.3182, 0.5709, 0.3612, 0.9564, 0.2263, 0.7845, 0.7906]","[3, 5, 5, 5, 5, 4, 4, 5, 5]","[[cd, mount, iphone, holder, mechanism, keep, cd, slot, wore, point, longer, hold, us, screw, expand, anchor, inside, cd, slot, keep, brand, start, k, doesnt, rotate, angle, iphone, im, far], [expectation], [work, great, iphone, doublesided, case, walletstyle, fit, concern, easy, insert, phone, take, cant, beat, price], [work, charm, feel, solid, cd, slot, thumb, screw, tighten, havent, road, trip, test, try, fit], [work, great, doesnt, slip, cd, slot, hold, firm, problem, car, ive, use, make, see, radio, channel, time], [product, arrive, install, work, ], [happy, product, buy, wife, daughter, addition, rubber, pad, part, grip, slot, hold, addition, design, wish, recommend, product], [price, worth], [mine, break, minute, remove, box, put, note, try, take, cell, phone, holster, seem, stretch, maximum, limit, pop, phone, see, spring, stretch, render, device, useless, piss, poor, product, update, company, diligent, contact, insist, give, product, refund, take, refund, demonstrate, customer]]","[[cd mount iphone holder mechanism keep cd slot wore point longer hold us screw expand anchor inside cd slot keep brand start k doesnt rotate angle iphone im far, -0.2617, 3], [expectation, 0.0, 5], [work great iphone doublesided case walletstyle fit concern easy insert phone take cant beat price, 0.3182, 5], [work charm feel solid cd slot thumb screw tighten havent road trip test try fit, 0.5709, 5], [work great doesnt slip cd slot hold firm problem car ive use make see radio channel time, 0.3612, 5], [product arrive install work , 0.9564, 4], [happy product buy wife daughter addition rubber pad part grip slot hold addition design wish recommend product, 0.2263, 4], [price worth, 0.7845, 5], [mine break minute remove box put note try take cell phone holster seem stretch maximum limit pop phone see spring stretch render device useless piss poor product update company diligent contact insist give product refund take refund demonstrate customer, 0.7906, 5]]"
B00W64EDCO,"[0.3182, 0.7615, 0.9092, 0.872, 0.9307, 0.891]","[5, 4, 5, 4, 5, 5]","[[case, fit, nice, snug, love, carbon, fiber, gold, trim, didnt, expect, doesnt, ruin, phone, feel, hand], [husband, love, case, classy, great, value, money], [nice, case, look, ritzy], [case, looker, everyone, ask, look, design, wish, thinner, thats, sacrifice, protection], [look, great, tighter, case], [product, fit, g, feel, texture]]","[[case fit nice snug love carbon fiber gold trim didnt expect doesnt ruin phone feel hand, 0.3182, 5], [husband love case classy great value money, 0.7615, 4], [nice case look ritzy, 0.9092, 5], [case looker everyone ask look design wish thinner thats sacrifice protection, 0.872, 4], [look great tighter case, 0.9307, 5], [product fit g feel texture, 0.891, 5]]"
B00WLIGGC0,[-0.4973],[1],"[[fit, phone, look, picture]]","[[fit phone look picture, -0.4973, 1]]"
B00WLT2ESY,[0.0],[5],[[]],"[[, 0.0, 5]]"
B00WMAOM0K,[0.9468],[5],"[[come, china, didnt, expect, quality, away, pad, fan, samuss, adventure, fan, collectionbr, shipping, great, less, week, china, california, expect, month, item, arrives, product, arrives, weekbr, br, quality, mat, mouse, padbr, quality, picture, imprint, mat, plastic, surfacebr, br, buy, againbr, yesbr, recommendbr, yes]]","[[come china didnt expect quality away pad fan samuss adventure fan collectionbr shipping great less week china california expect month item arrives product arrives weekbr br quality mat mouse padbr quality picture imprint mat plastic surfacebr br buy againbr yesbr recommendbr yes, 0.9468, 5]]"
B00WOA5HIY,[0.6369],[5],"[[freakin, love]]","[[freakin love, 0.6369, 5]]"
B00WOKRWNC,[0.9432],[5],"[[look, great, feel, nice, non, plastic, feel, happy]]","[[look great feel nice non plastic feel happy, 0.9432, 5]]"
B00WRFJ80E,"[0.7506, -0.5583, 0.0]","[4, 1, 1]","[[side, go], [earpiece, stop, work, weel, arrive], [break]]","[[side go, 0.7506, 4], [earpiece stop work weel arrive, -0.5583, 1], [break, 0.0, 1]]"
B00WV0R48S,[0.6428],[5],"[[case, performs, protect, lumia, xl, havent, try, belt, holder, satisfy]]","[[case performs protect lumia xl havent try belt holder satisfy, 0.6428, 5]]"
B00WY14OUK,[0.5563],[5],"[[case, person, tend, beat, phone, thing, take, drop, problem, kickstand, feature]]","[[case person tend beat phone thing take drop problem kickstand feature, 0.5563, 5]]"
B00WY9NTT4,[0.9382],[5],"[[case, fit, color, protects, phone]]","[[case fit color protects phone, 0.9382, 5]]"
B00XAF125O,[0.246],[4],"[[product, didnt, fit, phone]]","[[product didnt fit phone, 0.246, 4]]"
B00XHM8TPQ,[0.5719],[2],"[[case, star, corner, case, hold, phone, didnt, break, week, case, great]]","[[case star corner case hold phone didnt break week case great, 0.5719, 2]]"
B00XM2O11W,[0.8519],[5],[[look]],"[[look, 0.8519, 5]]"
B00XTZCKQK,"[0.6115, 0.0]","[5, 1]","[[product, work], [work, expect, happy, purchase]]","[[product work, 0.6115, 5], [work expect happy purchase, 0.0, 1]]"
B00Y760EHM,"[0.9485, 0.9558, 0.9654]","[5, 5, 5]","[[perfect, look, attache, vent, hook, phone, move, direction, need, love, love, love], [hibr, br, receive, iswivel, phone, holder, week, need, research, phone, holder, view, product, want, bulky, want, suction, cup, happy, current, set, look, steer, wheel, holder, option, feel, decide, product, hold, quality, claim, work, buying, wife, son, car, recommend, phone, holder, anyone], [purchase, couple, compete, product, holder, category, type, case, phone, way, position, phone, ventmount, holder, iswivel, attache, iphone, vary, position, gravel, road, travel, holder, drop, phone, bump, spot, swivel, add, bonus, clamp, bulky, case, cool, system, phone, thanks, matrix]]","[[perfect look attache vent hook phone move direction need love love love, 0.9485, 5], [hibr br receive iswivel phone holder week need research phone holder view product want bulky want suction cup happy current set look steer wheel holder option feel decide product hold quality claim work buying wife son car recommend phone holder anyone, 0.9558, 5], [purchase couple compete product holder category type case phone way position phone ventmount holder iswivel attache iphone vary position gravel road travel holder drop phone bump spot swivel add bonus clamp bulky case cool system phone thanks matrix, 0.9654, 5]]"
B00Y9IYABY,[0.8957],[5],"[[case, daughter, love, color, nice]]","[[case daughter love color nice, 0.8957, 5]]"
B00YG8OM42,[0.0],[5],[[describe]],"[[describe, 0.0, 5]]"
B00YSMER50,"[0.9451, -0.4767, 0.6249, 0.5719, 0.9079]","[4, 1, 5, 5, 4]","[[perfect], [galexy, open, audio, jack, side], [star, havent, run, rain, past, evening, fit, seems, go, work], [case, lifestyle, fit], [producteasy, insert, phone, access, phoneno, zipper, undono, cloudy, plastic, cover, scree]]","[[perfect, 0.9451, 4], [galexy open audio jack side, -0.4767, 1], [star havent run rain past evening fit seems go work, 0.6249, 5], [case lifestyle fit, 0.5719, 5], [producteasy insert phone access phoneno zipper undono cloudy plastic cover scree, 0.9079, 4]]"
B00YWER7K6,[0.5719],[4],"[[excellent, cover, samsung, galaxy, prime]]","[[excellent cover samsung galaxy prime, 0.5719, 4]]"
