B0002BEX8W,"[0.0, 0.5719]","[1, 5]","[[perfect, alpine, ilx, install, chevy, avalanche], [ueless, mei, buick, lesaber]]","[[perfect alpine ilx install chevy avalanche, 0.0, 1], [ueless mei buick lesaber, 0.5719, 5]]"
B004WOBN3I,"[0.6249, 0.6249]","[5, 5]","[[product], [dock, station]]","[[product, 0.6249, 5], [dock station, 0.6249, 5]]"
B0053T7MSQ,"[0.0, 0.4404]","[2, 5]","[[battery, werent, size, delived, time], [iit, o, battery]]","[[battery werent size delived time, 0.0, 2], [iit o battery, 0.4404, 5]]"
B005FLI78G,[-0.6369],[4],"[[get, pay, complain, product, need, price, want]]","[[get pay complain product need price want, -0.6369, 4]]"
B005G8O3YA,[0.0194],[2],"[[cant, beat, price, product, broke, day, purchase, dont, feel, price, cheap]]","[[cant beat price product broke day purchase dont feel price cheap, 0.0194, 2]]"
B005QTZR44,[0.785],[4],"[[packaging, cellphone, cover, doesnt, corner, fine, close, screen, protector, come, wipe, cloth, delivery, fast, cover, silver, surprise]]","[[packaging cellphone cover doesnt corner fine close screen protector come wipe cloth delivery fast cover silver surprise, 0.785, 4]]"
B005X3HIX6,[0.6115],[5],[[happy]],"[[happy, 0.6115, 5]]"
B006QMB3KW,[0.0],[5],[[]],"[[, 0.0, 5]]"
B007D6JW3A,"[0.886, 0.8955, 0.4404]","[3, 5, 5]","[[read, description, better, think, recharge, place, shown, image, doesnt, recharge, phone, speaker, sound, quality, good, cheap, guess, good, buy], [price, good, speaker, make, fact, fit, iphone, ipad, phone, purse], [price, pay]]","[[read description better think recharge place shown image doesnt recharge phone speaker sound quality good cheap guess good buy, 0.886, 3], [price good speaker make fact fit iphone ipad phone purse, 0.8955, 5], [price pay, 0.4404, 5]]"
B007INF67O,[0.8773],[5],"[[awesome, phonegood, gamingi, get, ten, year, sonbr, work, year, work, goodbr, thank]]","[[awesome phonegood gamingi get ten year sonbr work year work goodbr thank, 0.8773, 5]]"
B007NCJCTS,[-0.6186],[4],"[[experience, complaint, samsung, galaxy, blaze, flex, cover, doesnt, allow, access, phone, sim, card, slot, openaccess, slot, price, ll, live, modify, time]]","[[experience complaint samsung galaxy blaze flex cover doesnt allow access phone sim card slot openaccess slot price ll live modify time, -0.6186, 4]]"
B007SNNS4W,[0.4404],[5],"[[replace, boston, camaro, world, def, way, better]]","[[replace boston camaro world def way better, 0.4404, 5]]"
B008A83T0W,[0.4404],[4],"[[product, money]]","[[product money, 0.4404, 4]]"
B008TXCMFQ,[0.3612],[5],"[[powergen, battery, charger, come, night, light, activate, twice, come, micro, usb, build, amp, size, usb, recommed, everyone, purchase]]","[[powergen battery charger come night light activate twice come micro usb build amp size usb recommed everyone purchase, 0.3612, 5]]"
B0092HNN8I,[-0.7312],[2],"[[cool, bumper, doesnt, phone, break]]","[[cool bumper doesnt phone break, -0.7312, 2]]"
B009EJ92PC,"[0.4404, 0.7906, 0.8481, 0.9495, 0.4215, 0.6249, 0.2732, 0.7906, 0.6486, 0.9393]","[4, 5, 5, 5, 5, 4, 5, 5, 5, 5]","[[work, great, price], [product, great, vendor], [product, thanks], [nice, product, service], [work, great, tell], [look, screen, protector, feel, finger, slide, screen, nice, amount, tractionbr, get, sale, mess, put, protector, use, nd, use, rd, time, get, email, ask, replacement, bam, sent, pack, satisfy, purchase], [work], [clearl, nice, fit], [quality, screen, protector, installation, eliminate, dust, instruction, installation, process, provide, work, perfect, iphone, c, recommend, complaint], [work, screen, protecter, product, price]]","[[work great price, 0.4404, 4], [product great vendor, 0.7906, 5], [product thanks, 0.8481, 5], [nice product service, 0.9495, 5], [work great tell, 0.4215, 5], [look screen protector feel finger slide screen nice amount tractionbr get sale mess put protector use nd use rd time get email ask replacement bam sent pack satisfy purchase, 0.6249, 4], [work, 0.2732, 5], [clearl nice fit, 0.7906, 5], [quality screen protector installation eliminate dust instruction installation process provide work perfect iphone c recommend complaint, 0.6486, 5], [work screen protecter product price, 0.9393, 5]]"
B009IGNKAE,[0.1779],[4],"[[protects, describe, board, slide, longer, smooth, catch, work, youre]]","[[protects describe board slide longer smooth catch work youre, 0.1779, 4]]"
B00AAZ5N2A,[0.7351],[5],"[[glad, buy, order, go, save, daughter, christmas, present, heard, mine, go, order, go, give, husband, work, use, month, change, battery]]","[[glad buy order go save daughter christmas present heard mine go order go give husband work use month change battery, 0.7351, 5]]"
B00AR1V1WS,"[0.0772, -0.464]","[5, 3]","[[use, number, switch, cell, iphone, modify, exist, sim, skip, porting, hassle], [quality, good]]","[[use number switch cell iphone modify exist sim skip porting hassle, 0.0772, 5], [quality good, -0.464, 3]]"
B00ASQQ9VA,[0.296],[5],[[ok]],"[[ok, 0.296, 5]]"
B00BB4JPYQ,"[0.9378, 0.0]","[5, 1]","[[iphone, case, ive, upgrading, phone, back, less, wont, slide, ideal, rubbery, side, deliver, case, fit, phone, button, work, fine, case, accessory, flap, arent], [think, iphone, c, turn, cant, use]]","[[iphone case ive upgrading phone back less wont slide ideal rubbery side deliver case fit phone button work fine case accessory flap arent, 0.9378, 5], [think iphone c turn cant use, 0.0, 1]]"
B00BBYRI0O,[0.0],[2],[[cheap]],"[[cheap, 0.0, 2]]"
B00BCEK4CW,[0.5719],[5],"[[case, fit, excellent]]","[[case fit excellent, 0.5719, 5]]"
B00CTZHILI,[0.0],[5],[[suppose]],"[[suppose, 0.0, 5]]"
B00CZ7V3VQ,"[0.6369, 0.4404, 0.4215, -0.1531, -0.1531]","[5, 3, 3, 3, 1]","[[choice], [find, position, type, phone, holder, awkward], [husband, want, ok], [protectionsupport, phone, use, landscape, position, keep, phone, slide, fall]]","[[choice, 0.6369, 5], [find position type phone holder awkward, 0.4404, 3], [husband want ok, 0.4215, 3], [protectionsupport phone use landscape position keep phone slide fall, -0.1531, 3], [, -0.1531, 1]]"
B00DMRXR0S,[0.7574],[4],"[[replacement, battery, use, flip, phone, great, price, stay, charge]]","[[replacement battery use flip phone great price stay charge, 0.7574, 4]]"
B00DP0QZS8,[-0.6908],[5],"[[receive, battery, lg, time, charge, iserted, battery, lg, phonebr, phone, work, problem]]","[[receive battery lg time charge iserted battery lg phonebr phone work problem, -0.6908, 5]]"
B00E36D57C,[0.0],[4],"[[use, calling]]","[[use calling, 0.0, 4]]"
B00EZ60OEM,[0.4404],[5],[[stuff]],"[[stuff, 0.4404, 5]]"
B00FQ6UT5E,[0.9454],[4],"[[screen, protector, see, drop, phone, countless, time, screen, howeverbr, protector, chip, edge, drop, there, scratch, make, forbr, br, surface, feel, iphone, glass, great, display, iphone, protector, change, color, whatsoeverbr, br, edge, protector, bevel, round, screen, nice, cut, edge, extreme, r, glass, protector, edgebr, br, try, case, dont, think, life, otterbox, havent, try, sure]]","[[screen protector see drop phone countless time screen howeverbr protector chip edge drop there scratch make forbr br surface feel iphone glass great display iphone protector change color whatsoeverbr br edge protector bevel round screen nice cut edge extreme r glass protector edgebr br try case dont think life otterbox havent try sure, 0.9454, 4]]"
B00FQJCVSE,"[0.6249, 0.2732, 0.6369, 0.8591, 0.9783]","[5, 5, 5, 5, 5]","[[purchase, use, motorcycle, fit, bar, fine, phone, put, attempt, hop, get, bicycle, way, rid, bike, phone, escape], [dont, take, time, write, review, holder, great, hold, massive, iphone, catalyst, case, seem, sturdy, instillation, take, minute, top, tweak, camera, face, forward, depend, phone, product], [do], [note, work], [work]]","[[purchase use motorcycle fit bar fine phone put attempt hop get bicycle way rid bike phone escape, 0.6249, 5], [dont take time write review holder great hold massive iphone catalyst case seem sturdy instillation take minute top tweak camera face forward depend phone product, 0.2732, 5], [do, 0.6369, 5], [note work, 0.8591, 5], [work, 0.9783, 5]]"
B00G4C0RME,[0.7906],[5],"[[work, great, price]]","[[work great price, 0.7906, 5]]"
B00GGH153C,[0.5719],[5],"[[excellent, item]]","[[excellent item, 0.5719, 5]]"
B00GJ54TXY,[0.8316],[5],"[[expect, product, dad, love]]","[[expect product dad love, 0.8316, 5]]"
B00H1L3L3O,[0.765],[5],"[[fit, samsumg, note]]","[[fit samsumg note, 0.765, 5]]"
B00H3CPMRE,[0.0],[3],"[[bessel, felt, cheep, end, crack, attempting, put, iphone]]","[[bessel felt cheep end crack attempting put iphone, 0.0, 3]]"
B00HFEBSRI,"[-0.0973, 0.4215]","[3, 2]","[[item, work, product, phone, damage, repair, item, ship, time, come, excellent, condition], [nice, receive, work, screen]]","[[item work product phone damage repair item ship time come excellent condition, -0.0973, 3], [nice receive work screen, 0.4215, 2]]"
B00HI154M8,[0.0],[1],"[[iphones, tell, certify, take, charge]]","[[iphones tell certify take charge, 0.0, 1]]"
B00HQT9ETG,[-0.7774],[1],"[[take, week, ship, arrival, case, model, phone, jesus, message]]","[[take week ship arrival case model phone jesus message, -0.7774, 1]]"
B00HVR98PS,[0.6486],[2],[[flimsy]],"[[flimsy, 0.6486, 2]]"
B00HYSFRUY,[0.2732],[4],"[[make, discribed]]","[[make discribed, 0.2732, 4]]"
B00I0EO1LC,[-0.1027],[2],"[[get, pay, case, color, fade, part, didnt, design]]","[[get pay case color fade part didnt design, -0.1027, 2]]"
B00IBDOB5I,"[-0.8506, -0.6425, 0.0, 0.5719, 0.6369, -0.7218, -0.2732, -0.128, 0.991, 0.6249, -0.7319, -0.6737, 0.0, 0.3818, -0.8074]","[5, 1, 1, 5, 5, 5, 5, 4, 5, 5, 4, 1, 5, 1, 1]","[[purchase, approx, month, amazon, work, fine, lose, port, sure, happen, longer, work, wonder, drop, plug, surge, protector, stop, work], [update, receive, power, supply, sent, ankers, customer, support, work, week, concern, keep, customer, br, update, company, contact, get, faulty, unit, swap, post, updatesbr, br, review, start, fine, great, duty, trip, kenya, december, week, return, port, die, leave, connect, device, dead, battery, port, die, leave, work, worth, effort, return, get, die, way, read, review, port, die, buy], [system, charge, wire, place], [year, use, port, stop, workingbr, br, editbr, anker, customer, support, sent, replacement, faulty, device], [buy, think, replace, charger, bedside, guess, port, diedbr, disappoint, wouldnt, recommend, buyingbr, spent, money, time, research, product, nothingbr, shouldve, make, well, product, want], [month, defect, whatsoever, wire, buy, get, looseall, tend, stop, charge, wire, keep, fine, go, charging, speed, durability], [month, failure, top, failure, email, company, provide, detail, answer, request, complaint, company, resolve, problem, short, port, fail, useless, white, boxbr, update, company, contact, follow, review, post, sent, charger, work], [monthbr, port, usb, run, ], [buy, product, couldnt, get, plug, work, love, idea, review, product, state, issue, anker, team, become, customer, service, team, send, brand, device, charge, contact, step, way, make, sure, satisfy, mention, review, month, purchase, want, make, got, pay, product, team, recommend, isnt, sponsor], [star, product, port, die, use, br, heard, version, well, try], [want, compact, port, hold, usb, cable, get, hot, charge, pc, usb, port, brand, port, charger, use, use, port, package, perfect, simple, cardstock, box, minimal, waste, plastic, come, velcro, tie, attachedbr, br, anker, become, goto, company, type, product], [perfect], [item, consolidates, device, place], [use, time], [garbage, defective, product, port, workedbr, save, time, find, work, solution, find, work, radio, shack]]","[[purchase approx month amazon work fine lose port sure happen longer work wonder drop plug surge protector stop work, -0.8506, 5], [update receive power supply sent ankers customer support work week concern keep customer br update company contact get faulty unit swap post updatesbr br review start fine great duty trip kenya december week return port die leave connect device dead battery port die leave work worth effort return get die way read review port die buy, -0.6425, 1], [system charge wire place, 0.0, 1], [year use port stop workingbr br editbr anker customer support sent replacement faulty device, 0.5719, 5], [buy think replace charger bedside guess port diedbr disappoint wouldnt recommend buyingbr spent money time research product nothingbr shouldve make well product want, 0.6369, 5], [month defect whatsoever wire buy get looseall tend stop charge wire keep fine go charging speed durability, -0.7218, 5], [month failure top failure email company provide detail answer request complaint company resolve problem short port fail useless white boxbr update company contact follow review post sent charger work, -0.2732, 5], [monthbr port usb run , -0.128, 4], [buy product couldnt get plug work love idea review product state issue anker team become customer service team send brand device charge contact step way make sure satisfy mention review month purchase want make got pay product team recommend isnt sponsor, 0.991, 5], [star product port die use br heard version well try, 0.6249, 5], [want compact port hold usb cable get hot charge pc usb port brand port charger use use port package perfect simple cardstock box minimal waste plastic come velcro tie attachedbr br anker become goto company type product, -0.7319, 4], [perfect, -0.6737, 1], [item consolidates device place, 0.0, 5], [use time, 0.3818, 1], [garbage defective product port workedbr save time find work solution find work radio shack, -0.8074, 1]]"
B00IKHW9U4,[0.3818],[4],"[[help, protect, screen, scratch]]","[[help protect screen scratch, 0.3818, 4]]"
B00INKBS5A,[0.0],[2],"[[start, time, use]]","[[start time use, 0.0, 2]]"
