1059451522,[0.0],[3],"[[buy, family, member, mile, feed, end, user]]","[[buy family member mile feed end user, 0.0, 3]]"
B004YLZC9K,[0.6369],[5],[[expect]],"[[expect, 0.6369, 5]]"
B004ZMYA5A,[0.2023],[4],[[fine]],"[[fine, 0.2023, 4]]"
B005CG2ATQ,"[0.7147, -0.6908, 0.3716, 0.7958, 0.6249, 0.7543, 0.0, 0.6249, 0.6808, 0.3862, 0.9695, -0.4215]","[5, 1, 4, 5, 5, 2, 1, 5, 4, 5, 5, 1]","[[work, awesome, charge, charge, last, time], [backup, charge, convenient, travel, outlet, get, hot, doesnt, interfere, fast, charge, use, ipad, air, iphone, kindle], [charger, cant, plug, way, stop, charge, seems, connection, plug], [buy, back, december, work, charge, galaxy, tab, need, charge, week, stop, work, get, replacement, amazon, happen, buy, something, amazonbasics, program, neatbr, br, second, charger, work, charge, tablet, use, charge, qi, wireless, charge, pad, need, run, work, charge, smartphones, dont, require, power, lg, fuel, tiny, cheap, phone, galaxy, feature, fold, prong, inward, save, space, youre, travel, want, protect, get, youre, use, wish, wall, charger, thisbr, br, feel, know, desk, ft, fall, time, work, course, exterior, doesnt, make, difference, work, doesnt, br, order, working, suggest, get, replacement, skim, review, seem, amazonbasics, electronics, tend, hit, miss, get, product, work, get, something, defective, break, month], [work, great, charge, tablet, shape, limit, outlet, end, plug, power, strip], [cheap, inexpensive, cheap, wiggle, socket, weve, put, talk, night], [broke, day], [work, great], [sturdy, wall, charger, fit, wall, extension, cord, light, use, remind, take, outlet, use, save, energybr, use, amazon, kindle, fire, work], [work, great, office, issue, add, buy, apple, store], [work, month, seem, blow, fuse, something, fair, year, house, issue, nothing, quit], [simple, wall, charger, prong, build, quality, seems, excellent, verizon, lg, g, hasnt, complain, bit, charging, speed, little, stay, charger]]","[[work awesome charge charge last time, 0.7147, 5], [backup charge convenient travel outlet get hot doesnt interfere fast charge use ipad air iphone kindle, -0.6908, 1], [charger cant plug way stop charge seems connection plug, 0.3716, 4], [buy back december work charge galaxy tab need charge week stop work get replacement amazon happen buy something amazonbasics program neatbr br second charger work charge tablet use charge qi wireless charge pad need run work charge smartphones dont require power lg fuel tiny cheap phone galaxy feature fold prong inward save space youre travel want protect get youre use wish wall charger thisbr br feel know desk ft fall time work course exterior doesnt make difference work doesnt br order working suggest get replacement skim review seem amazonbasics electronics tend hit miss get product work get something defective break month, 0.7958, 5], [work great charge tablet shape limit outlet end plug power strip, 0.6249, 5], [cheap inexpensive cheap wiggle socket weve put talk night, 0.7543, 2], [broke day, 0.0, 1], [work great, 0.6249, 5], [sturdy wall charger fit wall extension cord light use remind take outlet use save energybr use amazon kindle fire work, 0.6808, 4], [work great office issue add buy apple store, 0.3862, 5], [work month seem blow fuse something fair year house issue nothing quit, 0.9695, 5], [simple wall charger prong build quality seems excellent verizon lg g hasnt complain bit charging speed little stay charger, -0.4215, 1]]"
B005PUUDJ8,[0.6249],[5],"[[describe, price, ship]]","[[describe price ship, 0.6249, 5]]"
B007UNULT0,[0.9589],[5],"[[product, work, onyx, car, radio, set, sound, great, ship, arrive, come, day, expect, look, sleek]]","[[product work onyx car radio set sound great ship arrive come day expect look sleek, 0.9589, 5]]"
B007WGFNNY,[0.6249],[5],[[case]],"[[case, 0.6249, 5]]"
B00822J004,[0.4404],[5],[[thanks]],"[[thanks, 0.4404, 5]]"
B0083JIY5S,[0.765],[5],"[[fit, galaxy, nexus, extend, battery, fine]]","[[fit galaxy nexus extend battery fine, 0.765, 5]]"
B008MM6YZ8,[-0.835],[1],"[[broke, day, get, went, put, broke, happy]]","[[broke day get went put broke happy, -0.835, 1]]"
B008TTCJOY,[0.967],[5],"[[thing, buy, use, hundred, time, save, life, road, trip, fit, ipad, adjust, mount, easy, use, great, value]]","[[thing buy use hundred time save life road trip fit ipad adjust mount easy use great value, 0.967, 5]]"
B008XRZD9U,"[-0.2755, 0.5029, 0.91, 0.6249, 0.8678, 0.0]","[2, 2, 4, 5, 4, 5]","[[cord, doesnt, fit], [bite, pain, get, cord, cute, love], [], [disappoint, cheap, look, assume, statue, compare, product, sale, piece, plastic, man, hollow, look, picture, see, arm, leg, line, explain, something, rudimentary, work, look, classy, way, store, phone, keep, look], [prosbr, look, cool, keep, wire, place, fall, floor, time, height, cell, phone, home, office, phone, let, see, notification, glance, pick, phone, time, type, use, voice, text, replybr, consbr, light, weight, pad, feet, bottom, keep, slide, slot, bit, amazon, basis, charge, cordbr, add, rubber, foot, house, stable, doesnt, slide, type, screen, press, home, button, jam, cord, slot, seem, fine, rubber, foot, give, bit], [product, arrive, earlier, expect]]","[[cord doesnt fit, -0.2755, 2], [bite pain get cord cute love, 0.5029, 2], [, 0.91, 4], [disappoint cheap look assume statue compare product sale piece plastic man hollow look picture see arm leg line explain something rudimentary work look classy way store phone keep look, 0.6249, 5], [prosbr look cool keep wire place fall floor time height cell phone home office phone let see notification glance pick phone time type use voice text replybr consbr light weight pad feet bottom keep slide slot bit amazon basis charge cordbr add rubber foot house stable doesnt slide type screen press home button jam cord slot seem fine rubber foot give bit, 0.8678, 4], [product arrive earlier expect, 0.0, 5]]"
B0096I0VXI,[0.4404],[5],[[thanks]],"[[thanks, 0.4404, 5]]"
B009BBD8RG,[0.7159],[5],[[fit]],"[[fit, 0.7159, 5]]"
B009H51OO0,[0.6124],[5],"[[gift, go]]","[[gift go, 0.6124, 5]]"
B009KZAUCO,"[-0.7845, 0.9086, 0.1901]","[2, 3, 2]","[[month, use, paint, rub, corner, chip, headphone, jack, thin, piece, volume, control, snap, perk, price, fit, size, need, replace], [case, feel, cheap, crumb, skin, get, stick, hole, drop, shatter, edge, case, poor, quality, rigidity, hole], [secure, fit, find, corner, pop, piece, volume, button, feel, go, break, shade, red, hole, dirt, get]]","[[month use paint rub corner chip headphone jack thin piece volume control snap perk price fit size need replace, -0.7845, 2], [case feel cheap crumb skin get stick hole drop shatter edge case poor quality rigidity hole, 0.9086, 3], [secure fit find corner pop piece volume button feel go break shade red hole dirt get, 0.1901, 2]]"
B009PUZ4GG,[0.9346],[4],"[[buy, case, purpose, add, minimum, protection, potential, scratch, phone, feel, safer, put, phone, hard, surface, feel, phone, slippery, hope, cover, help, grab, phone, better, help, phone, clean, environment, sand, cover, surface, phone, think, add, scratch, aluminum, light, thin, think, provide, protection, phone, drop]]","[[buy case purpose add minimum protection potential scratch phone feel safer put phone hard surface feel phone slippery hope cover help grab phone better help phone clean environment sand cover surface phone think add scratch aluminum light thin think provide protection phone drop, 0.9346, 4]]"
B009T0Q57Y,[0.5719],[5],[[perfect]],"[[perfect, 0.5719, 5]]"
B00A9LVB5I,[0.0],[5],"[[sleek, purchase, iphone]]","[[sleek purchase iphone, 0.0, 5]]"
B00AVFDBWS,[0.9753],[5],"[[love, love, perfect, phone, caseprotector, save, bacon, butt, good, otterboxthey, dont, make, galaxy, victorybr, cheaper, pay, phone, insurance, recommend, mention, price, wait, forbr, dont, wait, break, phone, buy, buy, buy]]","[[love love perfect phone caseprotector save bacon butt good otterboxthey dont make galaxy victorybr cheaper pay phone insurance recommend mention price wait forbr dont wait break phone buy buy buy, 0.9753, 5]]"
B00B6G8EVE,[0.0],[4],"[[seems, battery, battery]]","[[seems battery battery, 0.0, 4]]"
B00BCTER2U,[0.0],[4],[[describe]],"[[describe, 0.0, 4]]"
B00BRX8HVS,[0.7841],[5],"[[excellent, product, good, seller, ]]","[[excellent product good seller , 0.7841, 5]]"
B00BUHXQWQ,[-0.0811],[3],"[[ok, bluetooth, speaker, price, sound, quality, expect, way, product, price, pay, difference, bass, hop, w, speaker, guess, hopefull, miss, stuff, carryon, strap, plugins, come, speaker, power, cordbr, person, thats, sound, whole, life, recommend, product, sound, quality, bluetooth, signal, reachbr, go, return, get, something, pricy, get, sound, look, bluetooth, speaker, done, money, im, spending]]","[[ok bluetooth speaker price sound quality expect way product price pay difference bass hop w speaker guess hopefull miss stuff carryon strap plugins come speaker power cordbr person thats sound whole life recommend product sound quality bluetooth signal reachbr go return get something pricy get sound look bluetooth speaker done money im spending, -0.0811, 3]]"
B00C3LKM0W,[0.8213],[5],"[[wish, silver, chain, black, phone, case, wristlet]]","[[wish silver chain black phone case wristlet, 0.8213, 5]]"
B00C4VRYM0,"[0.743, 0.6249, 0.6249]","[5, 5, 5]","[[work, fast, look, convenient], [make]]","[[work fast look convenient, 0.743, 5], [make, 0.6249, 5], [, 0.6249, 5]]"
B00C8Q0176,[0.7543],[3],"[[swipe, page, use, cheap, writing]]","[[swipe page use cheap writing, 0.7543, 3]]"
B00CFU6OSK,[0.5994],[5],"[[sturdy, crystal, fall, use, gem, tack, glue, deal, quality, work]]","[[sturdy crystal fall use gem tack glue deal quality work, 0.5994, 5]]"
B00CZ75U24,[-0.5423],[1],"[[he, fell, put, phone, quality]]","[[he fell put phone quality, -0.5423, 1]]"
B00DF8835I,[0.6776],[5],"[[purchase, laptoptablet, replace, defective, verizon, tablet, want, jet, pack, use, size, sim, card, switch, account, fit, bill, connect, laptop, use, verizon, data, please]]","[[purchase laptoptablet replace defective verizon tablet want jet pack use size sim card switch account fit bill connect laptop use verizon data please, 0.6776, 5]]"
B00DP75R94,[0.5647],[3],"[[peel, side, get]]","[[peel side get, 0.5647, 3]]"
B00DQNZ2D8,"[0.7096, 0.5859]","[5, 4]","[[case, phone, button, phone, screen, casebr, clear, plastic, cover, protects, feature, case, holster], [fit, glove, phonebr, feel, safe, look, sleek, mine, site]]","[[case phone button phone screen casebr clear plastic cover protects feature case holster, 0.7096, 5], [fit glove phonebr feel safe look sleek mine site, 0.5859, 4]]"
B00EOKVYNY,[0.09],[4],"[[case, put, bill, bill, pocket, get]]","[[case put bill bill pocket get, 0.09, 4]]"
B00ESWBMVM,[0.8176],[5],"[[sleek, profiledoes, make, phone, feel, clunkyblue, color, look, fun, c, peek, underneath]]","[[sleek profiledoes make phone feel clunkyblue color look fun c peek underneath, 0.8176, 5]]"
B00F1F0392,[-0.5637],[4],"[[fit, perfect, version, phone, orange, mute, show, buy, hop, color, solittle, disappoint]]","[[fit perfect version phone orange mute show buy hop color solittle disappoint, -0.5637, 4]]"
B00F3N63O6,[0.6808],[3],"[[nice, case, like, opt, otterbox]]","[[nice case like opt otterbox, 0.6808, 3]]"
B00FRU0AGM,"[0.8777, 0.4939]","[5, 3]","[[seems], [alternative, install, bluetooth, car, truck, choose, station, antena, constant, background, transmitter, position, great, product, price]]","[[seems, 0.8777, 5], [alternative install bluetooth car truck choose station antena constant background transmitter position great product price, 0.4939, 3]]"
B00G2E733A,[0.6597],[3],"[[fingerprint, resistant, check, antiglare, checkbr, br, easy, application, waste, cover, try, get, dust, bubble, application, make, arent, size, seamless, mask, part, phone, screen, cant, slide, edge, aide, application, process, need, center]]","[[fingerprint resistant check antiglare checkbr br easy application waste cover try get dust bubble application make arent size seamless mask part phone screen cant slide edge aide application process need center, 0.6597, 3]]"
B00G3MTYK6,[0.6249],[5],"[[replacement, charger, intermittent, mini, hdmi, work, youtube, replace]]","[[replacement charger intermittent mini hdmi work youtube replace, 0.6249, 5]]"
B00G8S6V3I,[0.3182],[5],"[[way, cool]]","[[way cool, 0.3182, 5]]"
B00GBK6DZE,[0.6908],[5],"[[like, br, price, quality, fashionableshipping, arrive, week]]","[[like br price quality fashionableshipping arrive week, 0.6908, 5]]"
B00GKR4Z1M,[0.296],[5],"[[everything, ok, suggest, give, instruction, packet, ]]","[[everything ok suggest give instruction packet , 0.296, 5]]"
B00GMRCGN4,[0.0],[3],[[dark]],"[[dark, 0.0, 3]]"
B00GSWEUPA,[0.4927],[1],"[[case, inside, leather, fold, crack, break]]","[[case inside leather fold crack break, 0.4927, 1]]"
B00HJEHZTE,[0.9062],[5],"[[case, ipod, th, generation, fit, item, arrive, time, color]]","[[case ipod th generation fit item arrive time color, 0.9062, 5]]"
B00HN7K6DY,[0.2263],[3],"[[okay, start, chip, day]]","[[okay start chip day, 0.2263, 3]]"
B00IBI515W,"[0.6369, 0.6249, 0.8779]","[5, 4, 5]","[[money, good, expect, start, play, music, use, volume, button, phone, disappoint, volume, phone, set, held, button, remote, wow, speaker, handle, raise, volume, remote, leave, phone, volume, set], [work, great], [mount, speaker, motorcycle, work, friend, like, get, set]]","[[money good expect start play music use volume button phone disappoint volume phone set held button remote wow speaker handle raise volume remote leave phone volume set, 0.6369, 5], [work great, 0.6249, 4], [mount speaker motorcycle work friend like get set, 0.8779, 5]]"
B00IDETQVE,[-0.4939],[5],"[[duh, bomb, diggity]]","[[duh bomb diggity, -0.4939, 5]]"
B00INVRVC8,[0.5346],[3],"[[super, cute, way, went, past, frame, screen, bulky]]","[[super cute way went past frame screen bulky, 0.5346, 3]]"
B00IT5PF8U,[0.0],[1],"[[grow, didnt, come, crack]]","[[grow didnt come crack, 0.0, 1]]"
B00IWBVS78,"[-0.4215, 0.4404]","[1, 5]","[[clip, break]]","[[clip break, -0.4215, 1], [, 0.4404, 5]]"
B00IX3B9WE,"[0.9705, 0.9648]","[5, 5]","[[awesome, product, great, price, use, product, month, issue, connect, iphone, case, ipad, charger, love, length, come, handy, char, use, ipad, time, recommend, customer, service, didnt, charge, ship, replacement], [abuse, cable, child, steal, cable, abuse, friend, abuse, cable, immortalbr, br, ismooth, cable, perfect, get, month, life, great, become, murder, death, overuse, abusebr, br, malfunction, meet, connector, find, hold, keep, charging, pain, thestruggleisrealbr, br, sent, ismooth, quick, email, amazon, cable, malfunction, say, respond, sent, order, number, day, hassle, ship, charge, replacement, life, good, againbr, br, nothing, last, warranty, customer, service, getsbr, br, thanks, guy, turn, grief, happiness, guy, awesome]]","[[awesome product great price use product month issue connect iphone case ipad charger love length come handy char use ipad time recommend customer service didnt charge ship replacement, 0.9705, 5], [abuse cable child steal cable abuse friend abuse cable immortalbr br ismooth cable perfect get month life great become murder death overuse abusebr br malfunction meet connector find hold keep charging pain thestruggleisrealbr br sent ismooth quick email amazon cable malfunction say respond sent order number day hassle ship charge replacement life good againbr br nothing last warranty customer service getsbr br thanks guy turn grief happiness guy awesome, 0.9648, 5]]"
B00J9W5G9U,[-0.4404],[1],"[[cheap, turn, colorslooked, dirty, week]]","[[cheap turn colorslooked dirty week, -0.4404, 1]]"
B00JAWKPCW,"[0.6249, 0.6124]","[5, 1]","[[purchase, unit, year, use, tmesbr, battery, last, hour, hour, advertisedbr, request, replacement, deny, year, passedbr, customer, luck, expect, better, service, price], [work, great, look]]","[[purchase unit year use tmesbr battery last hour hour advertisedbr request replacement deny year passedbr customer luck expect better service price, 0.6249, 5], [work great look, 0.6124, 1]]"
B00JEU20LE,[-0.3412],[1],[[wish]],"[[wish, -0.3412, 1]]"
B00JGADT4Y,[0.9733],[5],"[[wydan, case, purchase, moto, g, ext, protective, case, fit, great, great, feel, longer, worry, phone, slip, hand, grip, secure, feel, love, color, black, wgreen, turquoise, whot, pink, color, make, find, phone, put, case, give, protection, drop, purchase]]","[[wydan case purchase moto g ext protective case fit great great feel longer worry phone slip hand grip secure feel love color black wgreen turquoise whot pink color make find phone put case give protection drop purchase, 0.9733, 5]]"
B00JLMRREK,[0.6249],[4],"[[working, remote, make, garmin, ride]]","[[working remote make garmin ride, 0.6249, 4]]"
B00JW7AUV6,"[0.6802, 0.7506, 0.9744, 0.7775, 0.765, 0.9371, 0.7593, -0.1318, 0.5994, 0.6249]","[5, 3, 5, 5, 5, 5, 4, 4, 5, 5]","[[phone, case, great, protect, phone, damage, capability, isnt, safe, submersion, water, good, keep, phone, secure, faucet, toilet, problem, isnt, whatsoever, place, phone, take, case, purchase, look, mixture, style, protection], [take, moment, figure, put, phone, screen, insert, case, bit, warp, fine, deal, glare, biggie, take, bit, beat, break, screen, protector], [want, fast, shipping, experience], [excelent, love], [im, happy, product, seller, describe, yet, bulky, love, color, fitbr, im, charge, phone, flap, top, battery, charge, port, knock, downside, reason, knock, star, charger, sure, try, different, one, hiccup, case], [awesome, case, good, better, otter, box], [case, super, get, phone, need, access, battery, sd, card], [excellent, shipment, wellbr, thanks], [excellent, fit, protect, phone], [case, come, say, thing, didnt, screen, come, take, case, work, bulky, fit, perfect, color, combo, buy, thank]]","[[phone case great protect phone damage capability isnt safe submersion water good keep phone secure faucet toilet problem isnt whatsoever place phone take case purchase look mixture style protection, 0.6802, 5], [take moment figure put phone screen insert case bit warp fine deal glare biggie take bit beat break screen protector, 0.7506, 3], [want fast shipping experience, 0.9744, 5], [excelent love, 0.7775, 5], [im happy product seller describe yet bulky love color fitbr im charge phone flap top battery charge port knock downside reason knock star charger sure try different one hiccup case, 0.765, 5], [awesome case good better otter box, 0.9371, 5], [case super get phone need access battery sd card, 0.7593, 4], [excellent shipment wellbr thanks, -0.1318, 4], [excellent fit protect phone, 0.5994, 5], [case come say thing didnt screen come take case work bulky fit perfect color combo buy thank, 0.6249, 5]]"
B00JYFSYGO,[0.3071],[4],"[[mistake, think, navigation, model, oh, instal, anyway, quality, product, discount, price]]","[[mistake think navigation model oh instal anyway quality product discount price, 0.3071, 4]]"
B00K7CQL0O,[0.6187],[5],"[[jl, grille, work, protector, sub, dent]]","[[jl grille work protector sub dent, 0.6187, 5]]"
B00KJ12BA2,[0.5719],[5],"[[fit, perfect, cummins]]","[[fit perfect cummins, 0.5719, 5]]"
B00KJ9UAH0,[-0.6369],[1],"[[screwdriver, need, point, order, package]]","[[screwdriver need point order package, -0.6369, 1]]"
B00KLQDQ1S,"[0.1012, -0.2732, 0.6249]","[3, 5, 5]","[[work, great, car], [update, post, review, seller, reach, offer, unit, cost, amaze, customer, service, seek, feedback, act, take, offer, test, unit, raise, rating, star, star, service, unit, function, rat, star, doubt, im, happybr, br, disappoint, gas, station, piece, charger, mention, charger, micro, usb, use, factory, samsung, usb, cable, ill, car, minutes, note, change, week, upgrade, note, return, quick, charge, enable, micro, usb, try, cable, port, seem, charge, im, go, assume, receive, damage, unit, order, charger, competitor, want, sure, problem, unit, car, cable, unit, prof, ill, seller, unit, build, look, sleek, light, pleasant, charge, decent, pace, wed, business], [profile, feature, work, advertise]]","[[work great car, 0.1012, 3], [update post review seller reach offer unit cost amaze customer service seek feedback act take offer test unit raise rating star star service unit function rat star doubt im happybr br disappoint gas station piece charger mention charger micro usb use factory samsung usb cable ill car minutes note change week upgrade note return quick charge enable micro usb try cable port seem charge im go assume receive damage unit order charger competitor want sure problem unit car cable unit prof ill seller unit build look sleek light pleasant charge decent pace wed business, -0.2732, 5], [profile feature work advertise, 0.6249, 5]]"
B00KP470J0,[-0.5216],[1],"[[fit, galaxy, way]]","[[fit galaxy way, -0.5216, 1]]"
B00KSRAYVK,[0.659],[4],"[[stay, clip, pocket, good, nice, grip, gripe, kick, stand, awkward, grip, inside, holder, catch, case, take]]","[[stay clip pocket good nice grip gripe kick stand awkward grip inside holder catch case take, 0.659, 4]]"
B00KW2IH0G,"[0.0, 0.6249, 0.8998, 0.0565, 0.2263]","[5, 5, 5, 2, 5]","[[case], [buy, chose, iphone, br, please, look, seems, provide, protection, swivel, clip, plusbr, price, reasonablebr, br, satisfy], [product, come, describe, price], [want, sturdy], [please, case, clip, seem, case, collect, ext, state, please]]","[[case, 0.0, 5], [buy chose iphone br please look seems provide protection swivel clip plusbr price reasonablebr br satisfy, 0.6249, 5], [product come describe price, 0.8998, 5], [want sturdy, 0.0565, 2], [please case clip seem case collect ext state please, 0.2263, 5]]"
B00KW4FVE4,[-0.4619],[1],"[[unit, correct, attempt, put, glass, place, crack, pressure]]","[[unit correct attempt put glass place crack pressure, -0.4619, 1]]"
B00L111GRI,[-0.177],[3],"[[ok, work]]","[[ok work, -0.177, 3]]"
B00L5T8BWE,[0.9467],[5],"[[thank, galaxy, mage, case, nice, wife, love, lot, thank]]","[[thank galaxy mage case nice wife love lot thank, 0.9467, 5]]"
B00L7SV6WU,"[0.5859, 0.743, 0.6369]","[5, 5, 5]","[[work, expect, sound, installation, plenty, cable, length, hide], [work]]","[[work expect sound installation plenty cable length hide, 0.5859, 5], [work, 0.743, 5], [, 0.6369, 5]]"
B00LBNTNBW,[0.6249],[5],[[shown]],"[[shown, 0.6249, 5]]"
B00LIU09FM,"[0.4404, 0.1406]","[5, 4]","[[time, put, got, hang], [expect, price]]","[[time put got hang, 0.4404, 5], [expect price, 0.1406, 4]]"
B00LKPJRP8,"[0.4215, 0.6249]","[5, 5]","[[work, provide, everything, need, repair, lcd, screen, front, glass], [work, peachy, save, bunch, money]]","[[work provide everything need repair lcd screen front glass, 0.4215, 5], [work peachy save bunch money, 0.6249, 5]]"
B00LU3ND3C,"[0.5719, -0.1027]","[5, 3]","[[flimsy, material, part, break, day, usage, cheap, reason], [work, perfect, truck]]","[[flimsy material part break day usage cheap reason, 0.5719, 5], [work perfect truck, -0.1027, 3]]"
B00M2EOUJ4,[0.5719],[5],"[[perfect, fitfast, delivery]]","[[perfect fitfast delivery, 0.5719, 5]]"
B00M39639S,[0.0],[5],"[[ship, quality, product]]","[[ship quality product, 0.0, 5]]"
B00MGA00K2,"[0.4215, 0.1655]","[3, 2]","[[nice, look, deliver, statedbut, buy, inside, holder, didnt, hold, couple, week], [feel, hard, quality, price]]","[[nice look deliver statedbut buy inside holder didnt hold couple week, 0.4215, 3], [feel hard quality price, 0.1655, 2]]"
B00MNFOHAO,"[-0.4215, 0.6891, 0.7837]","[5, 4, 5]","[[drop, phone, time, scratch, phone, say, back, scratch, part, home, button, charge, port, tear, case, torn], [case, money, scuff, compare, luvvitt, case], [build, case]]","[[drop phone time scratch phone say back scratch part home button charge port tear case torn, -0.4215, 5], [case money scuff compare luvvitt case, 0.6891, 4], [build case, 0.7837, 5]]"
B00MQSIT7U,"[-0.3404, 0.0]","[2, 3]","[[magnet, close, time, order, item, cuz, love, design, disappoint], [give, product, star, last, month, use, purchase, replace]]","[[magnet close time order item cuz love design disappoint, -0.3404, 2], [give product star last month use purchase replace, 0.0, 3]]"
B00MRIXBYA,[0.6369],[5],"[[kickstand, come, handy]]","[[kickstand come handy, 0.6369, 5]]"
B00MRM5CG6,[-0.6808],[3],"[[protectionvery, limit, shock, drop, protection]]","[[protectionvery limit shock drop protection, -0.6808, 3]]"
B00MU2UC72,[0.0],[5],"[[work, greateasy]]","[[work greateasy, 0.0, 5]]"
B00MUQ995E,[0.3818],[4],"[[case, doesnt, provide, protection, phone, fall, face]]","[[case doesnt provide protection phone fall face, 0.3818, 4]]"
B00MV4JAJK,[-0.2382],[5],"[[buy, case, makeup, box, box, sturdy, basic, ever, want, use, anything, come, foam, insert, didnt, use, latch, take, bit, pressure, close, seem, tight, complaint]]","[[buy case makeup box box sturdy basic ever want use anything come foam insert didnt use latch take bit pressure close seem tight complaint, -0.2382, 5]]"
B00MWA76OY,[-0.6315],[1],"[[wrap, tail, print, side, front, panel, scuff, mark, side, corner, wear, spot, look, use, pry, mark, edge, someone, pull, phone, impress]]","[[wrap tail print side front panel scuff mark side corner wear spot look use pry mark edge someone pull phone impress, -0.6315, 1]]"
