1059241536,[-0.7559],[1],"[[poor, break, day]]","[[poor break day, -0.7559, 1]]"
B0055XNWJI,[0.5574],[1],"[[sd, card, deficient, read, instal, gps, get, message, say, read, card, something, happen, shipping, storage, amazon, demagnified, card, accord, garmin, tech, support, get, call, people, buy, amazon, problem, return, quick, painless]]","[[sd card deficient read instal gps get message say read card something happen shipping storage amazon demagnified card accord garmin tech support get call people buy amazon problem return quick painless, 0.5574, 1]]"
B005G8WTH8,[0.872],[5],"[[purchase, go, clip, make, maneuvering]]","[[purchase go clip make maneuvering, 0.872, 5]]"
B005L3M5P4,[0.9504],[5],"[[sony, ericsson, live, walkman, wti, buy, steal, found, sale, fake, im, purchase, fall, love, model, phone, problem, battery, charge, id, say, run, people, problem, problem, say, phone, dont, remember, anyway, phone, great, great, time, price, justify, quality]]","[[sony ericsson live walkman wti buy steal found sale fake im purchase fall love model phone problem battery charge id say run people problem problem say phone dont remember anyway phone great great time price justify quality, 0.9504, 5]]"
B005Q65ZIK,"[0.8674, 0.6249, 0.7741, 0.5719, -0.2944, 0.9526, 0.575, 0.762, 0.7717, 0.6249, 0.0516, 0.0]","[3, 5, 4, 5, 2, 3, 5, 4, 5, 1, 5, 3]","[[picture, quality], [awesome, product, price, crisp, clear, view], [picture, ok, wasnt, go, bought, price, worth], [camera, install, camera], [factory, camera, work, night], [buy, camara, work, went, screen, ], [camera, work, problem, time, tell, quality], [im, sure, sent, model, something, mine, degree, know, look, isnt, guess, degree, time, get, car, wash, condensation, lens, infrared, part, there, condensation, time, rain, night, vision, awful, cant, see, night, tail, light, glare, night, vision, pick, work, cold, get, degree, year, see, perform, get, weather, condition, work, expect, well, quality], [work, line, picture, power, system, car, star, power, cord, pigtail, inside, car, plug, power, cord, slip, twice, hour, trip], [limit, view, degree, degree], [update, star, thecustomer, service, resolving, issue, buy, interference, fuzzy, screen, email, send, work, week, went, pure, white, screen, whenever, activate, quit, work], [excellent, camera, everyone]]","[[picture quality, 0.8674, 3], [awesome product price crisp clear view, 0.6249, 5], [picture ok wasnt go bought price worth, 0.7741, 4], [camera install camera, 0.5719, 5], [factory camera work night, -0.2944, 2], [buy camara work went screen , 0.9526, 3], [camera work problem time tell quality, 0.575, 5], [im sure sent model something mine degree know look isnt guess degree time get car wash condensation lens infrared part there condensation time rain night vision awful cant see night tail light glare night vision pick work cold get degree year see perform get weather condition work expect well quality, 0.762, 4], [work line picture power system car star power cord pigtail inside car plug power cord slip twice hour trip, 0.7717, 5], [limit view degree degree, 0.6249, 1], [update star thecustomer service resolving issue buy interference fuzzy screen email send work week went pure white screen whenever activate quit work, 0.0516, 5], [excellent camera everyone, 0.0, 3]]"
B005VNJQZG,"[0.0, 0.6249]","[3, 5]","[[orderedfit], [flimsy, end, buy, mom, offer, bit, protection]]","[[orderedfit, 0.0, 3], [flimsy end buy mom offer bit protection, 0.6249, 5]]"
B00642EWMU,[0.8748],[5],"[[receive, product, time, find, expect, crispy, product, come, battery, charger, work, carrier, intend, purchase, post, question, seller, regard, product, get, minute]]","[[receive product time find expect crispy product come battery charger work carrier intend purchase post question seller regard product get minute, 0.8748, 5]]"
B0068W6MTC,[0.6249],[5],"[[work, great, ship, fast]]","[[work great ship fast, 0.6249, 5]]"
B006M49G80,[0.6213],[5],"[[hour, use, battery, v, adapter, case, seem, awareness, piper, cherokee, pair, work, ipad, io]]","[[hour use battery v adapter case seem awareness piper cherokee pair work ipad io, 0.6213, 5]]"
B0074SQUBY,"[-0.8625, 0.8737]","[1, 5]","[[phone, day, die, day, stop, work, button, break, waste, fifty, buck], [service, satisfy, recommend, anyone]]","[[phone day die day stop work button break waste fifty buck, -0.8625, 1], [service satisfy recommend anyone, 0.8737, 5]]"
B007D43FNU,[0.9126],[5],"[[year, amaze, make, c, fun, setting, change, rpm, mode, awesome, price, im, berry, happy, take, minute, install, worth, recommend, product]]","[[year amaze make c fun setting change rpm mode awesome price im berry happy take minute install worth recommend product, 0.9126, 5]]"
B007I7IJQA,[0.7964],[5],"[[snap, flip, phone, stay, fit]]","[[snap flip phone stay fit, 0.7964, 5]]"
B007JVKH1A,[0.6249],[5],"[[price, work]]","[[price work, 0.6249, 5]]"
B007UXR954,[0.9218],[5],"[[amaze, take, charge, worth, run, phone, day, switch, power, hungry, apps, get, x, use, iphone, battery, drain, use, spotify, strava, hr, bike, ride, get, hr, strava, hr, spotify, morebr, br, replace, battery, case, price, hold, charge, originalbr, br, perfect, price, power, start, productbr, br, prosbr, ton, juicebr, power, button, nothing, turn, offbr, cheapbr, rubbery, material, sticky, doesnt, slidebr, rugged, protect, phonebr, come, screen, protectorbr, br, consbr, power, button, cant, save, juice, laterbr, openclose, bit, stiff, frequent, removersbr, rubbery, material, sticky, doesnt, slide, pocket]]","[[amaze take charge worth run phone day switch power hungry apps get x use iphone battery drain use spotify strava hr bike ride get hr strava hr spotify morebr br replace battery case price hold charge originalbr br perfect price power start productbr br prosbr ton juicebr power button nothing turn offbr cheapbr rubbery material sticky doesnt slidebr rugged protect phonebr come screen protectorbr br consbr power button cant save juice laterbr openclose bit stiff frequent removersbr rubbery material sticky doesnt slide pocket, 0.9218, 5]]"
B008CFBA36,[0.2732],[5],"[[work, advertise]]","[[work advertise, 0.2732, 5]]"
B008LIR71S,[0.5719],[5],[[perfect]],"[[perfect, 0.5719, 5]]"
B008N6XUEQ,[-0.0869],[1],"[[dont, waste, thisvisibility, screen, day, zerosound, radar, detector, own, seller, great, product, good]]","[[dont waste thisvisibility screen day zerosound radar detector own seller great product good, -0.0869, 1]]"
B0093IHZBC,[0.4754],[4],[[nice]],"[[nice, 0.4754, 4]]"
B009CJ6YR8,[0.6124],[5],"[[product, deliver, describe, promise, thank]]","[[product deliver describe promise thank, 0.6124, 5]]"
B009SW6RDA,[0.8834],[5],"[[awesome, perfect, fit]]","[[awesome perfect fit, 0.8834, 5]]"
B00ATTC35W,[0.9509],[5],"[[screen, protector, purchase, feel, glass, screen, protector, smudge, one, hope, mine]]","[[screen protector purchase feel glass screen protector smudge one hope mine, 0.9509, 5]]"
B00AW46260,[0.3612],[5],"[[feature, keep, connect, fact, get, wet]]","[[feature keep connect fact get wet, 0.3612, 5]]"
B00B0QXGB8,[0.6249],[5],"[[great, case, work]]","[[great case work, 0.6249, 5]]"
B00C9UNRG8,[0.4404],[5],"[[case, work, keep, dirt, water, protects, drop, steeler, color, say]]","[[case work keep dirt water protects drop steeler color say, 0.4404, 5]]"
B00D8YZ2SA,[-0.802],[5],"[[feel, sturdy, work, handy, tool, work, break, phone, mouse, otg, allow, unlock, wipe, device, shatter, screen, break, digitizer]]","[[feel sturdy work handy tool work break phone mouse otg allow unlock wipe device shatter screen break digitizer, -0.802, 5]]"
B00DVKORYG,"[0.85, 0.9824]","[4, 5]","[[device, own, left, vacation, home, felt, worth, buying, wait, retrieve, futurebr, battery, life, great, sound, easy, carry, size, heavy, size, account, battery, life, good, sound, travel, go, iphone, ipad, laptop, stream, music, pandora, music, source, goto, present, schoolcollege, grad, frequent, travelerbr, listen, book, tape, move, house, sound, love, bet, great, product], [reason, come, week, trip, husband, carry, bose, speaker, gift, sure, bose, sound, richer, price, point, difference, delight, mini, jawbone, buy, grandson, christmas]]","[[device own left vacation home felt worth buying wait retrieve futurebr battery life great sound easy carry size heavy size account battery life good sound travel go iphone ipad laptop stream music pandora music source goto present schoolcollege grad frequent travelerbr listen book tape move house sound love bet great product, 0.85, 4], [reason come week trip husband carry bose speaker gift sure bose sound richer price point difference delight mini jawbone buy grandson christmas, 0.9824, 5]]"
B00E0GV9H8,"[0.8016, 0.6361]","[4, 5]","[[love, longer, im, develop, thumb, index, finger], [like, item, deliver, time, home, work]]","[[love longer im develop thumb index finger, 0.8016, 4], [like item deliver time home work, 0.6361, 5]]"
B00EFENW0M,"[0.7089, 0.2467]","[4, 4]","[[difficult, plug, phone, receptacle, otherwise, good, charger], [make, charge, phone, beside, help, keep, organize, desk, think, see, u, iphone, audio, jack, bottom, u, charge, phone, listen, music]]","[[difficult plug phone receptacle otherwise good charger, 0.7089, 4], [make charge phone beside help keep organize desk think see u iphone audio jack bottom u charge phone listen music, 0.2467, 4]]"
B00EH8ELNI,"[0.8977, 0.923, 0.512, 0.6997, -0.128]","[5, 5, 5, 5, 5]","[[get, iphone, replace, power, cord, need, multiple, cord, stage, car, office, bedroom, etc, etc, try, multiple, vendor, shock, see, didnt, work, fail, get, armor, tell, quality, use, office, desk, get, yank, stretch, cord, recommend], [order, product, need, cord, disappoint, go, surge, protector, bed, sleep, side, limit, cord, recommend, people, sleep, phone, want, get, charge], [cord, own, rugged, super, recommend, cord, plan, purchase, foot, cord, different, color], [need, mifi, certify], [work, fine, meam, happy, get, themi, didnt, throw, money]]","[[get iphone replace power cord need multiple cord stage car office bedroom etc etc try multiple vendor shock see didnt work fail get armor tell quality use office desk get yank stretch cord recommend, 0.8977, 5], [order product need cord disappoint go surge protector bed sleep side limit cord recommend people sleep phone want get charge, 0.923, 5], [cord own rugged super recommend cord plan purchase foot cord different color, 0.512, 5], [need mifi certify, 0.6997, 5], [work fine meam happy get themi didnt throw money, -0.128, 5]]"
B00EL6YQGS,[-0.2755],[3],"[[doesnt, fit]]","[[doesnt fit, -0.2755, 3]]"
B00F27CY4Q,"[0.7579, 0.3612]","[5, 5]","[[excellent, protection, smartphone, ive, use, year, scratch, slim], [year, case, go, save, phone, dozen, time, drop, phone]]","[[excellent protection smartphone ive use year scratch slim, 0.7579, 5], [year case go save phone dozen time drop phone, 0.3612, 5]]"
B00FFT0KQK,"[0.4215, -0.8074]","[5, 1]","[[buy, accident, hat], [nice]]","[[buy accident hat, 0.4215, 5], [nice, -0.8074, 1]]"
B00GAN4AYS,[-0.4215],[1],"[[case, receive, kickstand, state, description, look, missing, kickstand, get, wristlet, come]]","[[case receive kickstand state description look missing kickstand get wristlet come, -0.4215, 1]]"
B00GDF7AT0,[0.9517],[5],"[[awesome, gift, man, give, teen, love, make, look, know, whats, go, onwin, win]]","[[awesome gift man give teen love make look know whats go onwin win, 0.9517, 5]]"
B00GG64ZIU,[0.7755],[5],"[[protect, tablet]]","[[protect tablet, 0.7755, 5]]"
B00GIQ8GOC,[0.2023],[5],"[[work, good, charge]]","[[work good charge, 0.2023, 5]]"
B00GS475K0,[0.9501],[5],"[[case, perfect, color, great, quality, price, protects, screen, doesnt, get, stretch]]","[[case perfect color great quality price protects screen doesnt get stretch, 0.9501, 5]]"
B00GX49AG2,[0.6249],[5],"[[cheap, monitor, backup, camera, system, pair, cam, work, greatbr, br, asinbehdjs, esky, ec, definition, color, ccd, car, backup, camera, vechile, rear, view, camera, degree, view, angle, lab, update, version]]","[[cheap monitor backup camera system pair cam work greatbr br asinbehdjs esky ec definition color ccd car backup camera vechile rear view camera degree view angle lab update version, 0.6249, 5]]"
B00H2K9BBU,[0.9184],[5],"[[graduation, gift, pilot, elatedsaid, grad, gift]]","[[graduation gift pilot elatedsaid grad gift, 0.9184, 5]]"
B00HFEJNNO,"[0.3246, 0.6249, -0.4767, 0.0, 0.6124, 0.6486, -0.0451, 0.8316, -0.6801, 0.2716, 0.0, -0.5717, 0.7845, 0.7546, 0.4404, 0.7105, 0.7579, 0.0]","[5, 5, 1, 1, 5, 5, 1, 4, 1, 5, 5, 1, 5, 5, 5, 5, 5, 1]","[[work, samsung], [charge, nexus, please], [need], [nice, finish, work, ok, galaxy, need, device, car, usb, plug], [work, return], [charger, money], [money, cant, job], [overheats, phone], [work, good], [perfect, work], [excellent, nice, price], [junkity, junk, junk, fail, charge, phone, broke, outright, kind, product, make, think, twice, buy, amazon, sent, price, wasnt, worth, time, effort, send], [nd, purchase, charger, husband, want, car, coil, cord, cant, talk, drive, use, blu, tooth, anyway, check, push, way, time, hook, phone, charger, make, indicator, light, let, know, set], [connection, phone, get, spotty, week, cord, make, super, frustrate, use, worthless], [excellent, charger, great, price, charge, fire, phone, kindle], [stop, work, week, im, disappoint, product], [wish, cord, inch, sometime, perfect, item, charge, phone, car], [dont, get, benefit, situation, great, car, case, backup]]","[[work samsung, 0.3246, 5], [charge nexus please, 0.6249, 5], [need, -0.4767, 1], [nice finish work ok galaxy need device car usb plug, 0.0, 1], [work return, 0.6124, 5], [charger money, 0.6486, 5], [money cant job, -0.0451, 1], [overheats phone, 0.8316, 4], [work good, -0.6801, 1], [perfect work, 0.2716, 5], [excellent nice price, 0.0, 5], [junkity junk junk fail charge phone broke outright kind product make think twice buy amazon sent price wasnt worth time effort send, -0.5717, 1], [nd purchase charger husband want car coil cord cant talk drive use blu tooth anyway check push way time hook phone charger make indicator light let know set, 0.7845, 5], [connection phone get spotty week cord make super frustrate use worthless, 0.7546, 5], [excellent charger great price charge fire phone kindle, 0.4404, 5], [stop work week im disappoint product, 0.7105, 5], [wish cord inch sometime perfect item charge phone car, 0.7579, 5], [dont get benefit situation great car case backup, 0.0, 1]]"
B00HT6GGNS,"[0.4215, 0.0, 0.9274, 0.6369]","[5, 2, 5, 5]","[[nice, fast, delivery], [price, love, case, good, value], [color], [return, soft, shell, part, soft, rubber, shouldnt, describe, item, seem, ]]","[[nice fast delivery, 0.4215, 5], [price love case good value, 0.0, 2], [color, 0.9274, 5], [return soft shell part soft rubber shouldnt describe item seem , 0.6369, 5]]"
B00IA9IMSA,[0.6433],[5],"[[buy, stereo, toyota, corolla, faceplate, change, color, zone, sirius, xm, music, time, know, option, play, form, phone, sirius, xm, radio, cd, mp, pandora, iheart, radio, aux, wont, disappoint]]","[[buy stereo toyota corolla faceplate change color zone sirius xm music time know option play form phone sirius xm radio cd mp pandora iheart radio aux wont disappoint, 0.6433, 5]]"
B00J22DQKS,"[0.2919, 0.0, -0.8977, 0.5334, 0.0]","[5, 2, 1, 1, 1]","[[fix, iphone, nightmare, help, give, need, fix, fair, price], [phone, work, dead, pixel], [thick, home, button], [take, install, done, blemish, corner, start, fail, hour, fail, hoursbr, br, sent, feedback, response, product, junk, waste, time], [didnt, work, say, trash, donation, ]]","[[fix iphone nightmare help give need fix fair price, 0.2919, 5], [phone work dead pixel, 0.0, 2], [thick home button, -0.8977, 1], [take install done blemish corner start fail hour fail hoursbr br sent feedback response product junk waste time, 0.5334, 1], [didnt work say trash donation , 0.0, 1]]"
B00J63HAAA,[0.9423],[5],"[[love, love, star, sure]]","[[love love star sure, 0.9423, 5]]"
B00J63ZVJC,[0.5574],[5],"[[fit, phone, look, picture]]","[[fit phone look picture, 0.5574, 5]]"
B00J7QNVBS,[0.5499],[3],"[[wish, fit, phone, better, get, lot, attention]]","[[wish fit phone better get lot attention, 0.5499, 3]]"
B00J91MMFC,[0.9459],[3],"[[winnie, pooh, okay, methe, quality, look, cheapi, understand, material, make, price, costit, spouse, lg, g, cellphone, love, design, cutie]]","[[winnie pooh okay methe quality look cheapi understand material make price costit spouse lg g cellphone love design cutie, 0.9459, 3]]"
B00JOZWIQ6,[0.3612],[5],"[[pod, look, ]]","[[pod look , 0.3612, 5]]"
B00JT1MVEE,[0.91],[5],"[[fit, daughter, droid, max, case, provide, protection, drop, bulky, pocket, access, button, excellent, price]]","[[fit daughter droid max case provide protection drop bulky pocket access button excellent price, 0.91, 5]]"
B00JYKGDUS,"[0.9726, 0.9682, 0.0, 0.7845]","[5, 4, 1, 4]","[[light, flimsy], [buy, daughter, like, lot, nice, thin, design, protects, phone, scratch], [quick, shipping, package, case, fit, place, phone, screen, protector, hope, help, screen, bit, concern, protection, need, falldrop, hope, color, price], [review, felt, amazing, case, klutz, drop, phone, everyday, case, perfect, dont, know, time, ive, drop, phone, screen, screen, bulky, fit]]","[[light flimsy, 0.9726, 5], [buy daughter like lot nice thin design protects phone scratch, 0.9682, 4], [quick shipping package case fit place phone screen protector hope help screen bit concern protection need falldrop hope color price, 0.0, 1], [review felt amazing case klutz drop phone everyday case perfect dont know time ive drop phone screen screen bulky fit, 0.7845, 4]]"
B00K4PLHK8,[-0.1226],[1],"[[think, get, braid, cord, longevity, crummy, part, cord, connector, week, use, longer, charge, nexus, nexus, note, damage, connector, phone, tablet, buy, cord, super, cheap, chinese, crap]]","[[think get braid cord longevity crummy part cord connector week use longer charge nexus nexus note damage connector phone tablet buy cord super cheap chinese crap, -0.1226, 1]]"
B00KBW8GGM,[0.8887],[5],"[[antenna, baofeng, hit, repeater, mile, house, w, gt, signal, clean, side, better, rubd]]","[[antenna baofeng hit repeater mile house w gt signal clean side better rubd, 0.8887, 5]]"
B00KBWGXKS,[-0.6123],[5],"[[quality, sound]]","[[quality sound, -0.6123, 5]]"
B00KHPDQ5E,[0.6369],[5],"[[work, expect, respect, brand]]","[[work expect respect brand, 0.6369, 5]]"
B00KKAD642,[0.5719],[4],"[[work, perfect]]","[[work perfect, 0.5719, 4]]"
B00KL12LNM,[0.6249],[5],[[work]],"[[work, 0.6249, 5]]"
B00KLSXI50,[0.6871],[3],"[[disappoint, case, im, disappoint, amazon, purchase, material, felt, way, cheaper, expect, color, deep, purple, picture, dull, version, light, purple, bottom, color, palate, buy, rock, wireless, case, half, price, love, buy, anyway, smart, circle, case, concept, find, magnetize, price]]","[[disappoint case im disappoint amazon purchase material felt way cheaper expect color deep purple picture dull version light purple bottom color palate buy rock wireless case half price love buy anyway smart circle case concept find magnetize price, 0.6871, 3]]"
B00KQ7UL2E,[0.4215],[4],[[nice]],"[[nice, 0.4215, 4]]"
B00KSB6SM0,[0.5719],[5],"[[fit, perfect]]","[[fit perfect, 0.5719, 5]]"
B00KXKJRTC,"[0.9415, 0.6486, 0.6361]","[5, 5, 5]","[[product, charge, quick, give, charge, recommend, buying, mah, target], [use, couple, time, time, use, product, charge, phone, charge, plug, give, juice, trek], [product, charge, charge, phone, faster, plug, laptop, wall, battery, last, time, travel, month, location, come, charge, phone, fit, bag, power, charge, phone, multiple, charge, offer, friend, phone, juice, hold, recommend, product, worth, price]]","[[product charge quick give charge recommend buying mah target, 0.9415, 5], [use couple time time use product charge phone charge plug give juice trek, 0.6486, 5], [product charge charge phone faster plug laptop wall battery last time travel month location come charge phone fit bag power charge phone multiple charge offer friend phone juice hold recommend product worth price, 0.6361, 5]]"
B00L0S7A68,[-0.6115],[3],"[[magnet, attache, side, card, put, card, backwards, strip, get, fine, otherwise, wipe, card, get, offer, protection, fell, pocket, shatter, screen, hit, floor]]","[[magnet attache side card put card backwards strip get fine otherwise wipe card get offer protection fell pocket shatter screen hit floor, -0.6115, 3]]"
B00L88ND84,[0.2382],[4],"[[didnt, cant, use]]","[[didnt cant use, 0.2382, 4]]"
B00LAPTWE4,[0.9001],[5],"[[fit, value]]","[[fit value, 0.9001, 5]]"
B00LDDE4LY,[0.4404],[4],"[[quality, price]]","[[quality price, 0.4404, 4]]"
B00LJ116ZM,[0.4215],[5],[[nice]],"[[nice, 0.4215, 5]]"
B00LJ7AB5C,[0.5719],[5],[[perfect]],"[[perfect, 0.5719, 5]]"
B00LVFTA36,[0.6249],[5],"[[work, awesome, buy]]","[[work awesome buy, 0.6249, 5]]"
B00MG214JG,"[0.25, 0.0]","[1, 1]","[[break, fast, didnt, work], [handle, pin, come, loose, daysis, replacement]]","[[break fast didnt work, 0.25, 1], [handle pin come loose daysis replacement, 0.0, 1]]"
B00MGRAOGK,[0.4754],[5],"[[nice, case]]","[[nice case, 0.4754, 5]]"
B00MI8UZPW,"[0.3811, 0.25, 0.6249]","[3, 3, 5]","[[delivery, great, product], [crack], [love, get, day, own, use, went, take, debit, card, inside, take, back, piece, split, half, buy, plastic, break]]","[[delivery great product, 0.3811, 3], [crack, 0.25, 3], [love get day own use went take debit card inside take back piece split half buy plastic break, 0.6249, 5]]"
B00MOS8YMW,[0.6249],[5],[[awesome]],"[[awesome, 0.6249, 5]]"
B00MPRTZP2,[0.7146],[5],"[[product, recommend]]","[[product recommend, 0.7146, 5]]"
B00MQX0VLM,[-0.4973],[3],"[[product, didnt, work, need, say, isnt, good, product, didnt, work, application]]","[[product didnt work need say isnt good product didnt work application, -0.4973, 3]]"
B00MRZQDNY,[0.8718],[5],"[[use, lot, go, walk, stay, arm, listion, music, hand, work]]","[[use lot go walk stay arm listion music hand work, 0.8718, 5]]"
B00MWSZESQ,[0.4404],[5],[[thanks]],"[[thanks, 0.4404, 5]]"
B00N124NKM,[0.5719],[5],[[perfect]],"[[perfect, 0.5719, 5]]"
B00N28AUJS,"[0.4404, -0.1044, 0.6369, -0.6007, 0.6369, 0.765]","[5, 2, 5, 1, 5, 5]","[[case, ive, own], [past, find, otter, box, good, case, phone, belt, clip, broke, month, find, att, recommend, case, talk, phone, point, talk, speaker, difficult, carry, conversation], [thanks], [case, rugged, protects, iphone, screen, protector, make, phone, difficult, frustrate, use, screen, protector, doesnt, sit, phone, screen, tiny, bit, airspace, push, bit, force, anything, phone, make, texting, zooming, scroll, etc, difficult, home, button, cover, membrane, touch, id, doesnt, work, either, read, online, remove, builtin, screen, protector, use, glass, instead, decide, return, find, different, solution], [use, case, month, work, phone, time]]","[[case ive own, 0.4404, 5], [past find otter box good case phone belt clip broke month find att recommend case talk phone point talk speaker difficult carry conversation, -0.1044, 2], [thanks, 0.6369, 5], [case rugged protects iphone screen protector make phone difficult frustrate use screen protector doesnt sit phone screen tiny bit airspace push bit force anything phone make texting zooming scroll etc difficult home button cover membrane touch id doesnt work either read online remove builtin screen protector use glass instead decide return find different solution, -0.6007, 1], [use case month work phone time, 0.6369, 5], [, 0.765, 5]]"
B00N8MEF3U,"[-0.7684, 0.6249, 0.9633, 0.0, 0.7783, 0.3612]","[1, 5, 5, 2, 5, 4]","[[use, didnt, need, keep, readjust, protector, put, screen, extra, tool, perfect, rubber, band, tab, help, protector, step, youll, get, time, aroundbr, br, think, unwrap, bar, chocolate, thats, nice, package, inside, applying, phone, word, come, mouth, sweeeet, buying], [watch, installation, video, follow, isntructions, air, bubble, dont, witha, squegee, use, nd, protector, thingbr, ive, use, screen, protector, brand, worst], [thing, think, tab, suppose, take, use], [protector, install, hd, screen, brilliance, shin], [cover, entire, front, glass, film, cover, area, side, side], [product]]","[[use didnt need keep readjust protector put screen extra tool perfect rubber band tab help protector step youll get time aroundbr br think unwrap bar chocolate thats nice package inside applying phone word come mouth sweeeet buying, -0.7684, 1], [watch installation video follow isntructions air bubble dont witha squegee use nd protector thingbr ive use screen protector brand worst, 0.6249, 5], [thing think tab suppose take use, 0.9633, 5], [protector install hd screen brilliance shin, 0.0, 2], [cover entire front glass film cover area side side, 0.7783, 5], [product, 0.3612, 4]]"
B00NAP9S3C,[0.7783],[5],[[put]],"[[put, 0.7783, 5]]"
B00NBLFZPA,[0.1761],[3],"[[like, pocket, use, purse, phone, holder, break, apart, buy, anotherbr, darn]]","[[like pocket use purse phone holder break apart buy anotherbr darn, 0.1761, 3]]"
B00NGPZCUO,[0.6507],[4],"[[get, phone, plus, carry, essential, phone, credit, card, id, couple, dollar, fit, purse, sure]]","[[get phone plus carry essential phone credit card id couple dollar fit purse sure, 0.6507, 4]]"
B00NHZZ29Y,[0.8442],[5],"[[leave, truck, run, twice, case, save, love, year, business, card]]","[[leave truck run twice case save love year business card, 0.8442, 5]]"
B00NI32V2G,"[0.0, 0.8519]","[3, 5]","[[take, charge], [charger, fair, price]]","[[take charge, 0.0, 3], [charger fair price, 0.8519, 5]]"
B00NL7NFLU,[0.8514],[4],"[[protect, kid, iphone, wallet, feature, case, tightfitting]]","[[protect kid iphone wallet feature case tightfitting, 0.8514, 4]]"
B00NMZ11G2,[0.5859],[5],"[[amaze, product, iphone]]","[[amaze product iphone, 0.5859, 5]]"
B00NPDQAXK,"[-0.2299, 0.8481]","[3, 5]","[[look, case, wasnt, snug, fit, return, case, review, maybe, case, defective], [fit, great, look]]","[[look case wasnt snug fit return case review maybe case defective, -0.2299, 3], [fit great look, 0.8481, 5]]"
B00NQGOMZE,[-0.5424],[1],"[[write, view, product, beforebr, seller, describe, item, cut, corner, delay, tale, item, discrepancies, came, light, refer, apple, store, west, los, angeles]]","[[write view product beforebr seller describe item cut corner delay tale item discrepancies came light refer apple store west los angeles, -0.5424, 1]]"
B00NSAVYD6,[0.4767],[3],"[[case, yell, people, call]]","[[case yell people call, 0.4767, 3]]"
B00NV2YDGQ,[0.5994],[5],[[love]],"[[love, 0.5994, 5]]"
B00NWAFET2,[-0.5023],[4],"[[perfect, fit, phone, paint, chip, bit, edge, otherwise, complaint]]","[[perfect fit phone paint chip bit edge otherwise complaint, -0.5023, 4]]"
B00NYJE1OK,[0.9022],[5],"[[love, nice, quality]]","[[love nice quality, 0.9022, 5]]"
B00O06NCZA,[0.9565],[3],"[[money, case, buy, sister, like, rubber, part, outer, quality, dont, get]]","[[money case buy sister like rubber part outer quality dont get, 0.9565, 3]]"
