9984575489,[0.3612],[1],"[[sctraches, side, use, year]]","[[sctraches side use year, 0.3612, 1]]"
B008NAYNBG,[0.2023],[4],[[fine]],"[[fine, 0.2023, 4]]"
B009A1GOGY,[0.6203],[5],"[[fit, block, phone, component]]","[[fit block phone component, 0.6203, 5]]"
B009S40F36,[0.4201],[5],"[[case, color, size, want, expect, recommend, everyone, nexus]]","[[case color size want expect recommend everyone nexus, 0.4201, 5]]"
B00A2DS430,[0.0],[5],[[expect]],"[[expect, 0.0, 5]]"
B00A6NB3DO,[0.5499],[4],"[[color, work]]","[[color work, 0.5499, 4]]"
B00AASIN1K,[0.6249],[3],"[[protection, lip, screen, material, catch, lint, color, purple, look, iphone, gray, case, use, con]]","[[protection lip screen material catch lint color purple look iphone gray case use con, 0.6249, 3]]"
B00AJ2YLIG,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B00AQ4XW6E,[0.1901],[3],"[[love, hate, relationship, case, buy, case, black, cut, year, life, bridge, doesnt, keep, buying, nice, slimmer, good, grip, case, ringke, something]]","[[love hate relationship case buy case black cut year life bridge doesnt keep buying nice slimmer good grip case ringke something, 0.1901, 3]]"
B00AR23T5O,[0.1373],[2],"[[phone, nice, look, bit, screen, good, size, want, something, bigger, read, care, windows, function, use, navigate, apps, guess, know, come, worse, part, put, micro, pay, attention, need, sim, card, phone, carrier, activate, phone, get, min, hold, mention, think, put, close, face, warn, cell, phone, radiation, phone, poster, child, predicament, sorry, recommend, anyone]]","[[phone nice look bit screen good size want something bigger read care windows function use navigate apps guess know come worse part put micro pay attention need sim card phone carrier activate phone get min hold mention think put close face warn cell phone radiation phone poster child predicament sorry recommend anyone, 0.1373, 2]]"
B00B8GBVK8,[0.4404],[5],"[[quality, material, price]]","[[quality material price, 0.4404, 5]]"
B00BJOGAZA,"[0.8344, 0.7845, 0.937, 0.8481]","[5, 5, 5, 5]","[[phone, case, own, love, haunt, mansion, look, cool, phone, fall], [case, great, service], [case, quality, nice, picture], [case, own, sturdy, want, buy, case, design, disneyworld, felt, cheap, overprice, found, review, go, purchase, daughter, saw, case, want, bought]]","[[phone case own love haunt mansion look cool phone fall, 0.8344, 5], [case great service, 0.7845, 5], [case quality nice picture, 0.937, 5], [case own sturdy want buy case design disneyworld felt cheap overprice found review go purchase daughter saw case want bought, 0.8481, 5]]"
B00BUIT82M,[0.875],[5],"[[fit, perfect, lifesaver, toddler, car]]","[[fit perfect lifesaver toddler car, 0.875, 5]]"
B00BVKH1L4,[-0.6808],[2],"[[none, cord, work, work, daughter, phone, work, short, time, stop, guess, thats, get, go, longer, work, one]]","[[none cord work work daughter phone work short time stop guess thats get go longer work one, -0.6808, 2]]"
B00CEQOD7O,[0.8712],[5],"[[awesome, love, work, perfecty, purley, pump, pump, car, way, beach, daughter, hungry, give, pump, bottle]]","[[awesome love work perfecty purley pump pump car way beach daughter hungry give pump bottle, 0.8712, 5]]"
B00CLDLDM8,[-0.4215],[3],"[[case, nice, overall, latch, close, break, day]]","[[case nice overall latch close break day, -0.4215, 3]]"
B00DAK5R32,[0.8949],[5],"[[rubberize, case, work, hole, line, phone, soft, hard, shell, case, case, work, fine, snap, one, change, color, money]]","[[rubberize case work hole line phone soft hard shell case case work fine snap one change color money, 0.8949, 5]]"
B00DGF0QRS,[-0.3241],[3],[[didnt]],"[[didnt, -0.3241, 3]]"
B00EFDTDCO,[0.0],[5],[[expect]],"[[expect, 0.0, 5]]"
B00EO8MMVE,[0.4215],[4],[[like]],"[[like, 0.4215, 4]]"
B00ESKVL5G,[0.8894],[5],"[[order, iphone, case, rikki, knight, seller, please, daughter, order, case, seller, like, look, case, come, look, uniquethank]]","[[order iphone case rikki knight seller please daughter order case seller like look case come look uniquethank, 0.8894, 5]]"
B00EUDUZA8,[0.8834],[5],"[[quality, fit, galaxy, express, perfect, son, love]]","[[quality fit galaxy express perfect son love, 0.8834, 5]]"
B00F6J3V88,[0.9117],[5],"[[nice, flip, case, samsung, galaxy, mega, fit, phone, protect, case, view, window, make, look, time, quick, message, breeze, port]]","[[nice flip case samsung galaxy mega fit phone protect case view window make look time quick message breeze port, 0.9117, 5]]"
B00FNF7RS0,[0.0],[1],[[po]],"[[po, 0.0, 1]]"
B00FOLY1H8,[-0.5994],[1],"[[fake, product, receive, break, itembr, please, dont, buy, cost]]","[[fake product receive break itembr please dont buy cost, -0.5994, 1]]"
B00FPH1FPM,[0.6369],[5],"[[look, feel, sturdiness, color, combo, sleek]]","[[look feel sturdiness color combo sleek, 0.6369, 5]]"
B00FXZUDQS,"[0.0, 0.6369]","[1, 5]","[[charger, come, phone, work, well, one], [didnt, work, samsung, mega, end, buy, belkin, belki, charger]]","[[charger come phone work well one, 0.0, 1], [didnt work samsung mega end buy belkin belki charger, 0.6369, 5]]"
B00G3ZVI5C,[0.2732],[4],[[work]],"[[work, 0.2732, 4]]"
B00G9FXCJG,[0.6659],[4],"[[case, gf, like, make, price]]","[[case gf like make price, 0.6659, 4]]"
B00H6YXQFO,"[0.8016, 0.9022, 0.8271, -0.5994, 0.0, 0.069]","[5, 4, 5, 5, 1, 1]","[[screen, protector, nice, price], [thank, productso, easyand, thank, fast, shipping], [problem, put, screen, protector], [anti, glare, anti, fingerprint, screen, protector, help, finger, print, follow, instruction, install, screen, bubble, screen, recommend], [apply, make, sure, screen, installing, otherwise, see], [item, receive, ipadnot, ipad, mini]]","[[screen protector nice price, 0.8016, 5], [thank productso easyand thank fast shipping, 0.9022, 4], [problem put screen protector, 0.8271, 5], [anti glare anti fingerprint screen protector help finger print follow instruction install screen bubble screen recommend, -0.5994, 5], [apply make sure screen installing otherwise see, 0.0, 1], [item receive ipadnot ipad mini, 0.069, 1]]"
B00HJ2KEMQ,"[0.8402, -0.3412, -0.2484]","[5, 1, 1]","[[work, great, super, price], [product, didnt, work, send, receive], [fire, hazzard, buy, get, start, meltbr, br, avoid, cost, item, spend, closer, get, coil, unit, burn]]","[[work great super price, 0.8402, 5], [product didnt work send receive, -0.3412, 1], [fire hazzard buy get start meltbr br avoid cost item spend closer get coil unit burn, -0.2484, 1]]"
B00HY3HT1Y,[0.8519],[5],"[[work, great, super, convenient, cheap, price, wish, get, color, tan, show, dirt]]","[[work great super convenient cheap price wish get color tan show dirt, 0.8519, 5]]"
B00HZDKJCE,[0.926],[5],"[[cover, protects, phone, show, beauty, design, look, buy, red, fun]]","[[cover protects phone show beauty design look buy red fun, 0.926, 5]]"
B00I3UWDV8,"[0.6249, 0.4005, 0.4019, 0.8354, -0.543, 0.7964, 0.6249, 0.765, 0.8203, -0.296, 0.34, 0.34, 0.9921, 0.7748, 0.886, 0.34, 0.8807]","[5, 5, 5, 5, 3, 5, 5, 4, 5, 3, 5, 2, 5, 5, 5, 5, 5]","[[side, case, bump, stand, offs, elevate, place, surface, speaker, muffle], [spigen, armor, case, look, sleek, gunmetal, shell, black, rubber, accent, stand, case, add, bit, solidity, phone, thing, case, stylish, drop, galaxy, phone, wood, floor, time, month, ive, phone, case, im, take, phone, pant, grant, didnt, drop, phone, nd, floor, anything, good, foot, fall, time, case, hold, glass, crack, luvvitt, temper, glass, protector, phone, land, corner, plop, lcd, face, bevel, rubber, edge, screen, good, job, keep, screen, get, scratch, review, mention, wish, rubber, bevel, rise, mm, house, key, pocket, base, doesnt, get, scratch, color, hide, scratch, case, come, clean, use, surface, easy, clean, alcohol, wipe, recommend, case, use, combination, quality, temper, glass, screen, protector, protect], [cover, color, thanks], [color, shell, case, cheap, paint, doesnt, take, scratch, crease, edge, reveal, foundation, markbr, illustration, camera, lens, recess, make, damage, uneven, surfacebr, button, side, case, make, press, tactile, feel, poor, stylize, armor, crease, side, cut, hand, surface, provide, gripbr, concern, protection, give, star, lens, protection, void, build, rubber, corner, idea, shock, absorptionbr, end, verus, thor, asinbizom, galaxy, case, verus, thorshine, gold, heavy, dutymaximum, drop, protectionslim, fit, samsung, sm, device, share, none, flaw, time, tell, shell], [nice, hard, casegood, protection], [case, bought, do, job, protecting, phone], [galaxy, case, refer, friend, buy, itbr, thanks], [case, month, look, time, carry, phone, pocket, wear, cause, grey, golden, tinge, dont, understand, make, phone, light, color, paint, paint, edge, gone, shine, throughbr, pull, put, table, meeting, go, box, clever, use, plastic, black, case], [phone, case, look, slim, fit, look, classy], [super, awesome, case, fit, galaxy, diesel, technician, put, fall, alot, thanks, case, phone, crack, screen, malfunction], [deal, price], [case, buy, boyfriend, he, drop, phone, time, condition, case, buy], [look, make, drop, phone, time, watch, bounce, problem], [case], [grip, slide, pocket], [cover, give, protection, mother, happy], [update, continue, phone, case, recommend, phone, case, month, issue, button, worn, case, notice, wearing, place, thing, case, ability, keep, dirt, pull, case, time, leave, month, speck, dirt, phone, get, wet, dirt, muddy, case, keep, crap, recommend, wear, look, crap, buying]]","[[side case bump stand offs elevate place surface speaker muffle, 0.6249, 5], [spigen armor case look sleek gunmetal shell black rubber accent stand case add bit solidity phone thing case stylish drop galaxy phone wood floor time month ive phone case im take phone pant grant didnt drop phone nd floor anything good foot fall time case hold glass crack luvvitt temper glass protector phone land corner plop lcd face bevel rubber edge screen good job keep screen get scratch review mention wish rubber bevel rise mm house key pocket base doesnt get scratch color hide scratch case come clean use surface easy clean alcohol wipe recommend case use combination quality temper glass screen protector protect, 0.4005, 5], [cover color thanks, 0.4019, 5], [color shell case cheap paint doesnt take scratch crease edge reveal foundation markbr illustration camera lens recess make damage uneven surfacebr button side case make press tactile feel poor stylize armor crease side cut hand surface provide gripbr concern protection give star lens protection void build rubber corner idea shock absorptionbr end verus thor asinbizom galaxy case verus thorshine gold heavy dutymaximum drop protectionslim fit samsung sm device share none flaw time tell shell, 0.8354, 5], [nice hard casegood protection, -0.543, 3], [case bought do job protecting phone, 0.7964, 5], [galaxy case refer friend buy itbr thanks, 0.6249, 5], [case month look time carry phone pocket wear cause grey golden tinge dont understand make phone light color paint paint edge gone shine throughbr pull put table meeting go box clever use plastic black case, 0.765, 4], [phone case look slim fit look classy, 0.8203, 5], [super awesome case fit galaxy diesel technician put fall alot thanks case phone crack screen malfunction, -0.296, 3], [deal price, 0.34, 5], [case buy boyfriend he drop phone time condition case buy, 0.34, 2], [look make drop phone time watch bounce problem, 0.9921, 5], [case, 0.7748, 5], [grip slide pocket, 0.886, 5], [cover give protection mother happy, 0.34, 5], [update continue phone case recommend phone case month issue button worn case notice wearing place thing case ability keep dirt pull case time leave month speck dirt phone get wet dirt muddy case keep crap recommend wear look crap buying, 0.8807, 5]]"
B00ITZMIL2,[0.6249],[5],[[purchase]],"[[purchase, 0.6249, 5]]"
B00IV3JIIS,[0.8481],[5],"[[somehow, top, work, saw, amazon, think, try, work, fine, longer, cord, alsobr, good, price, purchase]]","[[somehow top work saw amazon think try work fine longer cord alsobr good price purchase, 0.8481, 5]]"
B00IV5C0T0,[-0.3384],[3],[[memory]],"[[memory, -0.3384, 3]]"
B00IZLEZE8,"[0.6249, 0.0, 0.3226]","[5, 5, 4]","[[say, dont, fiddle, phone, find, sweet, spot, phone, charge, read, coil, charger, sweet, spot, charge, know, sound, whine, want, fee, backlol, dont, knowthe, phone, need, charge, pad, inside, make, thing, work], [charger], [work, prefect]]","[[say dont fiddle phone find sweet spot phone charge read coil charger sweet spot charge know sound whine want fee backlol dont knowthe phone need charge pad inside make thing work, 0.6249, 5], [charger, 0.0, 5], [work prefect, 0.3226, 4]]"
B00J8ILI5Q,[-0.2755],[1],"[[fit, brother, mini]]","[[fit brother mini, -0.2755, 1]]"
B00JAKU1HI,"[-0.4215, 0.6369, 0.0, 0.4404]","[1, 3, 1, 5]","[[broke, day, clip, come, undone, prying, phone, holder, jaw, put, phone, fell, windshield, leave, suction, cup, windshield], [work, week, doesnt, hold, phone, try, call, shipper, didnt, get], [put, windshield, month, hasnt, take, fall, thats, testimony], [grip, note, position, breeze, niybt, fall, windshield, leave, heat]]","[[broke day clip come undone prying phone holder jaw put phone fell windshield leave suction cup windshield, -0.4215, 1], [work week doesnt hold phone try call shipper didnt get, 0.6369, 3], [put windshield month hasnt take fall thats testimony, 0.0, 1], [grip note position breeze niybt fall windshield leave heat, 0.4404, 5]]"
B00JEC0YFQ,"[0.0, 0.0976]","[3, 5]","[[make, thump, noise, radio], [baby, wake, system, aftermarket, speaker, people, aware, fact, require, wattage, factory, deck, aftermarket, deck, put, tie, fosgate, punch, component, way, get, loud, night, day, w, kenwood, put, dont, think, w, factory, stereo, put, say, people, lead, wish, done, measurement, cut, harness, didnt, fit, anticipate, fit, dash, say, size, w, power, find, dash, mount, check, cut, solder]]","[[make thump noise radio, 0.0, 3], [baby wake system aftermarket speaker people aware fact require wattage factory deck aftermarket deck put tie fosgate punch component way get loud night day w kenwood put dont think w factory stereo put say people lead wish done measurement cut harness didnt fit anticipate fit dash say size w power find dash mount check cut solder, 0.0976, 5]]"
B00JGCWRV8,[0.765],[5],"[[fit, fast, shipping]]","[[fit fast shipping, 0.765, 5]]"
B00JMU590A,[0.0],[5],"[[grandson, meet, expectation]]","[[grandson meet expectation, 0.0, 5]]"
B00JQ7UD4Q,[0.4005],[5],"[[work, use, recharge, time, need, light, show, whats, leave, charge, guessing]]","[[work use recharge time need light show whats leave charge guessing, 0.4005, 5]]"
B00JW6SXFW,[0.9532],[4],"[[color, great, samsung, galaxy, fit, come, piece, phone, get, plug, loose]]","[[color great samsung galaxy fit come piece phone get plug loose, 0.9532, 4]]"
B00JZHE3PM,"[-0.3071, 0.5647, 0.7096, 0.6249]","[1, 2, 5, 5]","[[work, charm, stop, charge, phone, connect, reconnect, charger, phone, try, change, angle, plug, cord, try, make, charge, issue, power, cord, use, pay, quality], [buy, charge, month, work, fine, end, fray, charge, length, nice, cord, doesnt, past, month, pay, extra, secure, cable, end, avoid, fray], [product, work], [describe, product]]","[[work charm stop charge phone connect reconnect charger phone try change angle plug cord try make charge issue power cord use pay quality, -0.3071, 1], [buy charge month work fine end fray charge length nice cord doesnt past month pay extra secure cable end avoid fray, 0.5647, 2], [product work, 0.7096, 5], [describe product, 0.6249, 5]]"
B00K15TP6O,"[0.2023, 0.7506, -0.3072]","[4, 5, 4]","[[everything, fine], [case, money, didnt, want, spend, case, tablet, want, level, protection, complaint, star, rubber, surround, case, doesnt, lot, memory, adequate], [fit, nice, case, outter, cover, thats, rubbery, bought, tablet, kid, yr, yr, case, protects, problem, yr, us, kickstand, alot, thats, r, re, hop, build, handle, rubber, cover, give]]","[[everything fine, 0.2023, 4], [case money didnt want spend case tablet want level protection complaint star rubber surround case doesnt lot memory adequate, 0.7506, 5], [fit nice case outter cover thats rubbery bought tablet kid yr yr case protects problem yr us kickstand alot thats r re hop build handle rubber cover give, -0.3072, 4]]"
B00K9TMIEI,[0.6249],[5],[[item]],"[[item, 0.6249, 5]]"
B00KAXESY6,"[0.3612, 0.4497, 0.6697, 0.8055, 0.8316]","[2, 1, 5, 5, 5]","[[love], [price, great, case, handy, easy, use], [say, g, case, phone], [cant, get, phone, fit], [show, daughter, love, diffent, phone, love]]","[[love, 0.3612, 2], [price great case handy easy use, 0.4497, 1], [say g case phone, 0.6697, 5], [cant get phone fit, 0.8055, 5], [show daughter love diffent phone love, 0.8316, 5]]"
B00KGDLD3O,"[0.7906, 0.8932]","[5, 5]","[[happy, purchasejust, describe, fit, phone], [front, clear, plastic, scratch, wasnt, expect, anyway, order, clear, samsung]]","[[happy purchasejust describe fit phone, 0.7906, 5], [front clear plastic scratch wasnt expect anyway order clear samsung, 0.8932, 5]]"
B00KKFBTLO,[-0.4215],[1],"[[strap, break, week, retry, return]]","[[strap break week retry return, -0.4215, 1]]"
B00KKGWOCG,"[0.5423, 0.4404, 0.2382]","[5, 5, 3]","[[buy, black, cover, look, picture, keep, phone, safe, klutzy, hand], [secures, phone, color, stain, clean], [case]]","[[buy black cover look picture keep phone safe klutzy hand, 0.5423, 5], [secures phone color stain clean, 0.4404, 5], [case, 0.2382, 3]]"
B00KT7RHNC,"[-0.4215, -0.5951, 0.5719, 0.0, 0.6705, 0.0, 0.7096, 0.7159, -0.2732, 0.2732, 0.4033, 0.6249, -0.4777, 0.8908, 0.8316, 0.7032, 0.0, 0.5648, -0.1406, 0.4201, 0.0698, 0.9568, 0.0, 0.6249, 0.0, 0.7316, 0.6369, 0.6705, 0.8885, 0.4402, 0.2732, 0.8817, 0.6249, 0.0, 0.8674, 0.0, 0.5106, 0.6249, 0.7269]","[2, 1, 5, 5, 3, 4, 4, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 4, 3, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 1, 5, 5, 5, 5, 1, 5, 5, 5, 5]","[[buy, purchase, mu, wife, day, cord, rip, charging, device, yesterday, charge, end, broke, samsung, galaxy, click, return, button, get, refund, couldnt, bear, pain, spending, penny, ship, went, dont, let, fake, review, reel, look, charger, cost, piece, junk, pay], [work, plan], [excellent, customer, service, charger, work, extra, port, convenient], [work], [broke, month, get, doesnt, charge, good, adjust, charge, cord, go, phone, certain, way, work], [charge, oppose, car, charger, ship, price], [come, time, describe, use, work, seem, product, try, time, review, quit, work, charge, second, return], [size, connector, samsung, charge, side, connector, fast, deliver, great, price, thank], [excellent, need, charge], [work, great, need], [diameter, cigarette, lighter, receptacle, creative, ensure, stay, plug], [auto, charger, plug, work], [charger, recieved, fit, expect, usb, work], [allows, charge, device, plug, usb, cord, wife, charge, apple, device], [job, charge, phone, well, thing, youd, find, drug, store], [work, look], [product, arrive, order, work, order], [problem, car, charger, use, past, week, happy, buy, yes], [product, work, coil, reduces, chance, anything, catch], [charger, charge, lighten, cord, stay, plug], [sturdy, port, kid, charger], [work, great], [product, break, week, urban, area, remove, port, parking, pull, cord, grasp, cone, meet, base, narrow, spot, day, cord, break, wire, come, unit, plug, car, charge, update, receive, replacement, unit, day, always, grab, unit, safe], [work, thank], [product, charge, half, time, charger], [work, great, connection, sturdy, happy, ], [sent, replacement, work, finebest, place, shop], [work, expect, arrive, simple, packaging, family, switch, samsung, galaxy, phone, order, car, charger, getwow, dualport, plug, nice, addition, use, cord, nice, length, price, half, cost, find, store, work], [charge, phone, usb, cord, jack, work], [charge, great, price, state, phone, ear, dont, need, cord, others, want, try, hold, ear, see, bit, hope], [work, charge], [take, road, usworked], [nice, worry, phone, die, plug, son, ipad, charge, happier, product, recommend], [product, work, state], [work], [work, problem], [stop, work, longer, charge, month, dont, waste, money], [broke, month]]","[[buy purchase mu wife day cord rip charging device yesterday charge end broke samsung galaxy click return button get refund couldnt bear pain spending penny ship went dont let fake review reel look charger cost piece junk pay, -0.4215, 2], [work plan, -0.5951, 1], [excellent customer service charger work extra port convenient, 0.5719, 5], [work, 0.0, 5], [broke month get doesnt charge good adjust charge cord go phone certain way work, 0.6705, 3], [charge oppose car charger ship price, 0.0, 4], [come time describe use work seem product try time review quit work charge second return, 0.7096, 4], [size connector samsung charge side connector fast deliver great price thank, 0.7159, 5], [excellent need charge, -0.2732, 5], [work great need, 0.2732, 5], [diameter cigarette lighter receptacle creative ensure stay plug, 0.4033, 5], [auto charger plug work, 0.6249, 5], [charger recieved fit expect usb work, -0.4777, 1], [allows charge device plug usb cord wife charge apple device, 0.8908, 5], [job charge phone well thing youd find drug store, 0.8316, 5], [work look, 0.7032, 5], [product arrive order work order, 0.0, 5], [problem car charger use past week happy buy yes, 0.5648, 4], [product work coil reduces chance anything catch, -0.1406, 3], [charger charge lighten cord stay plug, 0.4201, 5], [sturdy port kid charger, 0.0698, 4], [work great, 0.9568, 5], [product break week urban area remove port parking pull cord grasp cone meet base narrow spot day cord break wire come unit plug car charge update receive replacement unit day always grab unit safe, 0.0, 5], [work thank, 0.6249, 5], [product charge half time charger, 0.0, 5], [work great connection sturdy happy , 0.7316, 4], [sent replacement work finebest place shop, 0.6369, 5], [work expect arrive simple packaging family switch samsung galaxy phone order car charger getwow dualport plug nice addition use cord nice length price half cost find store work, 0.6705, 5], [charge phone usb cord jack work, 0.8885, 5], [charge great price state phone ear dont need cord others want try hold ear see bit hope, 0.4402, 1], [work charge, 0.2732, 5], [take road usworked, 0.8817, 5], [nice worry phone die plug son ipad charge happier product recommend, 0.6249, 5], [product work state, 0.0, 5], [work, 0.8674, 1], [work problem, 0.0, 5], [stop work longer charge month dont waste money, 0.5106, 5], [broke month, 0.6249, 5], [, 0.7269, 5]]"
B00L183HFA,[0.5719],[5],"[[happy, purchase, recomended]]","[[happy purchase recomended, 0.5719, 5]]"
B00L3W7D9U,[0.7096],[5],[[amazon]],"[[amazon, 0.7096, 5]]"
B00LBHOYOO,[0.4927],[5],"[[accord, expectation, article]]","[[accord expectation article, 0.4927, 5]]"
B00LHB51GO,"[0.3612, 0.9287, 0.8225]","[5, 5, 5]","[[hold, charge, charge, item, time], [price, charger, product, advertise, work, iphone, ship, recommend, charger, iphone, friend, thanks], [excellent, charger, charge, everything, asus, tablet, power, charge, phone, time, love]]","[[hold charge charge item time, 0.3612, 5], [price charger product advertise work iphone ship recommend charger iphone friend thanks, 0.9287, 5], [excellent charger charge everything asus tablet power charge phone time love, 0.8225, 5]]"
B00LI3OIRE,[-0.6478],[1],"[[stop, work, week, disappoint]]","[[stop work week disappoint, -0.6478, 1]]"
B00LM5W8DY,[-0.2057],[1],"[[expect, remove, phone, case, use, read, description]]","[[expect remove phone case use read description, -0.2057, 1]]"
B00MA3WHPQ,[0.6249],[5],"[[camera, work]]","[[camera work, 0.6249, 5]]"
B00MAZPSHS,[0.6249],[5],[[case]],"[[case, 0.6249, 5]]"
B00MFHQSS4,"[0.7184, 0.7992, 0.4404, 0.4215, 0.8519, 0.2382, 0.4939]","[5, 5, 4, 5, 5, 1, 3]","[[product, drop, phone, case, broke, write, company, day, came, phone, great, protect], [purchase, crack, drop, phone, tech, armor, sent, replacement, problem, recommend, product, customer, service, folk, send, replacement, glass, drive, motorcycle, today, phone, fell, holder, mph, phone, land, tech, armor, glass, shatter, protect, phone, remove, armor, glass, phone, scratch, expect, work], [work, fine, break], [nice], [worth, money, privacy], [screen, protector, money, get, crack, use, less, year], [product, quality, deliver, fast, others, note, work, privacy, sideway, view, anglebr, br, caveat, want, call, look, white, face, iphone, seamless, black, face, iphone, stand, lot, white, face, iphone, shade, appearance, screen, border, bottom, glass, white, seamless, iphone, ie, option, white, regular, version]]","[[product drop phone case broke write company day came phone great protect, 0.7184, 5], [purchase crack drop phone tech armor sent replacement problem recommend product customer service folk send replacement glass drive motorcycle today phone fell holder mph phone land tech armor glass shatter protect phone remove armor glass phone scratch expect work, 0.7992, 5], [work fine break, 0.4404, 4], [nice, 0.4215, 5], [worth money privacy, 0.8519, 5], [screen protector money get crack use less year, 0.2382, 1], [product quality deliver fast others note work privacy sideway view anglebr br caveat want call look white face iphone seamless black face iphone stand lot white face iphone shade appearance screen border bottom glass white seamless iphone ie option white regular version, 0.4939, 3]]"
B00MGHSO3U,[0.6369],[1],[[want]],"[[want, 0.6369, 1]]"
B00MHV1NHY,"[-0.5994, -0.296]","[5, 3]","[[purchase, protector, month, okay, say, doesnt, scratch, drop, concrete, doesnt, screen, devloped, month, purchase, protector], [describe, defect, buy]]","[[purchase protector month okay say doesnt scratch drop concrete doesnt screen devloped month purchase protector, -0.5994, 5], [describe defect buy, -0.296, 3]]"
B00MLP9292,"[0.0, -0.3818]","[1, 2]","[[screen, fit, phone, phone, useless, worse, part, restock, fee, unwanted, product, return, new, unused, uninstalled, condition], [buy, buy, instal, didnt, work, buy]]","[[screen fit phone phone useless worse part restock fee unwanted product return new unused uninstalled condition, 0.0, 1], [buy buy instal didnt work buy, -0.3818, 2]]"
B00MNFOA9W,"[-0.1393, 0.7775]","[5, 5]","[[buy, replacement, incipio, case, didnt, work, case, hand, hard, love, recommend, buy, future, iphone], [company, send, case, deliver, follow, day, didnt, pay, sameday, shipping, case, perfect, phone, hasnt, crack, drop, recommend, case, anyone]]","[[buy replacement incipio case didnt work case hand hard love recommend buy future iphone, -0.1393, 5], [company send case deliver follow day didnt pay sameday shipping case perfect phone hasnt crack drop recommend case anyone, 0.7775, 5]]"
B00MUQTUZ8,"[0.5719, 0.6801, -0.1432]","[5, 5, 4]","[[perfect, want], [item, money, year, replace, get, loose, expect, life, came, screen, protection, thats], [loose]]","[[perfect want, 0.5719, 5], [item money year replace get loose expect life came screen protection thats, 0.6801, 5], [loose, -0.1432, 4]]"
B00MYOU7TY,[0.6249],[5],"[[screen, protector]]","[[screen protector, 0.6249, 5]]"
B00N0OGH1Y,"[-0.4404, -0.1695]","[3, 1]","[[wasnt, expect, wasnt, worth, buy], [case, get, dirty]]","[[wasnt expect wasnt worth buy, -0.4404, 3], [case get dirty, -0.1695, 1]]"
