3056514185,[0.0],[5],"[[el, futuro, baby, boy]]","[[el futuro baby boy, 0.0, 5]]"
B00KMBKGWO,[0.8126],[4],"[[buy, year, mom, phone, love, garden, spend, time, outdoors, clip, case, make, perfect, need]]","[[buy year mom phone love garden spend time outdoors clip case make perfect need, 0.8126, 4]]"
B00KMJLKPS,[-0.3007],[2],"[[phone, holder, part, seem, wellmade, part, suppose, clamp, vent, work, vent, partition, car, case, product, deserves]]","[[phone holder part seem wellmade part suppose clamp vent work vent partition car case product deserves, -0.3007, 2]]"
B00KVCBU1K,"[0.8805, 0.4215, 0.8187]","[5, 4, 5]","[[perfect, keep, truck, inch, let, charge, iphone, bluetooth, headset, drive, need, cable, clutter, consolebr, happy, price, excellent], [cord, perfect, car], [cheap, ok]]","[[perfect keep truck inch let charge iphone bluetooth headset drive need cable clutter consolebr happy price excellent, 0.8805, 5], [cord perfect car, 0.4215, 4], [cheap ok, 0.8187, 5]]"
B00KX828DG,"[0.7264, 0.395, 0.9654, 0.4019, 0.6249]","[5, 5, 5, 1, 1]","[[month, wont, charge, wont, turn, great, work], [consistent, work, hour, reset, try, watch, iphone, phone, customer, support, existent], [watch, want, apple, watch, price, way, reach, longer, charge, wonderful, get, message, apple, phone, mom, work, cant, bring, phone, watch, allow, see, id, text, message, bluetooth, amaze, recommend], [need, recharge, couple, day, job, crushing, wallet], [gift, hubby, he, please]]","[[month wont charge wont turn great work, 0.7264, 5], [consistent work hour reset try watch iphone phone customer support existent, 0.395, 5], [watch want apple watch price way reach longer charge wonderful get message apple phone mom work cant bring phone watch allow see id text message bluetooth amaze recommend, 0.9654, 5], [need recharge couple day job crushing wallet, 0.4019, 1], [gift hubby he please, 0.6249, 1]]"
B00L7WGW7K,"[0.9678, 0.6597, 0.8641, 0.9724, 0.3818]","[5, 5, 5, 5, 4]","[[sweet, spot, find, give, star], [thank, dealing, good], [power, user, cellphone, last, day, samsung, galaxy, edge, love, phone, ability, charge, think, time, get, battery, pack, charge, travel, cumbersome, cable, pocket, etc, buy, wow, make, life, work, switch, wireless, charge, lead, wireless, charging, br, br, device, mah, compact, size, construct, cellphone, may, drop, going, test, theorybr, br, use, accompanying, cable, allow, charge, amp, device, use, apple, port, usb, work, flight, forget, charge, ipadbr, br, work], [qi, charger, device, use, note, head, class, work, use, qi, charger, percent, battery, leave, well, battery, life, charge, charge, charge, phone, use, qi, charge, output, drop, phone, reach, percent, phone, charge, percent, min, device, get, charge], [part, review, regard, product, battery, everything, need, look, wireless, charger, charge, note, twice, hour, choose, use, usb, cable, take, note, hr, use, unit, ipad, iphone, lightning, cord, result, battery, wireless, feature, work, note, edge, part, review, regard, mobilepals, relentless, effort, make, customer, happy, find, unit, amazon, saw, review, people, offer, merchandise, review, product, bought, base, review, time, order, note, receive, day, find, battery, wouldnt, charge, note, post, review, happy, wire, charge, capability, let, fact, phone, wouldnt, work, contact, try, find, phone, wouldnt, work, battery, course, week, problem, isolate, resolve, replacement, unit, sent, look, battery, work, phone, company, care, reputation, customer, satisfaction, look, buy, worry, satisfaction]]","[[sweet spot find give star, 0.9678, 5], [thank dealing good, 0.6597, 5], [power user cellphone last day samsung galaxy edge love phone ability charge think time get battery pack charge travel cumbersome cable pocket etc buy wow make life work switch wireless charge lead wireless charging br br device mah compact size construct cellphone may drop going test theorybr br use accompanying cable allow charge amp device use apple port usb work flight forget charge ipadbr br work, 0.8641, 5], [qi charger device use note head class work use qi charger percent battery leave well battery life charge charge charge phone use qi charge output drop phone reach percent phone charge percent min device get charge, 0.9724, 5], [part review regard product battery everything need look wireless charger charge note twice hour choose use usb cable take note hr use unit ipad iphone lightning cord result battery wireless feature work note edge part review regard mobilepals relentless effort make customer happy find unit amazon saw review people offer merchandise review product bought base review time order note receive day find battery wouldnt charge note post review happy wire charge capability let fact phone wouldnt work contact try find phone wouldnt work battery course week problem isolate resolve replacement unit sent look battery work phone company care reputation customer satisfaction look buy worry satisfaction, 0.3818, 4]]"
B00LH010L0,"[0.8674, 0.9427, 0.672, 0.0, 0.5719, -0.1027, 0.4215]","[3, 5, 5, 5, 5, 1, 5]","[[percent, genuine, come, seal, box], [nice, phone], [purchase, total, disappointment, phone, suppose, unlock, turn, wasnt, unlock, eu, unlock, use, eu, phone, shut, couldnt, operate, hope, customer, service, handle, return, process, refund], [perfect], [revise, review, glitchy, crash, apps, try, pokemon, go, take, app, instal, crash, phone, say, euro, sim, card, problem, run, doesnt, work, lte, network, data, transfer, speed, excellent, ergonomics, take, get, use, android, system, aside, everything], [work, perfect, venezuela, battery, last, lot, others, hesitate, buy], [love, cellphone, thanks, d]]","[[percent genuine come seal box, 0.8674, 3], [nice phone, 0.9427, 5], [purchase total disappointment phone suppose unlock turn wasnt unlock eu unlock use eu phone shut couldnt operate hope customer service handle return process refund, 0.672, 5], [perfect, 0.0, 5], [revise review glitchy crash apps try pokemon go take app instal crash phone say euro sim card problem run doesnt work lte network data transfer speed excellent ergonomics take get use android system aside everything, 0.5719, 5], [work perfect venezuela battery last lot others hesitate buy, -0.1027, 1], [love cellphone thanks d, 0.4215, 5]]"
B00LJBHEPI,[0.3744],[5],"[[flip, flop, area, perfect]]","[[flip flop area perfect, 0.3744, 5]]"
B00LL6979C,"[0.4019, 0.7574, 0.4404, 0.0]","[5, 5, 5, 2]","[[happy, purchase, recommend, phone, case, others], [get, lot, compliment, case], [case, light, slippery, im, drop, ground, face, ]]","[[happy purchase recommend phone case others, 0.4019, 5], [get lot compliment case, 0.7574, 5], [case light slippery im drop ground face , 0.4404, 5], [, 0.0, 2]]"
B00LO3ISWO,"[0.2748, 0.6908, 0.4404]","[4, 5, 5]","[[nice, price, product], [want, thanks], [nice, case, volume, power, onoff, button, use]]","[[nice price product, 0.2748, 4], [want thanks, 0.6908, 5], [nice case volume power onoff button use, 0.4404, 5]]"
B00LOYNRN8,[0.6486],[5],"[[protects, phone]]","[[protects phone, 0.6486, 5]]"
B00LOZ5WC6,[0.796],[5],"[[nice, case, fit, look]]","[[nice case fit look, 0.796, 5]]"
B00LZGBC5A,[0.8805],[5],"[[buy, phone, love, look, picture]]","[[buy phone love look picture, 0.8805, 5]]"
B00M2ZSUW6,"[0.1044, 0.9413, 0.5719]","[4, 5, 5]","[[perfect, charge, ipads, ipod, cell, phone, kindle, etc, remote, location, day], [unit, receive, defective, ankers, customer, service, replace, got, brand, unit, seem, work, fine, im, satisfy, charge, speed, thats, expectation, there, nothing, unit], [excellent, product, last, perfect, trip, recommend, product, friend]]","[[perfect charge ipads ipod cell phone kindle etc remote location day, 0.1044, 4], [unit receive defective ankers customer service replace got brand unit seem work fine im satisfy charge speed thats expectation there nothing unit, 0.9413, 5], [excellent product last perfect trip recommend product friend, 0.5719, 5]]"
B00M6INGZ0,"[0.4215, 0.7717, -0.4854, 0.6249]","[5, 5, 3, 5]","[[case], [nice, double, wallet], [work, begin, week, broke]]","[[case, 0.4215, 5], [nice double wallet, 0.7717, 5], [work begin week broke, -0.4854, 3], [, 0.6249, 5]]"
B00MD793X8,[0.0],[3],"[[perimeter, button, push, case]]","[[perimeter button push case, 0.0, 3]]"
B00MEWA2X2,[0.8201],[3],"[[cover, rubberize, matte, black, paint, coating, look, feel, rubber, come, mine, come, month, use, plastic, underneath, clear, protect, phone, impact, screen, contact, surface, face, position]]","[[cover rubberize matte black paint coating look feel rubber come mine come month use plastic underneath clear protect phone impact screen contact surface face position, 0.8201, 3]]"
B00MI8QMY0,[-0.5423],[1],[[quality]],"[[quality, -0.5423, 1]]"
B00MRH3DD0,[0.7406],[3],"[[product, ok, doesnt, complete, coverage, edge, phone, drop, product]]","[[product ok doesnt complete coverage edge phone drop product, 0.7406, 3]]"
B00MRHS7WW,"[0.807, 0.3384, -0.296, 0.926]","[5, 5, 1, 5]","[[product, love, quality, price], [nice, iphone, case, love, feel, leather, wallet, feature], [make, product], [case, wont, stay, close, offer, protection, phone]]","[[product love quality price, 0.807, 5], [nice iphone case love feel leather wallet feature, 0.3384, 5], [make product, -0.296, 1], [case wont stay close offer protection phone, 0.926, 5]]"
B00MRKFRJU,[0.6249],[5],[[awesome]],"[[awesome, 0.6249, 5]]"
B00MWBSRZA,"[-0.0507, 0.0, -0.3612, 0.3291, 0.4939, 0.6956, 0.6249, 0.8074, 0.2023, 0.4588, 0.9568, 0.2449]","[1, 5, 5, 4, 5, 5, 5, 5, 3, 5, 5, 5]","[[purchase, vacation, philippine, buy, charge, phone, faster, regular, charger, battery, last, lightweight, fit, inside, wristlet, ease], [buy, powerbank, wife, life, usa, hasnt, use, equiptment, serve, charge, purpose, thank, amazon, thank, techmatte], [seems, function, watch, phone, leave, battery, recommend, anyone, get, device], [work, describe, run, lg, g, hr, watch, netflix, whileplugged, bank, bank, drain, phone, stay], [disappointedbr, br, glad, receive, day, trip, disappoint, didnt, charge, phone, plug, whole, day, try, switch, output, work, go, return], [bit, otherwise, work, fine], [work, advertise, samsung, note, charge, quicklybr, buy, away, christmas, present], [lcd, indicator, go, charge, okay, fast, charge], [get, work], [buy, camp, trip, make, night, charge, iphone, night, trip], [power, bank, state, whats, suppose, issue, charging, broke, day, product], [arrive, time, charge, iphone, last]]","[[purchase vacation philippine buy charge phone faster regular charger battery last lightweight fit inside wristlet ease, -0.0507, 1], [buy powerbank wife life usa hasnt use equiptment serve charge purpose thank amazon thank techmatte, 0.0, 5], [seems function watch phone leave battery recommend anyone get device, -0.3612, 5], [work describe run lg g hr watch netflix whileplugged bank bank drain phone stay, 0.3291, 4], [disappointedbr br glad receive day trip disappoint didnt charge phone plug whole day try switch output work go return, 0.4939, 5], [bit otherwise work fine, 0.6956, 5], [work advertise samsung note charge quicklybr buy away christmas present, 0.6249, 5], [lcd indicator go charge okay fast charge, 0.8074, 5], [get work, 0.2023, 3], [buy camp trip make night charge iphone night trip, 0.4588, 5], [power bank state whats suppose issue charging broke day product, 0.9568, 5], [arrive time charge iphone last, 0.2449, 5]]"
B00N1V5PAU,[0.2238],[3],"[[okay, compare, price, paidbr, get, dirty, scratch]]","[[okay compare price paidbr get dirty scratch, 0.2238, 3]]"
B00NG4ODTG,[0.0],[5],[[gud]],"[[gud, 0.0, 5]]"
B00NH7LLUG,[0.5719],[5],"[[buy, daughter, love]]","[[buy daughter love, 0.5719, 5]]"
B00NJTO4CY,"[0.7906, 0.5423, 0.8481, 0.807, -0.0026, 0.7003, 0.5719]","[4, 4, 5, 5, 1, 3, 5]","[[work, state, work, perfect, pioneer, avic, ], [product, smaller, expect, work], [order, trip, install, work, find, correct, placement, antenna], [done, well, job, antenna, signal, issue, antenna, supply, use, antenna, older, sirius, radio, unit, work, lot, well], [tuner, wire], [buy, wife, hyundai, sonata, factory, unit, quit, work, install, dash, work], [work, advertise, wish, older, mount, match, didnt, repair, boat, top, rail]]","[[work state work perfect pioneer avic , 0.7906, 4], [product smaller expect work, 0.5423, 4], [order trip install work find correct placement antenna, 0.8481, 5], [done well job antenna signal issue antenna supply use antenna older sirius radio unit work lot well, 0.807, 5], [tuner wire, -0.0026, 1], [buy wife hyundai sonata factory unit quit work install dash work, 0.7003, 3], [work advertise wish older mount match didnt repair boat top rail, 0.5719, 5]]"
B00NOWEBMO,[0.5719],[5],"[[perfect, fit, iphone]]","[[perfect fit iphone, 0.5719, 5]]"
B00NP25KFU,[0.91],[5],"[[case, love, stand, price]]","[[case love stand price, 0.91, 5]]"
B00NYX8PEI,[0.8625],[5],"[[like, gift, person, love]]","[[like gift person love, 0.8625, 5]]"
B00NYYACG6,[0.5859],[5],"[[amaze, case]]","[[amaze case, 0.5859, 5]]"
B00O15MXD2,[0.9014],[4],"[[get, pay, phone, cheap, job, requirement, meet, smart, phone, sort, talk, dont, position, people, something, suggest, look, phone, offer, variety, apps, lackluster, camera, nonetheless, satisfy, purchase]]","[[get pay phone cheap job requirement meet smart phone sort talk dont position people something suggest look phone offer variety apps lackluster camera nonetheless satisfy purchase, 0.9014, 4]]"
B00O1QKH2A,[0.6873],[3],"[[fine, receive, iti, happy, amount, time, start, show, wear, case, brown, show, pink, wouldnt, care, look, book, show, throughbut, stand, pink, corner, case]]","[[fine receive iti happy amount time start show wear case brown show pink wouldnt care look book show throughbut stand pink corner case, 0.6873, 3]]"
B00O35M7W2,[0.9201],[5],"[[surprise, case, using, month, drop, phone, time, protection, fit, nice, buy, sister, phone]]","[[surprise case using month drop phone time protection fit nice buy sister phone, 0.9201, 5]]"
B00O4J2QI2,[0.9349],[5],"[[look, great, gold, accent, button, fit, nice, phone, perfect, price, purchase, phone, come, time, ridge, clasp, work]]","[[look great gold accent button fit nice phone perfect price purchase phone come time ridge clasp work, 0.9349, 5]]"
B00OAYPDZE,"[0.0, -0.2641, 0.0, 0.7549, 0.8221, -0.1134, 0.0]","[5, 2, 2, 5, 5, 5, 2]","[[work, expect, iphone, thing, break, micro, part], [purchase, car, office, hasnt, give, problem, work, month], [seems, work, problem, quality, nicer, others, ive, try], [youll, take, phone, plug, start, charge, get, go, fine, part, male, microusb, go, microusb, seem, bent, bit, time, seem, function, note, havent, put, stress, happen, alright, cable, price, id, expect, le, worry, build, quality, reliability], [quality, product, innovative, packaging, quality, feel, apple, quality, product, market, product, meet, standard, work, skiva, apple, certify, apple, sell, however, price, nice, option, use, car, charge, iphone, charge, bluetooth, headset, need, carry, adapter, dongled, tether, need, do, skiva], [work, describe], [connection, issue, apple, lightning, adapter, micro, usb]]","[[work expect iphone thing break micro part, 0.0, 5], [purchase car office hasnt give problem work month, -0.2641, 2], [seems work problem quality nicer others ive try, 0.0, 2], [youll take phone plug start charge get go fine part male microusb go microusb seem bent bit time seem function note havent put stress happen alright cable price id expect le worry build quality reliability, 0.7549, 5], [quality product innovative packaging quality feel apple quality product market product meet standard work skiva apple certify apple sell however price nice option use car charge iphone charge bluetooth headset need carry adapter dongled tether need do skiva, 0.8221, 5], [work describe, -0.1134, 5], [connection issue apple lightning adapter micro usb, 0.0, 2]]"
B00OB1HYNK,"[0.9718, 0.765]","[5, 5]","[[purchase, gift, mom, shes, use, day, month, love, space, cash, driver, licence, card, doesnt, pay, credit, debit, card, work, fine, lot, card, fit, phone, find, use, case, include, ok, doesnt, use, think, case, great, value, case, sell, twice, time, pay, amazon, dont, think, get, pay, mall, pay, stuff], [case, wife, love]]","[[purchase gift mom shes use day month love space cash driver licence card doesnt pay credit debit card work fine lot card fit phone find use case include ok doesnt use think case great value case sell twice time pay amazon dont think get pay mall pay stuff, 0.9718, 5], [case wife love, 0.765, 5]]"
B00OD4XI26,[0.6249],[5],"[[pk, screen, protector, product, cost, consumer, item, coat, side, screen, otterbox, use, glass, screen, protector, inside, phone]]","[[pk screen protector product cost consumer item coat side screen otterbox use glass screen protector inside phone, 0.6249, 5]]"
B00ODQZURK,[0.6369],[5],"[[iphone, case]]","[[iphone case, 0.6369, 5]]"
B00OK9KAOI,"[0.9231, 0.6369]","[5, 5]","[[case, quality], [color, leather, hold, card, slot, stand, phone, angle, view, love]]","[[case quality, 0.9231, 5], [color leather hold card slot stand phone angle view love, 0.6369, 5]]"
B00OX5S3B6,[-0.2755],[1],"[[cover, didnt, fit, phone, different, mototolla, phone, mine, maxx, cover]]","[[cover didnt fit phone different mototolla phone mine maxx cover, -0.2755, 1]]"
B00OXD8MCS,[0.6249],[5],"[[awesome, product]]","[[awesome product, 0.6249, 5]]"
B00P1EYA8S,"[0.8878, 0.0, 0.0]","[5, 5, 3]","[[bien], [xtra, protection], [excellent, protect, phone, fall, thanks, amazon]]","[[bien, 0.8878, 5], [xtra protection, 0.0, 5], [excellent protect phone fall thanks amazon, 0.0, 3]]"
B00P8PX4HI,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B00P9VO44S,[0.9513],[5],"[[type, screen, protector, east, state, release, air, bubble, felt, sturdy, course, wont, hammer, test, check, durability, feel, protector, offer, protection, phone, drop, screen, smooth, affect, performance, touch, screen, fit, galaxy, screen, order, product, heartbeat, please]]","[[type screen protector east state release air bubble felt sturdy course wont hammer test check durability feel protector offer protection phone drop screen smooth affect performance touch screen fit galaxy screen order product heartbeat please, 0.9513, 5]]"
B00PJSIIES,"[-0.0729, 0.4939, 0.4588, 0.4927, 0.7906, 0.8678, 0.6249, 0.6901, 0.6705, 0.7964, 0.4404]","[5, 3, 5, 5, 5, 4, 5, 5, 5, 5, 5]","[[gadget, era, ill, enjoy, picture, take], [gadget], [device, connect, phone, work, time, see, housing, make, metal, cost, couple, dollar, feel, strap, break, attache, remote, control], [connects, bluetooth, observation, hit, button, nothing, happens, hit, button, time, take, picture, id, give, performance, rate], [io, right, packaging, bluetooth, connection, efficient, easy, work, advertise, use, io, camera, app, apps, need, press, button, fire, shutter, taken, dozen, shot, glitches, doesnt, trigger, camera, app, havent, instal, camkix, apps, bridge, process, durability, fob, something, id, drop, time, step], [connect, bluetooth, camera, devices, use], [setup, use, work], [connect, work, mini], [simple, tripod, alternative, goofy, selfie, stick], [use, turnon, connect, phone, bluetooth, b, snap, time, buy], [device, get, black, one, work, iphone, nexus, test, camera, pic, keep, update, video]]","[[gadget era ill enjoy picture take, -0.0729, 5], [gadget, 0.4939, 3], [device connect phone work time see housing make metal cost couple dollar feel strap break attache remote control, 0.4588, 5], [connects bluetooth observation hit button nothing happens hit button time take picture id give performance rate, 0.4927, 5], [io right packaging bluetooth connection efficient easy work advertise use io camera app apps need press button fire shutter taken dozen shot glitches doesnt trigger camera app havent instal camkix apps bridge process durability fob something id drop time step, 0.7906, 5], [connect bluetooth camera devices use, 0.8678, 4], [setup use work, 0.6249, 5], [connect work mini, 0.6901, 5], [simple tripod alternative goofy selfie stick, 0.6705, 5], [use turnon connect phone bluetooth b snap time buy, 0.7964, 5], [device get black one work iphone nexus test camera pic keep update video, 0.4404, 5]]"
B00PL3C1SK,"[-0.2755, 0.9371, 0.5719, -0.2023, -0.4576]","[1, 3, 5, 4, 1]","[[nice, case, crappy, phone], [im, unsatisfied, purchase, year, time], [perfect, duty, case], [fit, htc, phone], [phone, case, look, however, issue, go, weekend, didnt, use, monday, way, work, wore, less, hour, pin, hold, belt, clip, slide, phone, hit, sidewalk, find, piece, put, dab, bit, superglue, end, ensure, pin, wouldnt, slip, everything, work, fine, issue, velvet, insert, belt, clip, come, unglued, inside, issue, doesnt, serve, purpose, keep, thing, nice, condition, longer, month, stylus, come, make, cheap, carry]]","[[nice case crappy phone, -0.2755, 1], [im unsatisfied purchase year time, 0.9371, 3], [perfect duty case, 0.5719, 5], [fit htc phone, -0.2023, 4], [phone case look however issue go weekend didnt use monday way work wore less hour pin hold belt clip slide phone hit sidewalk find piece put dab bit superglue end ensure pin wouldnt slip everything work fine issue velvet insert belt clip come unglued inside issue doesnt serve purpose keep thing nice condition longer month stylus come make cheap carry, -0.4576, 1]]"
B00PLQ0CPG,[-0.4215],[1],"[[watch, break, put, time]]","[[watch break put time, -0.4215, 1]]"
B00PNW6Z9U,[0.888],[4],"[[nice, look, cover, price, fit, lg, appear, phone, say, protect, cover, price]]","[[nice look cover price fit lg appear phone say protect cover price, 0.888, 4]]"
B00PSFB4A2,[-0.5256],[1],"[[poor, description, need]]","[[poor description need, -0.5256, 1]]"
B00PVLZPF8,[0.5984],[4],"[[case, fit, nylon, turbo, claim, doesntbr, star]]","[[case fit nylon turbo claim doesntbr star, 0.5984, 4]]"
B00PXFA0Y8,[-0.5859],[5],"[[protects, decent, screen, protector, kill, phone]]","[[protects decent screen protector kill phone, -0.5859, 5]]"
B00Q4713VS,"[0.6249, -0.0387, -0.6004, -0.429]","[5, 4, 3, 2]","[[nice, feel, phone, rubber, piece, hold, phone, doesnt, fit, slide, end, picture, show, holder, hold, phone, side, cover, bit, corner, design, prefer, note, case, rubber, holder, come, phouse, e, picture], [case, samsung, galaxy, note, look, stylish, buy], [problem, case, isnt, fit], [feel, handy, protection, provide, purse, conversation, starterbr, awkward, use, talk, phone]]","[[nice feel phone rubber piece hold phone doesnt fit slide end picture show holder hold phone side cover bit corner design prefer note case rubber holder come phouse e picture, 0.6249, 5], [case samsung galaxy note look stylish buy, -0.0387, 4], [problem case isnt fit, -0.6004, 3], [feel handy protection provide purse conversation starterbr awkward use talk phone, -0.429, 2]]"
B00Q4FQF3Q,[0.6697],[5],"[[girl, love]]","[[girl love, 0.6697, 5]]"
B00Q8VS0TS,"[-0.1315, 0.081]","[1, 5]","[[edge, part, leave, expose, taking, pic, make, call, open, apps, realize, drop, ground, foot, hit, ground, flap, flew, openresulting, phone, flip, shatter, screen, repair, wish, spent, protection, thing, case, snap, phone, u, trajectory, get, hot, charge, phone, case], [case, worry, way, time, matter, fold, backwards, style, clock, definite]]","[[edge part leave expose taking pic make call open apps realize drop ground foot hit ground flap flew openresulting phone flip shatter screen repair wish spent protection thing case snap phone u trajectory get hot charge phone case, -0.1315, 1], [case worry way time matter fold backwards style clock definite, 0.081, 5]]"
B00QH8581U,"[0.6369, 0.8597, 0.8689]","[5, 5, 5]","[[da], [work, good, nice, sound, blue, tooth, work], [like, unit, flexibility, medium, type, play, find, well, option, price, range, far, display, difficulty, see, bright, sunlight, say, im, sure, read, review, competitor, someone, didnt, complaint, sufficient, power, satisfy, struggle, engine, noise, havent, use, tooth, speak, feature, functionality, look, price, feature, think, go, price, point]]","[[da, 0.6369, 5], [work good nice sound blue tooth work, 0.8597, 5], [like unit flexibility medium type play find well option price range far display difficulty see bright sunlight say im sure read review competitor someone didnt complaint sufficient power satisfy struggle engine noise havent use tooth speak feature functionality look price feature think go price point, 0.8689, 5]]"
B00QL3SG4C,"[0.8805, -0.4215]","[5, 1]","[[car, charger, stop, work, month, wall, charger, stop, work], [notice, quality, part, box, excellent, qualitybr, br, part, fit, test, everything, work, describedbr, br, recommend, product, buy]]","[[car charger stop work month wall charger stop work, 0.8805, 5], [notice quality part box excellent qualitybr br part fit test everything work describedbr br recommend product buy, -0.4215, 1]]"
B00QQ46P1C,[0.5719],[5],"[[work, perfect, sony, dslr, camera, product, take, longer, worth, wait]]","[[work perfect sony dslr camera product take longer worth wait, 0.5719, 5]]"
B00QQYSX7Q,"[0.7717, 0.9515, 0.974]","[5, 5, 5]","[[loud, clear, awesome, bang, buck], [hand, best, speaker, ever, sound, crisp, base, base, mean, everything, speaker, gold, look, boxing, package, nothing, say, product, say, afford, end, speaker, speaker, want, regret], [wireless, speaker, week, play, basis, thati, dont, think, option, upload, vdo, triedanyway, good, quality, product, anything, change, update, worth, penny, spend, trance, music, deliver, ear, ring, speaker, din, room, house, party, entire, home, course, inside, room, connect, enjoy]]","[[loud clear awesome bang buck, 0.7717, 5], [hand best speaker ever sound crisp base base mean everything speaker gold look boxing package nothing say product say afford end speaker speaker want regret, 0.9515, 5], [wireless speaker week play basis thati dont think option upload vdo triedanyway good quality product anything change update worth penny spend trance music deliver ear ring speaker din room house party entire home course inside room connect enjoy, 0.974, 5]]"
B00R1WK6YU,[0.3612],[5],"[[protection, dropscheck, test, head, phonesaux, cord, fit, take, casecheck]]","[[protection dropscheck test head phonesaux cord fit take casecheck, 0.3612, 5]]"
B00R2DXHHG,[0.0],[2],"[[show, unit, think, track, busy, run, time, return, itbr, day, sign, phone, service, sim, card, kidsgrandkids, want]]","[[show unit think track busy run time return itbr day sign phone service sim card kidsgrandkids want, 0.0, 2]]"
B00R2MIFOM,"[0.8643, 0.5509, 0.7579, 0.6249]","[2, 5, 5, 5]","[[headphone, pair, sound], [work, great, quality], [tv, isnt, list, gogrooves, list, work, penny], [item, work, month, transmitter, sends, mono, use, main, purpose, watch, tv, night, cant, sleep, equipment, use, appear, product, make, sturdy, break, star, rating]]","[[headphone pair sound, 0.8643, 2], [work great quality, 0.5509, 5], [tv isnt list gogrooves list work penny, 0.7579, 5], [item work month transmitter sends mono use main purpose watch tv night cant sleep equipment use appear product make sturdy break star rating, 0.6249, 5]]"
B00RKLGLD2,"[0.9022, 0.8588, 0.5023]","[5, 5, 5]","[[wireless, charge, phone, work, nice, fit], [work, expect, wouldnt, phone, charger, plug, wear, phone, year, dont, plug, need, set, charger], [convenience, work, case, fit, wireless, charge, cover, get, youll]]","[[wireless charge phone work nice fit, 0.9022, 5], [work expect wouldnt phone charger plug wear phone year dont plug need set charger, 0.8588, 5], [convenience work case fit wireless charge cover get youll, 0.5023, 5]]"
B00RZL30JU,"[0.765, 0.6249, 0.3612, 0.3612, -0.5256, 0.8856, 0.8481, 0.8555]","[5, 5, 5, 5, 1, 5, 5, 3]","[[item, use, basis, let, stick, phone, case, material, great, fit, card], [product, arrive, look, use, material, mark, disappoint, product, go, get, purchase, saw, store, less, pay], [perfect, need, way, get, case, want, place, hold, card, stay, place, recommend], [product], [got, wife, brother], [come, time, performs, promise], [product, sicilcone, material, nice, hold, card, id, debit, cardcredit, card, ok, tight, fit, adhesive, side, leave, right, edge, raise, wont, stick, card, insert], [case, slide, card]]","[[item use basis let stick phone case material great fit card, 0.765, 5], [product arrive look use material mark disappoint product go get purchase saw store less pay, 0.6249, 5], [perfect need way get case want place hold card stay place recommend, 0.3612, 5], [product, 0.3612, 5], [got wife brother, -0.5256, 1], [come time performs promise, 0.8856, 5], [product sicilcone material nice hold card id debit cardcredit card ok tight fit adhesive side leave right edge raise wont stick card insert, 0.8481, 5], [case slide card, 0.8555, 3]]"
B00S0VMGB2,[-0.7056],[1],"[[temper, glass, as, broke, day, buy, expect, use, term, protection]]","[[temper glass as broke day buy expect use term protection, -0.7056, 1]]"
B00S41G2FE,[0.6369],[5],"[[delivery, price, ]]","[[delivery price , 0.6369, 5]]"
B00S41V4QQ,[-0.5994],[1],"[[dont, buy, make, work, day, window, weak, poor, reception]]","[[dont buy make work day window weak poor reception, -0.5994, 1]]"
B00S4T1UMQ,"[0.0, 0.0, 0.3612, 0.926, 0.4404, 0.5423]","[4, 5, 5, 5, 5, 5]","[[recommend, buy], [need, work, describe], [pain, charge, capacity, fact, stow, week, power, cell, phone, bag, awesome, keep, usb, power, brick, use, stay, laptop, bag, great, week, im, travel, work], [battery, save, time, save, occasion, battery, leave, phone, halfway, day, take, wherever, go, charge, phone], [expect]]","[[recommend buy, 0.0, 4], [need work describe, 0.0, 5], [pain charge capacity fact stow week power cell phone bag awesome keep usb power brick use stay laptop bag great week im travel work, 0.3612, 5], [battery save time save occasion battery leave phone halfway day take wherever go charge phone, 0.926, 5], [expect, 0.4404, 5], [, 0.5423, 5]]"
B00SGJQHNG,[0.7906],[5],"[[case, favorite]]","[[case favorite, 0.7906, 5]]"
B00SLIDE3I,[0.0],[5],[[receive]],"[[receive, 0.0, 5]]"
B00SQ1OH5E,[-0.4391],[1],"[[dissatisfy, product]]","[[dissatisfy product, -0.4391, 1]]"
B00SUORIFS,[-0.2023],[1],"[[iphone, wall, charger, doesnt, let, use, phone, charge]]","[[iphone wall charger doesnt let use phone charge, -0.2023, 1]]"
B00SV0J3UY,[0.0],[5],"[[take, cant, believe, made]]","[[take cant believe made, 0.0, 5]]"
B00SZ7YETS,[-0.4973],[1],"[[didnt, fit, phone, mophie, battery, case, leather, case, mophie, case, make, phone, belt, case]]","[[didnt fit phone mophie battery case leather case mophie case make phone belt case, -0.4973, 1]]"
B00T2PMJJY,"[0.869, 0.4854, 0.4404]","[5, 4, 4]","[[case, cool, use, time, go, beach, boat, go, boarding, take, picture, ocean, safety, device, youre, ocean, case, lot, smaller, expect, bring, place, lot, time, phone, slip, problem, case], [use, job, keep, phone, drawback, fast, phone, get, use, minute, case, fine], [product, seem, float]]","[[case cool use time go beach boat go boarding take picture ocean safety device youre ocean case lot smaller expect bring place lot time phone slip problem case, 0.869, 5], [use job keep phone drawback fast phone get use minute case fine, 0.4854, 4], [product seem float, 0.4404, 4]]"
B00T34QVZC,[-0.4168],[4],"[[color, vibrant, picture, appear]]","[[color vibrant picture appear, -0.4168, 4]]"
