B0007XPK2I,[0.6249],[5],"[[sound, great]]","[[sound great, 0.6249, 5]]"
B003JNYULA,[-0.2263],[2],"[[work, connect, garmin, app, quit, track, stop, dont, move, area, get, something]]","[[work connect garmin app quit track stop dont move area get something, -0.2263, 2]]"
B0045KJAK2,[0.0],[5],"[[last, year, prepare, order]]","[[last year prepare order, 0.0, 5]]"
B0047A6SFK,[0.4404],[4],[[product]],"[[product, 0.4404, 4]]"
B004BQWFHK,"[-0.3865, -0.5, 0.9153]","[1, 4, 5]","[[perfect, cooler, radio, super, loud, watt, amp, love], [center, metal, screen, rust, please, product], [dont, expect, win, audio, competition, expect, price, need, im, use, offroader, go, deep, water, wash, inside, hose, ruin, factory, speaker, time, tell, hold, make, plenty, clearance, seal, magnet]]","[[perfect cooler radio super loud watt amp love, -0.3865, 1], [center metal screen rust please product, -0.5, 4], [dont expect win audio competition expect price need im use offroader go deep water wash inside hose ruin factory speaker time tell hold make plenty clearance seal magnet, 0.9153, 5]]"
B0051H9Y2C,[0.8519],[5],"[[case, work]]","[[case work, 0.8519, 5]]"
B0056AWLQ0,[0.6249],[5],[[price]],"[[price, 0.6249, 5]]"
B00574S95M,[0.8519],[5],"[[piece, replacement, good, quality, get, job, done, sure, know, go]]","[[piece replacement good quality get job done sure know go, 0.8519, 5]]"
B005MZEWT8,"[0.5949, 0.7264]","[5, 4]","[[need, glad, cell, phone, holder], [nice, improvement, suggest, replace, magnet, velcro]]","[[need glad cell phone holder, 0.5949, 5], [nice improvement suggest replace magnet velcro, 0.7264, 4]]"
B005VAORH6,"[0.765, 0.7264, -0.5927, 0.9946, 0.0, 0.5719, 0.893, 0.872, 0.6249]","[5, 5, 5, 5, 5, 5, 5, 5, 5]","[[happy, performance, service], [work, turn, sound, computer, unplug, usb, ear, piece, hate, thing, stick, ear, volume, switch, cord, handy, length, cord, usp, attachment, everything, nice, microphone, use, leave], [replacement, model, buy, year, reason, need, replace, one, ear, pad, start, disintegrate, year, use, excellent, sound, excellent, perfect, amount, pressure, hold, place, ear, cause], [work], [work, home, employee], [purchase, work], [unit, went, tooth, headset, iffy, audio, work, screenshot, video, reason, went, goodl, usb, method, recommnded], [look, seller, thank], [product, thats, ive, purchase, plantronics, wireless, model, favoritebr, usesbr, business, build, support, webbased, schedule, system, use, technology, company, world, employee, locate, city, carolina, virginia, jersey, meeting, client, conduct, use, skype, gotomeeting, audio, equipmentbr, br, plantronics, fit, bill, example, today, conduct, hour, training, session, client, paris, rhode, island, online, support, session, client, raleigh, nc, walk, thru, member, team, city, hour, thats, hour, use, headset, remain, quality, excellent, voice, support, stereo, use, excels, use, skype, voip, softphone, conversationsbr, br, advance, featuresbr, feature, addon, driver, find, plantronics, web, plugin, let, pick, softphone, skype, call, use, control, headset, feature, find, plugin, notification, microphone, mute, involve, conference, call, talk, went, unheard, headset, mute, plantronics, eliminates, issue, display, onscreen, indicator, whenever, microphone, mutedbr, br, bargain, amazon, ]]","[[happy performance service, 0.765, 5], [work turn sound computer unplug usb ear piece hate thing stick ear volume switch cord handy length cord usp attachment everything nice microphone use leave, 0.7264, 5], [replacement model buy year reason need replace one ear pad start disintegrate year use excellent sound excellent perfect amount pressure hold place ear cause, -0.5927, 5], [work, 0.9946, 5], [work home employee, 0.0, 5], [purchase work, 0.5719, 5], [unit went tooth headset iffy audio work screenshot video reason went goodl usb method recommnded, 0.893, 5], [look seller thank, 0.872, 5], [product thats ive purchase plantronics wireless model favoritebr usesbr business build support webbased schedule system use technology company world employee locate city carolina virginia jersey meeting client conduct use skype gotomeeting audio equipmentbr br plantronics fit bill example today conduct hour training session client paris rhode island online support session client raleigh nc walk thru member team city hour thats hour use headset remain quality excellent voice support stereo use excels use skype voip softphone conversationsbr br advance featuresbr feature addon driver find plantronics web plugin let pick softphone skype call use control headset feature find plugin notification microphone mute involve conference call talk went unheard headset mute plantronics eliminates issue display onscreen indicator whenever microphone mutedbr br bargain amazon , 0.6249, 5]]"
B005ZMZOAY,[-0.2755],[1],"[[didnt, fit, threw]]","[[didnt fit threw, -0.2755, 1]]"
B005ZVVJ1I,"[0.6249, -0.862]","[5, 1]","[[broke, month, disappoint, brad, last, year, disappoint], [work, great]]","[[broke month disappoint brad last year disappoint, 0.6249, 5], [work great, -0.862, 1]]"
B006NQYWA4,[0.6249],[5],[[case]],"[[case, 0.6249, 5]]"
B0073WVD7M,"[0.4404, 0.8658]","[4, 5]","[[quality, item], [product, price, buy]]","[[quality item, 0.4404, 4], [product price buy, 0.8658, 5]]"
B0074REBX4,[-0.6486],[1],"[[phone, come, battery, replace, apple, store, week, own, phone, cost, time]]","[[phone come battery replace apple store week own phone cost time, -0.6486, 1]]"
B007AKLBM4,[0.0772],[4],"[[everything, want, didnt, cost, iphone, cost]]","[[everything want didnt cost iphone cost, 0.0772, 4]]"
B007CGFAPK,[0.296],[4],"[[look, great, om, ipod, delivers, guarantee, protection, thing, make, press, volume, lock, button]]","[[look great om ipod delivers guarantee protection thing make press volume lock button, 0.296, 4]]"
B007RJEW1A,[0.2023],[4],"[[crispy, top, end, go, non, coaxial, tweeter, car]]","[[crispy top end go non coaxial tweeter car, 0.2023, 4]]"
B007VD0V30,[-0.4215],[2],"[[broke, week]]","[[broke week, -0.4215, 2]]"
B007XWA0JE,[0.4404],[5],"[[service, product]]","[[service product, 0.4404, 5]]"
B0085MRYRM,[0.4404],[5],"[[work, way, battery, come, galaxy]]","[[work way battery come galaxy, 0.4404, 5]]"
B0089VO7RY,[-0.6249],[1],"[[worst, chip]]","[[worst chip, -0.6249, 1]]"
B008PINWYU,[0.9001],[5],"[[product, son, love, phone, case]]","[[product son love phone case, 0.9001, 5]]"
B0091CD1PY,[-0.4404],[1],"[[receive, damage]]","[[receive damage, -0.4404, 1]]"
B0093A5XPA,"[-0.3071, 0.4404]","[3, 5]","[[year, case, start, fail, regardless, everything, case, cover, phone], [stuff]]","[[year case start fail regardless everything case cover phone, -0.3071, 3], [stuff, 0.4404, 5]]"
B0093M2I2O,[0.886],[5],"[[fit, perfect, love, deep, purple, color]]","[[fit perfect love deep purple color, 0.886, 5]]"
B0098FKLWU,[0.9665],[5],"[[case, month, keep, driver, license, debit, card, room, card, fold, bill, case, fit, iphone, stand, drop, look, phone, recommend]]","[[case month keep driver license debit card room card fold bill case fit iphone stand drop look phone recommend, 0.9665, 5]]"
B009OY2SSA,[0.1999],[5],"[[bow, come, others, hope, stay]]","[[bow come others hope stay, 0.1999, 5]]"
B009SJNRMC,[0.9018],[2],"[[give, gift, christmas, year, half, admit, work, month, case, phone, start, fall, apart, rubber, case, wasnt, stay, decide, deal, remove, case, need, gte, battery, card, phone, rubber, outline, case, flimsy, use, come, amazon, get, replacement, case, month, however, base, longer, charge, phone, annoy, cord, charger, case, longer, charge, phone, needle, say, move, luck]]","[[give gift christmas year half admit work month case phone start fall apart rubber case wasnt stay decide deal remove case need gte battery card phone rubber outline case flimsy use come amazon get replacement case month however base longer charge phone annoy cord charger case longer charge phone needle say move luck, 0.9018, 2]]"
B00A1UI02Y,[0.9812],[4],"[[come, mail, today, love, ito, love, color, seems, break, im, worry, bc, glass, screen, protector, fit, perfect, way, well, cheap, case, buy, phone]]","[[come mail today love ito love color seems break im worry bc glass screen protector fit perfect way well cheap case buy phone, 0.9812, 4]]"
B00A1XF5FQ,[0.7964],[5],"[[product, work]]","[[product work, 0.7964, 5]]"
B00A5GF1BM,[0.0],[3],[[expect]],"[[expect, 0.0, 3]]"
B00BGRMED2,"[0.2382, 0.5279]","[4, 5]","[[blew, mine, week, pioneer, hu, w, x, br, br, factory, hu, aftermarket], [please, kicker, scream, bass, balance, get, lot, high, drown, everything, super, quality, clear, step, factory]]","[[blew mine week pioneer hu w x br br factory hu aftermarket, 0.2382, 4], [please kicker scream bass balance get lot high drown everything super quality clear step factory, 0.5279, 5]]"
B00BKV3HQW,"[-0.2924, 0.1779, 0.0]","[3, 2, 4]","[[sound, clear, older, unit, force], [see], [expect, get, communicate, hill, interference, desert, wouldnt, mile, range, los, expect]]","[[sound clear older unit force, -0.2924, 3], [see, 0.1779, 2], [expect get communicate hill interference desert wouldnt mile range los expect, 0.0, 4]]"
B00BLFTG44,[0.3818],[2],"[[product, cheap, want, something, put, phone, credit, card, travel, phone, case, cheap, withstand, open, closing, time]]","[[product cheap want something put phone credit card travel phone case cheap withstand open closing time, 0.3818, 2]]"
B00BUIG73U,[0.4215],[3],"[[ok, cover, replace, phone, hold, flip, cover, phone, fall]]","[[ok cover replace phone hold flip cover phone fall, 0.4215, 3]]"
B00CJRZ31S,[0.9612],[4],"[[acc, bluetooth, speaks, sound, quality, good, play, loud, bassbr, br, keep, break, portbr, work, life, radio, reception]]","[[acc bluetooth speaks sound quality good play loud bassbr br keep break portbr work life radio reception, 0.9612, 4]]"
B00D2DQNAI,"[0.0, 0.8519, 0.0, 0.3612]","[1, 5, 5, 5]","[[item, awhile, problemsand, price, husband, love, item], [come, day, lot, easytouse], [recived, cheap, knock, verizon, oem], [want]]","[[item awhile problemsand price husband love item, 0.0, 1], [come day lot easytouse, 0.8519, 5], [recived cheap knock verizon oem, 0.0, 5], [want, 0.3612, 5]]"
B00D8YYXO4,[-0.8216],[2],"[[charger, arrive, time, didnt, work, bit, go, phone, loose, balance, get, phone, charge, keep, charger, couple, day, get, frustrate, replace]]","[[charger arrive time didnt work bit go phone loose balance get phone charge keep charger couple day get frustrate replace, -0.8216, 2]]"
B00DD62ZB0,"[0.5719, 0.872, 0.9038]","[5, 5, 5]","[[case, otterbox, commuter, case, get, fell, sleek, fit, pocket, prone, droppimg, phone, work, drop, multiple, time, havent, damage], [perfect, case, iphone], [nice, case, slim, glad, get, otterbox, time, drop, phone, time, case, held, great]]","[[case otterbox commuter case get fell sleek fit pocket prone droppimg phone work drop multiple time havent damage, 0.5719, 5], [perfect case iphone, 0.872, 5], [nice case slim glad get otterbox time drop phone time case held great, 0.9038, 5]]"
B00DRJWMVG,[-0.2516],[3],"[[case, protect, iphone, fall, keep, iphone, crack, multiple, time, rubber, color, get, turn, darker, dirty, look, own, aqua, red, buy, product, color, look, dirty, couple, week]]","[[case protect iphone fall keep iphone crack multiple time rubber color get turn darker dirty look own aqua red buy product color look dirty couple week, -0.2516, 3]]"
B00DU4EF1I,[0.6249],[5],[[case]],"[[case, 0.6249, 5]]"
B00E0CS8XU,[-0.4377],[5],"[[pro, durable, plenty, storage, card, bright, color, protects, phone, wellbr, br, buy, case, wife, lg, optimus, g, pro, month, shes, phone, throw, dropping, leave, dashboard, scuff, case, hold, wear, hold, phone, allow, ding, dent, edge, case, show, fray, edge, break, thread, manage, kill, phone, whatever, phone, get, hope, gmyle, case]]","[[pro durable plenty storage card bright color protects phone wellbr br buy case wife lg optimus g pro month shes phone throw dropping leave dashboard scuff case hold wear hold phone allow ding dent edge case show fray edge break thread manage kill phone whatever phone get hope gmyle case, -0.4377, 5]]"
B00E3GXJDC,[0.0],[5],"[[way, heavy, carry, necessity, android, phone]]","[[way heavy carry necessity android phone, 0.0, 5]]"
B00EKKDJ18,[0.7506],[4],[[leather]],"[[leather, 0.7506, 4]]"
B00EN1DLYO,[0.4927],[4],[[impress]],"[[impress, 0.4927, 4]]"
B00EOSX1CS,[0.584],[4],"[[efficient, nicest, design, excess, texture, decoration, make, grasp, tbt]]","[[efficient nicest design excess texture decoration make grasp tbt, 0.584, 4]]"
B00F0FNYXK,"[0.7717, -0.4346]","[5, 1]","[[suspect, look, gave, look, took, come, fade, color], [grand, daughter, love]]","[[suspect look gave look took come fade color, 0.7717, 5], [grand daughter love, -0.4346, 1]]"
B00F3JBMEG,[0.0],[5],[[product]],"[[product, 0.0, 5]]"
B00F3X69RM,[0.9752],[4],"[[phone, case, mini, great, accessory, phone, order, hot, pink, phone, want, match, color, look, pink, color, pink, think, pink, case, doesnt, provide, lot, protection, youre, look, nice, flip, cover, require, remove, phone, provide, protection, mine, plenty, time, fine, great, accessory]]","[[phone case mini great accessory phone order hot pink phone want match color look pink color pink think pink case doesnt provide lot protection youre look nice flip cover require remove phone provide protection mine plenty time fine great accessory, 0.9752, 4]]"
B00F8PQ2JK,[0.9674],[5],"[[excellent, phone, cover, cover, nexus, year, work, stood, drop, couple, time, month, butterfingers, protect, phone, fine, like, cover, pattern, let, see, phone, designbr, br, upgrade, iphone, get, cover, teenaged, son, get, iphone, c, get, cover, protect, phone, grip, turn, phone, something, grip, see, color, phone, green]]","[[excellent phone cover cover nexus year work stood drop couple time month butterfingers protect phone fine like cover pattern let see phone designbr br upgrade iphone get cover teenaged son get iphone c get cover protect phone grip turn phone something grip see color phone green, 0.9674, 5]]"
B00FD1O2JQ,"[0.5719, 0.4754]","[5, 5]","[[nice], [excellent]]","[[nice, 0.5719, 5], [excellent, 0.4754, 5]]"
B00FECJY8I,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B00FGFH480,[0.5187],[5],"[[save, phone, time, think, dislike, stand, grow, lot, doesnt, add, bulk, weight, convenient, im, reading, newspaper, phone, lunch]]","[[save phone time think dislike stand grow lot doesnt add bulk weight convenient im reading newspaper phone lunch, 0.5187, 5]]"
B00FODWC04,"[0.4404, 0.765]","[5, 5]","[[work, meant, word, work], [home, wall, travel, chargerarrived, expect, samsung, galaxy, size, br, fact, order, anther, look, charger, touchpad, order]]","[[work meant word work, 0.4404, 5], [home wall travel chargerarrived expect samsung galaxy size br fact order anther look charger touchpad order, 0.765, 5]]"
B00FZ3DAJ0,[0.4588],[5],"[[cover, phone, neat]]","[[cover phone neat, 0.4588, 5]]"
B00G22VDH4,[0.0],[5],[[thumb]],"[[thumb, 0.0, 5]]"
B00G6P5RRE,[0.775],[3],"[[color, start, wear, abt, month, use, take, apart, cover, provide, protection, phone, look]]","[[color start wear abt month use take apart cover provide protection phone look, 0.775, 3]]"
B00G7JVG56,[0.982],[5],"[[need, replacement, crack, nokia, screen, perfect, unit, easy, replace, come, tool, need, didnt, require, crazy, glue, unit, ship, stabilize, foam, shipping, container, adequate, protect, transit, shipping, china, unit, frame, premounted, digitizerlcdglass, unit, nokia, brand, att, brand, replacing, component, need, move, screen, camerasensor, unit, couple, sponge, pad, expect, nothing, glue, unit, ive, replace, screen, device, total, repair, time, minute, didnt, watch, youtube, video, step, tool, box, use, torx, unscrew, screen, lock, sim, cover, plastic, pry, tool, pop, screen, ribbon, cable, connector, im, tool, thanks, send, anyway, pair, tweezer, require, supply, help, place, pad, replacement, unit, youtube, video, watch, help, leon, httpsyoutubeaxfvjeui]]","[[need replacement crack nokia screen perfect unit easy replace come tool need didnt require crazy glue unit ship stabilize foam shipping container adequate protect transit shipping china unit frame premounted digitizerlcdglass unit nokia brand att brand replacing component need move screen camerasensor unit couple sponge pad expect nothing glue unit ive replace screen device total repair time minute didnt watch youtube video step tool box use torx unscrew screen lock sim cover plastic pry tool pop screen ribbon cable connector im tool thanks send anyway pair tweezer require supply help place pad replacement unit youtube video watch help leon httpsyoutubeaxfvjeui, 0.982, 5]]"
B00GAXONJU,"[0.0, 0.7906, 0.0]","[1, 5, 1]","[[work, great, install, part, need], [didnt, work, installation], [work, connection, size, buy, product, seller]]","[[work great install part need, 0.0, 1], [didnt work installation, 0.7906, 5], [work connection size buy product seller, 0.0, 1]]"
B00GIBOXBW,[0.7422],[4],"[[case, work, well, otter, box, thing, broke, stand, thats, come, protection, recommend, case]]","[[case work well otter box thing broke stand thats come protection recommend case, 0.7422, 4]]"
B00GT7DPL4,"[0.0, 0.765, 0.9501]","[1, 5, 4]","[[use, enjoying, item, wife, like, love, say, ok, thanks], [case, crack, come, thru, mail], [thank]]","[[use enjoying item wife like love say ok thanks, 0.0, 1], [case crack come thru mail, 0.765, 5], [thank, 0.9501, 4]]"
B00HCQUTN8,[-0.2755],[2],"[[fit, handletoosmall]]","[[fit handletoosmall, -0.2755, 2]]"
B00HLSMM5A,[0.1655],[1],"[[case, look, cool, didnt, snap, use, day, front, corner, snap, wasnt, drop]]","[[case look cool didnt snap use day front corner snap wasnt drop, 0.1655, 1]]"
B00HSGRSPE,[0.0],[5],"[[hold, plus]]","[[hold plus, 0.0, 5]]"
B00HWIMORK,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B00HWNN4T2,[0.5719],[5],"[[excellent, want]]","[[excellent want, 0.5719, 5]]"
B00HWOBSAS,[0.9747],[5],"[[love, love, ipod, case, everything, perfect, design, color, fit, feel, offer, protection, use, ipod, gen, buy]]","[[love love ipod case everything perfect design color fit feel offer protection use ipod gen buy, 0.9747, 5]]"
B00HX396BQ,[0.4404],[5],"[[product, good, need]]","[[product good need, 0.4404, 5]]"
B00I5VC5CC,[0.6697],[5],[[want]],"[[want, 0.6697, 5]]"
B00IEPHG0A,[0.4895],[3],"[[looking, case, son, doesnt, silicon, rubber, liner, inside, shell]]","[[looking case son doesnt silicon rubber liner inside shell, 0.4895, 3]]"
B00IICQR68,[0.4215],[5],"[[nice, case]]","[[nice case, 0.4215, 5]]"
B00IPC7CKQ,"[0.6943, -0.1072, 0.1935, 0.9767]","[5, 5, 1, 4]","[[fine, watch, avid, biker, runner, skier, capability, thing, doesnt, look, keep, safe, people, intention, find, offputting], [search, heart, rate, monitor, rugged, watch, wear, want, put, pricing, order, timex, seem, feature, want, include, display, place, timex, order, see, notice, fenix, order, fenix, sell, look, review, couple, display, watch, ill, want], [warn, worst, watch, garmin, fenix, inaccurate, watch, ive, own, triathlete, marathoner, ive, own, fair, share, garmin, product, forerunnerxt, forerunnerxt, forerunner, problem, fenix, mile, meter, time, call, garmin, time, sent, refurbish, watch, continue, problem, lose, race, inaccurate, faulty, product, call, time, pay, pay, couple, month, model, sent, waste, vital, time, marathon, training, garmin, customer, service, seem, day, training, race, waste, month, training, try, resolve, problem, watch], [work, advertise, side, knew, buy, use, ant, hrm, turn, bluetooth, annoyance, anything, save, purchase, fenix, worth, fenix, watch, month, own, nice, cheaper, alternative, cant, afford, fenix, ]]","[[fine watch avid biker runner skier capability thing doesnt look keep safe people intention find offputting, 0.6943, 5], [search heart rate monitor rugged watch wear want put pricing order timex seem feature want include display place timex order see notice fenix order fenix sell look review couple display watch ill want, -0.1072, 5], [warn worst watch garmin fenix inaccurate watch ive own triathlete marathoner ive own fair share garmin product forerunnerxt forerunnerxt forerunner problem fenix mile meter time call garmin time sent refurbish watch continue problem lose race inaccurate faulty product call time pay pay couple month model sent waste vital time marathon training garmin customer service seem day training race waste month training try resolve problem watch, 0.1935, 1], [work advertise side knew buy use ant hrm turn bluetooth annoyance anything save purchase fenix worth fenix watch month own nice cheaper alternative cant afford fenix , 0.9767, 4]]"
B00IV7J1WM,[-0.5734],[2],"[[decent, phone, case, overall, disappoint, look, pink, galaxy]]","[[decent phone case overall disappoint look pink galaxy, -0.5734, 2]]"
B00J02B74W,[0.7184],[4],"[[nice, simple, case, ipod, touch, th, gen, fit, look, put]]","[[nice simple case ipod touch th gen fit look put, 0.7184, 4]]"
B00J2FCGP6,[0.6997],[5],"[[excellent, product, fast, ship, expect, recommend]]","[[excellent product fast ship expect recommend, 0.6997, 5]]"
B00J5W8C54,[-0.893],[5],"[[toddler, drop, throw, stand, iphones, drop, sidewalk, roll, stroller, take, beat, harm, iphonebr, br, isnt, ideal, facetime, photo, case, bulky, block, camera]]","[[toddler drop throw stand iphones drop sidewalk roll stroller take beat harm iphonebr br isnt ideal facetime photo case bulky block camera, -0.893, 5]]"
B00J631SU8,"[0.0, 0.6065, 0.5719, 0.0]","[5, 5, 5, 5]","[[work, hasnt, break, month, nothing, say, use, connect, usb, game, controller, samsung, tablet, play, emulator, game], [perfect, adapter, nexus, tablet], [work]]","[[work hasnt break month nothing say use connect usb game controller samsung tablet play emulator game, 0.0, 5], [perfect adapter nexus tablet, 0.6065, 5], [work, 0.5719, 5], [, 0.0, 5]]"
B00J9L2Q8U,[0.296],[1],[[ok]],"[[ok, 0.296, 1]]"
B00JA9BCZO,"[0.4404, 0.296]","[5, 4]","[[buy, year, use, gym, d, walk, neighborhood, good, buy], [ok]]","[[buy year use gym d walk neighborhood good buy, 0.4404, 5], [ok, 0.296, 4]]"
B00JD4TFDW,[0.5341],[4],"[[watch, use, surprise]]","[[watch use surprise, 0.5341, 4]]"
B00JMJEVW8,"[-0.6597, 0.7177]","[5, 4]","[[work, getting, yr, daughter, stop, draw, leave, roomlolbr, go, digital, art, work, create, get, paper, become, fire, hazardbr, janeb], [feel, wish, work, surface, pro, ]]","[[work getting yr daughter stop draw leave roomlolbr go digital art work create get paper become fire hazardbr janeb, -0.6597, 5], [feel wish work surface pro , 0.7177, 4]]"
B00K0E6R5S,[0.4588],[1],"[[charge, space, way, overheats, find, sweet, spot, get, e, charge]]","[[charge space way overheats find sweet spot get e charge, 0.4588, 1]]"
B00K54NTSG,[-0.4215],[1],"[[break, day]]","[[break day, -0.4215, 1]]"
B00K6L6W0K,[0.8265],[4],"[[love, break, side, put, phone, pocket, lot]]","[[love break side put phone pocket lot, 0.8265, 4]]"
B00KC8MPK8,[0.9493],[5],"[[case, fit, temper, glass, screen, protector, add, bulk, phone, make, carry, plus, lime, color]]","[[case fit temper glass screen protector add bulk phone make carry plus lime color, 0.9493, 5]]"
B00KG0BOO0,[-0.9191],[2],"[[scratch, month, buy, case, crack, break, dont, recommend, doesnt, protect, phone, disappoint]]","[[scratch month buy case crack break dont recommend doesnt protect phone disappoint, -0.9191, 2]]"
B00KLB2DTE,[0.8496],[4],"[[everything, fit, carry, couple, bill, fold, money, kind, thick, card, seem, bit, bulky, protects, phone, hold, need, use, time]]","[[everything fit carry couple bill fold money kind thick card seem bit bulky protects phone hold need use time, 0.8496, 4]]"
B00KMDP85M,[0.5994],[5],[[love]],"[[love, 0.5994, 5]]"
