1060747871,[0.7906],[5],"[[product, use, fit, pocket]]","[[product use fit pocket, 0.7906, 5]]"
B00H3L73N6,[-0.1177],[1],"[[buy, version, wire, charge, buy, put, bedroom, surprise, thing, wouldnt, charge, think, product, different, product, guess, wire, isnt, good]]","[[buy version wire charge buy put bedroom surprise thing wouldnt charge think product different product guess wire isnt good, -0.1177, 1]]"
B00H6ZW7P8,[0.875],[4],"[[get, day, use, work, day, great, result, ease, remove, case, love, quality, make, pay, case, worth, price, smartphone, inch, screen, case, fit, fine, room, larger, phone, case]]","[[get day use work day great result ease remove case love quality make pay case worth price smartphone inch screen case fit fine room larger phone case, 0.875, 4]]"
B00H8K796S,[0.3612],[5],"[[work, thank]]","[[work thank, 0.3612, 5]]"
B00H9UJO8I,"[0.5423, 0.8505, 0.6249, 0.7196, 0.9719, 0.8515, 0.5705]","[1, 5, 5, 5, 5, 5, 3]","[[perfect, phone, case, protects, phone, getting, way, year, drop, phone, damage, case, slight, crack, power, button, phone, perfect, condition, recommend, case], [case, wish, get, color, love, case, think, screen, part, apart, case, screen, protector, stick, phone, love, give, clean, sticker, get, everything, screen, help, lot, case], [didnt, fit, iphone, volume, control, pic, stay, couldnt, control, volume, side, button, amazon, job, return, item], [product], [buy, hesitate], [place, phone, case, couple, week, remove, part, order, clean, phone, entire, screen, come, purchase, iphone], [speck, case, purchase, replace, dropping, phone, multiple, time, want, protection, case, phone, fell, case, speck, fit, description, wonderfullybr, br, sell, price, set]]","[[perfect phone case protects phone getting way year drop phone damage case slight crack power button phone perfect condition recommend case, 0.5423, 1], [case wish get color love case think screen part apart case screen protector stick phone love give clean sticker get everything screen help lot case, 0.8505, 5], [didnt fit iphone volume control pic stay couldnt control volume side button amazon job return item, 0.6249, 5], [product, 0.7196, 5], [buy hesitate, 0.9719, 5], [place phone case couple week remove part order clean phone entire screen come purchase iphone, 0.8515, 5], [speck case purchase replace dropping phone multiple time want protection case phone fell case speck fit description wonderfullybr br sell price set, 0.5705, 3]]"
B00HNCFKS0,[0.6808],[2],"[[turn, charger, work, phone, end, get, manufacturer, give, include, car, charger, fair, didnt, contact, seller, return, charger]]","[[turn charger work phone end get manufacturer give include car charger fair didnt contact seller return charger, 0.6808, 2]]"
B00HOSJZMU,[-0.6732],[3],"[[awesome, look, protect, phobe, fall, damage]]","[[awesome look protect phobe fall damage, -0.6732, 3]]"
B00ICMYI10,[0.0],[1],"[[cheap, cheap, cheap, interfere, reception]]","[[cheap cheap cheap interfere reception, 0.0, 1]]"
B00ID1H6DM,[0.4404],[4],[[product]],"[[product, 0.4404, 4]]"
B00IK078F2,[0.2732],[5],"[[rugged, price, break]]","[[rugged price break, 0.2732, 5]]"
B00IKBB82A,[0.8402],[5],"[[headphone, earbuds, amaze, end, range, bluetooth, connection, price]]","[[headphone earbuds amaze end range bluetooth connection price, 0.8402, 5]]"
B00IO4HSOU,[0.5719],[5],"[[arrive, time, boyfriend, love]]","[[arrive time boyfriend love, 0.5719, 5]]"
B00IPQA7KE,"[-0.8224, -0.6121, -0.2755]","[1, 1, 3]","[[absolute, junk, gripperjaw, clip, thing, loose, hold, phone, press, volume, key, mess, audio, design, iphones], [mount, didnt, fit, whole, note, otter, case, remove, cover, use, otter, white, shell], [happy, product, suction, cup, bottom, stuck, day]]","[[absolute junk gripperjaw clip thing loose hold phone press volume key mess audio design iphones, -0.8224, 1], [mount didnt fit whole note otter case remove cover use otter white shell, -0.6121, 1], [happy product suction cup bottom stuck day, -0.2755, 3]]"
B00ISG17Y6,[0.8834],[5],"[[product, make, look]]","[[product make look, 0.8834, 5]]"
B00IUDFHVQ,[-0.1531],[1],"[[sound, take, apart, time, text, call, ]]","[[sound take apart time text call , -0.1531, 1]]"
B00J0WPXHY,[-0.1938],[3],"[[look, nice, doesnt, fit, iphone]]","[[look nice doesnt fit iphone, -0.1938, 3]]"
B00J5RA1GM,[0.8176],[5],"[[thesemaybe, bit, smaller, expect]]","[[thesemaybe bit smaller expect, 0.8176, 5]]"
B00JAY397S,"[-0.2263, -0.019, -0.2173, 0.0, -0.2302, -0.8807, 0.8519, -0.1923, 0.3716, 0.9804, 0.6249, -0.4606, 0.6369, 0.0, 0.0, 0.4404, 0.4767, -0.0026, -0.4215, 0.4019, -0.1779, 0.7906, -0.5423, -0.5994, 0.7579, 0.34, -0.7696, 0.7845, 0.8572, -0.5574, 0.9637, 0.8481, -0.4404, 0.0, 0.8899, 0.4728, 0.2329]","[1, 1, 1, 1, 5, 1, 5, 2, 4, 5, 5, 1, 5, 1, 5, 5, 5, 2, 1, 3, 2, 5, 1, 5, 4, 1, 1, 5, 4, 2, 5, 5, 2, 5, 5, 1, 4]","[[adapter, work, come, buy, get], [cassette, adapterbr, husband, buy, subaru, outback, cd, cassette, playersbr, afraid, try, plug, cell, phone, car, stereo, review, say, damage, car, sound, system, weve, use, day, work, waybr, br, thing, didnt, prevent, put, star, interference, sound, move, cell, phone], [broke, day, use], [work, slight, background, get, use, annoy, know], [use, adaptor, time, stop, work, dont, recommend, buy, zero, star], [awsome], [work, last, broke, week], [give, player, decides, play, side, take, tape, blow, putting, attempt, get, sound], [hesitant, purchase, cassette, adapter, car, fear, work, chose, work, stop, work, put, car, sound, quality, great, experience, bit, fix, turn, volume, way, mp, player, use, car, volume, control, ioud, want, music, playing, car, speaker, listen, plenty, band, dad, cassettesbr, cassette, work, car, work, car, experience, cassette, adapter], [case, pricegreat, sound, minimal, buzz, click, case, deck], [product, buy, know, itd, poor, quality, broke, month, dont, waste, money], [work, great, sound, great], [work], [dont, understand, review, mine, sound, crap, turn, phone, volume, get, rid, going, phillips, brand], [side, doesnt, work, compare, tape, aux, thing, sound, worse, audio, quality], [work, wish, bit, longer], [work, buick, sure, car, fact, get, jip, piece, disappoint], [work, deck, car], [work, wire, red, make, find, plug, phone, dont, fancy, bluetooth, audio, car, cassette, music, sound, zero, problem], [cassette, adapter, work, better, discount, store, good, one, range, produce, quality, sound, performance, cassette, adapter], [piece, garbage, dont, understand, rating, product, starsbr, br, sound, awful, playing, twist, turn, plug, direction, get, sound, leave, position, leave, hand, drive, wheel, talk, dangerousbr, br, waste, im, piss, screw, besdata], [work, month, input, connector, start, issue, youd, twist, push, start, work, get, dislodge, youd, start, process, recommend], [work, great], [volume, issue, start, blow, speaker, week, crackle, intermittent, signal, land, trash], [job, thrill, product, package, arrive, tap, cardboard, expect, product, box, surprise, see, piece, cardboard, fold, tap, carry], [work, longer], [work], [work, great, iphone, save, trip, apple, store], [work, great, price, product], [plug, start, fail, week, use], [im, bum, adapter, exit, get, reading, good, review, ive, use, week, give, others, last, month, bite, disappoint, wouldnt, recommend, dud, thats, case], [adapter, bought, walmart, month, break, frustration, anger, annoy, thing, skip, create, noise, end, throw, window, buy, listen, improvement, week, purchase, doesnt, skip, make, eerie, noise, doesnt, ever, feel, audio, recommend, anyone, anger, issue, buck, walmart, itll, save, lot, frustration, future], [product, think, buying, monster, know, brand, great, replacement, work, satisfy], [work, great, problem, sound], [stop, work, month], [die, year], [got, complaint, audio, quality]]","[[adapter work come buy get, -0.2263, 1], [cassette adapterbr husband buy subaru outback cd cassette playersbr afraid try plug cell phone car stereo review say damage car sound system weve use day work waybr br thing didnt prevent put star interference sound move cell phone, -0.019, 1], [broke day use, -0.2173, 1], [work slight background get use annoy know, 0.0, 1], [use adaptor time stop work dont recommend buy zero star, -0.2302, 5], [awsome, -0.8807, 1], [work last broke week, 0.8519, 5], [give player decides play side take tape blow putting attempt get sound, -0.1923, 2], [hesitant purchase cassette adapter car fear work chose work stop work put car sound quality great experience bit fix turn volume way mp player use car volume control ioud want music playing car speaker listen plenty band dad cassettesbr cassette work car work car experience cassette adapter, 0.3716, 4], [case pricegreat sound minimal buzz click case deck, 0.9804, 5], [product buy know itd poor quality broke month dont waste money, 0.6249, 5], [work great sound great, -0.4606, 1], [work, 0.6369, 5], [dont understand review mine sound crap turn phone volume get rid going phillips brand, 0.0, 1], [side doesnt work compare tape aux thing sound worse audio quality, 0.0, 5], [work wish bit longer, 0.4404, 5], [work buick sure car fact get jip piece disappoint, 0.4767, 5], [work deck car, -0.0026, 2], [work wire red make find plug phone dont fancy bluetooth audio car cassette music sound zero problem, -0.4215, 1], [cassette adapter work better discount store good one range produce quality sound performance cassette adapter, 0.4019, 3], [piece garbage dont understand rating product starsbr br sound awful playing twist turn plug direction get sound leave position leave hand drive wheel talk dangerousbr br waste im piss screw besdata, -0.1779, 2], [work month input connector start issue youd twist push start work get dislodge youd start process recommend, 0.7906, 5], [work great, -0.5423, 1], [volume issue start blow speaker week crackle intermittent signal land trash, -0.5994, 5], [job thrill product package arrive tap cardboard expect product box surprise see piece cardboard fold tap carry, 0.7579, 4], [work longer, 0.34, 1], [work, -0.7696, 1], [work great iphone save trip apple store, 0.7845, 5], [work great price product, 0.8572, 4], [plug start fail week use, -0.5574, 2], [im bum adapter exit get reading good review ive use week give others last month bite disappoint wouldnt recommend dud thats case, 0.9637, 5], [adapter bought walmart month break frustration anger annoy thing skip create noise end throw window buy listen improvement week purchase doesnt skip make eerie noise doesnt ever feel audio recommend anyone anger issue buck walmart itll save lot frustration future, 0.8481, 5], [product think buying monster know brand great replacement work satisfy, -0.4404, 2], [work great problem sound, 0.0, 5], [stop work month, 0.8899, 5], [die year, 0.4728, 1], [got complaint audio quality, 0.2329, 4]]"
B00JDUY82Y,[0.296],[3],"[[sound, ok, last, month, someone, stole]]","[[sound ok last month someone stole, 0.296, 3]]"
