B00012O6QQ,[0.0],[5],"[[price, cant, beat, look, manufacture, stereo, update, software, feature]]","[[price cant beat look manufacture stereo update software feature, 0.0, 5]]"
B0042X93AO,[-0.7789],[1],"[[look, anything, photo, apple, insigniano, tone, colorvery, pale, purple, colordiscoloration, spot, plain]]","[[look anything photo apple insigniano tone colorvery pale purple colordiscoloration spot plain, -0.7789, 1]]"
B004CIW02W,[0.6249],[5],"[[come, time, product, describe, work, awesome]]","[[come time product describe work awesome, 0.6249, 5]]"
B004HFRA7A,[-0.25],[1],"[[garmin, discontinue, service, program, leaf, device, useless, alternative, make, garmin, track, devicegarmin, use, know, product, customer, service, appear, towel, come, back, product]]","[[garmin discontinue service program leaf device useless alternative make garmin track devicegarmin use know product customer service appear towel come back product, -0.25, 1]]"
B004I4SO70,[0.8316],[5],"[[product, fast, ship, perfect, transaction]]","[[product fast ship perfect transaction, 0.8316, 5]]"
B004RZFOYQ,[-0.1761],[2],"[[way, bulky, side, key, press, case]]","[[way bulky side key press case, -0.1761, 2]]"
B004S50WPG,"[-0.7377, 0.3612, 0.9038, -0.296, 0.4404, -0.1182, 0.0, 0.0, 0.8481, 0.6808]","[4, 3, 5, 1, 4, 1, 1, 5, 5, 5]","[[singledin, plug, plug, went, cut, wire, try, connect, work, amazon, give, oh, man, pas, great, compromise, oh, know, hang, spend, hundred, dollar, month, give, buy, go, charge, wire, thing, ill, buy, headunit, amazon], [stop, work], [havent, problem, connect, everything, simple, problem, find, distorts, something, charge, sub, volume, notch, isnt, responsive], [piece, junk], [thank], [stereo], [price, product], [slick], [hubby, like, nice, radio, price], [great, product, price, feel, cheap, doesnt, matter, delivers, sound]]","[[singledin plug plug went cut wire try connect work amazon give oh man pas great compromise oh know hang spend hundred dollar month give buy go charge wire thing ill buy headunit amazon, -0.7377, 4], [stop work, 0.3612, 3], [havent problem connect everything simple problem find distorts something charge sub volume notch isnt responsive, 0.9038, 5], [piece junk, -0.296, 1], [thank, 0.4404, 4], [stereo, -0.1182, 1], [price product, 0.0, 1], [slick, 0.0, 5], [hubby like nice radio price, 0.8481, 5], [great product price feel cheap doesnt matter delivers sound, 0.6808, 5]]"
B004S55GWK,"[0.0, 0.944, 0.128, 0.5719, 0.4168, 0.1513, 0.1513, 0.4404]","[2, 5, 3, 5, 1, 1, 1, 4]","[[excellent, product], [screen, go, blank, couple, month], [bluetooth, audio, quality, bit, lackluster, cant, keep, listen, switching, source, lag, time, unit], [radio, junk, go, instal, crack, middle, screen, cause, half, touch, screen, work, behold, find, radio, come, bos, junk, something, stay, clear, radio, zero, star, dont, thing, happen, purchase], [buy, radio, friend, love, love, everything, perfect], [radio, junk, go, instal, crack, middle, screen, cause, half, touch, screen, work, behold, find, radio, come, bos, junk, something, stay, clear, radio, zero, star, dont, option], [radio, come, time, touch, screen, work, upset, wait, radio, doesnt, work, send]]","[[excellent product, 0.0, 2], [screen go blank couple month, 0.944, 5], [bluetooth audio quality bit lackluster cant keep listen switching source lag time unit, 0.128, 3], [radio junk go instal crack middle screen cause half touch screen work behold find radio come bos junk something stay clear radio zero star dont thing happen purchase, 0.5719, 5], [buy radio friend love love everything perfect, 0.4168, 1], [radio junk go instal crack middle screen cause half touch screen work behold find radio come bos junk something stay clear radio zero star dont option, 0.1513, 1], [radio come time touch screen work upset wait radio doesnt work send, 0.1513, 1], [, 0.4404, 4]]"
B004WK51AS,"[0.2732, 0.0]","[5, 5]","[[work], [work, cost, product, shownbr, fuse, metal, u, shape, guess, cause, difference]]","[[work, 0.2732, 5], [work cost product shownbr fuse metal u shape guess cause difference, 0.0, 5]]"
B0050KILME,[0.5106],[4],"[[im, happy, product, price, purchase, daytime, product, work, day, night, couple, improvement, need, second, lag, screen, turn, annoy, esp, camera, activate, base, reverse, light, night, resolution, poor, improve, deal, breaker, consider, cheap, cost]]","[[im happy product price purchase daytime product work day night couple improvement need second lag screen turn annoy esp camera activate base reverse light night resolution poor improve deal breaker consider cheap cost, 0.5106, 4]]"
B005LRKIYK,[0.3818],[1],"[[wall, charger, advertises, capacity, mah, think, giving, smartphone, boost, wall, charger, unplug, inside, charger, plain, wall, charger, capacity, reserve, disappoint, describe]]","[[wall charger advertises capacity mah think giving smartphone boost wall charger unplug inside charger plain wall charger capacity reserve disappoint describe, 0.3818, 1]]"
B006FEBZRC,[0.296],[5],[[ok]],"[[ok, 0.296, 5]]"
B006YLWING,[0.0],[4],[[expect]],"[[expect, 0.0, 4]]"
B0071HY42K,"[-0.2144, 0.4404]","[3, 5]","[[problem, need, advertise], [product, quality]]","[[problem need advertise, -0.2144, 3], [product quality, 0.4404, 5]]"
B0076534PK,[0.4927],[5],"[[saw, lot, review, people, get, version, mine, come, official, bondi, please]]","[[saw lot review people get version mine come official bondi please, 0.4927, 5]]"
B0078XHOWO,[-0.6124],[1],"[[work, volkswagon, golf, deplete, car, battery, overnight, ive, recharge, car, battery, die, taking, auto, repair, shop, repairman, tell, indash, unit, reason, car, battery, dead, remove, car, everything, work]]","[[work volkswagon golf deplete car battery overnight ive recharge car battery die taking auto repair shop repairman tell indash unit reason car battery dead remove car everything work, -0.6124, 1]]"
B007GFLIH6,[0.8059],[5],"[[case, come, picture, nice, love]]","[[case come picture nice love, 0.8059, 5]]"
B007HUD512,[-0.2755],[1],"[[case, think, dont]]","[[case think dont, -0.2755, 1]]"
B007TKVHV0,[0.3182],[5],[[product]],"[[product, 0.3182, 5]]"
B007TSRFXQ,"[0.7452, 0.9247]","[5, 5]","[[hear, iphone, use, nice, find], [handset, kind, fun, something, feel, handset, arrive, look, work]]","[[hear iphone use nice find, 0.7452, 5], [handset kind fun something feel handset arrive look work, 0.9247, 5]]"
B0085JBI6S,[0.9583],[5],"[[work, arrive, time, excellent, productexperiencebr, br, use, benq, w, couldnt, happier, battery, take, couple, hour, charge, seems, run, time, need, charge, clock, hour, purchase, plug, couple, minute, say, lot, view, hour, leave, need, plug, againbr, br, lightweight, samsung, glass, cost, time, prefer, style, samsungs, block, vision, fine, produce, strength, d, effectbr, br, thing, invert, lr, d, turn, screen, leave, viewing, area, imagine, serve, purpose, simple, click, button, frame, invert, seem, happen, leave, room, turn, screen, br, feel, make, come, drawstring, pouch, usb, cable, chargingbr, intend, order, pair]]","[[work arrive time excellent productexperiencebr br use benq w couldnt happier battery take couple hour charge seems run time need charge clock hour purchase plug couple minute say lot view hour leave need plug againbr br lightweight samsung glass cost time prefer style samsungs block vision fine produce strength d effectbr br thing invert lr d turn screen leave viewing area imagine serve purpose simple click button frame invert seem happen leave room turn screen br feel make come drawstring pouch usb cable chargingbr intend order pair, 0.9583, 5]]"
B0089VO78I,"[0.4754, 0.891, 0.0]","[4, 5, 4]","[[case, deep, color, look, black], [product, nice, service], [phone, cover, great, appear, fit]]","[[case deep color look black, 0.4754, 4], [product nice service, 0.891, 5], [phone cover great appear fit, 0.0, 4]]"
B0091DQ8CG,[0.903],[5],"[[perfect, amount, pad, everything, fit, speaker, dent, protection, go, point, b]]","[[perfect amount pad everything fit speaker dent protection go point b, 0.903, 5]]"
B0092Z5Y8M,[0.2732],[4],[[work]],"[[work, 0.2732, 4]]"
B009C5QXE6,[-0.2617],[4],"[[ok, novelty, protection, drop, cell, phone]]","[[ok novelty protection drop cell phone, -0.2617, 4]]"
B009NV21TU,[0.3384],[5],[[work]],"[[work, 0.3384, 5]]"
B009UNGYHG,"[0.6486, 0.3724, 0.803, 0.6705, 0.7003, 0.4767, 0.6249, 0.2382, 0.128]","[5, 5, 4, 5, 5, 5, 5, 3, 5]","[[charging, anyone, travel, job, well, deal, charge, cord, come, bluetooth], [use, clear, person], [cool, way, protect, headset, keep, charge], [usb, connection, make, tooth, headset, work, darn, macbook, pro, day, spend, hour, phone, product, replace, time, get, home], [device], [headset, stay, bluetooth, phone], [way, store, headset, charge, cool], [nothing], [bit, pricey, well, piece, sent, device]]","[[charging anyone travel job well deal charge cord come bluetooth, 0.6486, 5], [use clear person, 0.3724, 5], [cool way protect headset keep charge, 0.803, 4], [usb connection make tooth headset work darn macbook pro day spend hour phone product replace time get home, 0.6705, 5], [device, 0.7003, 5], [headset stay bluetooth phone, 0.4767, 5], [way store headset charge cool, 0.6249, 5], [nothing, 0.2382, 3], [bit pricey well piece sent device, 0.128, 5]]"
B00A0HZV7K,"[0.8481, 0.0, -0.0572, 0.3612, 0.5859, 0.6124, 0.6369, 0.6249]","[5, 3, 1, 5, 5, 5, 5, 5]","[[work, promise], [product, order, work, getting], [work, great], [case, doesnt], [suppose, wouldnt, recommend], [price, wireless, charger, charge, phone, charger, battery, ok, charge, percent, charge, help, tide, charge], [work, great, wire, charger, install, extra, battery, pack, come, charge, phone, get, away, charger]]","[[work promise, 0.8481, 5], [product order work getting, 0.0, 3], [work great, -0.0572, 1], [case doesnt, 0.3612, 5], [suppose wouldnt recommend, 0.5859, 5], [price wireless charger charge phone charger battery ok charge percent charge help tide charge, 0.6124, 5], [work great wire charger install extra battery pack come charge phone get away charger, 0.6369, 5], [, 0.6249, 5]]"
B00A5C4R7A,[0.0],[5],"[[advertise, fast, service]]","[[advertise fast service, 0.0, 5]]"
B00A9LVC2K,"[0.3486, 0.7906, 0.6794, 0.0, 0.7494, 0.8519, 0.9129, 0.9508, 0.6124, 0.4939, 0.0]","[4, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5]","[[luv, luvvitt, protection, color, choice], [thank, u], [perfect, protects, phone, look, snazzy, boot, excellent, price, delivery, product, fit, iphone, buy], [case, doesnt, fight, ihome, radio, use, cable], [product, drop, iphone, time, protect, phone, time, bulky, look], [look, great, fit, iphone], [case, expect, im, please, arrive, package], [protector, phone, years, phone, protect, fall, hustle, purse, toss, thing, water, price, beat, buy, case, niece, exact, phone, needle, say, phone, become, crack, beat, case, love, price, buyer, remorse], [protect, need, iphone], [luvvit, period], [case, look, havent, notice, discolor, way, thinner, otterbox, defender]]","[[luv luvvitt protection color choice, 0.3486, 4], [thank u, 0.7906, 5], [perfect protects phone look snazzy boot excellent price delivery product fit iphone buy, 0.6794, 5], [case doesnt fight ihome radio use cable, 0.0, 5], [product drop iphone time protect phone time bulky look, 0.7494, 4], [look great fit iphone, 0.8519, 5], [case expect im please arrive package, 0.9129, 5], [protector phone years phone protect fall hustle purse toss thing water price beat buy case niece exact phone needle say phone become crack beat case love price buyer remorse, 0.9508, 5], [protect need iphone, 0.6124, 5], [luvvit period, 0.4939, 4], [case look havent notice discolor way thinner otterbox defender, 0.0, 5]]"
B00AK8TZ2G,"[0.9565, 0.4927]","[4, 5]","[[product, great, job, protecting, ipod, great, feel, fit, cover, come, edge, star, lil, tighter, fit]]","[[product great job protecting ipod great feel fit cover come edge star lil tighter fit, 0.9565, 4], [, 0.4927, 5]]"
B00AR7AW9A,[0.0],[3],"[[sticker, sticker, start, peel, camera, day, week]]","[[sticker sticker start peel camera day week, 0.0, 3]]"
B00AWO2Q8I,"[0.6369, -0.25]","[3, 1]","[[cancel, order], [concept, poor, design, fell, apart, month, use, abuse, carry, hand, bag, card, compartment, credit, card, rip, seam, unravel, rd, month]]","[[cancel order, 0.6369, 3], [concept poor design fell apart month use abuse carry hand bag card compartment credit card rip seam unravel rd month, -0.25, 1]]"
B00BAA4R4Y,[0.34],[4],"[[nice, item, put]]","[[nice item put, 0.34, 4]]"
B00BDUXGRK,[0.6486],[4],"[[functionality, value, price]]","[[functionality value price, 0.6486, 4]]"
B00BMCSSR2,[0.0],[1],[[use]],"[[use, 0.0, 1]]"
B00BXYWXY8,"[0.9042, 0.836, 0.5859, 0.4404, 0.3384, -0.7257, 0.0, 0.8481, 0.144, 0.6369, 0.4019, 0.0, 0.3384]","[5, 5, 5, 4, 4, 1, 5, 5, 5, 5, 5, 5, 5]","[[tape, work, alot], [take, phone, screen, fix, place, mall, say, worker], [item, customer, love, result, repair, use, product, thanks], [product, arrive, time, tweezer, tape, great, quality], [tape, help, put, phone], [screen, order, didnt, come, adhesive, order, came, work, include, tweezer, excellent, youll, device], [tape, work, expect], [tapeit, job, want], [worst, tape, use, stick, nothing, dont, waste, money, product], [tweezer, top, notch, addition, tape, make, worth, purchase], [use, crack, screen, asus, transformer, ive, replace, screen, product, iswas, need, put, line, inner, outer, edge, go, warm, tad, seal, deal], [gotta, tape]]","[[tape work alot, 0.9042, 5], [take phone screen fix place mall say worker, 0.836, 5], [item customer love result repair use product thanks, 0.5859, 5], [product arrive time tweezer tape great quality, 0.4404, 4], [tape help put phone, 0.3384, 4], [screen order didnt come adhesive order came work include tweezer excellent youll device, -0.7257, 1], [tape work expect, 0.0, 5], [tapeit job want, 0.8481, 5], [worst tape use stick nothing dont waste money product, 0.144, 5], [tweezer top notch addition tape make worth purchase, 0.6369, 5], [use crack screen asus transformer ive replace screen product iswas need put line inner outer edge go warm tad seal deal, 0.4019, 5], [gotta tape, 0.0, 5], [, 0.3384, 5]]"
B00CAN88YK,[0.2732],[5],"[[work, perform, passport, side, side, road, test, hr, trip]]","[[work perform passport side side road test hr trip, 0.2732, 5]]"
B00COMVDNK,[0.6597],[2],"[[ok, seem, flimsyi, wont, use]]","[[ok seem flimsyi wont use, 0.6597, 2]]"
B00DH2EENW,[0.5994],[5],"[[get, sister, alias, love, itcame, time]]","[[get sister alias love itcame time, 0.5994, 5]]"
B00DP9O3LU,[-0.3818],[1],"[[chose, yellow, color, arrive, color, pale, beige, color, dislike]]","[[chose yellow color arrive color pale beige color dislike, -0.3818, 1]]"
B00DQSXLCC,[0.0],[5],[[expect]],"[[expect, 0.0, 5]]"
B00DTRHDTM,[0.7845],[5],"[[work, save, lot, money, verizon, carry, replacement, battery, phone, cost, phone]]","[[work save lot money verizon carry replacement battery phone cost phone, 0.7845, 5]]"
B00EI3Y6L4,"[0.8678, 0.6369, 0.9403, 0.6697, 0.5423]","[5, 5, 4, 5, 3]","[[seems, work], [think, wish, strap, keep, close, phone, case, held, month, id, say, penny], [picture, look, tint, read, color, black, ok, doesnt, stay, close, hold, money, cool, case, go], [quality, workmanship, wish, make, red, lady], [week, quality, feel, excellent, card, slot, cash, pocket, aware, hope, case, better, design]]","[[seems work, 0.8678, 5], [think wish strap keep close phone case held month id say penny, 0.6369, 5], [picture look tint read color black ok doesnt stay close hold money cool case go, 0.9403, 4], [quality workmanship wish make red lady, 0.6697, 5], [week quality feel excellent card slot cash pocket aware hope case better design, 0.5423, 3]]"
B00EJ61FGO,"[-0.2732, 0.4404]","[3, 4]","[[find, matter, triedi, get, pockects, spec, dust, onder, life, recommendation], [serf, purpose, price]]","[[find matter triedi get pockects spec dust onder life recommendation, -0.2732, 3], [serf purpose price, 0.4404, 4]]"
B00ELJ6KB4,"[0.9593, 0.836, 0.4927]","[5, 5, 4]","[[product, listen, phone, music], [perfect, sound, get, fast, work, price, im, buy], [buy, set, headphone, br, sound, value, triedbr, bass, response, sound, cord, unit]]","[[product listen phone music, 0.9593, 5], [perfect sound get fast work price im buy, 0.836, 5], [buy set headphone br sound value triedbr bass response sound cord unit, 0.4927, 4]]"
B00EP5EOEY,[0.7717],[5],"[[arrive, fit, ipod, thank]]","[[arrive fit ipod thank, 0.7717, 5]]"
B00ESL72N0,[0.3182],[5],"[[product, work, x]]","[[product work x, 0.3182, 5]]"
B00F4B2LZM,"[0.2382, 0.7906, 0.6872, 0.9169, 0.1796, -0.3847, 0.7579, 0.431]","[4, 4, 5, 4, 1, 4, 5, 4]","[[bluetooth, speaker, use, multiple, device], [value, price], [speaker, price, get, speaker, dollar, deal, college, student, suit, need], [buy, dollar, everything, great, thing, thats, base, buck], [purchase, friend, unit, great, sound, battery, life, order, month, wont, turn, wont, charge, use, time, week, hour, ], [sound, good, doesnt, claim], [expectedsound, power, button, problem, need, push], [sound]]","[[bluetooth speaker use multiple device, 0.2382, 4], [value price, 0.7906, 4], [speaker price get speaker dollar deal college student suit need, 0.6872, 5], [buy dollar everything great thing thats base buck, 0.9169, 4], [purchase friend unit great sound battery life order month wont turn wont charge use time week hour , 0.1796, 1], [sound good doesnt claim, -0.3847, 4], [expectedsound power button problem need push, 0.7579, 5], [sound, 0.431, 4]]"
B00FCU8GAE,[-0.2755],[1],"[[fit, iphone, case, notice, scratch, holder, receive, item, case, make, cheap, material]]","[[fit iphone case notice scratch holder receive item case make cheap material, -0.2755, 1]]"
B00FEQ1428,[0.6478],[5],"[[impress, quality, feature, workmanship, item, worth, investment, get, get, modelsbr, time, review, item, day]]","[[impress quality feature workmanship item worth investment get get modelsbr time review item day, 0.6478, 5]]"
B00FKNHEJW,[0.6369],[3],[[quality]],"[[quality, 0.6369, 3]]"
B00FYT37L6,[0.5616],[5],"[[think, receive, case, receive, case, fit, iphone, case, receive, may, fault, case, list, time, seller, page, iphone, model, sure, right]]","[[think receive case receive case fit iphone case receive may fault case list time seller page iphone model sure right, 0.5616, 5]]"
B00GAS8FR6,[0.6249],[4],[[product]],"[[product, 0.6249, 4]]"
B00GIYJ18O,[0.4215],[5],"[[case, save, phone]]","[[case save phone, 0.4215, 5]]"
B00GLPG03Y,"[0.4308, 0.4007, 0.204, 0.6369, 0.6106, 0.0, 0.0387, 0.0, -0.4145, 0.2732, 0.7783, 0.9136]","[5, 1, 2, 4, 5, 1, 3, 3, 1, 5, 5, 4]","[[doesnt, keep, charge, keep, plug], [function, fm, radio, broadcast, there, constant, background, pitch, sound, time, frequency, use, radio, station, apps, phone, playlist, listen, radio, station, website, wifi, signal, consistent, cut, area, palm, beach, county, fl, doubt, think, better, fm, transmitter, product, regret, purchase, nothing, car, radio, want, listen, time], [device, wish, battery, life, longer, doesnt, seem, wor, ipod, touch], [awesome, days, doesnt, work, good, adjust, time], [work, interference, go, month, start, need, adjust, get, work, switch, radio, kind, jiggle, input, cord, ill, give, month, replace, cheap], [receive, device, malfunctioning, agree, send, right], [work, great, need, find, dead, station, use, keep, car, radio, get, clean, crispy, sound, recommend, couple, month, go, recommend], [trooper, buy, year, use, use, bulky, take, room, keep, charge], [im, taking, radio, station, someone, listen, work, lol], [thing, cant, hold, charge, turn, plug], [irritate, thing, work, sometimes, time, get, lot, plus, volume, turn, way, phone, car, stereo, order, hear, anything], [cheap, reason, overlook, review, thing, work, day, turn, dont, bother]]","[[doesnt keep charge keep plug, 0.4308, 5], [function fm radio broadcast there constant background pitch sound time frequency use radio station apps phone playlist listen radio station website wifi signal consistent cut area palm beach county fl doubt think better fm transmitter product regret purchase nothing car radio want listen time, 0.4007, 1], [device wish battery life longer doesnt seem wor ipod touch, 0.204, 2], [awesome days doesnt work good adjust time, 0.6369, 4], [work interference go month start need adjust get work switch radio kind jiggle input cord ill give month replace cheap, 0.6106, 5], [receive device malfunctioning agree send right, 0.0, 1], [work great need find dead station use keep car radio get clean crispy sound recommend couple month go recommend, 0.0387, 3], [trooper buy year use use bulky take room keep charge, 0.0, 3], [im taking radio station someone listen work lol, -0.4145, 1], [thing cant hold charge turn plug, 0.2732, 5], [irritate thing work sometimes time get lot plus volume turn way phone car stereo order hear anything, 0.7783, 5], [cheap reason overlook review thing work day turn dont bother, 0.9136, 4]]"
B00GOHXLUO,"[0.4927, 0.0, 0.2928, 0.4588, 0.0, 0.4404, 0.4404, 0.6985]","[5, 5, 3, 5, 1, 5, 4, 5]","[[dont, notice, difference, battery, capacity, performance, battery, v, using, year, wouldnt, surprise, use, battery], [battery, great, charge, maintain, charge], [feel, happy, purchase, cell, phone, work, cant, done, better, purchase], [replacement, battery, note, ], [battery, work]]","[[dont notice difference battery capacity performance battery v using year wouldnt surprise use battery, 0.4927, 5], [battery great charge maintain charge, 0.0, 5], [feel happy purchase cell phone work cant done better purchase, 0.2928, 3], [replacement battery note , 0.4588, 5], [battery work, 0.0, 1], [, 0.4404, 5], [, 0.4404, 4], [, 0.6985, 5]]"
B00GSFXCUG,[0.9572],[5],"[[case, awesome, cover, side, screen, protects, drop, drop, phone, lot, damage, case, super, slim, love, buy, color]]","[[case awesome cover side screen protects drop drop phone lot damage case super slim love buy color, 0.9572, 5]]"
B00H9ZEQW2,[-0.9022],[3],"[[buy, samsung, legend, seem, open, case, part, corner, clip, fell, phone, wiggle, bit, start, show, stress, mark, stand, arm, couple, us, break, clip, button, push, use, case]]","[[buy samsung legend seem open case part corner clip fell phone wiggle bit start show stress mark stand arm couple us break clip button push use case, -0.9022, 3]]"
B00HIW5WW4,"[0.9653, -0.0516]","[1, 1]","[[order, phone, son, mebr, br, consbr, phone, charger, work, phone, phone, matter, get, charger, elsewherebr, br, phone, shuts, battery, level, inconsistent, reboot, reach, boot, say, leave, thing, firmware, wont, update, recognize, card, garbage, spare, part, work, isnt, sony, phone, cheap, knockoff, sell, originalbr, br, piece, garbage, warranty, itl, version, seller, wouldnt, anything, get, phone, price, br, br, buy, want, get, scammed, phonebr, br, prosbr, work, great, battery, life, id, recommend, get, honest, seller], [day, receive, put, water, verification, closing, flap, prove, turn, turn, introduce, rice, day, use, hairdryer, couple, minute, turn, turn, problem, waterit, look, phone, say]]","[[order phone son mebr br consbr phone charger work phone phone matter get charger elsewherebr br phone shuts battery level inconsistent reboot reach boot say leave thing firmware wont update recognize card garbage spare part work isnt sony phone cheap knockoff sell originalbr br piece garbage warranty itl version seller wouldnt anything get phone price br br buy want get scammed phonebr br prosbr work great battery life id recommend get honest seller, 0.9653, 1], [day receive put water verification closing flap prove turn turn introduce rice day use hairdryer couple minute turn turn problem waterit look phone say, -0.0516, 1]]"
B00HWL4NNU,[-0.4613],[5],"[[hasnt, pass, longevity, test, work, expect, power, countertop, watts, issue, car, battery, power, start, dip, voltage, second, power, watt, fan, notice, fan, motor, louder, standard, ac, outlet, suppose, product, modify, sine, wavebr, br, edit, sept, star, power, fog, machine, watt, cotton, candy, machine, get, watt, inverter, hesitate, grant, suv, battery, power, cry, uncle, minute, idle, keep, mind, car, alternator, cant, watt, worth, power, idle, use, larger, battery, bank, periods, time]]","[[hasnt pass longevity test work expect power countertop watts issue car battery power start dip voltage second power watt fan notice fan motor louder standard ac outlet suppose product modify sine wavebr br edit sept star power fog machine watt cotton candy machine get watt inverter hesitate grant suv battery power cry uncle minute idle keep mind car alternator cant watt worth power idle use larger battery bank periods time, -0.4613, 5]]"
B00IKEOFCC,"[0.6249, 0.6369, 0.7906]","[5, 5, 5]","[[fit, great], [case, opinion], [case, set, use, boght, screen, sheet]]","[[fit great, 0.6249, 5], [case opinion, 0.6369, 5], [case set use boght screen sheet, 0.7906, 5]]"
B00IKFAXAY,[0.3553],[4],"[[use, quality, show, wear, bend, way, backward, time, use, flap, lefthanded, user, side, flap, open]]","[[use quality show wear bend way backward time use flap lefthanded user side flap open, 0.3553, 4]]"
B00ILCUWKC,[0.7845],[5],"[[nice, unit, work, id, get]]","[[nice unit work id get, 0.7845, 5]]"
B00IOT0LLC,[0.3612],[5],[[thank]],"[[thank, 0.3612, 5]]"
B00IP1MQNK,"[0.0, 0.5605, 0.4588, -0.5927, 0.0, 0.6249]","[1, 5, 5, 4, 5, 5]","[[expect, delivery], [charge, phone, couple, use], [work, great], [updatebr, issue, leave, review, contact, company, replace, battery, pack, work, thank, excellent, customer, support, continue, buy, product, amazing, supportbr, br, originalbr, br, year, use, time, camp, etc, need, recharge, whats, disappoint, doesnt, hold, charge, anymore, charge, took, forever, charge, phone, bar, power, guess, get, pay], [work, time, unit, recharge, edit, lumsing, provide, replacement, posting, review, hassle, return, unit, replacement, unit, work, seem, wiggle, microusb, charge, port, seem, downfall, unit], [battery, charge, iphone, issue]]","[[expect delivery, 0.0, 1], [charge phone couple use, 0.5605, 5], [work great, 0.4588, 5], [updatebr issue leave review contact company replace battery pack work thank excellent customer support continue buy product amazing supportbr br originalbr br year use time camp etc need recharge whats disappoint doesnt hold charge anymore charge took forever charge phone bar power guess get pay, -0.5927, 4], [work time unit recharge edit lumsing provide replacement posting review hassle return unit replacement unit work seem wiggle microusb charge port seem downfall unit, 0.0, 5], [battery charge iphone issue, 0.6249, 5]]"
B00IPCJFR4,[0.9421],[5],"[[product, install, adjusts, fit, sort, device, kid, love, neck, ache, end, trip, leave, instal, summer, issue]]","[[product install adjusts fit sort device kid love neck ache end trip leave instal summer issue, 0.9421, 5]]"
B00IPGW2DY,"[0.4404, 0.7351, 0.836]","[4, 5, 5]","[[quality, phone, case], [buy, case, buy, samsung, work, decide, buy, recommend], [thank]]","[[quality phone case, 0.4404, 4], [buy case buy samsung work decide buy recommend, 0.7351, 5], [thank, 0.836, 5]]"
B00ISLPE2C,[0.8979],[5],"[[sturdy, case, save, time, drop, stand, work, love]]","[[sturdy case save time drop stand work love, 0.8979, 5]]"
