1948701847,[0.0],[1],[[work]],"[[work, 0.0, 1]]"
B004UFHXVA,[0.3804],[5],"[[impress, subwoofer, trunk, buying, cheap, budget, sub, decide, upgrade, wouldnt, replace, month, run, month, issue, crack, windshield, look, purchase, building, custom, box]]","[[impress subwoofer trunk buying cheap budget sub decide upgrade wouldnt replace month run month issue crack windshield look purchase building custom box, 0.3804, 5]]"
B0051BHDVW,[0.1901],[4],"[[grip, bead, extra, hand, stretch, silver, coat, fingertip, last, year]]","[[grip bead extra hand stretch silver coat fingertip last year, 0.1901, 4]]"
B0055BJAV4,[0.4404],[5],"[[hold, firm, adjust]]","[[hold firm adjust, 0.4404, 5]]"
B005PXW3T8,[0.296],[1],[[ok]],"[[ok, 0.296, 1]]"
B005VOFEKQ,[0.0],[3],"[[earphone, cord, shorter]]","[[earphone cord shorter, 0.0, 3]]"
B0079VHU9C,[0.7906],[5],"[[work, great, price, ship]]","[[work great price ship, 0.7906, 5]]"
B008410J4E,[0.7845],[5],"[[job, keps, phone, dry, hang, neck, kayak, bright, use, signal, device, make]]","[[job keps phone dry hang neck kayak bright use signal device make, 0.7845, 5]]"
B0089VO86E,"[0.6249, 0.5719]","[5, 5]","[[case], [son, love]]","[[case, 0.6249, 5], [son love, 0.5719, 5]]"
B008IB8R8K,[0.9246],[5],"[[price, awesome, rockford, fosgate, quality, recommend, product]]","[[price awesome rockford fosgate quality recommend product, 0.9246, 5]]"
B008PQAFTM,"[0.5106, 0.6249]","[5, 5]","[[work, great], [run, year]]","[[work great, 0.5106, 5], [run year, 0.6249, 5]]"
B008VGOUGA,[-0.0486],[2],"[[battery, arrive, open, advertisment, indicate, see, difference, battery, life, ok, dont, recommend, buy, type, item, brand]]","[[battery arrive open advertisment indicate see difference battery life ok dont recommend buy type item brand, -0.0486, 2]]"
B0093TSSH6,"[0.5719, -0.2638, -0.5994, 0.2732, 0.743, -0.4767, 0.8555, 0.8625, 0.3818, 0.8555]","[4, 5, 1, 5, 5, 1, 5, 5, 5, 5]","[[allows, handsfree, work, talk, insert, ear, transmission, clear], [cheapest, amazon, crisp, clear], [love], [wouldnt, sync, iphones, quality, seem, part, go, seems, get, pay, make, china, junk], [own, wireless, headset, dont, perform, well, fav, ive, lose, reorder, go, headset], [excellent, bluetooth, price], [work, love, voice, command, feature], [fake, version, real, m], [sound], [headset, ever, allow, connection, devise, use, laptop, computer, plug, headphone, call, phone, love]]","[[allows handsfree work talk insert ear transmission clear, 0.5719, 4], [cheapest amazon crisp clear, -0.2638, 5], [love, -0.5994, 1], [wouldnt sync iphones quality seem part go seems get pay make china junk, 0.2732, 5], [own wireless headset dont perform well fav ive lose reorder go headset, 0.743, 5], [excellent bluetooth price, -0.4767, 1], [work love voice command feature, 0.8555, 5], [fake version real m, 0.8625, 5], [sound, 0.3818, 5], [headset ever allow connection devise use laptop computer plug headphone call phone love, 0.8555, 5]]"
B0096VY8QG,"[0.0, -0.4767]","[1, 3]","[[poor, quality, item], [eats, battery]]","[[poor quality item, 0.0, 1], [eats battery, -0.4767, 3]]"
B00974L4GO,"[-0.3426, 0.7096]","[4, 5]","[[protects, iphone, provide, exterior, know, keep, phone, safe], [quick, reviewbr, lock, button, stiff, boy, wrap, phone, thing, job, drop, phone, time, case, save, time, stylish, profile, kind, way, way, found, add, bulk, weight, phone, case, instal, add, balance, stability, hand, buy, defender, case, thing, lose, shape, week, outer, material, rubber, matte, year, shape, there, wear, feel, hold]]","[[protects iphone provide exterior know keep phone safe, -0.3426, 4], [quick reviewbr lock button stiff boy wrap phone thing job drop phone time case save time stylish profile kind way way found add bulk weight phone case instal add balance stability hand buy defender case thing lose shape week outer material rubber matte year shape there wear feel hold, 0.7096, 5]]"
B009E8DJG6,[0.3818],[3],"[[credit, card, slot, tore, day, price, expect, hold, bit, longer]]","[[credit card slot tore day price expect hold bit longer, 0.3818, 3]]"
B009GLFW3E,"[0.9078, 0.1424]","[5, 3]","[[hug, phone, look, sure], [version, case, phone, die, unrelated, case, stability, sleekest, slimmest, case, ever, see, buy, iphone, iphone, lb, utility, box, start, pull, apart, couple, year, phone, company, replace, question, ask, cheap, case, last, wouldve, happy, throw, buy, phone, case, period, end, phone, endure, harrow, encounter, pull, case, need, inserting, armband, etc, phone, stop, waste, life, reading, endless, review, buy, case, wont, regret]]","[[hug phone look sure, 0.9078, 5], [version case phone die unrelated case stability sleekest slimmest case ever see buy iphone iphone lb utility box start pull apart couple year phone company replace question ask cheap case last wouldve happy throw buy phone case period end phone endure harrow encounter pull case need inserting armband etc phone stop waste life reading endless review buy case wont regret, 0.1424, 3]]"
B009LAZG2M,"[0.0, -0.34, 0.5719, 0.0, -0.4767]","[1, 1, 5, 1, 1]","[[didnt, work, ], [didnt, work, want, tv, phone, combo], [havent, get, work, device], [thougt, went, design, product, perfect, use, intend], [work, electronics, try, galaxy, galaxy, tab, galaxy, kindles, fire, didnt, work, micro, usb, pin, device]]","[[didnt work , 0.0, 1], [didnt work want tv phone combo, -0.34, 1], [havent get work device, 0.5719, 5], [thougt went design product perfect use intend, 0.0, 1], [work electronics try galaxy galaxy tab galaxy kindles fire didnt work micro usb pin device, -0.4767, 1]]"
B009M5L6ES,[0.0],[5],"[[buy, case, side]]","[[buy case side, 0.0, 5]]"
B009NC4TGC,"[0.9476, 0.7386, 0.9442, 0.8649]","[3, 4, 5, 5]","[[stylus, pen, quality, time, order, quality, color, pen, replace, stylus, pen, use, pen, basis, work, order, seller], [get, stylus, use, tablet, find, weight, theywork, time, time, fit, hand, make, hold, use, say, research, work, smart, device, good, price, deal], [arent, make, others, buy, price, afford, use, throw], [order, variety, amount, come, happy, purchase, handle, keep, pocketpurse, problem]]","[[stylus pen quality time order quality color pen replace stylus pen use pen basis work order seller, 0.9476, 3], [get stylus use tablet find weight theywork time time fit hand make hold use say research work smart device good price deal, 0.7386, 4], [arent make others buy price afford use throw, 0.9442, 5], [order variety amount come happy purchase handle keep pocketpurse problem, 0.8649, 5]]"
B009PL9IBW,[0.3612],[1],"[[use, unit, time, wont, charge, year, warrantee, cell, phone]]","[[use unit time wont charge year warrantee cell phone, 0.3612, 1]]"
B009QGBI8W,[-0.3412],[2],"[[quality, good, picture]]","[[quality good picture, -0.3412, 2]]"
B009QSNT1Y,[0.6963],[4],"[[product, fit, screw, instal, ship]]","[[product fit screw instal ship, 0.6963, 4]]"
B009RQ1M5K,[0.0],[4],"[[order, need, replace, work]]","[[order need replace work, 0.0, 4]]"
B009Z3SXTS,"[0.0, 0.6249, 0.2551, 0.8338, 0.7976]","[5, 5, 5, 4, 4]","[[perfect, clip, short, pocket, snug, fit, nano, worry, fall], [fact, isnt, protector, screen, build, turn, wise, nice, slim, case], [use, workout, clip, break, feel, break, ipod, slide, halfway, annoy, product], [describe, fast, shipping]]","[[perfect clip short pocket snug fit nano worry fall, 0.0, 5], [fact isnt protector screen build turn wise nice slim case, 0.6249, 5], [use workout clip break feel break ipod slide halfway annoy product, 0.2551, 5], [describe fast shipping, 0.8338, 4], [, 0.7976, 4]]"
B00ASKBEWA,[0.2716],[5],[[recommend]],"[[recommend, 0.2716, 5]]"
B00BBXWZ44,[0.9201],[5],"[[fit, phone, picture]]","[[fit phone picture, 0.9201, 5]]"
B00BFLNHBW,[-0.2212],[4],"[[iphone, g, plan, use, ipod, touch, mini, cooper, conv, particularbr, cable, make, phone, appear, ipod, screenit, allow, navigation, list, album, artistsbr, course, limitation, minis, audio, way, explore, ipodbr, cable, job, expect, comparison, adaptor, g, iphones, pass, aux, ]]","[[iphone g plan use ipod touch mini cooper conv particularbr cable make phone appear ipod screenit allow navigation list album artistsbr course limitation minis audio way explore ipodbr cable job expect comparison adaptor g iphones pass aux , -0.2212, 4]]"
B00BGRMD4C,[0.4767],[5],"[[yaaassssssssss, fit, mazda, mounting, crossover, way, door, panel]]","[[yaaassssssssss fit mazda mounting crossover way door panel, 0.4767, 5]]"
B00BIPP0C4,[0.6361],[5],"[[love, case, handy]]","[[love case handy, 0.6361, 5]]"
B00BURR4FQ,[0.6369],[5],"[[case, look, picture]]","[[case look picture, 0.6369, 5]]"
B00BY3XOSW,[0.0],[4],"[[product, receive, advertise]]","[[product receive advertise, 0.0, 4]]"
B00C68Y8GG,"[0.765, 0.5481]","[5, 3]","[[fit, good, quality, material, seem, thought, button, lip, screen, bit, wide, interfere, operation, translucent, show, air, place, wasnt, flatter, look, phone], [excellent, protection, samsung, galaxy, soft, install]]","[[fit good quality material seem thought button lip screen bit wide interfere operation translucent show air place wasnt flatter look phone, 0.765, 5], [excellent protection samsung galaxy soft install, 0.5481, 3]]"
B00C8WG5JS,[0.128],[5],"[[work, fine, broke]]","[[work fine broke, 0.128, 5]]"
B00CDCGMDC,[0.973],[5],"[[nd, case, st, use, forever, tore, case, handle, crazy, case, get, doesnt, dirty, year, old, take, phone, case, guess, modern, version, front, flap, tier, silicone, make, case, clean, merchant, sent, stylus, screen, protector, save, phone, time, screen, wipe, keychain, wipe, didnt, advertise, include, im, sticking, case, bc, pleasing, look, corny, drop, phone, kid, countless, time, scratch, note, ive, get, ton, compliment, people, ask, bought, id, know, im, pay, discount, buyer, contact, place, review]]","[[nd case st use forever tore case handle crazy case get doesnt dirty year old take phone case guess modern version front flap tier silicone make case clean merchant sent stylus screen protector save phone time screen wipe keychain wipe didnt advertise include im sticking case bc pleasing look corny drop phone kid countless time scratch note ive get ton compliment people ask bought id know im pay discount buyer contact place review, 0.973, 5]]"
B00CKEAJP0,[0.4404],[5],"[[need, battery, well, price, canon]]","[[need battery well price canon, 0.4404, 5]]"
B00D3IKUH4,[0.5719],[5],"[[excellent, describe]]","[[excellent describe, 0.5719, 5]]"
B00DB5VB8Q,[0.9532],[5],"[[chargercity, nonskid, beanbag, friction, mount, garmin, fit, part, come, garmin, stay, dashboard, problem, window, stick, part, come, unit, keep, unit, closer, see]]","[[chargercity nonskid beanbag friction mount garmin fit part come garmin stay dashboard problem window stick part come unit keep unit closer see, 0.9532, 5]]"
B00DT5VDUE,[0.3612],[5],"[[cover, fit, need, expectation]]","[[cover fit need expectation, 0.3612, 5]]"
B00DW05G0O,[0.7783],[5],"[[fit, grey, note, look]]","[[fit grey note look, 0.7783, 5]]"
B00DZG2YRI,[0.4588],[2],"[[last, fell, apart, month]]","[[last fell apart month, 0.4588, 2]]"
B00EK5T54I,[0.4404],[4],[[product]],"[[product, 0.4404, 4]]"
B00ERP3CWM,[0.8067],[4],"[[put, take, nice, wont, pop, drop, bit, slippery, hold, grip, case]]","[[put take nice wont pop drop bit slippery hold grip case, 0.8067, 4]]"
B00EUWEG5E,[0.5719],[5],"[[grandaughter, love]]","[[grandaughter love, 0.5719, 5]]"
B00F43QLGA,[0.4754],[5],"[[nice, case, month, job, protect, phone]]","[[nice case month job protect phone, 0.4754, 5]]"
B00FA1XZD8,"[0.0, -0.0516]","[2, 5]","[[perfect, problem], [day, warranty]]","[[perfect problem, 0.0, 2], [day warranty, -0.0516, 5]]"
B00FFVNZ7O,[0.2382],[3],"[[work, good, coat, start, peel, quick]]","[[work good coat start peel quick, 0.2382, 3]]"
B00FNAHKO6,[0.4404],[4],"[[wear, tear, product, good]]","[[wear tear product good, 0.4404, 4]]"
B00FOIICT4,[0.0],[1],"[[sent, use]]","[[sent use, 0.0, 1]]"
B00FVSO1L0,[0.6934],[4],"[[buy, case, wife, iphone, fit, love, color, thick, camera, doesnt, touch, place, button, feel, volume, control, stiff, case, try, plenty, room, headphone, jack, headphone, jack, downer, material, get, dirty, time, start, loose, vibrant, color, thats, expect, time, deal, breaker, case, drop, phone, plenty, time, damage, case, appear, protect, damage, regard, great, case, overall]]","[[buy case wife iphone fit love color thick camera doesnt touch place button feel volume control stiff case try plenty room headphone jack headphone jack downer material get dirty time start loose vibrant color thats expect time deal breaker case drop phone plenty time damage case appear protect damage regard great case overall, 0.6934, 4]]"
B00G212658,[-0.6007],[1],"[[broke, get, wouldnt, recommend, buy, case]]","[[broke get wouldnt recommend buy case, -0.6007, 1]]"
B00G3KG8IO,"[0.7159, 0.0]","[5, 4]","[[work], [fine, thank]]","[[work, 0.7159, 5], [fine thank, 0.0, 4]]"
B00G3RSM8G,"[0.4215, -0.1885, 0.0]","[4, 3, 4]","[[met, expectation], [difficult, finding, cellphone, case, fit, belt, job, come, apart, quality, expectation, husband, doesnt, use, phone, expect, well, performance, buy, work, others, didnt, perform], [nice, case, iphone, otterbox, use]]","[[met expectation, 0.4215, 4], [difficult finding cellphone case fit belt job come apart quality expectation husband doesnt use phone expect well performance buy work others didnt perform, -0.1885, 3], [nice case iphone otterbox use, 0.0, 4]]"
B00G8LCSF0,[0.3612],[5],[[son]],"[[son, 0.3612, 5]]"
B00GG2NN50,[-0.4404],[1],"[[worthless, piece, junkdont, buy, ]]","[[worthless piece junkdont buy , -0.4404, 1]]"
B00GJ36AZG,"[0.4215, 0.4499]","[5, 1]","[[product, exceed, expectation, phone, remain, place, drive, use, gps, order, arkon, friction, dash, smartphone, car, mount, radio, tv, station, let, people, know, satisfy, product], [base, isnt, wobble, surface, car, dash, curve, itbr, br, grip, holder, requires, hand, insert, phone, make, insert, removing, phone, inconvenient, car, reach, hand, dobr, br, rubber, inside, ball, joint, suppose, help, make, sure, phone, holder, cant, move, thin, doesnt, job, suspect, whole, thing, failbr, br, there, nothing, dash, mount]]","[[product exceed expectation phone remain place drive use gps order arkon friction dash smartphone car mount radio tv station let people know satisfy product, 0.4215, 5], [base isnt wobble surface car dash curve itbr br grip holder requires hand insert phone make insert removing phone inconvenient car reach hand dobr br rubber inside ball joint suppose help make sure phone holder cant move thin doesnt job suspect whole thing failbr br there nothing dash mount, 0.4499, 1]]"
B00GN5K63M,[0.8316],[5],"[[get, sound, produce, v, ex, accord, pump, brand, life, speaker, think, unit, brightness, set, adjust, id, appreciate, option, adjust]]","[[get sound produce v ex accord pump brand life speaker think unit brightness set adjust id appreciate option adjust, 0.8316, 5]]"
B00GOJ12V2,[0.6249],[5],"[[fit, great, color, picture]]","[[fit great color picture, 0.6249, 5]]"
B00GUENZEI,[0.0],[1],"[[unit, warp, iphone, wouldnt, snap]]","[[unit warp iphone wouldnt snap, 0.0, 1]]"
B00HG1YTS0,"[0.049, 0.457]","[1, 4]","[[product, dont, carry, charger, iphone, battery, case, use], [item, advertise, return, cost, half, pay, restock, fee, return, refund, get, make, case, dedicate, switch, turn, offon, felt, line, inside, case, selling, get, pay, read, product, review, seller, review, get, recommend, case, buy]]","[[product dont carry charger iphone battery case use, 0.049, 1], [item advertise return cost half pay restock fee return refund get make case dedicate switch turn offon felt line inside case selling get pay read product review seller review get recommend case buy, 0.457, 4]]"
B00HKN8F48,[0.0],[5],"[[deliver, advertise]]","[[deliver advertise, 0.0, 5]]"
B00HRGPXMA,"[-0.2755, -0.2755]","[3, 1]","[[didnt, fit, phone], [wont, fit, yqeailer, anwser]]","[[didnt fit phone, -0.2755, 3], [wont fit yqeailer anwser, -0.2755, 1]]"
B00HV899C4,[-0.7408],[4],"[[buy, year, use, think, recharge, time, use, charge, samsung, phone, less, time, year, wont, charge, charge, shame, piece, junk, manufacturer, environment, produce, junk, update, review, anker, sale, contact, send, replacement, replacement, work, hope, wont, fail, use, address, concern, disposal, faulty, pay, postage, ship, faulty, piece, happy, treat, review]]","[[buy year use think recharge time use charge samsung phone less time year wont charge charge shame piece junk manufacturer environment produce junk update review anker sale contact send replacement replacement work hope wont fail use address concern disposal faulty pay postage ship faulty piece happy treat review, -0.7408, 4]]"
B00I06MYMI,"[0.0, 0.6249]","[3, 5]","[[cord, work, gasket, doesnt, keep], [buy]]","[[cord work gasket doesnt keep, 0.0, 3], [buy, 0.6249, 5]]"
B00I49EP3W,[0.8555],[5],"[[iphone, cover, month, half, love, scripture, color, design]]","[[iphone cover month half love scripture color design, 0.8555, 5]]"
B00IFS5JAA,[0.4404],[4],"[[work, good, phone]]","[[work good phone, 0.4404, 4]]"
B00IM4GHQW,[-0.6818],[1],"[[feel, scam, product, mislead, say, company, pay, week, money, go, minutesi, better, stay, comcast, want, continue, pay, month, recommend, device, company]]","[[feel scam product mislead say company pay week money go minutesi better stay comcast want continue pay month recommend device company, -0.6818, 1]]"
B00IQIB5YI,"[0.3612, 0.0]","[3, 5]","[[protects, screen, dot, view, look, use, m, pain, issue, everything, fact, phone, curve, curve, cover, fold, make, hold, bit, awkward, put, phone, angle, material, bit, stiff, cover, snap, lay, degree], [ship, need]]","[[protects screen dot view look use m pain issue everything fact phone curve curve cover fold make hold bit awkward put phone angle material bit stiff cover snap lay degree, 0.3612, 3], [ship need, 0.0, 5]]"
B00IR5G2NE,[0.3975],[4],"[[case, flaw, saw, rubber, edge, want, start, peel, month, get, expect, ware, tare, case]]","[[case flaw saw rubber edge want start peel month get expect ware tare case, 0.3975, 4]]"
B00ITI23MS,"[0.3291, 0.891, -0.5106]","[5, 5, 5]","[[wire, deal, plug, unplug, phone, charge], [case, wireless, charge, work, glass, make, answer, phone, use, camera, cover, close, buy], [bit, thicker, normalsview, qi, worth]]","[[wire deal plug unplug phone charge, 0.3291, 5], [case wireless charge work glass make answer phone use camera cover close buy, 0.891, 5], [bit thicker normalsview qi worth, -0.5106, 5]]"
B00J4XNZ1A,[0.8402],[5],"[[case, durability, amaze]]","[[case durability amaze, 0.8402, 5]]"
B00JGMO5TA,[0.8519],[5],"[[case, arrive, say, quality, love, case]]","[[case arrive say quality love case, 0.8519, 5]]"
B00JHSC4I2,"[0.0, 0.8481, 0.2263, 0.296]","[5, 5, 4, 4]","[[want], [product, drop, phone, time, phone, saver], [work, okay], [look, ok, use, get]]","[[want, 0.0, 5], [product drop phone time phone saver, 0.8481, 5], [work okay, 0.2263, 4], [look ok use get, 0.296, 4]]"
B00JHSE7VE,[0.4019],[3],"[[hawk, case, broke, month, case, clumsy, drop, phone]]","[[hawk case broke month case clumsy drop phone, 0.4019, 3]]"
B00JN5MB28,[0.8442],[1],"[[buy, recommend, anyone, thank]]","[[buy recommend anyone thank, 0.8442, 1]]"
B00JOW1BB2,[0.6008],[3],"[[look, good, sturdy, product, dont, expect, receive, different, part, item, pocket, open, hold, anything, space, hold, phone, roomy, phone, slip, fall, ground, nothing, hold, place, short, photo, take, angle, everything, unit, clever, marketing, anyway]]","[[look good sturdy product dont expect receive different part item pocket open hold anything space hold phone roomy phone slip fall ground nothing hold place short photo take angle everything unit clever marketing anyway, 0.6008, 3]]"
B00JP0702C,[0.8493],[5],"[[price, case, perfect, fit, rugged, hold, use, phone, provide, grip, color]]","[[price case perfect fit rugged hold use phone provide grip color, 0.8493, 5]]"
B00JVC9M9I,[0.9381],[5],"[[window, see, calling, check, time, case, time, fit, phone, look, design, look, texture]]","[[window see calling check time case time fit phone look design look texture, 0.9381, 5]]"
B00JZPSPYE,[-0.2755],[2],"[[fit, tablet, expect]]","[[fit tablet expect, -0.2755, 2]]"
B00K0R8R30,"[0.9231, 0.6249]","[5, 4]","[[work, great], [think, find, battery, age, equipment, battery, fit, original, charge, fine, work]]","[[work great, 0.9231, 5], [think find battery age equipment battery fit original charge fine work, 0.6249, 4]]"
B00K5Z63DS,[0.743],[1],[[super]],"[[super, 0.743, 1]]"
B00K8RH6UW,"[0.0, 0.6486]","[5, 2]","[[pas, take, device, charge, charge, set, time, span, battery, voltage, draw, drop, design, good, hold, lay, add, bulk, charging, case, provide, protection, device, case, optionsbr, br, use, device, limit, capacity, samsung, case, let, go, day, charger, show, benefit, charge, case], [need]]","[[pas take device charge charge set time span battery voltage draw drop design good hold lay add bulk charging case provide protection device case optionsbr br use device limit capacity samsung case let go day charger show benefit charge case, 0.0, 5], [need, 0.6486, 2]]"
B00KJGY9GQ,"[0.8357, 0.3818, 0.9253, 0.0, 0.8519, -0.1274, 0.5789]","[5, 5, 5, 5, 5, 1, 4]","[[love, product], [product, price, quick, delivery, satisfy], [work, replace, one, seem, breath, life, phone, phone, hold, longer, charge, afterwards], [work, great, havent, everything, fine], [work], [quality, bought, set, battery, well, one, buy, time, vendor, think], [get, pack, battery, work, give, star, battery, verge, die, keep, phone, charger, battery, work, love]]","[[love product, 0.8357, 5], [product price quick delivery satisfy, 0.3818, 5], [work replace one seem breath life phone phone hold longer charge afterwards, 0.9253, 5], [work great havent everything fine, 0.0, 5], [work, 0.8519, 5], [quality bought set battery well one buy time vendor think, -0.1274, 1], [get pack battery work give star battery verge die keep phone charger battery work love, 0.5789, 4]]"
B00KLPLXIC,[0.6249],[5],[[case]],"[[case, 0.6249, 5]]"
B00KPRVPK2,"[0.8442, 0.7964, 0.9701, 0.899, 0.3321, -0.2755, 0.5688]","[5, 5, 5, 4, 5, 2, 2]","[[bulky, know, buy, took, case, week, laterand, im], [exceed, expectation, case, consider, otterbox, wont, happen, love, whole, thing, thanks, supcase], [case, fit, phone, order, model, phone], [get, super, fast], [sturdy, make], [case, know, phone, become, bigger, work, place, type, person, love, verify, gravity, exist, min, trust, case, optimal, grip, use, button, feel, seems, withstand, problem, shock, receive], [case, fit, fit, phone, add, layer, protection, drop, phone, land, face, case, crack, spot, hold, price, havent, see, anything, look, well, switch]]","[[bulky know buy took case week laterand im, 0.8442, 5], [exceed expectation case consider otterbox wont happen love whole thing thanks supcase, 0.7964, 5], [case fit phone order model phone, 0.9701, 5], [get super fast, 0.899, 4], [sturdy make, 0.3321, 5], [case know phone become bigger work place type person love verify gravity exist min trust case optimal grip use button feel seems withstand problem shock receive, -0.2755, 2], [case fit fit phone add layer protection drop phone land face case crack spot hold price havent see anything look well switch, 0.5688, 2]]"
B00KWHZU8I,"[0.6983, 0.8294, 0.7812, 0.6597]","[5, 5, 5, 5]","[[boutght, fob, wouldnt, get, scratch, lease, car, im, super, paranoid, try, ding, everything, fit, fob, fob, doesnt, slide, jean, know, key, slide, pocket, problem, life, im, aok], [item, quality, nice, color, order, need, look, go], [fit, price, ], [item, dont, want, carry, key, go, somewhere, use, carry, pod, alone, slippery, pocket, im, afraid, fall, rubber, cover, keep, pocket, make, slide, fall, see, pod, toyota, pause, keychains]]","[[boutght fob wouldnt get scratch lease car im super paranoid try ding everything fit fob fob doesnt slide jean know key slide pocket problem life im aok, 0.6983, 5], [item quality nice color order need look go, 0.8294, 5], [fit price , 0.7812, 5], [item dont want carry key go somewhere use carry pod alone slippery pocket im afraid fall rubber cover keep pocket make slide fall see pod toyota pause keychains, 0.6597, 5]]"
B00L5W6PGK,"[0.5013, 0.7437]","[5, 5]","[[case, integrate, screen, protector, anything, use, iphone, hand, clarity, rock, touch, sensitivity, rock, mention, silicon, sleeve, dont, need, ft, drop, protection, nice, valid, case, sure, foot, drop, guess, holster, idk, wish, water, splash, resistant, case], [protects, iphone, br, br, case, place, pocket, guy, get, star, get, walking, college, campusbr, br, con, dust, get, underneath, casebr, br, put, case, take, br, br, case, snap, place, need, lift, push, corner, middle, clip, remove, need, thing, people, state, remove]]","[[case integrate screen protector anything use iphone hand clarity rock touch sensitivity rock mention silicon sleeve dont need ft drop protection nice valid case sure foot drop guess holster idk wish water splash resistant case, 0.5013, 5], [protects iphone br br case place pocket guy get star get walking college campusbr br con dust get underneath casebr br put case take br br case snap place need lift push corner middle clip remove need thing people state remove, 0.7437, 5]]"
B00LGY3HW2,"[0.9545, 0.9312]","[5, 5]","[[earbuds, none, satisfy, set, perfect, sound, quality, great, movie, buff, watch, tablet, prefer, hear, speech, sound, effect, headphone, sound, effect, loss, speechbr, br, main, reason, write, review, let, altec, lansing, know, earbud, week, misplace, leave, shirt, pocketdid, load, laundry, extra, wash, dryer, heat, folding, shirt, guy, drop, find, em, guess, work, nothing, damage, nothing, melt, earbuds, update, machine, recommend, anyone, great], [buy, use, ear, bud, year, found, moneybr, ive, set, year, work, sound, buy, set, backupbr, recommend, price, pay]]","[[earbuds none satisfy set perfect sound quality great movie buff watch tablet prefer hear speech sound effect headphone sound effect loss speechbr br main reason write review let altec lansing know earbud week misplace leave shirt pocketdid load laundry extra wash dryer heat folding shirt guy drop find em guess work nothing damage nothing melt earbuds update machine recommend anyone great, 0.9545, 5], [buy use ear bud year found moneybr ive set year work sound buy set backupbr recommend price pay, 0.9312, 5]]"
