1059359189,"[0.0382, 0.6249]","[1, 5]","[[break, item], [work, great]]","[[break item, 0.0382, 1], [work great, 0.6249, 5]]"
B009A5204K,"[0.6249, 0.8578, 0.7224, 0.0621, 0.4927, -0.7783, 0.0, 0.7906, 0.0, 0.3794, 0.6249, 0.9337, -0.128, 0.6249, -0.6369, 0.6808, 0.8402, 0.6369, 0.6249, 0.9626, 0.3485, 0.8016, 0.9468, 0.0, 0.3612, 0.0, 0.5994, 0.9274]","[4, 5, 4, 3, 5, 3, 5, 4, 5, 5, 5, 5, 5, 5, 3, 4, 5, 5, 5, 5, 2, 5, 5, 3, 5, 5, 4, 5]","[[thank], [use, great, sound], [battery, life, weakness, earplug, wire, weaken], [awesome, battery, last, time], [product, fast, ship], [exceed, expectation, product, satisfy], [use, headphone, day, buy, run, find, wear, listen, work, take, phone, call, work, call, come, cell, phonebr, use, earbud, time, want, im, drive, run, work, tune, surroundings, headphone, allow, wireless, bluetooth, style, flop, thingbr, critique, tendency, bounce, collarbone, im, run, found, wear, shirt, round, collar, tuck, headphone, shirt, dont, bounce, vneck, wideneck, shirt, cant, thisbr, battery, life, charge, time, week], [product, mine, time, purchase], [item, arrive, time, condition, extreme, complaint, item, quality, battery, charge, gaugebr, br, way, tell, charge, headset, turn, voice, tell, battery, battery, medium, etc, itd, better, gauge, cell, phone, inform, medium, seems, couple, hour, day, chargebr, br, thats, issue, make, end, day, headset, entirety], [awesome, device, ive, own, couple, headset, year, sound, battery, duration, excellent], [motorola, bud, cut, sound, quality, great], [month, provide, need, work, machine, weight, difficulty, love, sound, quality], [buy, boyfriend, welder, sweat, lot, day, use, day, day, love, weld, shop, sits, doesnt, get, burnedbr, chose, black, dirt, wouldnt, show, white, boughtbr, brand, buck, use, gym, bluetooth, capability, hold, distance, wise, mine, recommend, brand, day, recommend, friend, purchase], [sound, great, iphone, time, make, whatsapp, call, viber, call, turn, bluetooth, get, regular, call, sometime, bluetooth, disconnect, self], [buy, hb], [love, love], [work], [liket, excelet, product], [tooth, product, love, turn, hit, play, button, start, listen, music, look, phone, use, samsung, galaxy, laptop, last, battery, charge, bud, stay, place, block, lot, ambient, noise, put, earbud, work, whats, go, weight, use, run, sweat, work, day, onoff, switch, button, volume, playpause, skipback, track, double, fastforwardrewind, hold, answer, callvoice, command], [doesnt, cancel, noise, garbage, truck, people, time, hearing], [wire, annoy, clasp, fall, wire, bothersome], [product], [convenient, neck, harness, good, clarity, ear, bud], [hb, revert, standby, newer, freak, outit, start, vibrate, wouldnt, stop], [ease, use, thing, sound]]","[[thank, 0.6249, 4], [use great sound, 0.8578, 5], [battery life weakness earplug wire weaken, 0.7224, 4], [awesome battery last time, 0.0621, 3], [product fast ship, 0.4927, 5], [exceed expectation product satisfy, -0.7783, 3], [use headphone day buy run find wear listen work take phone call work call come cell phonebr use earbud time want im drive run work tune surroundings headphone allow wireless bluetooth style flop thingbr critique tendency bounce collarbone im run found wear shirt round collar tuck headphone shirt dont bounce vneck wideneck shirt cant thisbr battery life charge time week, 0.0, 5], [product mine time purchase, 0.7906, 4], [item arrive time condition extreme complaint item quality battery charge gaugebr br way tell charge headset turn voice tell battery battery medium etc itd better gauge cell phone inform medium seems couple hour day chargebr br thats issue make end day headset entirety, 0.0, 5], [awesome device ive own couple headset year sound battery duration excellent, 0.3794, 5], [motorola bud cut sound quality great, 0.6249, 5], [month provide need work machine weight difficulty love sound quality, 0.9337, 5], [buy boyfriend welder sweat lot day use day day love weld shop sits doesnt get burnedbr chose black dirt wouldnt show white boughtbr brand buck use gym bluetooth capability hold distance wise mine recommend brand day recommend friend purchase, -0.128, 5], [sound great iphone time make whatsapp call viber call turn bluetooth get regular call sometime bluetooth disconnect self, 0.6249, 5], [buy hb, -0.6369, 3], [love love, 0.6808, 4], [work, 0.8402, 5], [liket excelet product, 0.6369, 5], [tooth product love turn hit play button start listen music look phone use samsung galaxy laptop last battery charge bud stay place block lot ambient noise put earbud work whats go weight use run sweat work day onoff switch button volume playpause skipback track double fastforwardrewind hold answer callvoice command, 0.6249, 5], [doesnt cancel noise garbage truck people time hearing, 0.9626, 5], [wire annoy clasp fall wire bothersome, 0.3485, 2], [product, 0.8016, 5], [convenient neck harness good clarity ear bud, 0.9468, 5], [hb revert standby newer freak outit start vibrate wouldnt stop, 0.0, 3], [ease use thing sound, 0.3612, 5], [, 0.0, 5], [, 0.5994, 4], [, 0.9274, 5]]"
B00A36URHC,[0.0],[3],"[[phone, carrier, end, stand, wasnt, convenient]]","[[phone carrier end stand wasnt convenient, 0.0, 3]]"
B00A5UFOQU,[0.946],[4],"[[use, time, go, run, paper, case, oversized, iphone, prefer, room, armband, carry, phone, iphone, spigen, plastic, case, there, room, phone, whatever, need, shove, car, house, key, pocket, id, credit, card, cash, longer, runsand, dont, seem, danger, fall, hole, headphone, jack, put, phone, upside, let, jack, stick, top, using, fingerprint, reader, take, phone, way, case, complaint, armband, buckle, get, twisty, try, put, mean, slow, adjustment, armband, use, mine, month, go]]","[[use time go run paper case oversized iphone prefer room armband carry phone iphone spigen plastic case there room phone whatever need shove car house key pocket id credit card cash longer runsand dont seem danger fall hole headphone jack put phone upside let jack stick top using fingerprint reader take phone way case complaint armband buckle get twisty try put mean slow adjustment armband use mine month go, 0.946, 4]]"
B00AJ37PL0,[-0.2057],[2],"[[didnt, work, oneplus]]","[[didnt work oneplus, -0.2057, 2]]"
B00AK6LOHC,[-0.1603],[3],"[[nothing, serve, purpose]]","[[nothing serve purpose, -0.1603, 3]]"
B00ARPB9J4,"[0.6249, 0.7717]","[5, 5]","[[product, work, recommend, everyone]]","[[product work recommend everyone, 0.6249, 5], [, 0.7717, 5]]"
B00ATJBU74,"[0.0, 0.815]","[1, 5]","[[oooh, love, cool, idea, hat, inventor], [work]]","[[oooh love cool idea hat inventor, 0.0, 1], [work, 0.815, 5]]"
B00B5S5UCE,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B00B65J5B8,"[0.0, -0.8265, 0.4404, 0.9294, -0.8588, 0.7906, 0.8555, 0.296, 0.6249, 0.0, 0.4927]","[5, 1, 5, 4, 3, 4, 5, 3, 5, 5, 5]","[[complaint, bluetooth, reception, use, aux, cord], [buy, item, june, august, stop, work, dead, try, reset, check, wire, fuse, nothing, work, stop, work, buy], [stereo], [work, great, install], [ok], [value, bluetooth, remote, easy, install, jeep, cherokee], [met, expectation, issue, chevy, colorado, suppose, buy, different, wire, harness, wire, end, hardwiring, iti, suggest, anyone, want, research], [advertise, lot, information, package, power, antenna, dont, instal, rv, connect, speaker], [bit, difficult, install, product, love, amazon]]","[[complaint bluetooth reception use aux cord, 0.0, 5], [buy item june august stop work dead try reset check wire fuse nothing work stop work buy, -0.8265, 1], [stereo, 0.4404, 5], [work great install, 0.9294, 4], [ok, -0.8588, 3], [value bluetooth remote easy install jeep cherokee, 0.7906, 4], [met expectation issue chevy colorado suppose buy different wire harness wire end hardwiring iti suggest anyone want research, 0.8555, 5], [advertise lot information package power antenna dont instal rv connect speaker, 0.296, 3], [bit difficult install product love amazon, 0.6249, 5], [, 0.0, 5], [, 0.4927, 5]]"
B00BM0KH2S,[0.8126],[5],"[[speck, product, buy, phone, phone, protect, side, drop, phone, number, time, garage, phone, bounce]]","[[speck product buy phone phone protect side drop phone number time garage phone bounce, 0.8126, 5]]"
B00BUBSY42,[-0.7655],[1],"[[product, work]]","[[product work, -0.7655, 1]]"
B00CC4QU8S,[-0.5583],[3],"[[isnt, good, arm, way, adjust]]","[[isnt good arm way adjust, -0.5583, 3]]"
B00CDFXXMW,[-0.8278],[2],"[[case, description, product, state, follow, cut, opening, allow, access, function, cutouts, speaker, camera, access, remove, tablet, case, take, picture, needle, say, disappoint]]","[[case description product state follow cut opening allow access function cutouts speaker camera access remove tablet case take picture needle say disappoint, -0.8278, 2]]"
B00D5ENAXC,[0.4663],[3],"[[gift, cant, say, look, box, count]]","[[gift cant say look box count, 0.4663, 3]]"
B00D6KQ3XE,[0.9584],[5],"[[use, easy, charge, great, batterycharge, indicator, lightbr, charge, hour, ability, charge, device, timebr, phonebr, excellent, productbr, recommend]]","[[use easy charge great batterycharge indicator lightbr charge hour ability charge device timebr phonebr excellent productbr recommend, 0.9584, 5]]"
B00D7S40RG,[0.4404],[3],"[[get, lg, g, match, charger, come, phone, get, today, seem, quality, state, charging, plug, phone, contact, seller]]","[[get lg g match charger come phone get today seem quality state charging plug phone contact seller, 0.4404, 3]]"
B00D82HM76,"[0.8481, 0.5043]","[5, 1]","[[work, blow, get, install, work], [buy, changing, buy, screen, time, time, different, camera, work, replace, camera, camera, connect, screen, phone, screen, turn, color, multiple, rainbow, line, make, sure, connection, connect, snug, recommend, take, come, order]]","[[work blow get install work, 0.8481, 5], [buy changing buy screen time time different camera work replace camera camera connect screen phone screen turn color multiple rainbow line make sure connection connect snug recommend take come order, 0.5043, 1]]"
B00D93OVF0,[0.6249],[5],"[[price, ]]","[[price , 0.6249, 5]]"
B00DGZA0EM,[0.0],[5],"[[case, construction, site]]","[[case construction site, 0.0, 5]]"
B00E7IJ7OG,[0.296],[3],[[ok]],"[[ok, 0.296, 3]]"
B00ED37IP0,[0.3612],[1],"[[ball, gps, mount, wont, snap, flex, windshield, mount, use, old, ball, mount, snap, ease]]","[[ball gps mount wont snap flex windshield mount use old ball mount snap ease, 0.3612, 1]]"
B00ELCBGPQ,"[0.0, 0.5719, 0.4404]","[5, 5, 5]","[[], [kit, perfect, everything, need, entire, job]]","[[, 0.0, 5], [kit perfect everything need entire job, 0.5719, 5], [, 0.4404, 5]]"
B00EYZSCWA,[-0.5859],[1],"[[thing, break, day, use, itbr, prong, charge, htc, vivid, prong, get, stuck, time, place, battery, push, wont, come, charge, battery]]","[[thing break day use itbr prong charge htc vivid prong get stuck time place battery push wont come charge battery, -0.5859, 1]]"
B00F0WUZQW,[0.7717],[5],"[[price, beat, sturdy, cover, snap, love, cranberry, red, color, get, mom]]","[[price beat sturdy cover snap love cranberry red color get mom, 0.7717, 5]]"
B00F3FCYPQ,"[0.4404, 0.4215, 0.3612, 0.8678, 0.5719, 0.296, 0.9211, 0.6249, 0.9451, 0.7003, 0.6369, 0.0]","[5, 5, 4, 5, 5, 1, 4, 5, 4, 5, 5, 3]","[[selles, sends, fast, package, size, think, thanks], [job, suppose], [product], [get, grandkids, love], [screen, protector, work, shorty, month, start, get, air, bubble, protector, change, u, figure, cheap, price, average, month, ina, half, change, go, month, fall, wish, quality, better, longer, lifetime, something, help, protector, stick, screen, better], [excellent, screen, protector, ship], [apply, seem, quality, happy], [pro, screen, protector, apply, scratch, sooner, premium, screen, cover, price, perform, con, screen, screen, center, approx, th, expose, area, perimeter, case, summary, overall, screen, protector, job, protect, screen, thickness, compare, zagg, screen, cover, price, exceed, expectation], [nice, screen, protector], [ok]]","[[selles sends fast package size think thanks, 0.4404, 5], [job suppose, 0.4215, 5], [product, 0.3612, 4], [get grandkids love, 0.8678, 5], [screen protector work shorty month start get air bubble protector change u figure cheap price average month ina half change go month fall wish quality better longer lifetime something help protector stick screen better, 0.5719, 5], [excellent screen protector ship, 0.296, 1], [apply seem quality happy, 0.9211, 4], [pro screen protector apply scratch sooner premium screen cover price perform con screen screen center approx th expose area perimeter case summary overall screen protector job protect screen thickness compare zagg screen cover price exceed expectation, 0.6249, 5], [nice screen protector, 0.9451, 4], [ok, 0.7003, 5], [, 0.6369, 5], [, 0.0, 3]]"
B00FA9DM1U,"[0.9738, -0.7332, 0.6369, 0.6124]","[3, 3, 5, 5]","[[case, super, cute, protects, phone, side, become, gray, dark, blueish, place, pant, pocket, etc, edge, blacken, perfect], [quality, cover, side, stand, drop, use, issue], [case, nice, didnt, protect, phone, damage, drop]]","[[case super cute protects phone side become gray dark blueish place pant pocket etc edge blacken perfect, 0.9738, 3], [quality cover side stand drop use issue, -0.7332, 3], [case nice didnt protect phone damage drop, 0.6369, 5], [, 0.6124, 5]]"
B00FARSS8O,[0.5719],[5],"[[excellent, product]]","[[excellent product, 0.5719, 5]]"
B00FIKMK9G,[0.0],[5],"[[cant, beat, price, highquality, product]]","[[cant beat price highquality product, 0.0, 5]]"
B00G44K1M8,[-0.5106],[5],"[[case, pop, drop, phone, doubt, disappoint]]","[[case pop drop phone doubt disappoint, -0.5106, 5]]"
B00H4Y3N1S,[-0.4939],[1],"[[work, got, stolen, car]]","[[work got stolen car, -0.4939, 1]]"
B00HRO2WKS,[0.8519],[4],"[[case, fit, drop, phone, twice, use, case, bounce, timesnot, scratch]]","[[case fit drop phone twice use case bounce timesnot scratch, 0.8519, 4]]"
B00HZ2A4A2,[0.765],[5],"[[dash, cam, value, money]]","[[dash cam value money, 0.765, 5]]"
B00I16XQEC,[0.8396],[5],"[[want, stone, phone, put, necklace, daughter, stone, offer, protection, child, doesnt, notice, hasnt, break, toddler, hand, course, month, clasp, part, attach, phone, threw]]","[[want stone phone put necklace daughter stone offer protection child doesnt notice hasnt break toddler hand course month clasp part attach phone threw, 0.8396, 5]]"
B00I4C7BZS,"[-0.2755, 0.0, -0.09, 0.9451]","[2, 1, 5, 4]","[[case, ever, purchase, sleek, get, compliment, didnt, star, replace, scratch, appear, use, fact, case, crack, side, regardless, great, case, protects, phone, look], [case, break, month, use, throw, cant, recommend, longterm, use, color, nice], [crack, multiple, place, day, put, phone, purchase, product], [ringke, slims, favorite, phone, case, sell, point, mebr, br, fit, slim, versionbr, interference, port, speaker, hate, take, case, charge, phone, listen, musicbr, adequate, protection, crack, screen, case, phone, drop, time, issuebr, plus, come, decent, screen, protector, price]]","[[case ever purchase sleek get compliment didnt star replace scratch appear use fact case crack side regardless great case protects phone look, -0.2755, 2], [case break month use throw cant recommend longterm use color nice, 0.0, 1], [crack multiple place day put phone purchase product, -0.09, 5], [ringke slims favorite phone case sell point mebr br fit slim versionbr interference port speaker hate take case charge phone listen musicbr adequate protection crack screen case phone drop time issuebr plus come decent screen protector price, 0.9451, 4]]"
B00IFEB5ZM,"[-0.7268, 0.8481, 0.9631]","[1, 5, 5]","[[sound, great, look], [perfect, fit, make, get, sound, bit, muffle, others, state, improvement, frequency, sound, im, use, sub, amp, suggest, everyone, plan, go, say, sub, installation, good, construction, fit, seat], [put, spacers, edge, memphis, sub, box, wasnt, deep, ruin, sub, hit, floor, happy]]","[[sound great look, -0.7268, 1], [perfect fit make get sound bit muffle others state improvement frequency sound im use sub amp suggest everyone plan go say sub installation good construction fit seat, 0.8481, 5], [put spacers edge memphis sub box wasnt deep ruin sub hit floor happy, 0.9631, 5]]"
B00IV1ED3K,[0.4215],[5],"[[nice, case]]","[[nice case, 0.4215, 5]]"
B00IX4DK6G,[-0.3667],[2],"[[im, give, product, look, son, love, broke, day, guess, part, side, crack, keep, get, caught, go, pocket, buy, toobad, luv, giant]]","[[im give product look son love broke day guess part side crack keep get caught go pocket buy toobad luv giant, -0.3667, 2]]"
B00IZFOGFM,"[0.7684, -0.1263]","[5, 4]","[[temper, glass, screen, think, couple, dollar, drop, head, height, screen, side, as, rock, tiny, tiny, crack, impact, site, drop, phone, point, rock, force, phone, experience, assume, youre, throw, screen, protector, take, champ, recommend, ], [direction, ok, instal, screen, protector, come, wet, wipe, dry, wipe, shammy, cloth, come, film, strip, remove, dust, film, remove, backing, phone, screen, protector, go, adheres, push, bubble, direction, camera, lens, protector, camera, lens, protector, encase, unlike, screen, protector, single, encase, camera, lens, protector, lenses, attempt, remove, tab, side, lens, st, place, peel, nd, side, preform, come, tab, reapplying, screen, protector, need, remove, dust, reapplying, nice, screen, protector, smoother, glass, phone, come]]","[[temper glass screen think couple dollar drop head height screen side as rock tiny tiny crack impact site drop phone point rock force phone experience assume youre throw screen protector take champ recommend , 0.7684, 5], [direction ok instal screen protector come wet wipe dry wipe shammy cloth come film strip remove dust film remove backing phone screen protector go adheres push bubble direction camera lens protector camera lens protector encase unlike screen protector single encase camera lens protector lenses attempt remove tab side lens st place peel nd side preform come tab reapplying screen protector need remove dust reapplying nice screen protector smoother glass phone come, -0.1263, 4]]"
B00J2D1YCY,[0.6249],[5],[[fit]],"[[fit, 0.6249, 5]]"
B00J43Y63Q,"[-0.5423, 0.8748]","[2, 5]","[[gym, lousy, control], [product, work, stay, run, recommend, runner, offer, cover, piece]]","[[gym lousy control, -0.5423, 2], [product work stay run recommend runner offer cover piece, 0.8748, 5]]"
B00JEE2WX6,[0.3919],[5],"[[oem, work]]","[[oem work, 0.3919, 5]]"
B00JH837NI,[0.7964],[5],"[[slim, buy]]","[[slim buy, 0.7964, 5]]"
B00JH83OPY,"[0.0, 0.7717, 0.9041, 0.8402, 0.836, 0.9545, 0.8316]","[2, 5, 5, 5, 5, 5, 5]","[[amaze, case, capacity, magnet, work, id, say, water], [buy, husband, love, wallet, phone, holder, put], [case, great, iphone, love, fact, carry, credit, card, cash, protects, phone], [look], [product, super, service], [arrive, time, great, keep, organize, look, please, item], [perfect]]","[[amaze case capacity magnet work id say water, 0.0, 2], [buy husband love wallet phone holder put, 0.7717, 5], [case great iphone love fact carry credit card cash protects phone, 0.9041, 5], [look, 0.8402, 5], [product super service, 0.836, 5], [arrive time great keep organize look please item, 0.9545, 5], [perfect, 0.8316, 5]]"
B00JM6DKUA,"[0.6369, 0.9902, 0.9186, 0.4927, 0.2732]","[5, 5, 5, 5, 5]","[[work, run, garmin, xt], [speed, cadence, sensor, either, need, ant, receive, device, garmin, watch, model, work, speed, cadence, monitor, ant, phone, app, see, speed, cadence, device, samsung, phone, android, lollipop, instal, phone, ant, update, radio, service, ant, plugin, service, google, play, store, find, app, work, device, try, work, confusing, try, app, go, app, device, connect, use, app, garmin, ant, heart, rate, monitor, garmin, ant, food, pod, garmin, ant, cadence, speed, sensor, write, review, wahoo, app, read, part, choose, weather, want, gps, display, speed, outdoors, choose, use, speed, sensor, apps, use, gps, use, gps, speed, speed, sensor, app, data, stravabr, br, strava, work, develop, app, work, ant, device, drag, foot, apps, work, set, im, happy, wahoo, app, support, ant, speed, cadence, sensorsbr, br, issue, product, hub, thicker, side, put, speed, sensor, slight, angle, dont, think, effect, put, speed, sensor, front, hub, skinny, thickness, indoor, training, need, put, need, put, wheel], [cg, unit, cadence, sensor, pair, garmin, work, ride, change, bike, product], [set, make, difference, training], [wireless, transmission, year, wire, setup]]","[[work run garmin xt, 0.6369, 5], [speed cadence sensor either need ant receive device garmin watch model work speed cadence monitor ant phone app see speed cadence device samsung phone android lollipop instal phone ant update radio service ant plugin service google play store find app work device try work confusing try app go app device connect use app garmin ant heart rate monitor garmin ant food pod garmin ant cadence speed sensor write review wahoo app read part choose weather want gps display speed outdoors choose use speed sensor apps use gps use gps speed speed sensor app data stravabr br strava work develop app work ant device drag foot apps work set im happy wahoo app support ant speed cadence sensorsbr br issue product hub thicker side put speed sensor slight angle dont think effect put speed sensor front hub skinny thickness indoor training need put need put wheel, 0.9902, 5], [cg unit cadence sensor pair garmin work ride change bike product, 0.9186, 5], [set make difference training, 0.4927, 5], [wireless transmission year wire setup, 0.2732, 5]]"
B00JS1XFD6,[0.7506],[5],"[[replacement, battery, sure, beat, price, verizons, battery]]","[[replacement battery sure beat price verizons battery, 0.7506, 5]]"
B00KGD4UDO,[0.2732],[4],"[[battery, work, expect, hop, longer, year, use, ill, spend, aliitle, time]]","[[battery work expect hop longer year use ill spend aliitle time, 0.2732, 4]]"
B00KNBD4T0,"[0.6249, -0.8487]","[5, 1]","[[business], [product, doesnt, fit, toyota, corolla, cd, player, besides, priduct, union, arm, broke, try, put, cd, playerbr, br, good, product]]","[[business, 0.6249, 5], [product doesnt fit toyota corolla cd player besides priduct union arm broke try put cd playerbr br good product, -0.8487, 1]]"
B00KT7DA6K,[0.0],[2],"[[av, buy, pair, mid, range, burn]]","[[av buy pair mid range burn, 0.0, 2]]"
B00KUBPYQY,[0.1779],[1],"[[rhinestone, fell]]","[[rhinestone fell, 0.1779, 1]]"
B00LN8AVFM,[0.9432],[5],"[[im, slide, cell, phone, face, face, downjust, want, outer, shell, silicone, skin, seem, protection, use, pocketbook, use, belt, clip, sturdy, short, im, happy, ]]","[[im slide cell phone face face downjust want outer shell silicone skin seem protection use pocketbook use belt clip sturdy short im happy , 0.9432, 5]]"
