9712951502,[0.3724],[1],"[[phone, say, fake, knock]]","[[phone say fake knock, 0.3724, 1]]"
B00NCTS7XS,"[0.9467, 0.223]","[5, 3]","[[use, bit, look, drop, counter, broke], [phone, case, love, design, receive, compliment, fast, ship, price]]","[[use bit look drop counter broke, 0.9467, 5], [phone case love design receive compliment fast ship price, 0.223, 3]]"
B00NE5F0Y4,"[0.4404, -0.2382]","[5, 5]","[[purchase, po, craig, unit, prob, batterythis, battery, work, use], [cheap, good]]","[[purchase po craig unit prob batterythis battery work use, 0.4404, 5], [cheap good, -0.2382, 5]]"
B00NGNQ3R2,[0.6597],[5],"[[nice, color, keep, license, credit, card, close, quick, store, trip]]","[[nice color keep license credit card close quick store trip, 0.6597, 5]]"
B00NHADTPI,[0.3975],[1],"[[read, review, say, case, great, time, get, phone, line, try, time, give, inner, part, floppy, edge]]","[[read review say case great time get phone line try time give inner part floppy edge, 0.3975, 1]]"
B00NIDR5T0,[0.8834],[5],"[[perfect, laptop, power, pack, charger, device, recommend]]","[[perfect laptop power pack charger device recommend, 0.8834, 5]]"
B00NIOGKHM,[0.4927],[5],"[[product, battery, life]]","[[product battery life, 0.4927, 5]]"
B00NN20L2O,[0.2718],[5],"[[run, watch, play, mp, dollar, mystery, story, failbr, br, good, price, video, shabby]]","[[run watch play mp dollar mystery story failbr br good price video shabby, 0.2718, 5]]"
B00NRWI9Q0,[-0.2263],[2],"[[product, arrive, time, break, day, try, wood, glue, didnt, hold, bamboos, looking, product, day]]","[[product arrive time break day try wood glue didnt hold bamboos looking product day, -0.2263, 2]]"
B00O1PNHDM,[-0.7227],[1],"[[strap, come, magnet, stop, workingbr, thing, go, trash, ill, replace]]","[[strap come magnet stop workingbr thing go trash ill replace, -0.7227, 1]]"
B00O6U9C9K,"[0.3182, 0.8625]","[3, 5]","[[spot, side, charger, accommodate, different, orientationsbr, br, magnet, inside, charger, metal, surfacebr, br, complaint, magnet, charge, pin, charge, watch, orientation], [work, part, cradle, watch, usb, cable, make, work]]","[[spot side charger accommodate different orientationsbr br magnet inside charger metal surfacebr br complaint magnet charge pin charge watch orientation, 0.3182, 3], [work part cradle watch usb cable make work, 0.8625, 5]]"
B00OAG10MC,[0.81],[3],"[[wouldnt, buy, price, amount, price, feel, film, look, wont, leave, phone]]","[[wouldnt buy price amount price feel film look wont leave phone, 0.81, 3]]"
B00OB2KSN2,[-0.1472],[5],"[[come, handy, move, shouldnt, worn, moto, get, warranty, wasnt, worry, save, screen, multiple, time, glad, came, cause, dust, get, got, scratch, wall, move]]","[[come handy move shouldnt worn moto get warranty wasnt worry save screen multiple time glad came cause dust get got scratch wall move, -0.1472, 5]]"
B00OGI4LE8,[0.6249],[5],"[[product, describe]]","[[product describe, 0.6249, 5]]"
B00OJ8L5R6,[-0.7228],[3],"[[case, get, compliment, piece, lock, volume, button, break, day, use, happy]]","[[case get compliment piece lock volume button break day use happy, -0.7228, 3]]"
B00OXRWMFW,[0.2928],[4],"[[buy, replace, older, set, way, keep, son, playing, neighborhood, friend, go, inside, friend, house, reception, great, cell, phone, coverage, extra, cost, worry, lose, phone, theft, damage, push, talk, light, weight, sturdy, build, purpose]]","[[buy replace older set way keep son playing neighborhood friend go inside friend house reception great cell phone coverage extra cost worry lose phone theft damage push talk light weight sturdy build purpose, 0.2928, 4]]"
B00OXTKVGW,"[0.7003, 0.4215, 0.6908]","[2, 5, 5]","[[come, w, charge, daughter, take, selfies, minute, go, feel, sturdy, buy], [nice], [sun, light, hit, extend, pole, make, photo, bright, white, plan, use, selfie, stick, outdoor, think, better, get, pole, non, silver, gold, color]]","[[come w charge daughter take selfies minute go feel sturdy buy, 0.7003, 2], [nice, 0.4215, 5], [sun light hit extend pole make photo bright white plan use selfie stick outdoor think better get pole non silver gold color, 0.6908, 5]]"
B00P4H65SU,[0.6249],[4],"[[time, work]]","[[time work, 0.6249, 4]]"
B00P654EC4,[0.8687],[5],"[[buy, prefer, truglide, weight, stylus, recommend, please, microfiber, mesh, tip, preference]]","[[buy prefer truglide weight stylus recommend please microfiber mesh tip preference, 0.8687, 5]]"
B00P7OCJQW,"[0.5719, 0.6369]","[5, 5]","[[perfect, phone]]","[[perfect phone, 0.5719, 5], [, 0.6369, 5]]"
B00P8EHQ2S,"[0.4404, 0.0]","[5, 1]","[[sturdy, case, get, need], [get, case]]","[[sturdy case get need, 0.4404, 5], [get case, 0.0, 1]]"
B00PEBFJCY,"[0.6369, 0.6812]","[5, 4]","[[case, nice, fit, price, complaint, clear, portion, sort, dulls, time, deal], [case]]","[[case nice fit price complaint clear portion sort dulls time deal, 0.6369, 5], [case, 0.6812, 4]]"
B00PF40IZI,[0.0],[5],"[[need, iphone, cover, purse]]","[[need iphone cover purse, 0.0, 5]]"
B00PMCSFYY,[0.5719],[5],"[[excellent, buy]]","[[excellent buy, 0.5719, 5]]"
B00Q2NUYTQ,[-0.2486],[1],"[[pay, arrive, try, didnt, work, great, time, answer, phone, call, hang, wish, return, sit, box, inside, closet]]","[[pay arrive try didnt work great time answer phone call hang wish return sit box inside closet, -0.2486, 1]]"
B00QBFK2NS,"[0.8388, -0.4404]","[5, 1]","[[receive, battery, june, weekend, stop, work, didnt, know, battery, im, stuck, use, phone], [work, glad, buy, phone, last, longer, bought, go]]","[[receive battery june weekend stop work didnt know battery im stuck use phone, 0.8388, 5], [work glad buy phone last longer bought go, -0.4404, 1]]"
B00QHGGNAC,[-0.1725],[2],"[[tight, hard, get]]","[[tight hard get, -0.1725, 2]]"
B00QP7TWJ2,"[0.6249, -0.4215, 0.5859]","[3, 2, 4]","[[look, good, feel, ear, sound, quality, decent, battery, life, suck, month, im, buying, pair, headphone, buy, need, improve, battery], [broke, month], [product, worth, price]]","[[look good feel ear sound quality decent battery life suck month im buying pair headphone buy need improve battery, 0.6249, 3], [broke month, -0.4215, 2], [product worth price, 0.5859, 4]]"
B00QPAQ1SE,"[0.8934, 0.7466, 0.5481, 0.8828, 0.0, -0.2124]","[5, 4, 5, 5, 1, 2]","[[husband, like, case, give, extra, grip, add, bulk, give, star, doesnt, provide, protection, phone, drop, phone, need, whole, lot, protection], [case, thats, make, droid, turbo, nylon, version, sleek, stylish, overall, design], [case, son, want, phone, heavy, duty, company, fault, order, case, return], [fell, apart, day], [buy, case, hat, slippery, nylon, want, keep, slim, profile, case, im, sure, protection, case, give, find, purpose, case, give, grip, hold, take, picture, keep, slim, profile, oh, button, line], [perfect, fit, otter, box, case, didnt, want, pay, case, didnt, want, bulky, save, phone, twice, nice, sleek, buy, wear]]","[[husband like case give extra grip add bulk give star doesnt provide protection phone drop phone need whole lot protection, 0.8934, 5], [case thats make droid turbo nylon version sleek stylish overall design, 0.7466, 4], [case son want phone heavy duty company fault order case return, 0.5481, 5], [fell apart day, 0.8828, 5], [buy case hat slippery nylon want keep slim profile case im sure protection case give find purpose case give grip hold take picture keep slim profile oh button line, 0.0, 1], [perfect fit otter box case didnt want pay case didnt want bulky save phone twice nice sleek buy wear, -0.2124, 2]]"
B00QPGOQE4,[0.2732],[5],"[[work, device]]","[[work device, 0.2732, 5]]"
B00QTG5YEG,[0.7351],[5],"[[perfect, fit, glove]]","[[perfect fit glove, 0.7351, 5]]"
B00R5ZE4UU,"[-0.7096, 0.6249]","[1, 4]","[[waste, money, intermittent, distortion], [work, great, put, iy, car, tape, deck, tape, deck, boom, box, connect, mp, player, listen, music]]","[[waste money intermittent distortion, -0.7096, 1], [work great put iy car tape deck tape deck boom box connect mp player listen music, 0.6249, 4]]"
B00RCYAZWU,[-0.4767],[1],"[[crack, use, many, item, cover, phone, none, crack, break, fast]]","[[crack use many item cover phone none crack break fast, -0.4767, 1]]"
B00RKGLC9K,[-0.1761],[2],"[[disappoint, product, doesnt, perform, advertise, week, charge, phone, ipad, wish, return]]","[[disappoint product doesnt perform advertise week charge phone ipad wish return, -0.1761, 2]]"
B00RPEAG5I,[-0.5329],[1],"[[brittle, break, month, purchase, beautiful, image, weak]]","[[brittle break month purchase beautiful image weak, -0.5329, 1]]"
B00RQ5AZL6,"[-0.09, -0.1419, -0.4404]","[2, 1, 2]","[[work, stop, provide, charge, time, want, say, receive, month, max], [connection, adapter, plug, phone, wore, month, use, never, see, anything, carry, charge, plug, stay, port], [doa, nice, sturdy, look, work]]","[[work stop provide charge time want say receive month max, -0.09, 2], [connection adapter plug phone wore month use never see anything carry charge plug stay port, -0.1419, 1], [doa nice sturdy look work, -0.4404, 2]]"
B00S0R5N52,[0.0],[1],"[[didnt, mean, oder, case]]","[[didnt mean oder case, 0.0, 1]]"
B00S79PZMO,[-0.4767],[2],"[[come, break]]","[[come break, -0.4767, 2]]"
B00SAHKUB4,"[0.6249, 0.875, 0.8555, 0.891, 0.7906, 0.4215, 0.7964, -0.6734, 0.6249]","[5, 5, 5, 5, 5, 5, 5, 5, 4]","[[nice, love, heart], [iphone, otterbox, defender, case, rugged, include, screen, shield, build, fuss, require, place, shield, screen, include, use, stand, look, something, thick, regardless, happy], [need], [get, mail, today, arrive, day, say, go, love, color, thing, doesnt, seem, snap, bottom, inside, case, guess, suppose, way, besides, love], [get, cousin, like], [product, fast, ship], [picture, ship, recommend, screen, filmconnected, otter, box, isnt, lay, screen, way, id, deal, great, buy], [problem, wish, offer, piece, choice, color, mix, match, drop, phone, know, case, work, leave, cover, seem, hinder, use, phone, side, button, push, harder, inconvenience], [awesome, quality, great, value]]","[[nice love heart, 0.6249, 5], [iphone otterbox defender case rugged include screen shield build fuss require place shield screen include use stand look something thick regardless happy, 0.875, 5], [need, 0.8555, 5], [get mail today arrive day say go love color thing doesnt seem snap bottom inside case guess suppose way besides love, 0.891, 5], [get cousin like, 0.7906, 5], [product fast ship, 0.4215, 5], [picture ship recommend screen filmconnected otter box isnt lay screen way id deal great buy, 0.7964, 5], [problem wish offer piece choice color mix match drop phone know case work leave cover seem hinder use phone side button push harder inconvenience, -0.6734, 5], [awesome quality great value, 0.6249, 4]]"
B00SDCW1QI,[0.0],[1],"[[clip, pull, apart, holder, make]]","[[clip pull apart holder make, 0.0, 1]]"
B00SEXOTYS,[0.6908],[4],"[[color, case, think, friend, satisfiedbr, use, account, purchase]]","[[color case think friend satisfiedbr use account purchase, 0.6908, 4]]"
B00SGNT82Y,[0.9619],[4],"[[surprise, product, want, something, simple, throw, desk, work, hold, level, mouth, clip, part, open, use, samsung, galaxy, iphone, fit, fine, case, thing, look, improve, flexibility, neck, balance, balance, fine, put, head, part, forward, adjust, leg, make, head, doesnt, fall, hope, make, sensehah, anyway, good, deal, price, look, dragon]]","[[surprise product want something simple throw desk work hold level mouth clip part open use samsung galaxy iphone fit fine case thing look improve flexibility neck balance balance fine put head part forward adjust leg make head doesnt fall hope make sensehah anyway good deal price look dragon, 0.9619, 4]]"
B00SRPJIYY,"[0.743, 0.4404, 0.3612, 0.0232, 0.5994, 0.7853, 0.7906]","[4, 4, 5, 3, 4, 4, 5]","[[work, travel, work, lot, dont, carrying, wallet, night, go, dinner, star, issue, card, get, cash, slot, card, bend, bit, cause, problem, get, card, quick, window, edge, card], [get, boyfriend, love, hold, credit, card, id], [shop, case, time, shockproof, card, holder, product, say, fulfil, function], [case], [ok, case, bottom, part, home, button, soft, flimsy], [look, great, function]]","[[work travel work lot dont carrying wallet night go dinner star issue card get cash slot card bend bit cause problem get card quick window edge card, 0.743, 4], [get boyfriend love hold credit card id, 0.4404, 4], [shop case time shockproof card holder product say fulfil function, 0.3612, 5], [case, 0.0232, 3], [ok case bottom part home button soft flimsy, 0.5994, 4], [look great function, 0.7853, 4], [, 0.7906, 5]]"
B00ST0DWDA,[0.4404],[5],"[[case, come]]","[[case come, 0.4404, 5]]"
B00SWSIK72,[0.0],[1],"[[sticker, stick]]","[[sticker stick, 0.0, 1]]"
B00T5KVTP6,[0.0],[5],"[[bought, put, family, phone]]","[[bought put family phone, 0.0, 5]]"
B00T6MQ21E,[0.8555],[4],"[[look, nice, size, extra]]","[[look nice size extra, 0.8555, 4]]"
B00T6QEE24,[0.7474],[5],"[[satisfy, improvement]]","[[satisfy improvement, 0.7474, 5]]"
B00TA65PQE,"[-0.4767, 0.25]","[2, 3]","[[buy, adapter, anker, iphone, battery, case, slim, make, fit, cut, tearing, rubber, case, jack], [poor, quality, fat, connector, tight, mophie, entrance]]","[[buy adapter anker iphone battery case slim make fit cut tearing rubber case jack, -0.4767, 2], [poor quality fat connector tight mophie entrance, 0.25, 3]]"
B00TP0S6RU,"[-0.2846, 0.6249]","[1, 5]","[[look, great, last, month, lightning, port, broke, unplug, im, buy, aduro, product]]","[[look great last month lightning port broke unplug im buy aduro product, -0.2846, 1], [, 0.6249, 5]]"
B00TSF3GXQ,[0.6369],[5],[[fit]],"[[fit, 0.6369, 5]]"
B00UBYYVKU,[-0.6369],[1],"[[crap, crap]]","[[crap crap, -0.6369, 1]]"
B00UCSHPE4,"[0.9538, -0.4215, -0.6559]","[5, 1, 1]","[[broke, month, sporadic, use], [brand, month, stop, work, use, time, cant, exchange, get, refund, give, month, recommend, anyone], [fit, sound, great, battery, last, recommend, others]]","[[broke month sporadic use, 0.9538, 5], [brand month stop work use time cant exchange get refund give month recommend anyone, -0.4215, 1], [fit sound great battery last recommend others, -0.6559, 1]]"
B00UH8YA42,[0.8188],[5],"[[case, im, dont, nice, wallet]]","[[case im dont nice wallet, 0.8188, 5]]"
B00UHHFQDC,[0.8255],[5],"[[buy, end, expect, deliver, end, get, week, buy, havent, stop, use, work, phonesipods, havent, find, problem, happy, purchase]]","[[buy end expect deliver end get week buy havent stop use work phonesipods havent find problem happy purchase, 0.8255, 5]]"
B00UJDY7MU,[0.85],[5],"[[case, good, u, drop, face, wont, break, mean, use, hiking, swimming, stuff, cant, charge, inside, case, lifeproof, case, use, side, button, case]]","[[case good u drop face wont break mean use hiking swimming stuff cant charge inside case lifeproof case use side button case, 0.85, 5]]"
B00ULNXKLW,"[0.7964, 0.0, 0.2732]","[5, 5, 5]","[[give, extra, charger, amaze], [describe, work, iphone], [need]]","[[give extra charger amaze, 0.7964, 5], [describe work iphone, 0.0, 5], [need, 0.2732, 5]]"
B00V51JAMM,[0.6486],[3],"[[nice, anything, protect, front]]","[[nice anything protect front, 0.6486, 3]]"
B00V5PEI84,[-0.4874],[2],"[[package, come, time, try, cable, staff, report, issue, cable, come, order, charge, io, device, plug, display, message, accessory, support, charge, device]]","[[package come time try cable staff report issue cable come order charge io device plug display message accessory support charge device, -0.4874, 2]]"
B00V7FXHC0,[0.7549],[5],"[[wife, love, phone, get, birthday, present, hasnt, complaint]]","[[wife love phone get birthday present hasnt complaint, 0.7549, 5]]"
B00V9YHCEI,"[0.2732, -0.4215, 0.3071, -0.5122, -0.4767, 0.4404, 0.1406, 0.0]","[3, 1, 1, 3, 1, 4, 3, 1]","[[receive, product, break], [cliams, say, go, water, everyday, use], [front, subpar, feel, dirt, attraction, kid, rubberize, toy, keep, phone, protect, wasnt, test], [lot, expecting, case, point, felt, go, break], [didnt, know, place, plug, cord, take, time, put, phone, remove, charge, cumbersome, get, case, recommend, item, anyone], [think, e, product, saw, bit, receive, use, day, charge, charge, phone, charge, case, turn, galaxy, know, happen], [waste, money, dont, buy], [buy]]","[[receive product break, 0.2732, 3], [cliams say go water everyday use, -0.4215, 1], [front subpar feel dirt attraction kid rubberize toy keep phone protect wasnt test, 0.3071, 1], [lot expecting case point felt go break, -0.5122, 3], [didnt know place plug cord take time put phone remove charge cumbersome get case recommend item anyone, -0.4767, 1], [think e product saw bit receive use day charge charge phone charge case turn galaxy know happen, 0.4404, 4], [waste money dont buy, 0.1406, 3], [buy, 0.0, 1]]"
B00VE0YDOY,[0.4939],[5],"[[fan, charge, device, use, heavy, game, internet, use, keep, phone, charge, go]]","[[fan charge device use heavy game internet use keep phone charge go, 0.4939, 5]]"
B00VFHJEXQ,"[0.7764, 0.9201]","[5, 5]","[[please, sturdy], [excellent, love, ft, work]]","[[please sturdy, 0.7764, 5], [excellent love ft work, 0.9201, 5]]"
B00VM510RO,[-0.5053],[2],"[[look, okbut, inner, case, form, line, screen, design, move, leather, reach, corner, screenleather, seem, elegant, genuine]]","[[look okbut inner case form line screen design move leather reach corner screenleather seem elegant genuine, -0.5053, 2]]"
B00VQUL2OG,[0.9582],[5],"[[nice, make, mistake, order, vase, need, edge, seller, great, get, right, let, case, want, ship, case, come, time, daughter, love, come, screen, protector, cloth, stylus, pen, case, grip, phone, perfect]]","[[nice make mistake order vase need edge seller great get right let case want ship case come time daughter love come screen protector cloth stylus pen case grip phone perfect, 0.9582, 5]]"
B00VRQL3YI,[0.0],[2],"[[description, item, state, cover, come, cover, make, item]]","[[description item state cover come cover make item, 0.0, 2]]"
B00VTQ29XU,[-0.7003],[1],"[[iphone, charger, cable, fail, day, plud, fell, apart, need, glue, quality, suck]]","[[iphone charger cable fail day plud fell apart need glue quality suck, -0.7003, 1]]"
B00VUHJDNC,[-0.4019],[5],"[[tip, know, lose, clip, break]]","[[tip know lose clip break, -0.4019, 5]]"
B00W4LEYU0,"[-0.1901, 0.7778]","[2, 5]","[[excellent, product, arrive, satisfy], [nice, case, youre, look, show, design, edge, potection, screen, phone, pocket, screen, crack, somehow, get, bent, case, shouldve, prevent]]","[[excellent product arrive satisfy, -0.1901, 2], [nice case youre look show design edge potection screen phone pocket screen crack somehow get bent case shouldve prevent, 0.7778, 5]]"
B00W6JIK8M,[0.3291],[5],"[[perfect, look, protection, phone]]","[[perfect look protection phone, 0.3291, 5]]"
B00WAKB74G,[0.765],[5],"[[fit, price]]","[[fit price, 0.765, 5]]"
B00WEHPT7Q,[0.6249],[5],"[[awesome, look, case, provide, protection, keep, slimness]]","[[awesome look case provide protection keep slimness, 0.6249, 5]]"
B00WLSJ3N4,[0.5574],[4],"[[awesome, case, flaw, get, dirty]]","[[awesome case flaw get dirty, 0.5574, 4]]"
B00WMADQ0M,[-0.4973],[1],"[[didnt, didnt, fit, phone]]","[[didnt didnt fit phone, -0.4973, 1]]"
B00WT4PB7W,[-0.4646],[4],"[[lose, acdc, socket, leave, home, take, ipad, way, charge, usb, sure, purchase, usb, cord, charge, use, hop, dont, buy]]","[[lose acdc socket leave home take ipad way charge usb sure purchase usb cord charge use hop dont buy, -0.4646, 4]]"
B00WW8A9TU,[0.1316],[2],"[[purchase, item, price, reviewswhich, people, get, discount, review, mustve, come, took, weeks, get, packaging, look, nothing, whats, advertisedin, fact, picture, phone, top, say, thats, misprint, get, work, see, stay, im, impress]]","[[purchase item price reviewswhich people get discount review mustve come took weeks get packaging look nothing whats advertisedin fact picture phone top say thats misprint get work see stay im impress, 0.1316, 2]]"
B00X5G9HH8,"[-0.3412, -0.4215, 0.8097, 0.0]","[1, 1, 4, 5]","[[upgrade, galaxy, need, case, depend, otter, box, keep, phone, safe, time, differentbr, case, fit, seems, make, expect, combo, phone, case, stand, lifebr, complaint, fact, remove, phone, belt, clip, take, pull, bending, plastic, ear, phone, end, go, clip, pull, remove, phone, older, case, center, clip, unsnap, movement, get, use, remove, take, second, dosometimes, cause, miss, call, fumble, phone], [work, expect], [buy, product, style, work], [case, come, broke, plastic, screen, isnt, attach, case, side]]","[[upgrade galaxy need case depend otter box keep phone safe time differentbr case fit seems make expect combo phone case stand lifebr complaint fact remove phone belt clip take pull bending plastic ear phone end go clip pull remove phone older case center clip unsnap movement get use remove take second dosometimes cause miss call fumble phone, -0.3412, 1], [work expect, -0.4215, 1], [buy product style work, 0.8097, 4], [case come broke plastic screen isnt attach case side, 0.0, 5]]"
B00X5L8P8K,"[0.7817, 0.9021, 0.0, -0.5409, -0.0426, 0.0, -0.2732, 0.5356]","[4, 5, 1, 4, 1, 5, 3, 3]","[[nice, gadget, customer, service, problem, send, email, get, respond, hour, replacement, item, arrive, day, impress, couldnt, happierbr, product, come, remote, dont, use, function, work, quality, sound, phone, music, music, reception, poor, fine, sweet, spot, vehicle, try, put, instal, car], [mad, work], [work, got, refund], [unplug, sound], [simple, use, volume, louder, nice, leave, car, turn, unit, pair, go], [need], [screen, melt, summer, heat, leave, car, day, expecting, product, hop, use, couple, day, function, look, deform, hiss, noise, bit, annoy, recommend]]","[[nice gadget customer service problem send email get respond hour replacement item arrive day impress couldnt happierbr product come remote dont use function work quality sound phone music music reception poor fine sweet spot vehicle try put instal car, 0.7817, 4], [mad work, 0.9021, 5], [work got refund, 0.0, 1], [unplug sound, -0.5409, 4], [simple use volume louder nice leave car turn unit pair go, -0.0426, 1], [need, 0.0, 5], [screen melt summer heat leave car day expecting product hop use couple day function look deform hiss noise bit annoy recommend, -0.2732, 3], [, 0.5356, 3]]"
B00XL4JZKI,[0.6048],[5],"[[try, band, reaction, metal, apples, sport, band, leather, band, arent, genuin, leather, crack, bend, band, amaze, rash, metal, clasp, crack, strap, buy, red, went, buy, wish, offer, color]]","[[try band reaction metal apples sport band leather band arent genuin leather crack bend band amaze rash metal clasp crack strap buy red went buy wish offer color, 0.6048, 5]]"
B00XVVO1IW,[0.765],[5],"[[gotten, lot, comment, itbr, concern, flap, get, way, try, make, call]]","[[gotten lot comment itbr concern flap get way try make call, 0.765, 5]]"
B00XW32DQG,[0.8885],[4],"[[husband, love, case, he, phone, month, help]]","[[husband love case he phone month help, 0.8885, 4]]"
B00XYV9W3S,[0.2023],[5],"[[light, soft, rubbery, total, klutz, phone, drop, seems, give, cushioning, cover, tight, phone, freeze, put, squeeze, hard]]","[[light soft rubbery total klutz phone drop seems give cushioning cover tight phone freeze put squeeze hard, 0.2023, 5]]"
B00Y2HGWT0,[-0.4767],[3],"[[poor, quality, image]]","[[poor quality image, -0.4767, 3]]"
B00Y3AI6X6,[0.9553],[5],"[[wow, wireless, charger, perfect, compact, travel, design, position, angle, compare, charger, others, win, angle, position, wireless, technology, inspire, order, afford, work, desk, bedside, work, are, home, etc, charge, surprise, warm, phone, charge, phenomenon, recommend, difference, position, ability, sit, height, work, surface, add, reflection, device, screen, reposition, angle, charger, house, phone, galaxy, series, phone, use, add, battery, charging, receiver, module, asinbqgmkik, qifull, ultrathin, qi, standard, wireless, charge, receiver, module, samsung, galaxy, black, galaxy, httpwwwamazoncomwirelesschargerchargingreceiversamsungdpbdvsdwrefsrieutfqidsrkeywordsswirelesschargingreceiverpebpperidtjwdsnadhxgds, recommend, item]]","[[wow wireless charger perfect compact travel design position angle compare charger others win angle position wireless technology inspire order afford work desk bedside work are home etc charge surprise warm phone charge phenomenon recommend difference position ability sit height work surface add reflection device screen reposition angle charger house phone galaxy series phone use add battery charging receiver module asinbqgmkik qifull ultrathin qi standard wireless charge receiver module samsung galaxy black galaxy httpwwwamazoncomwirelesschargerchargingreceiversamsungdpbdvsdwrefsrieutfqidsrkeywordsswirelesschargingreceiverpebpperidtjwdsnadhxgds recommend item, 0.9553, 5]]"
B00YD6QRCW,[0.7184],[4],"[[phone, case, thick, holder, shallow, hold, phone, work, phone, case, quality, seem]]","[[phone case thick holder shallow hold phone work phone case quality seem, 0.7184, 4]]"
B00YEJ9XKG,[0.8442],[4],"[[case, wont, accommodate, lighten, amazon, apple, cord, work, fine, keep, use, take, charge]]","[[case wont accommodate lighten amazon apple cord work fine keep use take charge, 0.8442, 4]]"
B00YI9Q6SO,[0.8793],[4],"[[nice, great, quality, love, design, apply, look, time, pattern, case, order, make, thing, lg, g, stylo, picture, inner, gel, come, bottom, picture, phone, fit, prying, tool, stylus, order, case, come, package]]","[[nice great quality love design apply look time pattern case order make thing lg g stylo picture inner gel come bottom picture phone fit prying tool stylus order case come package, 0.8793, 4]]"
B00YM48OSU,[0.5106],[5],"[[well, use, cover, bubble]]","[[well use cover bubble, 0.5106, 5]]"
B00Z9TBRLI,[0.6249],[5],"[[case, last, longer, expect]]","[[case last longer expect, 0.6249, 5]]"
B00ZBMH07S,[0.1324],[2],"[[duty, case, seem, problem, flap, charger, port, wont, close, lesson, learn, cheap, case]]","[[duty case seem problem flap charger port wont close lesson learn cheap case, 0.1324, 2]]"
B00ZBSGVE0,[0.4019],[1],"[[look, ring, screen, mean, buy, fact, leave, circle, hallow, fail, thin, sheet, plastic, circle, make, case, perfect]]","[[look ring screen mean buy fact leave circle hallow fail thin sheet plastic circle make case perfect, 0.4019, 1]]"
B00ZC3C684,[0.3523],[4],"[[seems, good, problem, fit, therefore, difficult, get, lose]]","[[seems good problem fit therefore difficult get lose, 0.3523, 4]]"
B00ZDUEEP4,[-0.0289],[3],"[[month, use, whole, gold, paint, peal, case, look, ald, use, case, want, looking, case, protects, phone, count, run]]","[[month use whole gold paint peal case look ald use case want looking case protects phone count run, -0.0289, 3]]"
B00ZFWU8JG,"[-0.8476, 0.0, 0.2023, 0.6369, 0.7602, 0.6369, 0.2382, 0.5112, 0.6249, 0.0, -0.0857, -0.8436, 0.0, -0.4821, 0.1779]","[1, 1, 1, 5, 1, 5, 3, 2, 5, 1, 1, 2, 1, 5, 1]","[[get, message, phone, isnt, support, work, notice, charge], [cord, take, forever, charge, device], [cord, box, charge, iphone, charge, ipad, air, ipad, ding, show, message, charge], [garbage, cycle, power, phone, go, buy], [doesnt, work], [one, certify, phone, darn, notice, go, time, plug, phone, remind, bought, cord, charge, ok, seem, ala, see, work], [lightning, end, make, tolerance, apple, wiggle, fit, charge, buy], [work, fine, month], [ipad, air, cord, package, cord, look, cool, nylon, braid, inside, plastic, outer, cover, disappointment, charge, ipad, hour, chargedbr, br, day, bit, comprise, plug, head, part, plug, tablet, cord, rest, order, work, needle, say, return, amazon, spent, couple, buck, anker, brand, cord, perform, flawlesslybr, br, defense, cord, come, pack, fail, return, pair, try, use, cheap, make, china, provide, quality, control, factory, cord, fine, base, experience, product], [awesome], [design, length, charge, phone, super, im, sure, mean, generation, iphones, anyway, iphone, take, charge, think, drain, battery], [dont, waste, money, cord, convenient, charge, time, plug, time, check, phone, say, accessory, wake, morning, phone, stop, charge, junk, product, love, return, get, money], [cable, dont, work, hook, iphone, mac, connectsdisconnects, unplug, wont, return, pay, isnt, worth, time, heck], [cord]]","[[get message phone isnt support work notice charge, -0.8476, 1], [cord take forever charge device, 0.0, 1], [cord box charge iphone charge ipad air ipad ding show message charge, 0.2023, 1], [garbage cycle power phone go buy, 0.6369, 5], [doesnt work, 0.7602, 1], [one certify phone darn notice go time plug phone remind bought cord charge ok seem ala see work, 0.6369, 5], [lightning end make tolerance apple wiggle fit charge buy, 0.2382, 3], [work fine month, 0.5112, 2], [ipad air cord package cord look cool nylon braid inside plastic outer cover disappointment charge ipad hour chargedbr br day bit comprise plug head part plug tablet cord rest order work needle say return amazon spent couple buck anker brand cord perform flawlesslybr br defense cord come pack fail return pair try use cheap make china provide quality control factory cord fine base experience product, 0.6249, 5], [awesome, 0.0, 1], [design length charge phone super im sure mean generation iphones anyway iphone take charge think drain battery, -0.0857, 1], [dont waste money cord convenient charge time plug time check phone say accessory wake morning phone stop charge junk product love return get money, -0.8436, 2], [cable dont work hook iphone mac connectsdisconnects unplug wont return pay isnt worth time heck, 0.0, 1], [cord, -0.4821, 5], [, 0.1779, 1]]"
B00ZKVS72W,[-0.7061],[1],"[[im, fan, case, make, call, hear, headphones, annoy, dont, use, case, anymore]]","[[im fan case make call hear headphones annoy dont use case anymore, -0.7061, 1]]"
